date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,17,6,0.0,8.7,4,4,37,11:26 AM,11:07 PM,07:15 AM,05:28 PM,-4,10,10,10,11,28,37,0.0,1024,17,10,200,6
2020-01-02,17,9,0.0,8.7,3,3,44,11:56 AM,12:00 AM,07:15 AM,05:29 PM,0,11,11,11,12,54,47,0.4,1024,17,10,252,6
2020-01-03,15,7,0.0,3.8,3,3,51,12:25 PM,No moonset,07:15 AM,05:30 PM,6,9,10,9,11,78,77,17.9,1021,15,9,268,6
2020-01-04,14,6,0.0,3.8,3,3,59,12:55 PM,12:52 AM,07:15 AM,05:30 PM,6,9,9,9,10,60,80,12.5,1019,14,9,248,5
2020-01-05,16,6,0.0,8.7,4,4,66,01:26 PM,01:46 AM,07:15 AM,05:31 PM,3,9,10,9,11,16,62,0.0,1019,16,10,249,6
2020-01-06,14,3,0.0,5.4,3,3,73,02:00 PM,02:41 AM,07:15 AM,05:32 PM,2,9,10,9,13,60,58,4.8,1020,14,10,287,7
2020-01-07,11,9,0.0,3.8,2,2,80,02:38 PM,03:39 AM,07:16 AM,05:33 PM,8,9,9,9,9,93,92,28.6,1017,11,8,150,5
2020-01-08,8,5,0.0,3.8,2,2,88,03:22 PM,04:38 AM,07:16 AM,05:33 PM,6,6,7,6,13,93,92,67.7,1015,8,6,132,7
2020-01-09,12,3,0.0,8.7,3,3,95,04:13 PM,05:39 AM,07:16 AM,05:34 PM,3,6,7,6,10,8,78,0.0,1020,12,10,245,5
2020-01-10,16,5,0.0,8.7,4,4,100,05:10 PM,06:40 AM,07:16 AM,05:35 PM,0,8,9,8,12,3,54,0.0,1021,16,10,275,6
2020-01-11,17,6,0.0,8.7,4,4,100,06:13 PM,07:38 AM,07:16 AM,05:36 PM,-0,10,10,10,10,36,50,0.0,1021,17,10,226,6
2020-01-12,21,8,0.0,8.7,4,4,83,07:21 PM,08:32 AM,07:16 AM,05:37 PM,5,13,13,13,9,23,57,0.0,1018,21,10,249,5
2020-01-13,16,10,0.0,3.8,3,3,76,08:28 PM,09:20 AM,07:16 AM,05:38 PM,8,13,13,13,8,59,74,14.2,1013,16,8,166,5
2020-01-14,16,9,0.0,3.8,3,3,69,09:36 PM,10:03 AM,07:16 AM,05:38 PM,9,11,12,11,9,79,84,5.8,1016,16,10,242,5
2020-01-15,16,9,0.0,7.1,3,3,61,10:41 PM,10:42 AM,07:15 AM,05:39 PM,7,11,11,11,12,51,77,1.1,1018,16,10,190,7
2020-01-16,14,8,0.0,5.5,3,3,54,11:46 PM,11:20 AM,07:15 AM,05:40 PM,6,10,10,10,12,67,78,9.2,1017,14,10,257,6
2020-01-17,15,8,0.0,5.5,3,3,47,No moonrise,11:56 AM,07:15 AM,05:41 PM,7,10,10,10,10,79,81,15.2,1017,15,8,137,6
2020-01-18,15,8,0.0,3.9,3,3,40,12:49 AM,12:32 PM,07:15 AM,05:42 PM,7,10,10,10,9,74,82,27.6,1018,15,8,242,5
2020-01-19,16,7,0.0,8.7,4,4,32,01:52 AM,01:10 PM,07:15 AM,05:43 PM,6,11,11,11,11,26,71,1.5,1020,16,10,259,7
2020-01-20,17,8,0.0,8.7,3,3,25,02:55 AM,01:52 PM,07:14 AM,05:44 PM,2,11,11,11,11,45,56,0.1,1018,17,10,228,7
2020-01-21,15,7,0.0,7.1,3,3,18,03:58 AM,02:37 PM,07:14 AM,05:44 PM,4,9,10,9,13,44,68,0.6,1020,15,10,249,7
2020-01-22,17,6,0.0,8.7,4,4,11,04:58 AM,03:27 PM,07:14 AM,05:45 PM,4,10,11,10,13,8,63,0.0,1022,17,10,262,7
2020-01-23,17,7,0.0,8.7,4,4,3,05:55 AM,04:20 PM,07:14 AM,05:46 PM,2,11,11,11,12,0,56,0.0,1019,17,10,264,7
2020-01-24,18,6,0.0,8.7,4,4,0,06:47 AM,05:16 PM,07:13 AM,05:47 PM,-1,10,11,10,11,1,45,0.0,1017,18,10,233,6
2020-01-25,16,6,0.0,8.7,4,4,0,07:34 AM,06:12 PM,07:13 AM,05:48 PM,4,10,10,10,8,15,65,0.0,1017,16,10,230,5
2020-01-26,18,7,0.0,8.7,4,4,4,08:15 AM,07:09 PM,07:12 AM,05:49 PM,6,11,11,11,10,8,70,0.0,1016,18,10,241,6
2020-01-27,18,7,0.0,8.7,3,3,11,08:52 AM,08:04 PM,07:12 AM,05:50 PM,5,11,12,11,11,42,64,0.1,1014,18,10,234,6
2020-01-28,13,9,0.0,3.9,3,3,18,09:25 AM,08:58 PM,07:11 AM,05:51 PM,7,10,11,10,16,85,78,15.6,1013,13,8,25,10
2020-01-29,15,6,0.0,3.9,3,3,26,09:56 AM,09:51 PM,07:11 AM,05:51 PM,7,9,10,9,12,63,83,33.3,1017,15,8,176,7
2020-01-30,16,7,0.0,8.7,3,3,33,10:25 AM,10:43 PM,07:10 AM,05:52 PM,5,10,10,10,12,18,69,0.1,1019,16,10,259,7
2020-01-31,16,6,0.0,8.7,4,4,37,10:55 AM,11:36 PM,07:10 AM,05:53 PM,2,9,10,9,10,17,64,0.1,1017,16,10,228,6
2020-02-01,15,5,0.0,3.9,3,3,49,11:25 AM,No moonset,07:09 AM,05:54 PM,4,8,9,8,10,63,73,0.9,1020,15,10,254,7
2020-02-02,18,5,0.0,8.7,4,4,57,11:57 AM,12:29 AM,07:09 AM,05:55 PM,1,10,11,10,11,0,54,0.0,1021,18,10,254,7
2020-02-03,19,6,0.0,8.7,4,4,64,12:32 PM,01:25 AM,07:08 AM,05:56 PM,2,11,12,11,10,0,53,0.0,1020,19,10,238,7
2020-02-04,17,8,0.0,8.7,4,4,72,01:12 PM,02:22 AM,07:07 AM,05:57 PM,3,11,11,11,10,17,58,0.0,1019,17,10,214,6
2020-02-05,18,9,0.0,8.7,4,4,79,01:58 PM,03:21 AM,07:07 AM,05:57 PM,5,12,13,12,9,0,60,0.0,1019,18,10,256,7
2020-02-06,17,7,0.0,8.7,4,4,87,02:52 PM,04:21 AM,07:06 AM,05:58 PM,4,11,11,11,9,6,62,0.0,1018,17,10,231,7
2020-02-07,16,6,0.0,4.0,3,3,95,03:52 PM,05:21 AM,07:05 AM,05:59 PM,3,9,10,9,10,56,66,2.2,1022,16,10,239,6
2020-02-08,19,5,0.0,11.0,4,4,100,04:58 PM,06:17 AM,07:05 AM,06:00 PM,-1,10,11,10,14,0,46,0.0,1025,19,10,254,8
2020-02-09,19,6,0.0,11.0,4,4,100,06:07 PM,07:09 AM,07:04 AM,06:01 PM,-3,11,12,11,13,0,39,0.0,1024,19,10,220,8
2020-02-10,19,8,0.0,11.0,5,5,83,07:17 PM,07:55 AM,07:03 AM,06:01 PM,3,13,13,13,11,4,53,0.0,1021,19,10,235,7
2020-02-11,20,7,0.0,8.6,3,3,75,08:26 PM,08:37 AM,07:02 AM,06:02 PM,5,13,13,13,10,30,58,0.0,1021,20,10,252,6
2020-02-12,22,9,0.0,11.0,5,5,68,09:34 PM,09:17 AM,07:01 AM,06:03 PM,5,16,17,16,10,3,49,0.0,1020,22,10,237,6
2020-02-13,26,14,0.0,11.0,6,6,60,10:40 PM,09:54 AM,07:01 AM,06:04 PM,8,19,19,19,10,3,50,0.0,1017,26,10,247,6
2020-02-14,23,14,0.0,11.1,5,5,53,11:45 PM,10:31 AM,07:00 AM,06:05 PM,10,18,18,18,10,1,60,0.0,1013,23,10,249,7
2020-02-15,24,12,0.0,11.5,5,5,45,No moonrise,11:10 AM,06:59 AM,06:05 PM,6,18,18,18,10,0,49,0.0,1015,24,10,237,7
2020-02-16,23,12,0.0,11.5,5,5,38,12:49 AM,11:51 AM,06:58 AM,06:06 PM,6,18,19,18,11,3,50,0.0,1018,23,10,225,7
2020-02-17,23,12,0.0,11.5,5,5,30,01:52 AM,12:35 PM,06:57 AM,06:07 PM,4,16,17,16,12,0,45,0.0,1019,23,10,244,7
2020-02-18,24,11,0.0,11.5,5,5,22,02:53 AM,01:23 PM,06:56 AM,06:08 PM,2,16,17,16,12,22,39,0.0,1017,24,10,243,7
2020-02-19,22,12,0.0,8.7,4,4,15,03:51 AM,02:15 PM,06:55 AM,06:09 PM,5,16,17,16,11,47,47,0.0,1017,22,10,175,7
2020-02-20,25,12,0.0,11.6,5,5,7,04:43 AM,03:09 PM,06:54 AM,06:09 PM,3,18,18,18,14,19,38,0.2,1017,25,10,186,9
2020-02-21,14,9,0.0,5.8,3,3,0,05:31 AM,04:05 PM,06:53 AM,06:10 PM,8,11,12,11,13,63,79,33.1,1021,14,8,87,7
2020-02-22,22,9,0.0,11.6,4,4,0,06:13 AM,05:01 PM,06:52 AM,06:11 PM,8,14,15,14,13,16,64,0.2,1023,22,10,255,8
2020-02-23,21,11,0.0,7.3,4,4,0,06:51 AM,05:57 PM,06:51 AM,06:12 PM,7,15,15,15,13,53,63,7.3,1020,21,9,240,7
2020-02-24,23,10,0.0,8.7,5,5,0,07:26 AM,06:51 PM,06:50 AM,06:12 PM,8,16,16,16,13,8,60,2.4,1017,23,10,229,7
2020-02-25,21,11,0.0,7.3,4,4,8,07:57 AM,07:45 PM,06:49 AM,06:13 PM,8,15,16,15,13,53,61,6.5,1016,21,10,238,7
2020-02-26,22,12,0.0,11.6,5,5,15,08:26 AM,08:37 PM,06:48 AM,06:14 PM,8,16,17,16,12,6,58,0.0,1017,22,10,210,7
2020-02-27,22,12,0.0,11.6,5,5,23,08:56 AM,09:29 PM,06:47 AM,06:15 PM,9,16,17,16,11,17,62,0.0,1017,22,10,215,7
2020-02-28,21,13,0.0,11.6,4,4,30,09:25 AM,10:22 PM,06:46 AM,06:15 PM,11,17,17,17,10,29,70,0.0,1017,21,10,178,6
2020-02-29,24,12,0.0,5.9,4,4,38,09:56 AM,11:16 PM,06:45 AM,06:16 PM,11,17,18,17,13,75,69,19.7,1016,24,8,180,7
2020-03-01,24,11,0.0,8.7,4,4,44,10:29 AM,No moonset,06:44 AM,06:17 PM,9,16,18,16,14,37,62,1.9,1016,24,10,253,8
2020-03-02,23,12,0.0,11.6,5,5,51,11:06 AM,12:11 AM,06:43 AM,06:17 PM,8,17,18,17,13,7,56,0.0,1015,23,10,245,8
2020-03-03,23,12,0.0,11.6,5,5,58,11:49 AM,01:08 AM,06:41 AM,06:18 PM,9,17,18,17,12,9,56,0.0,1014,23,10,236,7
2020-03-04,23,14,0.0,10.2,4,4,65,12:37 PM,02:06 AM,06:40 AM,06:19 PM,8,18,20,18,13,33,53,0.7,1014,23,10,191,8
2020-03-05,20,11,0.0,5.9,4,4,73,01:33 PM,03:05 AM,06:39 AM,06:19 PM,8,14,14,14,18,82,66,17.6,1014,20,9,51,11
2020-03-06,16,9,0.0,5.9,3,3,80,02:35 PM,04:01 AM,06:38 AM,06:20 PM,9,12,12,12,15,89,82,29.2,1013,16,8,98,9
2020-03-07,19,8,0.0,5.9,3,3,87,03:42 PM,04:54 AM,06:37 AM,06:21 PM,8,11,12,11,14,86,80,38.1,1016,19,8,185,8
2020-03-08,21,9,0.0,11.6,5,5,95,04:51 PM,05:43 AM,06:36 AM,06:21 PM,8,15,15,15,12,7,66,0.0,1018,21,10,259,8
2020-03-09,23,11,0.0,11.6,5,5,100,06:02 PM,06:27 AM,06:35 AM,06:22 PM,7,17,18,17,11,0,55,0.0,1015,23,10,245,7
2020-03-10,23,11,0.0,11.6,5,5,100,07:12 PM,07:08 AM,06:33 AM,06:23 PM,6,17,17,17,10,6,50,0.0,1015,23,10,198,7
2020-03-11,20,12,0.0,6.0,4,4,84,08:20 PM,07:48 AM,06:32 AM,06:23 PM,8,15,15,15,15,70,64,16.4,1013,20,9,227,9
2020-03-12,24,11,0.0,6.0,4,4,76,09:29 PM,08:26 AM,06:31 AM,06:24 PM,10,16,17,16,22,78,71,27.9,1015,24,8,134,12
2020-03-13,21,10,0.0,7.4,4,4,69,10:36 PM,09:05 AM,06:30 AM,06:25 PM,10,14,15,14,22,70,74,33.0,1016,21,8,164,12
2020-03-14,21,10,0.0,6.0,4,4,62,11:43 PM,09:47 AM,06:29 AM,06:25 PM,10,15,16,15,14,78,73,30.2,1016,21,8,205,8
2020-03-15,21,11,0.0,8.8,4,4,55,No moonrise,10:31 AM,06:27 AM,06:26 PM,9,15,15,15,12,35,69,2.8,1019,21,10,258,7
2020-03-16,23,10,0.0,11.6,5,5,47,12:46 AM,11:19 AM,06:26 AM,06:27 PM,8,17,18,17,11,4,59,0.0,1019,23,10,239,7
2020-03-17,24,12,0.0,11.6,5,5,40,01:46 AM,12:10 PM,06:25 AM,06:27 PM,10,18,19,18,10,2,60,0.0,1019,24,10,244,7
2020-03-18,25,13,0.0,10.2,4,4,33,02:41 AM,01:05 PM,06:24 AM,06:28 PM,10,18,19,18,12,30,58,0.5,1017,25,10,251,8
2020-03-19,24,13,0.0,8.8,4,4,25,03:31 AM,02:00 PM,06:23 AM,06:29 PM,8,18,19,18,13,46,54,0.7,1015,24,10,250,8
2020-03-20,25,12,0.0,10.2,5,5,18,04:14 AM,02:56 PM,06:21 AM,06:29 PM,8,18,19,18,15,33,51,0.7,1015,25,10,231,9
2020-03-21,26,13,0.0,11.6,5,5,11,04:53 AM,03:52 PM,06:20 AM,06:30 PM,9,20,20,20,13,26,51,0.5,1015,26,10,243,8
2020-03-22,25,15,0.0,10.2,5,5,4,05:28 AM,04:46 PM,06:19 AM,06:30 PM,10,20,20,20,13,34,57,2.0,1015,25,10,248,8
2020-03-23,27,15,0.0,11.6,6,6,0,05:59 AM,05:40 PM,06:18 AM,06:31 PM,9,22,22,22,13,7,48,0.0,1015,27,10,227,8
2020-03-24,26,18,0.0,8.8,5,5,0,06:29 AM,06:32 PM,06:16 AM,06:32 PM,10,22,22,21,13,46,49,0.2,1014,26,10,332,8
2020-03-25,28,16,0.0,11.6,6,6,3,06:58 AM,07:25 PM,06:15 AM,06:32 PM,10,22,22,22,13,4,48,0.0,1014,28,10,267,8
2020-03-26,29,18,0.0,11.6,6,6,11,07:28 AM,08:17 PM,06:14 AM,06:33 PM,7,22,22,23,11,20,38,0.0,1015,29,10,267,8
2020-03-27,22,14,0.0,7.5,4,4,18,07:57 AM,09:11 PM,06:13 AM,06:34 PM,11,18,19,18,12,63,63,13.0,1017,22,9,126,8
2020-03-28,25,13,0.0,8.9,5,5,25,08:29 AM,10:05 PM,06:12 AM,06:34 PM,11,18,19,18,11,48,63,5.4,1016,25,10,263,7
2020-03-29,26,13,0.0,11.6,6,6,32,09:05 AM,11:01 PM,06:10 AM,06:35 PM,8,20,20,20,12,2,47,0.0,1015,26,10,261,8
2020-03-30,27,15,0.0,11.6,6,6,40,09:45 AM,11:58 PM,06:09 AM,06:35 PM,7,21,21,21,13,7,42,0.0,1015,27,10,266,8
2020-03-31,29,15,0.0,11.6,6,6,44,10:30 AM,No moonset,06:08 AM,06:36 PM,7,22,22,22,14,34,40,0.1,1014,29,10,264,9
2020-04-01,29,16,0.0,11.6,6,6,56,11:21 AM,12:55 AM,06:07 AM,06:37 PM,8,23,23,23,16,4,42,0.0,1013,29,10,278,10
2020-04-02,27,14,0.0,11.6,6,6,64,12:18 PM,01:51 AM,06:06 AM,06:37 PM,5,21,21,20,16,2,38,0.0,1013,27,10,263,11
2020-04-03,28,13,0.0,11.6,6,6,71,01:22 PM,02:43 AM,06:04 AM,06:38 PM,4,21,21,21,13,2,36,0.0,1014,28,10,259,8
2020-04-04,29,15,0.0,11.6,6,6,79,02:28 PM,03:32 AM,06:03 AM,06:39 PM,4,22,22,22,13,2,32,0.0,1015,29,10,256,8
