date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,32,17,0.0,11.5,7,7,37,11:27 AM,11:29 PM,06:56 AM,06:10 PM,15,26,26,25,6,9,64,0.0,1013,32,10,215,5
2020-01-02,32,17,0.0,10.1,6,6,44,12:03 PM,No moonset,06:57 AM,06:10 PM,16,26,26,24,7,34,68,0.1,1014,32,9,220,5
2020-01-03,31,17,0.0,11.5,7,7,51,12:38 PM,12:15 AM,06:57 AM,06:11 PM,17,25,25,24,8,12,69,0.0,1014,31,9,222,5
2020-01-04,30,18,0.0,11.6,7,7,59,01:14 PM,01:01 AM,06:57 AM,06:12 PM,15,25,25,24,9,3,65,0.0,1012,30,9,253,6
2020-01-05,32,17,0.0,11.5,7,7,66,01:51 PM,01:49 AM,06:58 AM,06:12 PM,15,25,25,24,8,6,65,0.0,1012,32,10,107,5
2020-01-06,31,18,0.0,7.2,6,6,73,02:31 PM,02:37 AM,06:58 AM,06:13 PM,17,25,25,24,15,53,70,0.3,1013,31,10,104,10
2020-01-07,30,18,0.0,11.6,7,7,80,03:15 PM,03:30 AM,06:58 AM,06:13 PM,17,25,25,24,10,38,69,0.1,1013,30,9,106,6
2020-01-08,32,18,0.0,11.6,7,7,88,04:03 PM,04:24 AM,06:59 AM,06:14 PM,18,27,27,25,9,17,71,0.0,1012,32,10,231,6
2020-01-09,33,18,0.0,10.1,7,7,95,04:56 PM,05:22 AM,06:59 AM,06:15 PM,17,27,27,25,8,34,71,0.0,1012,33,10,126,6
2020-01-10,30,19,0.0,11.6,7,7,100,05:55 PM,06:20 AM,06:59 AM,06:15 PM,16,25,25,24,14,20,65,0.0,1012,30,10,94,10
