date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,13,0.0,8.7,5,5,37,10:33 AM,10:20 PM,06:17 AM,04:50 PM,8,17,18,17,31,27,54,0.0,1021,21,10,63,18
2020-01-02,22,16,0.0,5.5,4,4,44,11:05 AM,11:11 PM,06:17 AM,04:50 PM,12,19,19,19,26,58,64,6.5,1021,22,10,69,16
2020-01-03,19,16,0.0,5.5,4,4,51,11:37 AM,No moonset,06:17 AM,04:51 PM,12,17,17,17,21,45,72,1.3,1018,19,9,79,14
2020-01-04,22,14,0.0,8.7,4,4,59,12:08 PM,12:02 AM,06:18 AM,04:52 PM,14,18,18,18,9,56,77,0.4,1016,22,9,173,6
2020-01-05,22,15,0.0,5.5,4,4,66,12:41 PM,12:53 AM,06:18 AM,04:52 PM,11,18,19,18,16,49,67,1.3,1015,22,10,255,9
2020-01-06,23,14,0.0,8.7,5,5,73,01:17 PM,01:47 AM,06:18 AM,04:53 PM,10,18,18,18,7,7,60,0.0,1018,23,10,50,5
2020-01-07,22,13,0.0,8.7,5,5,80,01:57 PM,02:42 AM,06:18 AM,04:54 PM,11,17,18,17,12,13,68,0.0,1016,22,10,151,8
2020-01-08,23,14,0.0,8.7,5,5,88,02:42 PM,03:40 AM,06:18 AM,04:54 PM,10,18,19,18,15,9,61,0.0,1016,23,10,68,9
2020-01-09,22,16,0.0,5.5,4,4,95,03:33 PM,04:40 AM,06:19 AM,04:55 PM,12,18,18,18,13,44,69,0.6,1016,22,9,48,9
2020-01-10,24,15,0.0,8.7,5,5,100,04:30 PM,05:40 AM,06:19 AM,04:56 PM,12,19,20,19,6,14,67,0.0,1016,24,10,165,4
2020-01-11,25,16,0.0,8.7,6,6,100,05:33 PM,06:38 AM,06:19 AM,04:57 PM,12,20,20,20,5,6,63,0.0,1017,25,10,130,3
2020-01-12,25,16,0.0,8.7,6,6,83,06:38 PM,07:34 AM,06:19 AM,04:57 PM,13,21,22,21,8,0,62,0.0,1014,25,10,146,6
2020-01-13,25,16,0.0,8.7,6,6,76,07:45 PM,08:23 AM,06:19 AM,04:58 PM,13,20,21,20,10,5,64,0.0,1013,25,10,49,7
2020-01-14,26,16,0.0,8.7,6,6,69,08:50 PM,09:09 AM,06:19 AM,04:59 PM,12,21,21,21,8,5,59,0.0,1014,26,10,172,5
2020-01-15,26,17,0.0,8.7,6,6,61,09:53 PM,09:51 AM,06:19 AM,05:00 PM,12,21,21,21,7,9,60,0.0,1015,26,10,165,5
2020-01-16,26,16,0.0,8.7,6,6,54,10:55 PM,10:30 AM,06:19 AM,05:01 PM,13,21,22,21,12,14,61,0.0,1016,26,10,174,8
2020-01-17,27,17,0.0,8.7,6,6,47,11:56 PM,11:08 AM,06:19 AM,05:01 PM,13,22,22,21,13,10,59,0.0,1017,27,10,55,8
2020-01-18,26,17,0.0,7.2,5,5,40,No moonrise,11:47 AM,06:19 AM,05:02 PM,13,22,22,22,14,32,60,0.5,1016,26,10,245,8
2020-01-19,23,18,0.0,7.2,5,5,32,12:57 AM,12:27 PM,06:18 AM,05:03 PM,13,20,21,20,16,34,66,1.0,1015,23,10,229,11
2020-01-20,23,16,0.0,8.7,5,5,25,01:58 AM,01:10 PM,06:18 AM,05:04 PM,10,19,19,19,14,15,58,0.0,1016,23,10,220,9
2020-01-21,23,16,0.0,8.7,6,6,18,02:59 AM,01:57 PM,06:18 AM,05:04 PM,10,19,20,19,9,5,54,0.0,1019,23,10,214,6
2020-01-22,22,15,0.0,8.7,5,5,11,03:59 AM,02:47 PM,06:18 AM,05:05 PM,10,19,19,19,6,5,55,0.0,1018,22,10,159,4
2020-01-23,22,15,0.0,8.7,5,5,3,04:55 AM,03:41 PM,06:18 AM,05:06 PM,9,18,18,18,11,10,54,0.0,1016,22,10,226,8
2020-01-24,22,14,0.0,8.7,5,5,0,05:48 AM,04:36 PM,06:17 AM,05:07 PM,8,18,18,18,10,7,54,0.0,1016,22,10,192,7
2020-01-25,24,13,0.0,8.7,5,5,0,06:35 AM,05:32 PM,06:17 AM,05:08 PM,10,18,18,18,14,6,60,0.0,1015,24,10,46,9
2020-01-26,23,13,0.0,8.7,5,5,4,07:18 AM,06:26 PM,06:17 AM,05:08 PM,10,18,18,18,13,29,60,0.0,1014,23,10,100,9
2020-01-27,23,15,0.0,8.7,5,5,11,07:57 AM,07:20 PM,06:16 AM,05:09 PM,9,19,19,19,12,31,55,0.0,1013,23,10,229,7
2020-01-28,23,15,0.0,8.7,5,5,18,08:32 AM,08:12 PM,06:16 AM,05:10 PM,10,19,19,19,10,27,56,0.0,1015,23,10,176,6
2020-01-29,25,15,0.0,8.7,6,6,26,09:05 AM,09:03 PM,06:16 AM,05:11 PM,11,19,20,19,15,34,61,0.0,1016,25,10,231,9
2020-01-30,25,18,0.0,4.1,5,5,33,09:36 AM,09:54 PM,06:15 AM,05:11 PM,12,20,21,20,12,76,60,2.8,1014,25,10,168,8
2020-01-31,24,14,0.0,5.6,5,5,37,10:07 AM,10:44 PM,06:15 AM,05:12 PM,11,20,20,20,14,42,61,0.9,1014,24,10,220,9
2020-02-01,25,15,0.0,8.7,6,6,49,10:39 AM,11:36 PM,06:14 AM,05:13 PM,9,20,20,20,12,15,52,0.0,1017,25,10,159,8
2020-02-02,23,15,0.0,8.7,5,5,57,11:13 AM,No moonset,06:14 AM,05:14 PM,6,18,19,18,17,8,44,0.0,1018,23,10,224,11
2020-02-03,23,14,0.0,8.7,5,5,64,11:50 AM,12:29 AM,06:14 AM,05:14 PM,6,19,19,19,8,6,44,0.0,1018,23,10,223,5
2020-02-04,25,15,0.0,8.7,6,6,72,12:31 PM,01:25 AM,06:13 AM,05:15 PM,8,20,20,20,7,7,47,0.0,1017,25,10,152,5
2020-02-05,25,15,0.0,8.7,6,6,79,01:19 PM,02:22 AM,06:12 AM,05:16 PM,7,20,20,20,14,6,45,0.0,1015,25,10,240,8
2020-02-06,27,17,0.0,8.7,6,6,87,02:12 PM,03:22 AM,06:12 AM,05:17 PM,6,21,21,21,6,1,41,0.0,1017,27,10,165,4
