date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,21,0.0,5.9,6,6,37,11:11 AM,11:19 PM,06:35 AM,06:07 PM,21,26,26,24,9,67,83,3.8,1013,28,8,76,6
2020-01-02,28,21,0.0,8.7,6,6,44,11:49 AM,No moonset,06:36 AM,06:08 PM,21,26,26,24,8,59,81,0.6,1015,28,8,90,6
2020-01-03,29,21,0.0,10.2,6,6,51,12:26 PM,12:03 AM,06:36 AM,06:08 PM,21,27,27,25,7,51,79,0.6,1013,29,8,99,5
2020-01-04,29,22,0.0,5.9,6,6,59,01:04 PM,12:48 AM,06:36 AM,06:09 PM,22,28,28,26,6,68,80,2.3,1012,29,10,87,4
2020-01-05,29,22,0.0,5.9,6,6,66,01:43 PM,01:34 AM,06:37 AM,06:09 PM,22,28,28,25,9,78,81,3.7,1012,29,9,95,7
2020-01-06,29,21,0.0,5.9,6,6,73,02:24 PM,02:20 AM,06:37 AM,06:10 PM,21,27,27,25,9,69,82,2.7,1013,29,8,79,7
2020-01-07,28,21,0.0,5.9,5,5,80,03:10 PM,03:11 AM,06:38 AM,06:11 PM,20,26,26,24,10,72,81,1.7,1013,28,9,50,8
2020-01-08,29,21,0.0,11.6,7,7,88,03:59 PM,04:04 AM,06:38 AM,06:11 PM,19,26,26,24,9,26,76,0.1,1013,29,8,53,7
2020-01-09,28,19,0.0,10.2,6,6,95,04:54 PM,05:00 AM,06:38 AM,06:12 PM,19,25,25,24,7,32,78,0.0,1013,28,9,48,6
2020-01-10,27,22,0.0,11.6,6,6,100,05:52 PM,05:59 AM,06:38 AM,06:12 PM,19,26,26,24,8,7,75,0.0,1013,27,10,57,7
2020-01-11,28,18,0.0,11.6,6,6,100,06:53 PM,06:58 AM,06:39 AM,06:13 PM,19,25,25,24,9,12,75,0.0,1014,28,10,46,8
2020-01-12,26,18,0.0,11.6,6,6,83,07:55 PM,07:56 AM,06:39 AM,06:13 PM,18,23,23,22,8,48,77,0.3,1013,26,9,136,6
2020-01-13,27,20,0.0,11.6,6,6,76,08:55 PM,08:51 AM,06:39 AM,06:14 PM,19,25,25,24,8,35,78,0.3,1012,27,10,50,6
2020-01-14,29,18,0.0,11.6,6,6,69,09:53 PM,09:43 AM,06:40 AM,06:14 PM,18,25,25,24,7,23,72,0.0,1012,29,10,54,6
2020-01-15,27,20,0.0,11.6,6,6,61,10:49 PM,10:31 AM,06:40 AM,06:15 PM,17,25,25,24,8,5,69,0.0,1012,27,10,50,7
2020-01-16,29,19,0.0,11.6,6,6,54,11:44 PM,11:18 AM,06:40 AM,06:15 PM,17,25,25,24,7,14,68,0.0,1013,29,10,61,5
2020-01-17,28,21,0.0,11.6,7,7,47,No moonrise,12:03 PM,06:40 AM,06:16 PM,19,26,26,25,7,24,74,0.0,1012,28,10,67,5
2020-01-18,29,21,0.0,5.9,6,6,40,12:37 AM,12:48 PM,06:40 AM,06:16 PM,21,27,27,24,11,75,83,1.7,1012,29,8,74,8
2020-01-19,28,21,0.0,5.9,6,6,32,01:32 AM,01:36 PM,06:40 AM,06:17 PM,20,26,26,24,10,57,80,0.4,1013,28,8,62,8
2020-01-20,28,20,0.0,10.2,5,5,25,02:26 AM,02:24 PM,06:41 AM,06:17 PM,19,25,25,24,10,32,73,0.0,1014,28,10,60,7
2020-01-21,28,19,0.0,11.6,6,6,18,03:22 AM,03:15 PM,06:41 AM,06:18 PM,18,25,25,24,11,11,73,0.0,1014,28,10,57,8
2020-01-22,28,20,0.0,11.6,6,6,11,04:18 AM,04:08 PM,06:41 AM,06:18 PM,19,25,25,23,11,37,79,0.0,1015,28,9,59,9
