date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,24,12,0.0,8.7,5,5,37,11:38 AM,11:29 PM,07:18 AM,05:59 PM,6,16,18,16,31,12,51,0.0,1015,24,10,48,18
2020-01-02,23,13,0.0,10.1,5,5,44,12:11 PM,No moonset,07:18 AM,06:00 PM,11,17,17,17,28,29,69,0.0,1017,23,10,24,17
2020-01-03,24,13,0.0,10.8,5,5,51,12:43 PM,12:19 AM,07:18 AM,06:01 PM,8,17,18,17,22,9,57,0.0,1017,24,10,31,13
2020-01-04,24,12,0.0,10.8,5,5,59,01:16 PM,01:09 AM,07:19 AM,06:01 PM,6,17,18,17,21,10,49,0.0,1016,24,10,56,13
2020-01-05,25,12,0.0,10.8,5,5,66,01:50 PM,01:59 AM,07:19 AM,06:02 PM,4,17,18,17,21,2,42,0.0,1017,25,10,93,13
2020-01-06,27,12,0.0,10.8,6,6,73,02:26 PM,02:51 AM,07:19 AM,06:03 PM,5,20,20,20,16,12,39,0.0,1016,27,10,116,9
2020-01-07,28,16,0.0,8.5,5,5,80,03:07 PM,03:46 AM,07:19 AM,06:03 PM,9,22,22,22,16,36,45,0.1,1014,28,10,229,10
2020-01-08,27,17,0.0,10.9,6,6,88,03:53 PM,04:43 AM,07:19 AM,06:04 PM,5,21,22,21,21,18,39,0.0,1013,27,10,198,13
2020-01-09,22,9,0.0,10.9,5,5,95,04:45 PM,05:43 AM,07:20 AM,06:05 PM,0,14,15,14,27,0,40,0.0,1018,22,10,61,16
2020-01-10,22,8,0.0,10.9,5,5,100,05:43 PM,06:43 AM,07:20 AM,06:05 PM,-1,14,16,14,30,0,38,0.0,1018,22,10,75,18
2020-01-11,24,9,0.0,10.9,5,5,100,06:45 PM,07:42 AM,07:20 AM,06:06 PM,1,15,16,15,25,3,36,0.0,1017,24,10,73,15
2020-01-12,28,13,0.0,10.9,6,6,83,07:51 PM,08:36 AM,07:20 AM,06:07 PM,7,20,21,20,17,6,44,0.0,1014,28,10,118,10
2020-01-13,25,15,0.0,10.1,5,5,76,08:56 PM,09:28 AM,07:20 AM,06:07 PM,12,19,20,19,26,35,63,0.1,1012,25,10,254,17
2020-01-14,24,11,0.0,10.9,5,5,69,10:00 PM,10:13 AM,07:20 AM,06:08 PM,6,17,18,17,19,15,48,0.0,1014,24,10,186,11
2020-01-15,24,12,0.0,8.5,4,4,61,11:02 PM,10:56 AM,07:20 AM,06:09 PM,7,18,19,18,20,39,48,0.1,1013,24,10,150,11
2020-01-16,24,13,0.0,10.9,5,5,54,No moonrise,11:37 AM,07:20 AM,06:10 PM,10,18,18,18,12,18,62,0.0,1013,24,10,271,8
2020-01-17,24,12,0.0,10.9,5,5,47,12:03 AM,12:15 PM,07:20 AM,06:10 PM,7,17,19,17,15,7,54,0.0,1016,24,10,63,10
2020-01-18,25,11,0.0,10.9,5,5,40,01:03 AM,12:55 PM,07:20 AM,06:11 PM,5,18,19,18,19,3,48,0.0,1016,25,10,74,11
2020-01-19,24,12,0.0,10.9,5,5,32,02:03 AM,01:37 PM,07:20 AM,06:12 PM,2,16,17,16,27,9,38,0.0,1017,24,10,55,16
2020-01-20,24,11,0.0,5.5,4,4,25,03:03 AM,02:21 PM,07:20 AM,06:12 PM,2,17,18,17,19,69,38,0.0,1016,24,10,66,11
2020-01-21,28,13,0.0,10.9,6,6,18,04:03 AM,03:08 PM,07:20 AM,06:13 PM,2,20,21,20,15,5,33,0.0,1015,28,10,211,8
2020-01-22,28,13,0.0,11.0,6,6,11,05:01 AM,03:59 PM,07:19 AM,06:14 PM,4,19,20,19,30,0,38,0.0,1017,28,10,34,17
2020-01-23,26,13,0.0,11.0,5,5,3,05:58 AM,04:53 PM,07:19 AM,06:15 PM,2,18,20,18,30,0,37,0.0,1018,26,10,60,18
2020-01-24,28,11,0.0,11.0,6,6,0,06:50 AM,05:48 PM,07:19 AM,06:15 PM,2,20,21,20,18,0,33,0.0,1017,28,10,59,11
2020-01-25,28,13,0.0,11.0,6,6,0,07:38 AM,06:43 PM,07:19 AM,06:16 PM,1,20,21,20,16,3,28,0.0,1015,28,10,57,9
2020-01-26,31,15,0.0,11.0,6,6,4,08:21 AM,07:38 PM,07:19 AM,06:17 PM,4,23,23,23,12,7,31,0.0,1014,31,10,207,7
2020-01-27,30,18,0.0,11.0,6,6,11,09:01 AM,08:30 PM,07:18 AM,06:17 PM,5,24,24,23,19,3,34,0.0,1010,30,10,234,12
2020-01-28,24,15,0.0,11.0,6,6,18,09:37 AM,09:21 PM,07:18 AM,06:18 PM,6,18,20,18,27,19,46,0.0,1011,24,10,247,17
2020-01-29,25,12,0.0,11.0,5,5,26,10:10 AM,10:11 PM,07:18 AM,06:19 PM,4,20,20,20,9,5,41,0.0,1015,25,10,171,6
2020-01-30,26,11,0.0,11.0,5,5,33,10:42 AM,11:01 PM,07:17 AM,06:20 PM,2,18,20,18,19,2,37,0.0,1017,26,10,75,11
2020-01-31,26,11,0.0,11.0,5,5,37,11:14 AM,11:50 PM,07:17 AM,06:20 PM,1,19,20,19,17,1,35,0.0,1014,26,10,90,10
2020-02-01,25,11,0.0,11.0,5,5,49,11:47 AM,No moonset,07:17 AM,06:21 PM,-2,18,20,18,27,0,27,0.0,1016,25,10,52,15
2020-02-02,26,11,0.0,11.1,5,5,57,12:22 PM,12:41 AM,07:16 AM,06:22 PM,-2,18,19,18,26,0,29,0.0,1018,26,10,78,15
2020-02-03,27,11,0.0,11.1,6,6,64,01:00 PM,01:34 AM,07:16 AM,06:22 PM,1,19,21,19,23,3,31,0.0,1016,27,10,58,13
2020-02-04,28,13,0.0,11.1,6,6,72,01:42 PM,02:28 AM,07:15 AM,06:23 PM,1,20,21,20,22,0,32,0.0,1014,28,10,188,13
2020-02-05,30,12,0.0,11.1,6,6,79,02:30 PM,03:26 AM,07:15 AM,06:24 PM,3,21,22,21,20,0,33,0.0,1015,30,10,177,12
2020-02-06,27,13,0.0,11.1,6,6,87,03:25 PM,04:24 AM,07:14 AM,06:24 PM,2,20,21,20,22,2,35,0.0,1014,27,10,42,13
2020-02-07,27,12,0.0,11.1,6,6,95,04:25 PM,05:24 AM,07:14 AM,06:25 PM,-1,19,20,19,30,1,28,0.0,1016,27,10,44,18
2020-02-08,26,11,0.0,11.1,5,5,100,05:30 PM,06:21 AM,07:13 AM,06:26 PM,-1,18,19,18,33,0,30,0.0,1019,26,10,72,20
2020-02-09,26,10,0.0,11.1,5,5,100,06:36 PM,07:15 AM,07:13 AM,06:26 PM,-4,17,19,17,27,0,26,0.0,1020,26,10,82,16
2020-02-10,28,10,0.0,11.2,6,6,83,07:43 PM,08:04 AM,07:12 AM,06:27 PM,-1,19,20,19,23,0,27,0.0,1017,28,10,79,13
2020-02-11,31,13,0.0,11.2,6,6,75,08:48 PM,08:50 AM,07:11 AM,06:27 PM,3,23,23,22,20,3,30,0.0,1016,31,10,102,11
2020-02-12,32,15,0.0,11.2,6,6,68,09:52 PM,09:33 AM,07:11 AM,06:28 PM,4,24,24,24,20,1,30,0.0,1017,32,10,49,12
2020-02-13,33,16,0.0,11.2,7,7,60,10:54 PM,10:13 AM,07:10 AM,06:29 PM,2,25,25,25,19,0,26,0.0,1017,33,10,211,11
2020-02-14,33,17,0.0,10.1,6,6,53,11:56 PM,10:54 AM,07:10 AM,06:29 PM,2,25,25,25,12,35,26,0.0,1014,33,10,191,7
2020-02-15,32,17,0.0,10.1,6,6,45,No moonrise,11:36 AM,07:09 AM,06:30 PM,2,25,25,25,17,37,24,0.0,1014,32,10,67,10
2020-02-16,34,16,0.0,11.2,7,7,38,12:57 AM,12:19 PM,07:08 AM,06:30 PM,-2,26,26,26,21,0,18,0.0,1015,34,10,75,12
2020-02-17,34,17,0.0,11.2,7,7,30,01:58 AM,01:06 PM,07:08 AM,06:31 PM,-7,26,26,26,21,0,12,0.0,1016,34,10,70,12
2020-02-18,36,16,0.0,11.3,7,7,22,02:57 AM,01:56 PM,07:07 AM,06:32 PM,-5,27,27,27,15,14,14,0.0,1015,36,10,133,9
2020-02-19,34,17,0.0,10.1,6,6,15,03:53 AM,02:48 PM,07:06 AM,06:32 PM,-1,27,27,26,17,52,19,0.0,1012,34,10,219,10
2020-02-20,33,20,0.0,11.3,7,7,7,04:46 AM,03:42 PM,07:05 AM,06:33 PM,2,27,27,27,20,13,25,0.0,1011,33,10,227,13
2020-02-21,33,16,0.0,11.3,7,7,0,05:35 AM,04:36 PM,07:05 AM,06:33 PM,-0,25,25,25,20,3,23,0.0,1015,33,10,194,12
2020-02-22,33,15,0.0,11.3,6,6,0,06:19 AM,05:31 PM,07:04 AM,06:34 PM,-0,25,25,24,23,0,23,0.0,1017,33,10,41,14
2020-02-23,33,15,0.0,11.3,7,7,0,06:59 AM,06:23 PM,07:03 AM,06:34 PM,6,25,25,25,21,2,35,0.0,1015,33,10,31,12
2020-02-24,31,16,0.0,11.3,7,7,0,07:36 AM,07:15 PM,07:02 AM,06:35 PM,4,22,22,23,19,3,32,0.0,1013,31,10,26,12
2020-02-25,31,16,0.0,11.3,7,7,8,08:10 AM,08:05 PM,07:01 AM,06:35 PM,1,24,24,24,19,2,25,0.0,1013,31,10,52,11
2020-02-26,33,17,0.0,11.4,7,7,15,08:42 AM,08:55 PM,07:00 AM,06:36 PM,0,26,26,26,14,3,22,0.0,1013,33,10,95,9
2020-02-27,34,18,0.0,11.4,7,7,23,09:14 AM,09:45 PM,07:00 AM,06:36 PM,2,27,27,27,13,23,22,0.0,1013,34,10,201,8
2020-02-28,34,19,0.0,11.6,7,7,30,09:47 AM,10:34 PM,06:59 AM,06:37 PM,2,27,27,27,15,28,22,0.0,1010,34,10,197,9
2020-02-29,35,21,0.0,11.6,7,7,38,10:20 AM,11:26 PM,06:58 AM,06:37 PM,3,27,27,28,21,15,22,0.0,1009,35,10,221,13
2020-03-01,34,20,0.0,11.6,7,7,44,10:56 AM,No moonset,06:57 AM,06:38 PM,3,28,28,28,19,0,25,0.0,1010,34,10,197,12
2020-03-02,35,19,0.0,11.6,7,7,51,11:36 AM,12:18 AM,06:56 AM,06:38 PM,4,27,27,27,21,2,27,0.0,1011,35,10,145,12
2020-03-03,33,18,0.0,11.6,7,7,58,12:20 PM,01:14 AM,06:55 AM,06:39 PM,4,27,27,27,21,5,27,0.0,1010,33,10,246,12
2020-03-04,32,18,0.0,11.6,7,7,65,01:10 PM,02:10 AM,06:54 AM,06:39 PM,1,26,26,26,25,2,23,0.0,1010,32,10,262,16
2020-03-05,31,17,0.0,11.6,7,7,73,02:06 PM,03:08 AM,06:53 AM,06:40 PM,6,24,24,24,25,15,37,0.0,1009,31,10,233,15
2020-03-06,28,14,0.0,11.6,6,6,80,03:07 PM,04:04 AM,06:52 AM,06:40 PM,6,23,23,22,29,14,43,0.4,1008,28,10,241,19
2020-03-07,32,15,0.0,11.6,6,6,87,04:12 PM,04:59 AM,06:52 AM,06:41 PM,2,24,24,24,10,0,25,0.0,1013,32,10,151,6
2020-03-08,34,15,0.0,11.6,7,7,95,05:19 PM,05:50 AM,06:51 AM,06:41 PM,0,25,25,25,19,0,24,0.0,1013,34,10,150,11
2020-03-09,31,16,0.0,11.6,7,7,100,06:25 PM,06:37 AM,06:50 AM,06:42 PM,3,24,24,24,22,19,28,0.0,1011,31,10,87,14
2020-03-10,31,16,0.0,11.6,7,7,100,07:32 PM,07:22 AM,06:49 AM,06:42 PM,8,25,25,24,23,12,40,0.0,1009,31,10,210,15
2020-03-11,30,16,0.0,11.6,6,6,84,08:37 PM,08:05 AM,06:48 AM,06:42 PM,8,23,23,23,30,11,44,0.0,1009,30,10,239,20
2020-03-12,29,14,0.0,11.6,6,6,76,09:42 PM,08:47 AM,06:47 AM,06:43 PM,-0,22,22,22,22,1,28,0.0,1012,29,10,223,14
2020-03-13,29,13,0.0,11.6,6,6,69,10:46 PM,09:30 AM,06:46 AM,06:43 PM,-5,22,22,22,22,0,19,0.0,1014,29,10,264,14
