date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,26,15,0.0,8.7,6,6,37,10:42 AM,10:33 PM,06:22 AM,05:06 PM,10,21,21,21,16,25,50,0.1,1020,26,10,237,11
2020-01-02,26,19,0.0,8.7,6,6,44,11:15 AM,11:23 PM,06:23 AM,05:06 PM,12,22,22,22,14,36,56,0.0,1020,26,10,87,10
2020-01-03,18,16,0.0,4.1,4,4,51,11:48 AM,No moonset,06:23 AM,05:07 PM,14,18,18,18,16,69,78,9.4,1018,18,8,98,12
2020-01-04,25,15,0.0,8.7,5,5,59,12:20 PM,12:12 AM,06:23 AM,05:08 PM,14,20,21,20,6,50,72,0.0,1015,25,10,160,4
2020-01-05,24,18,0.0,8.7,6,6,66,12:54 PM,01:03 AM,06:23 AM,05:08 PM,11,20,21,20,17,26,55,3.6,1016,24,10,317,12
2020-01-06,24,17,0.0,8.7,6,6,73,01:31 PM,01:55 AM,06:24 AM,05:09 PM,7,20,21,20,13,0,44,0.0,1019,24,10,333,10
2020-01-07,25,16,0.0,8.7,6,6,80,02:12 PM,02:49 AM,06:24 AM,05:10 PM,7,20,20,20,13,5,43,0.0,1017,25,10,329,9
2020-01-08,26,16,0.0,8.7,6,6,88,02:58 PM,03:47 AM,06:24 AM,05:10 PM,7,21,21,21,8,32,41,0.0,1015,26,10,66,5
2020-01-09,25,19,0.0,4.1,5,5,95,03:50 PM,04:45 AM,06:24 AM,05:11 PM,12,21,21,21,11,54,58,0.2,1015,25,10,140,8
2020-01-10,23,16,0.0,8.7,5,5,100,04:47 PM,05:46 AM,06:24 AM,05:12 PM,9,19,19,19,22,9,56,0.0,1017,23,10,314,15
2020-01-11,23,14,0.0,8.7,5,5,100,05:50 PM,06:44 AM,06:24 AM,05:12 PM,8,18,18,18,18,0,56,0.0,1017,23,10,338,12
2020-01-12,24,14,0.0,8.7,5,5,83,06:54 PM,07:40 AM,06:24 AM,05:13 PM,7,19,19,19,16,0,47,0.0,1015,24,10,321,11
2020-01-13,24,15,0.0,8.7,6,6,76,07:59 PM,08:30 AM,06:24 AM,05:14 PM,4,20,20,20,13,0,37,0.0,1013,24,10,327,10
2020-01-14,27,17,0.0,8.7,6,6,69,09:03 PM,09:17 AM,06:25 AM,05:15 PM,7,23,23,23,6,0,36,0.0,1014,27,10,216,4
2020-01-15,28,18,0.0,8.7,6,6,61,10:05 PM,10:00 AM,06:25 AM,05:15 PM,8,24,24,24,6,1,36,0.0,1015,28,10,228,5
2020-01-16,30,18,0.0,8.7,6,6,54,11:06 PM,10:40 AM,06:25 AM,05:16 PM,10,24,24,23,14,3,43,0.0,1015,30,10,150,9
2020-01-17,30,19,0.0,8.7,7,7,47,No moonrise,11:20 AM,06:24 AM,05:17 PM,10,24,24,24,11,4,43,0.0,1016,30,10,155,7
2020-01-18,30,19,0.0,8.7,7,7,40,12:06 AM,12:00 PM,06:24 AM,05:18 PM,10,24,24,24,13,7,44,0.0,1015,30,10,305,8
2020-01-19,27,20,0.0,8.7,5,5,32,01:06 AM,12:41 PM,06:24 AM,05:18 PM,13,23,23,22,13,46,58,0.5,1015,27,9,127,10
2020-01-20,25,18,0.0,8.7,6,6,25,02:05 AM,01:26 PM,06:24 AM,05:19 PM,7,20,21,20,17,24,43,1.4,1017,25,9,314,12
2020-01-21,25,16,0.0,7.2,5,5,18,03:05 AM,02:13 PM,06:24 AM,05:20 PM,5,20,20,20,11,29,39,0.0,1018,25,10,318,7
2020-01-22,27,18,0.0,8.7,6,6,11,04:04 AM,03:04 PM,06:24 AM,05:20 PM,6,22,22,22,8,8,37,0.0,1017,27,10,196,5
2020-01-23,26,18,0.0,5.6,5,5,3,05:01 AM,03:57 PM,06:24 AM,05:21 PM,7,22,22,21,13,40,40,0.0,1015,26,10,309,9
2020-01-24,25,15,0.0,8.7,6,6,0,05:53 AM,04:52 PM,06:24 AM,05:22 PM,2,20,20,20,16,0,32,0.0,1016,25,10,310,11
2020-01-25,25,15,0.0,8.7,6,6,0,06:41 AM,05:48 PM,06:23 AM,05:23 PM,3,20,20,20,12,0,36,0.0,1015,25,10,321,9
2020-01-26,25,16,0.0,8.7,6,6,4,07:25 AM,06:41 PM,06:23 AM,05:23 PM,6,20,20,20,15,2,42,0.0,1014,25,10,314,10
2020-01-27,26,15,0.0,8.7,6,6,11,08:04 AM,07:34 PM,06:23 AM,05:24 PM,6,20,20,20,14,3,42,0.0,1013,26,10,315,10
2020-01-28,29,16,0.0,8.7,6,6,18,08:40 AM,08:25 PM,06:23 AM,05:25 PM,7,22,22,22,9,16,39,0.0,1013,29,10,184,6
2020-01-29,30,18,0.0,5.7,5,5,26,09:14 AM,09:15 PM,06:22 AM,05:25 PM,16,24,24,23,8,61,64,1.7,1014,30,10,108,6
