date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,24,0.0,11.6,7,7,37,11:18 AM,11:26 PM,06:41 AM,06:15 PM,23,30,30,27,13,46,79,1.8,1012,29,10,254,9
2020-01-02,31,25,0.0,10.2,7,7,44,11:56 AM,No moonset,06:42 AM,06:15 PM,23,31,31,27,14,48,81,2.6,1013,31,10,272,10
2020-01-03,31,25,0.0,11.6,7,7,51,12:33 PM,12:10 AM,06:42 AM,06:16 PM,23,31,31,27,13,28,79,0.7,1012,31,10,269,10
2020-01-04,30,25,0.0,11.6,7,7,59,01:11 PM,12:55 AM,06:43 AM,06:16 PM,24,31,31,27,15,48,83,4.8,1011,30,10,282,11
2020-01-05,30,25,0.0,11.6,7,7,66,01:50 PM,01:40 AM,06:43 AM,06:17 PM,23,30,30,27,16,37,80,2.7,1011,30,10,284,11
2020-01-06,32,25,0.0,11.6,7,7,73,02:32 PM,02:27 AM,06:43 AM,06:17 PM,23,32,32,28,12,48,78,2.1,1012,32,10,250,9
2020-01-07,33,25,0.0,11.6,7,7,80,03:17 PM,03:17 AM,06:44 AM,06:18 PM,22,31,31,28,12,18,73,0.1,1012,33,10,222,9
2020-01-08,32,24,0.0,11.6,7,7,88,04:07 PM,04:10 AM,06:44 AM,06:18 PM,22,30,30,27,13,21,73,0.1,1012,32,10,264,10
2020-01-09,31,24,0.0,11.6,7,7,95,05:01 PM,05:06 AM,06:44 AM,06:19 PM,23,30,30,27,12,19,76,0.2,1011,31,10,243,9
2020-01-10,31,24,0.0,11.6,7,7,100,06:00 PM,06:05 AM,06:45 AM,06:19 PM,23,30,30,27,13,16,77,0.1,1011,31,10,241,10
2020-01-11,32,23,0.0,11.6,7,7,100,07:01 PM,07:04 AM,06:45 AM,06:20 PM,20,29,29,26,13,18,67,0.2,1012,32,10,283,10
2020-01-12,32,22,0.0,11.6,7,7,83,08:02 PM,08:02 AM,06:45 AM,06:20 PM,19,28,28,26,13,0,64,0.0,1012,32,10,265,10
2020-01-13,31,23,0.0,11.6,7,7,76,09:02 PM,08:57 AM,06:45 AM,06:21 PM,20,28,28,26,11,6,69,0.0,1011,31,10,248,8
2020-01-14,32,23,0.0,11.6,7,7,69,10:00 PM,09:49 AM,06:46 AM,06:21 PM,21,29,29,27,14,31,72,0.1,1011,32,10,256,10
2020-01-15,31,24,0.0,11.6,7,7,61,10:56 PM,10:37 AM,06:46 AM,06:22 PM,21,29,29,26,12,16,74,0.1,1011,31,10,244,9
