date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,22,0.0,5.8,6,6,37,11:13 AM,11:19 PM,06:38 AM,06:06 PM,21,28,28,25,8,70,79,1.3,1014,29,10,111,6
2020-01-02,30,22,0.0,7.3,6,6,44,11:50 AM,No moonset,06:38 AM,06:07 PM,21,28,28,26,7,56,77,0.5,1015,30,10,106,5
2020-01-03,30,23,0.0,8.7,6,6,51,12:27 PM,12:04 AM,06:39 AM,06:08 PM,21,29,29,26,7,43,76,0.2,1014,30,10,133,5
2020-01-04,31,23,0.0,5.8,6,6,59,01:04 PM,12:49 AM,06:39 AM,06:08 PM,22,29,29,26,8,65,77,0.7,1012,31,10,119,5
2020-01-05,31,23,0.0,5.9,6,6,66,01:43 PM,01:35 AM,06:39 AM,06:09 PM,21,28,28,26,15,70,76,4.9,1012,31,10,125,11
2020-01-06,30,22,0.0,5.8,6,6,73,02:24 PM,02:22 AM,06:40 AM,06:09 PM,21,28,28,25,10,75,79,5.3,1014,30,10,105,6
2020-01-07,30,22,0.0,10.2,6,6,80,03:09 PM,03:13 AM,06:40 AM,06:10 PM,20,27,27,25,10,66,75,1.9,1014,30,10,105,7
2020-01-08,31,22,0.0,11.6,7,7,88,03:59 PM,04:06 AM,06:40 AM,06:10 PM,19,29,29,26,7,27,70,0.3,1013,31,10,61,5
2020-01-09,29,20,0.0,7.3,6,6,95,04:53 PM,05:03 AM,06:41 AM,06:11 PM,20,27,27,25,7,47,74,0.0,1013,29,10,102,5
2020-01-10,30,21,0.0,11.6,7,7,100,05:51 PM,06:01 AM,06:41 AM,06:11 PM,19,27,27,25,7,19,68,0.0,1014,30,10,92,6
2020-01-11,31,21,0.0,11.6,7,7,100,06:52 PM,07:01 AM,06:41 AM,06:12 PM,18,26,26,25,8,2,65,0.0,1015,31,10,62,7
2020-01-12,29,20,0.0,11.6,6,6,83,07:54 PM,07:58 AM,06:42 AM,06:12 PM,18,26,26,25,7,18,68,0.0,1014,29,10,117,5
2020-01-13,30,20,0.0,7.3,6,6,76,08:54 PM,08:53 AM,06:42 AM,06:13 PM,19,26,26,25,10,55,73,0.4,1012,30,9,81,7
2020-01-14,30,22,0.0,8.7,6,6,69,09:53 PM,09:44 AM,06:42 AM,06:13 PM,18,28,28,25,9,49,69,0.1,1012,30,10,92,6
2020-01-15,31,20,0.0,11.6,7,7,61,10:49 PM,10:32 AM,06:42 AM,06:14 PM,16,26,26,25,7,7,59,0.0,1013,31,10,91,6
2020-01-16,31,20,0.0,11.6,7,7,54,11:45 PM,11:19 AM,06:42 AM,06:14 PM,17,27,27,25,8,7,63,0.0,1013,31,10,87,6
2020-01-17,31,21,0.0,11.6,7,7,47,No moonrise,12:03 PM,06:43 AM,06:15 PM,19,28,28,26,9,14,66,0.0,1013,31,10,89,6
2020-01-18,31,22,0.0,7.3,6,6,40,12:39 AM,12:49 PM,06:43 AM,06:15 PM,21,28,28,26,12,70,74,2.4,1013,31,10,80,9
2020-01-19,31,23,0.0,10.2,6,6,32,01:34 AM,01:35 PM,06:43 AM,06:16 PM,20,28,28,26,11,41,70,0.0,1013,31,10,80,8
