date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,9,0.0,8.7,4,4,37,11:27 AM,11:11 PM,07:13 AM,05:35 PM,0,13,14,13,12,14,39,0.0,1020,19,10,99,8
2020-01-02,21,12,0.0,8.7,5,5,44,11:58 AM,No moonset,07:13 AM,05:36 PM,6,16,16,16,10,29,53,0.0,1021,21,10,75,7
2020-01-03,21,14,0.0,7.1,4,4,51,12:28 PM,12:03 AM,07:14 AM,05:37 PM,11,17,17,17,8,37,67,0.5,1017,21,10,50,5
2020-01-04,22,16,0.0,8.7,5,5,59,12:59 PM,12:55 AM,07:14 AM,05:37 PM,9,19,19,19,8,6,55,0.0,1017,22,10,282,6
2020-01-05,21,14,0.0,8.7,5,5,66,01:31 PM,01:48 AM,07:14 AM,05:38 PM,5,17,18,17,11,13,46,0.0,1017,21,10,293,8
2020-01-06,18,15,0.0,8.7,5,5,73,02:06 PM,02:41 AM,07:14 AM,05:39 PM,6,16,16,16,11,47,52,0.0,1019,18,10,128,8
2020-01-07,19,14,0.0,7.1,4,4,80,02:45 PM,03:39 AM,07:14 AM,05:40 PM,10,16,16,16,11,64,68,2.0,1017,19,9,58,8
2020-01-08,20,11,0.0,5.5,4,4,88,03:29 PM,04:37 AM,07:14 AM,05:40 PM,10,15,16,15,15,69,74,16.4,1015,20,9,162,10
2020-01-09,19,12,0.0,8.7,5,5,95,04:20 PM,05:38 AM,07:15 AM,05:41 PM,7,15,15,15,13,0,58,0.0,1019,19,10,312,11
2020-01-10,20,10,0.0,8.7,4,4,100,05:18 PM,06:38 AM,07:15 AM,05:42 PM,3,14,14,14,15,4,48,0.0,1019,20,10,312,11
2020-01-11,20,10,0.0,8.7,5,5,100,06:21 PM,07:37 AM,07:15 AM,05:43 PM,2,15,15,15,12,13,43,0.0,1019,20,10,301,8
2020-01-12,24,12,0.0,8.7,5,5,83,07:27 PM,08:31 AM,07:15 AM,05:44 PM,3,17,18,17,9,11,38,0.0,1015,24,10,275,7
2020-01-13,19,14,0.0,7.1,4,4,76,08:34 PM,09:20 AM,07:15 AM,05:44 PM,8,16,16,16,15,49,58,4.4,1012,19,10,137,10
2020-01-14,23,13,0.0,8.7,5,5,69,09:41 PM,10:04 AM,07:15 AM,05:45 PM,11,16,17,16,12,20,71,0.0,1015,23,10,202,8
2020-01-15,22,15,0.0,8.7,5,5,61,10:45 PM,10:44 AM,07:14 AM,05:46 PM,8,17,18,17,10,16,57,0.0,1015,22,10,141,7
2020-01-16,16,13,0.0,3.9,3,3,54,11:48 PM,11:22 AM,07:14 AM,05:47 PM,12,15,15,15,13,85,81,23.4,1014,16,9,96,8
2020-01-17,19,14,0.0,5.5,4,4,47,No moonrise,11:59 AM,07:14 AM,05:48 PM,12,16,16,16,9,55,77,0.8,1017,19,10,228,7
2020-01-18,20,14,0.0,8.7,5,5,40,12:51 AM,12:36 PM,07:14 AM,05:48 PM,9,16,16,16,8,13,66,0.0,1018,20,10,296,6
2020-01-19,21,9,0.0,8.7,5,5,32,01:53 AM,01:16 PM,07:14 AM,05:49 PM,5,15,16,15,11,2,49,0.0,1018,21,10,296,9
2020-01-20,20,12,0.0,8.7,5,5,25,02:55 AM,01:58 PM,07:14 AM,05:50 PM,6,15,16,15,9,19,55,0.0,1017,20,10,280,7
2020-01-21,22,14,0.0,8.7,5,5,18,03:57 AM,02:44 PM,07:13 AM,05:51 PM,6,17,17,17,7,8,51,0.0,1018,22,10,152,5
2020-01-22,23,14,0.0,8.7,5,5,11,04:56 AM,03:34 PM,07:13 AM,05:52 PM,7,17,18,17,12,2,51,0.0,1019,23,10,309,10
2020-01-23,20,12,0.0,8.7,5,5,3,05:53 AM,04:27 PM,07:13 AM,05:52 PM,4,15,15,15,24,0,47,0.0,1018,20,10,305,18
2020-01-24,21,12,0.0,8.7,5,5,0,06:45 AM,05:23 PM,07:13 AM,05:53 PM,2,15,16,15,22,0,40,0.0,1016,21,10,291,16
2020-01-25,22,15,0.0,8.7,5,5,0,07:33 AM,06:19 PM,07:12 AM,05:54 PM,3,17,17,17,8,5,39,0.0,1016,22,10,301,7
2020-01-26,23,14,0.0,8.7,5,5,4,08:14 AM,07:15 PM,07:12 AM,05:55 PM,7,18,19,18,8,6,50,0.0,1014,23,10,292,6
2020-01-27,23,14,0.0,7.1,4,4,11,08:52 AM,08:10 PM,07:11 AM,05:56 PM,10,17,18,17,10,50,61,0.5,1012,23,10,128,6
2020-01-28,20,14,0.0,3.9,4,4,18,09:26 AM,09:03 PM,07:11 AM,05:57 PM,11,16,16,16,15,80,71,5.6,1011,20,9,114,11
2020-01-29,22,14,0.0,7.1,5,5,26,09:58 AM,09:55 PM,07:11 AM,05:57 PM,9,17,17,17,10,25,59,0.0,1016,22,10,303,8
2020-01-30,20,13,0.0,8.7,5,5,33,10:28 AM,10:46 PM,07:10 AM,05:58 PM,8,16,17,16,16,2,56,0.0,1017,20,10,315,13
2020-01-31,21,14,0.0,8.7,5,5,37,10:58 AM,11:38 PM,07:10 AM,05:59 PM,7,16,16,16,11,4,54,0.0,1015,21,10,290,9
2020-02-01,21,13,0.0,10.9,5,5,49,11:29 AM,No moonset,07:09 AM,06:00 PM,6,16,16,16,9,6,53,0.0,1017,21,10,287,7
2020-02-02,22,14,0.0,10.9,5,5,57,12:02 PM,12:30 AM,07:09 AM,06:01 PM,7,17,18,17,10,0,51,0.0,1019,22,10,302,9
2020-02-03,24,14,0.0,10.9,5,5,64,12:38 PM,01:25 AM,07:08 AM,06:01 PM,6,18,19,18,7,0,47,0.0,1018,24,10,283,6
2020-02-04,22,14,0.0,11.0,5,5,72,01:19 PM,02:21 AM,07:07 AM,06:02 PM,7,17,18,17,7,4,52,0.0,1016,22,10,148,6
2020-02-05,22,13,0.0,11.0,5,5,79,02:05 PM,03:20 AM,07:07 AM,06:03 PM,6,17,17,17,13,6,49,0.0,1016,22,10,308,10
2020-02-06,23,14,0.0,11.0,5,5,87,02:59 PM,04:20 AM,07:06 AM,06:04 PM,6,18,18,18,7,1,47,0.0,1015,23,10,269,6
2020-02-07,21,13,0.0,11.0,5,5,95,04:00 PM,05:19 AM,07:05 AM,06:04 PM,5,16,17,16,8,4,47,0.0,1018,21,10,283,6
2020-02-08,23,14,0.0,11.0,5,5,100,05:05 PM,06:15 AM,07:05 AM,06:05 PM,8,18,19,18,9,0,51,0.0,1020,23,10,315,8
2020-02-09,26,15,0.0,11.0,6,6,100,06:13 PM,07:08 AM,07:04 AM,06:06 PM,7,20,20,20,7,4,49,0.0,1021,26,10,302,6
2020-02-10,24,12,0.0,11.0,5,5,83,07:23 PM,07:56 AM,07:03 AM,06:07 PM,5,18,19,18,9,16,43,0.0,1018,24,10,288,7
2020-02-11,25,14,0.0,11.1,5,5,75,08:30 PM,08:39 AM,07:03 AM,06:08 PM,6,20,20,20,6,2,44,0.0,1018,25,10,300,5
2020-02-12,26,15,0.0,11.1,6,6,68,09:37 PM,09:19 AM,07:02 AM,06:08 PM,8,20,21,20,16,3,46,0.0,1017,26,10,286,12
2020-02-13,28,17,0.0,11.1,6,6,60,10:42 PM,09:58 AM,07:01 AM,06:09 PM,9,22,22,22,28,2,44,0.0,1014,28,10,293,18
2020-02-14,25,18,0.0,11.1,6,6,53,11:46 PM,10:36 AM,07:00 AM,06:10 PM,5,21,21,21,27,0,37,0.0,1012,25,10,303,19
2020-02-15,27,16,0.0,11.1,6,6,45,No moonrise,11:16 AM,07:00 AM,06:10 PM,3,21,21,21,20,0,31,0.0,1012,27,10,300,15
2020-02-16,29,18,0.0,11.5,6,6,38,12:49 AM,11:57 AM,06:59 AM,06:11 PM,3,23,23,23,10,0,27,0.0,1015,29,10,312,8
2020-02-17,28,19,0.0,11.5,6,6,30,01:52 AM,12:42 PM,06:58 AM,06:12 PM,5,22,22,23,12,0,32,0.0,1016,28,10,301,10
2020-02-18,29,17,0.0,11.6,6,6,22,02:52 AM,01:31 PM,06:57 AM,06:13 PM,0,22,22,23,15,3,24,0.0,1014,29,10,292,11
2020-02-19,27,16,0.0,11.6,6,6,15,03:49 AM,02:22 PM,06:56 AM,06:13 PM,3,20,20,20,19,27,32,0.0,1013,27,10,120,12
2020-02-20,27,15,0.0,11.6,6,6,7,04:42 AM,03:17 PM,06:55 AM,06:14 PM,8,21,21,21,31,31,46,0.1,1012,27,10,121,20
2020-02-21,24,15,0.0,5.8,4,4,0,05:30 AM,04:12 PM,06:54 AM,06:15 PM,12,18,19,18,33,80,68,10.0,1016,24,9,77,22
2020-02-22,26,15,0.0,11.6,6,6,0,06:13 AM,05:08 PM,06:53 AM,06:15 PM,13,20,21,20,12,17,63,0.0,1019,26,10,71,9
2020-02-23,26,18,0.0,11.6,6,6,0,06:51 AM,06:02 PM,06:52 AM,06:16 PM,12,22,22,22,7,18,55,0.0,1016,26,10,208,5
2020-02-24,28,19,0.0,11.6,6,6,0,07:26 AM,06:56 PM,06:51 AM,06:17 PM,11,24,24,23,9,4,47,0.0,1013,28,10,321,7
2020-02-25,28,18,0.0,11.6,6,6,8,07:58 AM,07:48 PM,06:50 AM,06:17 PM,8,23,23,23,9,6,39,0.0,1012,28,10,332,7
2020-02-26,31,18,0.0,11.6,7,7,15,08:29 AM,08:40 PM,06:49 AM,06:18 PM,8,25,25,25,8,10,38,0.0,1012,31,10,266,6
2020-02-27,31,18,0.0,10.2,6,6,23,08:59 AM,09:32 PM,06:48 AM,06:19 PM,10,24,24,24,10,16,44,0.0,1013,31,10,152,7
2020-02-28,28,18,0.0,11.6,6,6,30,09:29 AM,10:23 PM,06:47 AM,06:19 PM,12,23,23,23,20,19,53,0.0,1012,28,10,133,14
2020-02-29,31,18,0.0,11.6,5,5,38,10:01 AM,11:16 PM,06:46 AM,06:20 PM,13,23,23,23,23,39,58,61.4,1010,31,10,207,15
2020-03-01,29,17,0.0,10.2,5,5,44,10:35 AM,No moonset,06:45 AM,06:21 PM,14,22,22,21,12,56,65,9.2,1011,29,10,219,8
2020-03-02,29,19,0.0,11.6,6,6,51,11:13 AM,12:11 AM,06:44 AM,06:21 PM,12,24,24,24,8,7,50,0.0,1011,29,10,286,6
