date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,17,5,0.0,8.7,3,3,37,11:40 AM,11:21 PM,07:29 AM,05:41 PM,-3,10,10,10,13,56,40,0.0,1021,17,10,107,8
2020-01-02,20,8,0.0,8.7,4,4,44,12:09 PM,No moonset,07:29 AM,05:41 PM,2,12,13,12,12,16,49,0.0,1021,20,10,37,7
2020-01-03,21,9,0.0,8.7,5,5,51,12:38 PM,12:13 AM,07:29 AM,05:42 PM,4,14,14,14,10,6,54,0.0,1018,21,10,316,6
2020-01-04,21,9,0.0,8.7,5,5,59,01:08 PM,01:06 AM,07:29 AM,05:43 PM,2,14,14,14,8,16,45,0.0,1016,21,10,246,5
2020-01-05,20,10,0.0,7.1,4,4,66,01:40 PM,02:00 AM,07:29 AM,05:43 PM,3,14,14,14,13,38,48,0.0,1017,20,10,134,8
2020-01-06,13,6,0.0,3.8,3,3,73,02:13 PM,02:55 AM,07:29 AM,05:44 PM,7,9,11,9,15,91,79,8.8,1020,13,7,42,10
2020-01-07,13,9,0.0,3.8,3,3,80,02:51 PM,03:53 AM,07:30 AM,05:45 PM,11,11,11,11,11,92,96,13.8,1017,13,4,255,7
2020-01-08,17,8,0.0,8.7,4,4,88,03:35 PM,04:52 AM,07:30 AM,05:46 PM,7,10,11,10,15,17,78,0.0,1016,17,8,339,9
2020-01-09,17,8,0.0,8.7,4,4,95,04:25 PM,05:54 AM,07:30 AM,05:47 PM,3,11,12,11,12,0,59,0.0,1019,17,10,331,8
2020-01-10,18,6,0.0,8.7,3,3,100,05:23 PM,06:54 AM,07:30 AM,05:47 PM,-2,10,11,10,16,34,42,0.0,1020,18,10,326,9
2020-01-11,19,7,0.0,8.7,4,4,100,06:26 PM,07:53 AM,07:30 AM,05:48 PM,-3,12,12,12,12,36,35,0.0,1019,19,10,326,7
2020-01-12,21,10,0.0,8.7,5,5,83,07:34 PM,08:46 AM,07:30 AM,05:49 PM,1,14,15,14,13,30,40,0.0,1015,21,10,309,7
2020-01-13,14,9,0.0,5.5,3,3,76,08:41 PM,09:34 AM,07:30 AM,05:50 PM,7,10,12,10,23,62,76,15.3,1010,14,9,206,14
2020-01-14,17,9,0.0,8.7,4,4,69,09:49 PM,10:17 AM,07:30 AM,05:51 PM,8,12,12,12,10,3,76,0.0,1016,17,10,238,6
2020-01-15,18,8,0.0,8.7,4,4,61,10:55 PM,10:56 AM,07:29 AM,05:52 PM,5,12,13,12,8,0,65,0.0,1017,18,10,337,5
2020-01-16,17,7,0.0,8.7,4,4,54,11:59 PM,11:33 AM,07:29 AM,05:52 PM,5,12,12,12,6,17,65,0.0,1016,17,10,338,4
2020-01-17,18,9,0.0,8.7,4,4,47,No moonrise,12:09 PM,07:29 AM,05:53 PM,7,13,13,13,6,19,72,0.0,1017,18,10,142,4
2020-01-18,20,9,0.0,8.7,4,4,40,01:03 AM,12:45 PM,07:29 AM,05:54 PM,6,14,13,14,7,15,62,0.0,1018,20,10,205,4
2020-01-19,19,9,0.0,8.7,4,4,32,02:06 AM,01:23 PM,07:29 AM,05:55 PM,5,13,13,13,10,4,62,0.0,1019,19,10,331,6
2020-01-20,19,9,0.0,7.1,3,3,25,03:10 AM,02:04 PM,07:28 AM,05:56 PM,1,13,13,13,14,49,46,0.0,1018,19,10,221,8
2020-01-21,20,9,0.0,8.7,4,4,18,04:12 AM,02:50 PM,07:28 AM,05:57 PM,5,12,13,12,19,33,62,0.0,1020,20,10,28,11
2020-01-22,19,7,0.0,8.7,4,4,11,05:13 AM,03:40 PM,07:28 AM,05:58 PM,5,11,12,11,20,3,64,0.0,1022,19,10,332,12
2020-01-23,19,7,0.0,8.7,4,4,3,06:09 AM,04:32 PM,07:27 AM,05:58 PM,3,11,12,11,20,0,56,0.0,1019,19,10,317,12
2020-01-24,21,6,0.0,8.7,4,4,0,07:01 AM,05:29 PM,07:27 AM,05:59 PM,-2,12,13,12,18,1,38,0.0,1016,21,10,313,10
2020-01-25,22,9,0.0,10.7,5,5,0,07:48 AM,06:25 PM,07:27 AM,06:00 PM,0,14,15,14,11,21,41,0.0,1016,22,10,219,6
2020-01-26,22,10,0.0,10.8,5,5,4,08:29 AM,07:22 PM,07:26 AM,06:01 PM,6,15,15,15,10,6,54,0.0,1014,22,10,225,6
2020-01-27,17,10,0.0,5.4,3,3,11,09:06 AM,08:17 PM,07:26 AM,06:02 PM,9,12,13,12,15,64,79,7.5,1011,17,9,78,8
2020-01-28,17,10,0.0,5.4,3,3,18,09:39 AM,09:12 PM,07:25 AM,06:03 PM,11,12,13,12,26,83,92,31.9,1010,17,8,142,15
2020-01-29,18,9,0.0,10.0,3,3,26,10:09 AM,10:04 PM,07:25 AM,06:04 PM,9,12,13,12,12,56,78,0.4,1016,18,7,239,7
2020-01-30,18,9,0.0,10.8,4,4,33,10:39 AM,10:57 PM,07:24 AM,06:05 PM,7,13,13,13,12,3,72,0.0,1018,18,10,312,8
2020-01-31,18,10,0.0,10.8,4,4,37,11:08 AM,11:50 PM,07:24 AM,06:05 PM,7,13,13,13,8,11,66,0.0,1015,18,10,293,5
2020-02-01,19,8,0.0,10.8,4,4,49,11:38 AM,No moonset,07:23 AM,06:06 PM,6,13,13,13,9,7,66,0.0,1018,19,10,328,5
2020-02-02,20,10,0.0,10.8,5,5,57,12:10 PM,12:43 AM,07:23 AM,06:07 PM,7,14,14,14,8,0,62,0.0,1020,20,10,328,5
2020-02-03,21,9,0.0,10.9,5,5,64,12:45 PM,01:39 AM,07:22 AM,06:08 PM,5,15,16,15,10,0,56,0.0,1018,21,10,213,6
2020-02-04,20,8,0.0,10.9,4,4,72,01:25 PM,02:36 AM,07:21 AM,06:09 PM,6,12,13,12,15,12,67,0.0,1017,20,10,120,9
2020-02-05,19,7,0.0,10.9,4,4,79,02:11 PM,03:36 AM,07:21 AM,06:10 PM,5,12,14,12,12,1,61,0.0,1018,19,10,322,8
2020-02-06,20,8,0.0,10.9,4,4,87,03:05 PM,04:36 AM,07:20 AM,06:11 PM,3,13,14,13,9,14,54,0.3,1015,20,10,203,5
2020-02-07,20,8,0.0,10.9,4,4,95,04:05 PM,05:35 AM,07:19 AM,06:11 PM,5,14,14,14,10,17,60,0.8,1019,20,10,352,6
