date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,17,6,0.0,7.1,4,4,37,11:36 AM,11:19 PM,07:23 AM,05:40 PM,-5,10,11,10,16,44,34,0.0,1021,17,10,94,9
2020-01-02,21,9,0.0,8.7,4,4,44,12:06 PM,No moonset,07:23 AM,05:41 PM,1,13,14,13,17,10,44,0.0,1021,21,10,61,9
2020-01-03,21,10,0.0,8.7,5,5,51,12:36 PM,12:10 AM,07:24 AM,05:42 PM,4,14,14,14,15,6,53,0.0,1018,21,10,309,8
2020-01-04,21,11,0.0,8.7,5,5,59,01:06 PM,01:03 AM,07:24 AM,05:43 PM,3,15,15,15,11,14,44,0.0,1016,21,10,180,6
2020-01-05,21,11,0.0,7.1,4,4,66,01:38 PM,01:56 AM,07:24 AM,05:43 PM,3,15,15,15,13,31,45,0.0,1017,21,10,295,8
2020-01-06,16,8,0.0,5.5,3,3,73,02:12 PM,02:51 AM,07:24 AM,05:44 PM,7,12,13,12,20,63,68,0.7,1019,16,8,57,14
2020-01-07,19,10,0.0,3.8,4,4,80,02:50 PM,03:48 AM,07:24 AM,05:45 PM,10,13,14,13,16,76,80,1.4,1017,19,10,231,11
2020-01-08,19,10,0.0,5.5,3,3,88,03:35 PM,04:47 AM,07:24 AM,05:46 PM,9,13,13,13,15,46,77,3.9,1015,19,10,346,9
2020-01-09,17,8,0.0,8.7,4,4,95,04:25 PM,05:48 AM,07:24 AM,05:46 PM,3,11,12,11,16,0,58,0.0,1019,17,10,341,9
2020-01-10,19,6,0.0,8.7,4,4,100,05:23 PM,06:49 AM,07:24 AM,05:47 PM,-2,10,11,10,19,8,42,0.0,1020,19,10,334,11
2020-01-11,20,8,0.0,8.7,4,4,100,06:26 PM,07:47 AM,07:24 AM,05:48 PM,-5,12,13,12,13,22,31,0.0,1019,20,10,330,8
2020-01-12,22,10,0.0,8.7,5,5,83,07:33 PM,08:41 AM,07:24 AM,05:49 PM,-3,15,15,15,11,15,30,0.0,1016,22,10,263,6
2020-01-13,16,9,0.0,3.8,3,3,76,08:40 PM,09:29 AM,07:24 AM,05:50 PM,6,12,13,12,21,53,63,11.7,1011,16,9,235,12
2020-01-14,18,10,0.0,8.7,4,4,69,09:47 PM,10:13 AM,07:24 AM,05:50 PM,7,12,12,12,13,2,72,0.0,1016,18,10,124,8
2020-01-15,19,8,0.0,8.7,4,4,61,10:52 PM,10:53 AM,07:24 AM,05:51 PM,4,12,13,12,10,3,59,0.0,1016,19,10,333,6
2020-01-16,18,9,0.0,5.5,3,3,54,11:56 PM,11:30 AM,07:24 AM,05:52 PM,3,12,12,12,14,44,52,0.2,1016,18,10,204,8
2020-01-17,18,10,0.0,7.1,3,3,47,No moonrise,12:06 PM,07:24 AM,05:53 PM,5,13,13,13,9,22,58,0.0,1017,18,10,206,5
2020-01-18,20,9,0.0,8.7,5,5,40,12:59 AM,12:43 PM,07:24 AM,05:54 PM,2,14,14,14,7,19,47,0.0,1018,20,10,307,4
2020-01-19,19,9,0.0,8.7,4,4,32,02:02 AM,01:22 PM,07:24 AM,05:55 PM,4,13,13,13,11,4,57,0.0,1019,19,10,327,6
2020-01-20,20,10,0.0,8.7,5,5,25,03:05 AM,02:04 PM,07:23 AM,05:55 PM,5,14,14,14,9,17,56,0.0,1018,20,10,218,5
2020-01-21,20,10,0.0,8.7,5,5,18,04:07 AM,02:49 PM,07:23 AM,05:56 PM,5,13,14,13,16,21,55,0.0,1019,20,10,65,9
2020-01-22,20,9,0.0,8.7,4,4,11,05:07 AM,03:39 PM,07:23 AM,05:57 PM,5,12,13,12,21,3,58,0.0,1021,20,10,332,12
2020-01-23,19,7,0.0,8.7,4,4,3,06:04 AM,04:32 PM,07:22 AM,05:58 PM,2,11,12,11,24,0,51,0.0,1019,19,10,314,14
2020-01-24,21,7,0.0,8.7,4,4,0,06:56 AM,05:29 PM,07:22 AM,05:59 PM,-2,12,13,12,23,0,37,0.0,1017,21,10,302,13
2020-01-25,22,9,0.0,10.8,5,5,0,07:43 AM,06:25 PM,07:22 AM,06:00 PM,1,15,15,15,10,19,41,0.0,1016,22,10,310,6
2020-01-26,23,11,0.0,10.8,5,5,4,08:24 AM,07:21 PM,07:21 AM,06:00 PM,5,16,17,16,11,12,50,0.0,1014,23,10,309,6
2020-01-27,23,9,0.0,7.0,4,4,11,09:01 AM,08:16 PM,07:21 AM,06:01 PM,9,14,15,14,19,60,67,2.2,1011,23,10,145,11
2020-01-28,18,12,0.0,5.4,3,3,18,09:35 AM,09:10 PM,07:20 AM,06:02 PM,11,13,14,13,21,80,84,11.5,1010,18,9,133,14
2020-01-29,20,10,0.0,10.8,4,4,26,10:06 AM,10:02 PM,07:20 AM,06:03 PM,7,14,14,14,11,8,68,0.0,1016,20,10,180,6
2020-01-30,20,9,0.0,10.9,4,4,33,10:36 AM,10:54 PM,07:19 AM,06:04 PM,6,13,13,13,17,6,63,0.0,1018,20,10,325,10
2020-01-31,19,9,0.0,10.9,4,4,37,11:05 AM,11:46 PM,07:19 AM,06:05 PM,4,13,13,13,13,7,57,0.0,1015,19,10,255,8
2020-02-01,20,9,0.0,10.9,5,5,49,11:36 AM,No moonset,07:18 AM,06:05 PM,4,13,14,13,12,8,54,0.0,1018,20,10,307,7
2020-02-02,20,9,0.0,10.9,5,5,57,12:08 PM,12:39 AM,07:18 AM,06:06 PM,5,14,14,14,10,0,56,0.0,1020,20,10,335,6
2020-02-03,22,10,0.0,10.9,5,5,64,12:44 PM,01:34 AM,07:17 AM,06:07 PM,4,15,15,15,8,0,50,0.0,1018,22,10,273,5
2020-02-04,21,9,0.0,8.5,4,4,72,01:25 PM,02:31 AM,07:17 AM,06:08 PM,5,13,14,13,18,26,57,0.0,1016,21,10,211,10
2020-02-05,20,8,0.0,10.9,4,4,79,02:11 PM,03:30 AM,07:16 AM,06:09 PM,4,13,13,13,16,2,55,0.0,1018,20,10,317,10
2020-02-06,20,8,0.0,11.0,5,5,87,03:04 PM,04:30 AM,07:15 AM,06:10 PM,2,13,14,13,12,2,47,0.0,1015,20,10,249,7
