date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,10,0.0,8.7,4,4,37,11:22 AM,11:08 PM,07:06 AM,05:34 PM,2,13,14,13,18,21,47,0.0,1021,20,10,114,11
2020-01-02,19,12,0.0,8.7,4,4,44,11:53 AM,11:59 PM,07:06 AM,05:34 PM,8,15,16,15,16,43,59,0.3,1020,19,10,67,10
2020-01-03,20,13,0.0,5.5,4,4,51,12:24 PM,No moonset,07:06 AM,05:35 PM,12,16,16,16,13,43,78,1.3,1017,20,10,50,8
2020-01-04,21,13,0.0,8.7,5,5,59,12:55 PM,12:50 AM,07:07 AM,05:36 PM,12,16,17,16,7,11,72,0.0,1016,21,10,324,5
2020-01-05,22,13,0.0,8.7,5,5,66,01:28 PM,01:42 AM,07:07 AM,05:37 PM,8,17,17,17,12,4,57,0.0,1017,22,10,294,8
2020-01-06,22,13,0.0,8.7,5,5,73,02:03 PM,02:35 AM,07:07 AM,05:37 PM,7,16,17,16,14,33,54,0.0,1018,22,10,312,9
2020-01-07,24,15,0.0,8.7,5,5,80,02:42 PM,03:32 AM,07:07 AM,05:38 PM,9,17,18,17,19,22,60,0.0,1016,24,10,109,12
2020-01-08,19,13,0.0,3.9,4,4,88,03:27 PM,04:30 AM,07:07 AM,05:39 PM,11,15,15,15,20,74,76,1.8,1014,19,9,108,14
2020-01-09,19,10,0.0,8.7,4,4,95,04:18 PM,05:31 AM,07:07 AM,05:39 PM,8,13,13,13,18,21,72,0.0,1018,19,9,328,13
2020-01-10,20,9,0.0,8.7,4,4,100,05:16 PM,06:31 AM,07:07 AM,05:40 PM,6,13,14,13,14,0,59,0.0,1019,20,10,306,10
2020-01-11,20,8,0.0,8.7,4,4,100,06:19 PM,07:29 AM,07:07 AM,05:41 PM,3,13,13,13,14,8,53,0.0,1019,20,10,295,8
2020-01-12,23,10,0.0,8.7,5,5,83,07:25 PM,08:23 AM,07:08 AM,05:42 PM,5,16,17,16,10,3,47,0.0,1016,23,10,279,7
2020-01-13,24,15,0.0,8.7,5,5,76,08:31 PM,09:13 AM,07:08 AM,05:43 PM,6,18,18,18,15,23,48,0.7,1012,24,10,139,9
2020-01-14,23,13,0.0,8.7,5,5,69,09:37 PM,09:58 AM,07:07 AM,05:43 PM,9,17,17,17,10,22,61,0.0,1014,23,10,135,6
