date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,20,0.0,8.7,6,6,37,11:24 AM,11:26 PM,06:54 AM,06:08 PM,16,25,25,24,24,60,61,0.8,1013,30,10,147,17
2020-01-02,29,20,0.0,11.5,6,6,44,12:00 PM,No moonset,06:54 AM,06:08 PM,17,26,26,25,14,43,64,0.6,1015,29,10,147,9
2020-01-03,30,20,0.0,11.5,7,7,51,12:35 PM,12:12 AM,06:55 AM,06:09 PM,14,27,27,25,16,14,53,0.0,1013,30,10,188,10
2020-01-04,31,20,0.0,11.5,7,7,59,01:11 PM,12:59 AM,06:55 AM,06:09 PM,12,26,26,25,17,5,47,0.0,1012,31,10,240,11
2020-01-05,30,19,0.0,11.6,7,7,66,01:49 PM,01:46 AM,06:55 AM,06:10 PM,14,24,24,24,23,10,56,0.0,1012,30,10,115,16
2020-01-06,27,20,0.0,7.2,5,5,73,02:28 PM,02:35 AM,06:56 AM,06:11 PM,18,25,25,23,31,62,72,0.1,1014,27,10,105,23
2020-01-07,29,20,0.0,7.2,6,6,80,03:12 PM,03:27 AM,06:56 AM,06:11 PM,17,25,25,24,26,61,67,0.7,1013,29,10,125,19
2020-01-08,31,20,0.0,11.6,7,7,88,04:01 PM,04:21 AM,06:56 AM,06:12 PM,16,26,26,25,17,18,61,0.0,1012,31,10,172,12
2020-01-09,32,20,0.0,11.6,7,7,95,04:54 PM,05:19 AM,06:56 AM,06:12 PM,15,27,27,26,11,25,56,0.0,1012,32,10,199,8
2020-01-10,27,21,0.0,11.6,6,6,100,05:52 PM,06:18 AM,06:57 AM,06:13 PM,16,25,25,24,23,33,60,0.0,1013,27,10,102,16
2020-01-11,27,18,0.0,11.6,6,6,100,06:54 PM,07:17 AM,06:57 AM,06:13 PM,16,23,23,23,25,25,66,0.0,1014,27,10,93,17
2020-01-12,29,18,0.0,11.6,6,6,83,07:57 PM,08:14 AM,06:57 AM,06:14 PM,14,24,24,23,25,8,58,0.0,1013,29,10,93,17
2020-01-13,31,19,0.0,11.6,7,7,76,08:58 PM,09:07 AM,06:57 AM,06:15 PM,12,25,25,25,14,5,47,0.0,1012,31,10,212,8
2020-01-14,31,20,0.0,11.6,7,7,69,09:59 PM,09:57 AM,06:57 AM,06:15 PM,10,26,26,25,16,3,41,0.0,1011,31,10,109,9
2020-01-15,29,19,0.0,11.6,6,6,61,10:57 PM,10:43 AM,06:58 AM,06:16 PM,9,24,24,24,20,2,42,0.0,1011,29,10,123,14
2020-01-16,30,18,0.0,11.6,6,6,54,11:54 PM,11:28 AM,06:58 AM,06:16 PM,11,25,25,25,15,3,49,0.0,1012,30,10,171,11
2020-01-17,31,18,0.0,11.6,7,7,47,No moonrise,12:11 PM,06:58 AM,06:17 PM,11,25,25,25,13,5,44,0.0,1012,31,10,163,9
2020-01-18,30,19,0.0,11.6,7,7,40,12:50 AM,12:54 PM,06:58 AM,06:18 PM,13,25,25,24,23,7,52,0.0,1012,30,10,122,16
2020-01-19,30,19,0.0,10.2,6,6,32,01:46 AM,01:39 PM,06:58 AM,06:18 PM,16,25,25,25,20,35,59,0.6,1012,30,10,124,13
2020-01-20,31,21,0.0,10.2,6,6,25,02:43 AM,02:26 PM,06:58 AM,06:19 PM,14,27,27,25,20,20,53,0.1,1013,31,10,110,13
2020-01-21,31,20,0.0,11.6,7,7,18,03:40 AM,03:16 PM,06:58 AM,06:19 PM,12,26,26,25,28,7,45,0.0,1014,31,10,119,19
2020-01-22,31,18,0.0,11.6,7,7,11,04:37 AM,04:08 PM,06:58 AM,06:20 PM,11,24,24,24,32,2,46,0.0,1015,31,10,108,22
2020-01-23,31,19,0.0,11.6,7,7,3,05:33 AM,05:02 PM,06:58 AM,06:20 PM,11,26,26,25,29,3,47,0.0,1014,31,10,103,19
2020-01-24,31,19,0.0,11.6,7,7,0,06:25 AM,05:56 PM,06:58 AM,06:21 PM,10,25,25,25,27,1,42,0.0,1014,31,10,90,17
2020-01-25,31,19,0.0,11.6,7,7,0,07:15 AM,06:50 PM,06:58 AM,06:21 PM,9,25,25,25,24,1,38,0.0,1013,31,10,91,15
2020-01-26,34,20,0.0,11.6,7,7,4,08:01 AM,07:42 PM,06:58 AM,06:22 PM,9,28,28,28,17,3,34,0.0,1012,34,10,101,10
2020-01-27,33,21,0.0,11.6,7,7,11,08:42 AM,08:31 PM,06:58 AM,06:22 PM,12,28,28,27,18,3,47,0.0,1011,33,10,176,13
2020-01-28,31,19,0.0,11.6,7,7,18,09:21 AM,09:19 PM,06:58 AM,06:23 PM,15,24,24,24,24,31,64,0.0,1012,31,9,234,17
2020-01-29,31,19,0.0,11.6,7,7,26,09:58 AM,10:06 PM,06:58 AM,06:23 PM,14,26,26,25,17,5,58,0.0,1013,31,10,237,12
2020-01-30,34,19,0.0,11.6,7,7,33,10:33 AM,10:52 PM,06:57 AM,06:24 PM,11,27,27,27,17,3,45,0.0,1012,34,10,204,11
2020-01-31,33,20,0.0,11.6,7,7,37,11:09 AM,11:39 PM,06:57 AM,06:24 PM,9,28,28,27,17,0,40,0.0,1010,33,10,217,11
2020-02-01,32,20,0.0,11.6,7,7,49,11:45 AM,No moonset,06:57 AM,06:25 PM,11,27,27,26,15,4,44,0.0,1011,32,10,227,10
2020-02-02,29,20,0.0,11.6,7,7,57,12:22 PM,12:26 AM,06:57 AM,06:25 PM,13,25,25,25,18,31,48,0.0,1013,29,10,142,12
2020-02-03,31,20,0.0,11.6,7,7,64,01:04 PM,01:15 AM,06:57 AM,06:26 PM,12,26,26,25,20,13,45,0.0,1013,31,10,128,13
2020-02-04,32,20,0.0,11.6,7,7,72,01:49 PM,02:07 AM,06:56 AM,06:26 PM,11,27,27,26,20,8,42,0.0,1012,32,10,128,13
2020-02-05,32,20,0.0,11.6,7,7,79,02:38 PM,03:02 AM,06:56 AM,06:27 PM,12,27,27,27,17,11,45,0.0,1012,32,10,140,11
2020-02-06,32,20,0.0,11.6,7,7,87,03:34 PM,04:00 AM,06:56 AM,06:27 PM,12,27,27,26,17,6,48,0.0,1012,32,10,233,12
2020-02-07,32,18,0.0,11.6,7,7,95,04:34 PM,04:59 AM,06:56 AM,06:28 PM,13,26,26,25,24,9,54,0.0,1013,32,10,235,17
2020-02-08,30,17,0.0,11.6,6,6,100,05:37 PM,05:57 AM,06:55 AM,06:28 PM,10,24,24,24,20,1,53,0.0,1013,30,10,234,13
2020-02-09,31,17,0.0,11.6,7,7,100,06:40 PM,06:53 AM,06:55 AM,06:28 PM,13,24,24,24,14,16,54,0.0,1013,31,10,115,10
2020-02-10,28,19,0.0,10.2,5,5,83,07:44 PM,07:46 AM,06:55 AM,06:29 PM,15,24,24,24,30,50,61,0.9,1013,28,10,112,21
2020-02-11,30,19,0.0,11.6,7,7,75,08:45 PM,08:35 AM,06:54 AM,06:29 PM,13,25,25,25,33,10,53,0.0,1014,30,10,106,23
2020-02-12,30,18,0.0,11.6,7,7,68,09:45 PM,09:22 AM,06:54 AM,06:30 PM,12,26,26,25,30,7,50,0.0,1015,30,10,106,20
2020-02-13,31,19,0.0,11.6,7,7,60,10:43 PM,10:07 AM,06:53 AM,06:30 PM,12,26,26,26,25,5,46,0.0,1014,31,10,73,16
2020-02-14,33,20,0.0,11.6,7,7,53,11:41 PM,10:52 AM,06:53 AM,06:30 PM,9,27,27,27,20,3,36,0.0,1013,33,10,75,13
2020-02-15,35,21,0.0,11.6,7,7,45,No moonrise,11:38 AM,06:53 AM,06:31 PM,7,29,29,29,17,0,30,0.0,1012,35,10,64,10
2020-02-16,34,21,0.0,11.6,7,7,38,12:38 AM,12:24 PM,06:52 AM,06:31 PM,6,28,28,28,21,0,27,0.0,1013,34,10,110,14
2020-02-17,33,20,0.0,11.6,7,7,30,01:36 AM,01:13 PM,06:52 AM,06:31 PM,6,28,28,27,29,0,29,0.0,1014,33,10,97,18
2020-02-18,33,20,0.0,11.6,7,7,22,02:33 AM,02:04 PM,06:51 AM,06:32 PM,8,27,27,27,25,1,32,0.0,1013,33,10,85,16
2020-02-19,34,21,0.0,11.6,7,7,15,03:29 AM,02:57 PM,06:51 AM,06:32 PM,8,28,28,28,20,1,32,0.0,1013,34,10,107,13
2020-02-20,33,21,0.0,11.6,7,7,7,04:21 AM,03:51 PM,06:50 AM,06:32 PM,8,27,27,27,25,1,34,0.0,1012,33,10,103,17
2020-02-21,33,19,0.0,11.6,7,7,0,05:11 AM,04:44 PM,06:50 AM,06:33 PM,7,27,27,26,29,1,35,0.0,1014,33,10,91,18
2020-02-22,33,18,0.0,11.6,7,7,0,05:57 AM,05:36 PM,06:49 AM,06:33 PM,8,27,27,27,30,1,37,0.0,1015,33,10,83,19
2020-02-23,33,19,0.0,11.6,7,7,0,06:40 AM,06:26 PM,06:49 AM,06:33 PM,10,26,26,26,31,0,42,0.0,1014,33,10,89,20
2020-02-24,34,20,0.0,11.6,7,7,0,07:20 AM,07:14 PM,06:48 AM,06:33 PM,9,27,27,27,25,3,37,0.0,1012,34,10,102,16
2020-02-25,35,22,0.0,11.6,7,7,8,07:57 AM,08:01 PM,06:48 AM,06:34 PM,7,29,29,29,13,5,31,0.0,1010,35,10,262,8
2020-02-26,35,19,0.0,11.6,7,7,15,08:32 AM,08:48 PM,06:47 AM,06:34 PM,7,28,28,28,15,3,33,0.0,1010,35,10,103,10
2020-02-27,31,21,0.0,10.2,7,7,23,09:08 AM,09:34 PM,06:46 AM,06:34 PM,14,27,27,26,22,27,50,0.1,1011,31,10,96,15
2020-02-28,33,21,0.0,11.6,7,7,30,09:43 AM,10:20 PM,06:46 AM,06:34 PM,12,27,27,27,21,15,44,0.0,1010,33,10,104,14
2020-02-29,32,21,0.0,11.6,7,7,38,10:20 AM,11:09 PM,06:45 AM,06:35 PM,13,27,27,27,18,32,46,0.0,1010,32,10,93,13
2020-03-01,35,21,0.0,11.6,7,7,44,10:59 AM,11:58 PM,06:45 AM,06:35 PM,14,28,28,28,20,19,45,0.0,1010,35,10,95,14
2020-03-02,33,23,0.0,11.6,7,7,51,11:41 AM,No moonset,06:44 AM,06:35 PM,13,28,28,28,14,28,43,0.0,1011,33,10,134,10
2020-03-03,33,21,0.0,11.6,7,7,58,12:27 PM,12:51 AM,06:43 AM,06:35 PM,13,29,29,29,16,29,45,0.0,1011,33,10,161,10
2020-03-04,33,20,0.0,11.6,7,7,65,01:19 PM,01:46 AM,06:43 AM,06:36 PM,12,28,28,27,21,20,42,0.0,1011,33,10,255,14
2020-03-05,34,19,0.0,11.6,7,7,73,02:15 PM,02:42 AM,06:42 AM,06:36 PM,12,27,27,27,25,9,45,0.0,1010,34,10,242,17
2020-03-06,34,18,0.0,11.6,7,7,80,03:16 PM,03:40 AM,06:41 AM,06:36 PM,12,26,26,26,30,6,51,0.0,1011,34,10,242,22
2020-03-07,33,17,0.0,11.6,7,7,87,04:18 PM,04:36 AM,06:41 AM,06:36 PM,13,26,26,25,17,23,52,0.0,1012,33,10,245,11
2020-03-08,33,20,0.0,11.6,7,7,95,05:22 PM,05:30 AM,06:40 AM,06:36 PM,14,29,29,28,12,32,48,0.0,1011,33,10,225,8
2020-03-09,34,21,0.0,11.6,7,7,100,06:24 PM,06:21 AM,06:39 AM,06:37 PM,14,29,29,28,14,23,49,0.0,1010,34,10,299,9
2020-03-10,36,21,0.0,11.6,8,8,100,07:27 PM,07:10 AM,06:39 AM,06:37 PM,14,30,30,29,15,12,47,0.0,1010,36,10,236,11
