date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,19,0.0,5.7,6,6,37,11:16 AM,11:17 PM,06:46 AM,05:58 PM,18,25,25,24,20,65,71,1.1,1015,30,9,143,15
2020-01-02,30,20,0.0,8.7,6,6,44,11:52 AM,No moonset,06:47 AM,05:58 PM,19,26,26,25,15,53,71,0.6,1015,30,9,154,11
2020-01-03,30,21,0.0,5.7,6,6,51,12:26 PM,12:03 AM,06:47 AM,05:59 PM,19,27,27,25,14,39,70,2.8,1013,30,10,170,9
2020-01-04,31,22,0.0,7.2,6,6,59,01:02 PM,12:50 AM,06:48 AM,05:59 PM,17,28,28,26,11,22,61,0.1,1012,31,10,185,7
2020-01-05,30,21,0.0,8.7,6,6,66,01:39 PM,01:38 AM,06:48 AM,06:00 PM,17,27,27,25,20,59,65,0.3,1013,30,10,77,14
2020-01-06,29,21,0.0,7.2,6,6,73,02:18 PM,02:27 AM,06:48 AM,06:00 PM,17,26,26,24,20,55,66,0.7,1015,29,10,103,15
2020-01-07,31,20,0.0,11.5,7,7,80,03:02 PM,03:19 AM,06:48 AM,06:01 PM,18,26,26,25,17,56,68,0.2,1015,31,10,147,12
2020-01-08,30,21,0.0,10.1,6,6,88,03:50 PM,04:13 AM,06:49 AM,06:02 PM,18,26,26,25,22,46,68,0.0,1013,30,10,165,16
2020-01-09,30,20,0.0,10.1,7,7,95,04:43 PM,05:11 AM,06:49 AM,06:02 PM,17,27,27,25,15,33,64,0.0,1013,30,10,170,10
2020-01-10,29,21,0.0,11.5,6,6,100,05:42 PM,06:10 AM,06:49 AM,06:03 PM,18,26,26,25,19,46,66,0.2,1014,29,10,83,14
2020-01-11,30,19,0.0,11.5,7,7,100,06:43 PM,07:09 AM,06:49 AM,06:03 PM,16,25,25,24,16,26,63,0.0,1015,30,10,75,11
2020-01-12,29,20,0.0,11.5,7,7,83,07:46 PM,08:06 AM,06:50 AM,06:04 PM,14,25,25,24,15,9,56,0.0,1014,29,10,77,10
2020-01-13,31,20,0.0,11.6,7,7,76,08:48 PM,08:59 AM,06:50 AM,06:05 PM,13,26,26,25,10,2,48,0.0,1012,31,10,206,6
2020-01-14,30,20,0.0,11.6,7,7,69,09:49 PM,09:49 AM,06:50 AM,06:05 PM,12,25,25,24,17,2,50,0.0,1012,30,10,139,11
2020-01-15,30,18,0.0,11.6,6,6,61,10:47 PM,10:35 AM,06:50 AM,06:06 PM,13,23,23,23,20,2,56,0.0,1013,30,10,137,14
2020-01-16,29,17,0.0,11.6,6,6,54,11:45 PM,11:19 AM,06:50 AM,06:06 PM,13,23,23,23,20,3,57,0.0,1013,29,10,155,14
2020-01-17,30,18,0.0,11.6,6,6,47,No moonrise,12:02 PM,06:50 AM,06:07 PM,14,24,24,24,19,9,55,0.0,1013,30,10,154,13
2020-01-18,30,19,0.0,11.6,7,7,40,12:41 AM,12:45 PM,06:50 AM,06:08 PM,16,26,26,25,17,32,64,0.1,1013,30,10,131,12
2020-01-19,30,20,0.0,11.6,7,7,32,01:38 AM,01:29 PM,06:50 AM,06:08 PM,16,26,26,25,14,19,62,0.0,1014,30,10,140,10
2020-01-20,31,20,0.0,11.6,7,7,25,02:35 AM,02:16 PM,06:50 AM,06:09 PM,16,26,26,25,17,14,59,0.0,1014,31,10,105,12
2020-01-21,32,21,0.0,11.6,7,7,18,03:33 AM,03:06 PM,06:50 AM,06:09 PM,13,27,27,26,22,11,50,0.0,1015,32,10,128,15
2020-01-22,31,18,0.0,11.6,7,7,11,04:29 AM,03:58 PM,06:50 AM,06:10 PM,13,26,26,25,20,5,55,0.0,1017,31,10,124,14
2020-01-23,31,19,0.0,11.6,7,7,3,05:25 AM,04:51 PM,06:50 AM,06:10 PM,12,27,27,26,17,2,50,0.0,1015,31,10,107,11
2020-01-24,32,21,0.0,11.6,7,7,0,06:18 AM,05:46 PM,06:50 AM,06:11 PM,12,27,27,26,18,2,46,0.0,1015,32,10,84,11
2020-01-25,32,20,0.0,11.6,7,7,0,07:07 AM,06:39 PM,06:50 AM,06:11 PM,12,26,26,26,16,3,44,0.0,1014,32,10,69,10
2020-01-26,33,20,0.0,11.6,7,7,4,07:53 AM,07:32 PM,06:50 AM,06:12 PM,12,27,27,27,12,4,42,0.0,1012,33,10,182,7
2020-01-27,34,21,0.0,11.6,7,7,11,08:34 AM,08:21 PM,06:50 AM,06:13 PM,12,29,29,28,19,5,42,0.0,1011,34,10,150,12
2020-01-28,32,21,0.0,11.6,7,7,18,09:13 AM,09:10 PM,06:50 AM,06:13 PM,15,28,28,27,17,17,49,0.0,1011,32,10,236,11
2020-01-29,33,23,0.0,11.6,7,7,26,09:50 AM,09:57 PM,06:50 AM,06:14 PM,14,28,28,28,13,19,42,0.0,1013,33,10,257,9
2020-01-30,33,23,0.0,11.6,7,7,33,10:24 AM,10:43 PM,06:50 AM,06:14 PM,13,28,28,28,12,13,43,0.0,1012,33,10,245,8
2020-01-31,34,22,0.0,11.6,7,7,37,10:59 AM,11:30 PM,06:50 AM,06:15 PM,14,29,29,28,18,8,50,0.0,1011,34,10,158,12
2020-02-01,33,21,0.0,11.6,7,7,49,11:35 AM,No moonset,06:49 AM,06:15 PM,15,27,27,27,24,20,54,0.0,1012,33,10,157,18
2020-02-02,32,21,0.0,11.6,7,7,57,12:13 PM,12:17 AM,06:49 AM,06:16 PM,16,27,27,26,21,22,57,0.0,1015,32,10,136,15
2020-02-03,32,20,0.0,11.6,7,7,64,12:53 PM,01:07 AM,06:49 AM,06:16 PM,14,26,26,26,19,9,50,0.0,1015,32,10,145,13
2020-02-04,32,20,0.0,11.6,7,7,72,01:38 PM,02:00 AM,06:49 AM,06:17 PM,13,27,27,26,22,6,48,0.0,1013,32,10,155,16
2020-02-05,33,19,0.0,11.6,7,7,79,02:28 PM,02:55 AM,06:48 AM,06:17 PM,14,27,27,27,19,6,51,0.0,1013,33,10,144,13
2020-02-06,33,20,0.0,11.6,7,7,87,03:23 PM,03:52 AM,06:48 AM,06:17 PM,12,27,27,27,22,18,43,0.0,1012,33,10,160,15
2020-02-07,34,21,0.0,11.6,7,7,95,04:23 PM,04:51 AM,06:48 AM,06:18 PM,13,27,27,27,21,19,46,0.0,1012,34,10,203,15
2020-02-08,31,21,0.0,11.6,7,7,100,05:26 PM,05:50 AM,06:47 AM,06:18 PM,15,28,28,27,21,19,53,0.0,1013,31,10,177,14
2020-02-09,31,20,0.0,5.9,6,6,100,06:30 PM,06:45 AM,06:47 AM,06:19 PM,17,26,26,25,23,64,64,5.8,1015,31,9,113,16
2020-02-10,30,20,0.0,10.2,7,7,83,07:34 PM,07:38 AM,06:47 AM,06:19 PM,17,26,26,25,18,46,64,0.1,1015,30,10,108,14
2020-02-11,30,20,0.0,8.7,6,6,75,08:35 PM,08:27 AM,06:46 AM,06:20 PM,17,26,26,25,19,38,63,0.0,1016,30,10,117,14
2020-02-12,31,19,0.0,11.6,7,7,68,09:36 PM,09:13 AM,06:46 AM,06:20 PM,15,25,25,25,17,23,58,0.0,1017,31,10,88,12
2020-02-13,33,21,0.0,11.6,7,7,60,10:34 PM,09:58 AM,06:45 AM,06:20 PM,13,29,29,27,17,10,46,0.0,1015,33,10,57,11
2020-02-14,33,22,0.0,11.6,7,7,53,11:33 PM,10:42 AM,06:45 AM,06:21 PM,6,28,28,27,12,0,28,0.0,1013,33,10,51,8
2020-02-15,34,21,0.0,11.6,7,7,45,No moonrise,11:28 AM,06:45 AM,06:21 PM,7,28,28,28,15,0,29,0.0,1012,34,10,71,9
2020-02-16,34,21,0.0,11.6,7,7,38,12:30 AM,12:14 PM,06:44 AM,06:22 PM,9,29,29,28,19,1,35,0.0,1013,34,10,74,12
2020-02-17,34,21,0.0,11.6,7,7,30,01:28 AM,01:03 PM,06:44 AM,06:22 PM,10,27,27,27,19,2,36,0.0,1015,34,10,82,12
2020-02-18,34,21,0.0,11.6,7,7,22,02:25 AM,01:54 PM,06:43 AM,06:22 PM,8,28,28,27,17,0,34,0.0,1014,34,10,77,11
2020-02-19,33,21,0.0,11.6,7,7,15,03:21 AM,02:47 PM,06:43 AM,06:23 PM,13,28,28,27,18,2,49,0.0,1013,33,10,98,12
2020-02-20,34,20,0.0,11.6,7,7,7,04:14 AM,03:40 PM,06:42 AM,06:23 PM,11,28,28,27,22,2,44,0.0,1013,34,10,120,15
2020-02-21,33,18,0.0,11.6,7,7,0,05:04 AM,04:33 PM,06:42 AM,06:23 PM,10,27,27,27,21,1,42,0.0,1015,33,10,119,13
2020-02-22,34,19,0.0,11.6,7,7,0,05:50 AM,05:26 PM,06:41 AM,06:24 PM,10,28,28,27,21,0,42,0.0,1016,34,10,102,13
2020-02-23,34,19,0.0,11.6,7,7,0,06:32 AM,06:16 PM,06:40 AM,06:24 PM,11,27,27,27,21,1,46,0.0,1015,34,10,120,14
2020-02-24,35,19,0.0,11.6,7,7,0,07:12 AM,07:05 PM,06:40 AM,06:24 PM,12,27,27,27,21,4,45,0.0,1012,35,10,128,14
2020-02-25,34,21,0.0,11.6,7,7,8,07:49 AM,07:52 PM,06:39 AM,06:24 PM,14,28,28,27,17,14,49,0.0,1010,34,10,151,11
2020-02-26,35,21,0.0,11.6,7,7,15,08:24 AM,08:38 PM,06:39 AM,06:25 PM,15,30,30,29,18,10,50,0.0,1011,35,10,114,12
2020-02-27,34,21,0.0,11.6,7,7,23,08:59 AM,09:25 PM,06:38 AM,06:25 PM,14,29,29,28,17,16,49,0.0,1012,34,10,65,12
2020-02-28,33,21,0.0,11.6,7,7,30,09:34 AM,10:12 PM,06:37 AM,06:25 PM,14,28,28,27,19,12,50,0.0,1011,33,10,91,13
2020-02-29,33,20,0.0,11.6,7,7,38,10:10 AM,11:00 PM,06:37 AM,06:26 PM,15,27,27,27,19,24,51,0.0,1011,33,10,98,13
2020-03-01,34,21,0.0,11.6,7,7,44,10:49 AM,11:51 PM,06:36 AM,06:26 PM,15,28,28,28,18,24,50,0.0,1011,34,10,81,12
2020-03-02,33,22,0.0,10.2,6,6,51,11:31 AM,No moonset,06:36 AM,06:26 PM,13,27,27,27,14,29,46,2.4,1012,33,10,103,9
2020-03-03,35,22,0.0,11.6,7,7,58,12:17 PM,12:43 AM,06:35 AM,06:26 PM,14,29,29,29,16,16,44,0.0,1011,35,10,246,10
2020-03-04,36,25,0.0,11.6,8,8,65,01:08 PM,01:38 AM,06:34 AM,06:26 PM,9,30,30,30,18,13,29,0.0,1010,36,10,307,12
2020-03-05,36,26,0.0,11.6,8,8,73,02:04 PM,02:35 AM,06:34 AM,06:27 PM,10,29,29,30,16,11,30,0.0,1009,36,10,250,12
2020-03-06,34,23,0.0,11.6,7,7,80,03:05 PM,03:32 AM,06:33 AM,06:27 PM,14,29,29,29,19,29,41,0.6,1009,34,10,247,14
2020-03-07,35,22,0.0,11.6,8,8,87,04:08 PM,04:28 AM,06:32 AM,06:27 PM,12,29,29,29,17,37,37,1.2,1011,35,10,258,12
2020-03-08,33,24,0.0,10.2,6,6,95,05:12 PM,05:22 AM,06:31 AM,06:27 PM,19,30,30,29,19,56,57,3.8,1011,33,10,148,14
2020-03-09,34,24,0.0,10.2,7,7,100,06:15 PM,06:13 AM,06:31 AM,06:28 PM,18,30,30,29,15,36,52,1.0,1010,34,10,158,11
2020-03-10,35,24,0.0,11.6,8,8,100,07:17 PM,07:01 AM,06:30 AM,06:28 PM,16,31,31,30,18,20,46,0.0,1009,35,10,181,14
2020-03-11,34,25,0.0,8.8,6,6,84,08:18 PM,07:48 AM,06:29 AM,06:28 PM,17,29,29,28,22,39,52,0.1,1010,34,10,151,15
2020-03-12,36,25,0.0,11.6,8,8,76,09:19 PM,08:34 AM,06:29 AM,06:28 PM,13,30,30,31,19,18,37,0.0,1011,36,10,185,13
2020-03-13,37,25,0.0,11.6,8,8,69,10:19 PM,09:20 AM,06:28 AM,06:28 PM,14,31,31,31,23,18,39,0.0,1011,37,10,157,17
2020-03-14,36,24,0.0,11.6,8,8,62,11:20 PM,10:08 AM,06:27 AM,06:29 PM,14,31,31,30,18,14,41,0.0,1010,36,10,151,13
2020-03-15,36,24,0.0,11.6,8,8,55,No moonrise,10:58 AM,06:26 AM,06:29 PM,13,31,31,30,17,9,39,0.0,1011,36,10,107,11
2020-03-16,36,23,0.0,11.6,8,8,47,12:19 AM,11:50 AM,06:26 AM,06:29 PM,14,31,31,30,17,5,43,0.0,1012,36,10,115,12
2020-03-17,38,23,0.0,11.6,8,8,40,01:17 AM,12:42 PM,06:25 AM,06:29 PM,13,32,32,31,18,7,39,0.0,1013,38,10,136,13
2020-03-18,37,24,0.0,11.6,8,8,33,02:11 AM,01:37 PM,06:24 AM,06:29 PM,10,32,32,32,21,7,32,0.0,1012,37,10,156,13
2020-03-19,37,25,0.0,11.6,8,8,25,03:02 AM,02:29 PM,06:23 AM,06:29 PM,14,31,31,31,16,21,37,0.1,1011,37,10,154,10
2020-03-20,38,27,0.0,11.6,8,8,18,03:49 AM,03:22 PM,06:23 AM,06:30 PM,12,31,31,32,14,8,32,0.0,1010,38,10,231,9
2020-03-21,38,25,0.0,11.6,8,8,11,04:32 AM,04:12 PM,06:22 AM,06:30 PM,8,31,31,32,15,5,29,0.0,1010,38,10,310,10
2020-03-22,37,24,0.0,11.6,8,8,4,05:12 AM,05:01 PM,06:21 AM,06:30 PM,13,31,31,31,13,3,40,0.0,1010,37,10,295,9
2020-03-23,36,25,0.0,11.6,8,8,0,05:49 AM,05:49 PM,06:20 AM,06:30 PM,16,31,31,30,18,18,46,0.0,1010,36,10,120,12
2020-03-24,37,24,0.0,11.6,8,8,0,06:24 AM,06:35 PM,06:20 AM,06:30 PM,14,31,31,31,20,16,39,0.0,1009,37,10,113,14
2020-03-25,37,24,0.0,11.6,8,8,3,06:59 AM,07:22 PM,06:19 AM,06:30 PM,13,31,31,31,19,15,36,0.0,1009,37,10,120,13
2020-03-26,38,24,0.0,11.6,8,8,11,07:35 AM,08:09 PM,06:18 AM,06:31 PM,13,31,31,31,18,11,35,0.0,1010,38,10,109,13
2020-03-27,39,25,0.0,11.6,8,8,18,08:10 AM,08:57 PM,06:17 AM,06:31 PM,10,32,32,32,25,3,28,0.0,1011,39,10,135,16
