date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,16,10,0.0,4.0,3,3,37,10:53 AM,10:42 PM,06:34 AM,05:13 PM,8,14,14,14,9,65,67,1.8,1021,16,7,223,5
2020-01-02,22,13,0.0,7.1,4,4,44,11:25 AM,11:32 PM,06:34 AM,05:13 PM,13,17,18,17,12,60,75,1.1,1020,22,10,143,8
2020-01-03,21,16,0.0,4.0,4,4,51,11:57 AM,No moonset,06:35 AM,05:14 PM,14,18,19,18,18,75,78,1.7,1017,21,10,119,11
2020-01-04,23,15,0.0,8.7,5,5,59,12:29 PM,12:22 AM,06:35 AM,05:15 PM,12,18,19,18,10,34,72,0.0,1014,23,10,302,6
2020-01-05,22,14,0.0,8.7,5,5,66,01:03 PM,01:13 AM,06:35 AM,05:15 PM,10,17,17,17,17,2,66,0.0,1016,22,10,291,11
2020-01-06,22,13,0.0,8.7,5,5,73,01:39 PM,02:06 AM,06:35 AM,05:16 PM,7,17,17,17,14,2,55,0.0,1018,22,10,297,9
2020-01-07,23,14,0.0,8.7,5,5,80,02:19 PM,03:01 AM,06:36 AM,05:17 PM,8,18,18,18,9,8,52,0.0,1016,23,10,210,6
2020-01-08,25,15,0.0,7.2,5,5,88,03:05 PM,03:58 AM,06:36 AM,05:17 PM,9,19,19,19,13,39,53,0.9,1014,25,8,77,8
2020-01-09,21,13,0.0,4.1,4,4,95,03:57 PM,04:58 AM,06:36 AM,05:18 PM,14,17,17,17,18,57,82,4.1,1015,21,10,304,12
2020-01-10,19,11,0.0,8.7,5,5,100,04:54 PM,05:58 AM,06:36 AM,05:19 PM,10,14,15,14,18,20,76,0.0,1018,19,10,298,12
2020-01-11,20,11,0.0,8.7,5,5,100,05:57 PM,06:56 AM,06:36 AM,05:20 PM,8,15,15,15,12,0,63,0.0,1018,20,10,297,8
