date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,9,0.0,8.7,4,4,37,11:27 AM,11:11 PM,07:13 AM,05:34 PM,-0,13,14,13,12,18,39,0.0,1020,20,10,103,8
2020-01-02,21,11,0.0,8.7,5,5,44,11:58 AM,No moonset,07:13 AM,05:35 PM,6,15,16,15,11,25,53,0.0,1021,21,10,87,7
2020-01-03,22,14,0.0,3.8,4,4,51,12:27 PM,12:02 AM,07:14 AM,05:36 PM,10,17,17,17,7,47,67,2.2,1017,22,10,67,5
2020-01-04,22,15,0.0,8.7,5,5,59,12:58 PM,12:54 AM,07:14 AM,05:36 PM,9,18,19,18,8,6,57,0.0,1016,22,10,291,6
2020-01-05,21,14,0.0,8.7,5,5,66,01:30 PM,01:47 AM,07:14 AM,05:37 PM,5,17,17,17,12,14,47,0.0,1017,21,10,301,9
2020-01-06,17,14,0.0,7.1,4,4,73,02:05 PM,02:41 AM,07:14 AM,05:38 PM,6,15,15,15,13,54,54,0.0,1019,17,10,117,9
2020-01-07,17,14,0.0,3.8,4,4,80,02:44 PM,03:38 AM,07:14 AM,05:39 PM,10,15,15,15,12,63,73,4.3,1017,17,7,63,8
2020-01-08,20,13,0.0,3.8,4,4,88,03:28 PM,04:37 AM,07:14 AM,05:39 PM,10,15,16,15,13,76,75,16.7,1015,20,9,177,9
2020-01-09,20,11,0.0,8.7,5,5,95,04:19 PM,05:38 AM,07:15 AM,05:40 PM,7,14,15,14,13,0,61,0.0,1019,20,10,317,12
2020-01-10,20,10,0.0,8.7,5,5,100,05:17 PM,06:38 AM,07:15 AM,05:41 PM,4,14,15,14,16,7,51,0.0,1019,20,10,310,12
2020-01-11,20,9,0.0,8.7,4,4,100,06:20 PM,07:37 AM,07:15 AM,05:42 PM,3,14,14,14,13,13,48,0.0,1018,20,10,305,9
2020-01-12,23,10,0.0,8.7,5,5,83,07:26 PM,08:31 AM,07:15 AM,05:43 PM,3,17,17,17,10,12,39,0.0,1015,23,10,285,7
2020-01-13,20,14,0.0,7.1,4,4,76,08:33 PM,09:20 AM,07:15 AM,05:43 PM,7,16,16,16,14,44,55,4.1,1012,20,10,133,9
2020-01-14,23,12,0.0,8.7,5,5,69,09:40 PM,10:04 AM,07:15 AM,05:44 PM,11,16,16,16,11,30,73,0.0,1015,23,10,191,8
2020-01-15,25,13,0.0,8.7,5,5,61,10:44 PM,10:44 AM,07:14 AM,05:45 PM,8,17,17,17,11,19,58,0.0,1015,25,10,222,7
2020-01-16,17,13,0.0,3.9,3,3,54,11:48 PM,11:22 AM,07:14 AM,05:46 PM,11,14,15,14,14,88,82,31.7,1014,17,8,94,8
2020-01-17,19,13,0.0,3.9,4,4,47,No moonrise,11:59 AM,07:14 AM,05:47 PM,12,15,15,15,12,62,79,2.5,1016,19,10,247,8
2020-01-18,20,12,0.0,8.7,5,5,40,12:50 AM,12:36 PM,07:14 AM,05:47 PM,9,16,16,16,9,17,69,0.0,1018,20,10,317,6
2020-01-19,22,13,0.0,8.7,5,5,32,01:53 AM,01:15 PM,07:14 AM,05:48 PM,7,16,16,16,11,2,56,0.0,1018,22,10,304,9
2020-01-20,21,12,0.0,8.7,5,5,25,02:55 AM,01:57 PM,07:14 AM,05:49 PM,7,15,15,15,10,14,60,0.0,1017,21,10,308,7
2020-01-21,23,13,0.0,8.7,5,5,18,03:57 AM,02:43 PM,07:13 AM,05:50 PM,6,17,17,17,6,15,51,0.0,1018,23,10,137,4
2020-01-22,23,13,0.0,8.7,5,5,11,04:57 AM,03:33 PM,07:13 AM,05:51 PM,7,17,17,17,13,2,53,0.0,1019,23,10,311,10
2020-01-23,20,12,0.0,8.7,5,5,3,05:53 AM,04:26 PM,07:13 AM,05:52 PM,4,14,15,14,25,0,48,0.0,1017,20,10,307,18
2020-01-24,21,11,0.0,8.7,5,5,0,06:45 AM,05:22 PM,07:13 AM,05:52 PM,3,15,16,15,21,0,41,0.0,1015,21,10,292,16
2020-01-25,21,14,0.0,8.7,5,5,0,07:33 AM,06:18 PM,07:12 AM,05:53 PM,4,17,17,17,9,6,43,0.0,1016,21,10,312,7
2020-01-26,23,13,0.0,8.7,5,5,4,08:14 AM,07:14 PM,07:12 AM,05:54 PM,8,18,18,18,10,6,53,0.0,1013,23,10,300,7
2020-01-27,22,13,0.0,7.1,4,4,11,08:52 AM,08:09 PM,07:11 AM,05:55 PM,10,18,18,18,8,43,60,0.3,1012,22,10,153,5
2020-01-28,19,13,0.0,3.9,4,4,18,09:26 AM,09:02 PM,07:11 AM,05:56 PM,11,16,16,16,17,65,73,4.1,1011,19,10,110,12
2020-01-29,23,13,0.0,8.7,5,5,26,09:57 AM,09:54 PM,07:11 AM,05:57 PM,9,17,17,17,9,25,64,0.6,1016,23,10,308,7
2020-01-30,20,13,0.0,8.7,5,5,33,10:27 AM,10:45 PM,07:10 AM,05:57 PM,8,16,16,16,17,1,60,0.0,1016,20,10,315,14
2020-01-31,21,12,0.0,8.7,5,5,37,10:58 AM,11:38 PM,07:10 AM,05:58 PM,7,16,16,16,12,2,56,0.0,1014,21,10,295,10
2020-02-01,21,12,0.0,8.7,5,5,49,11:29 AM,No moonset,07:09 AM,05:59 PM,6,16,16,16,11,5,55,0.0,1017,21,10,302,8
2020-02-02,22,13,0.0,10.9,5,5,57,12:01 PM,12:30 AM,07:08 AM,06:00 PM,8,17,17,17,11,0,56,0.0,1019,22,10,308,10
2020-02-03,24,13,0.0,10.9,5,5,64,12:37 PM,01:25 AM,07:08 AM,06:01 PM,7,18,18,18,8,0,52,0.0,1017,24,10,307,7
2020-02-04,23,14,0.0,10.9,5,5,72,01:18 PM,02:21 AM,07:07 AM,06:01 PM,7,18,18,18,7,6,53,0.0,1016,23,10,134,6
2020-02-05,22,13,0.0,11.0,5,5,79,02:04 PM,03:20 AM,07:07 AM,06:02 PM,7,17,17,17,14,4,51,0.0,1016,22,10,315,11
2020-02-06,23,14,0.0,11.0,5,5,87,02:58 PM,04:20 AM,07:06 AM,06:03 PM,7,18,18,18,8,0,49,0.0,1015,23,10,304,7
2020-02-07,21,12,0.0,11.0,5,5,95,03:59 PM,05:19 AM,07:05 AM,06:04 PM,6,17,17,17,9,5,49,0.0,1017,21,10,297,7
2020-02-08,23,14,0.0,11.0,5,5,100,05:04 PM,06:15 AM,07:05 AM,06:04 PM,9,18,18,18,10,0,55,0.0,1019,23,10,314,9
