date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,16,10,0.0,5.6,3,3,37,10:59 AM,10:47 PM,06:42 AM,05:16 PM,7,14,14,14,12,41,60,0.1,1020,16,10,156,6
2020-01-02,24,13,0.0,8.7,4,4,44,11:32 AM,11:38 PM,06:42 AM,05:17 PM,12,17,18,17,17,39,70,0.1,1020,24,10,122,10
2020-01-03,21,15,0.0,4.0,4,4,51,12:03 PM,No moonset,06:42 AM,05:18 PM,14,17,17,17,17,78,85,10.7,1016,21,9,76,11
2020-01-04,22,13,0.0,8.7,4,4,59,12:34 PM,12:28 AM,06:42 AM,05:18 PM,13,17,17,17,11,32,78,0.2,1015,22,9,333,7
2020-01-05,22,14,0.0,8.7,5,5,66,01:08 PM,01:20 AM,06:43 AM,05:19 PM,12,18,18,18,16,1,69,0.0,1016,22,10,279,12
2020-01-06,22,13,0.0,8.7,5,5,73,01:44 PM,02:12 AM,06:43 AM,05:20 PM,9,17,17,17,16,9,59,0.0,1017,22,10,289,10
2020-01-07,24,14,0.0,8.7,5,5,80,02:24 PM,03:08 AM,06:43 AM,05:21 PM,9,18,18,18,10,18,57,0.0,1016,24,10,315,6
2020-01-08,19,14,0.0,5.6,4,4,88,03:09 PM,04:06 AM,06:43 AM,05:21 PM,10,16,16,16,17,55,69,4.4,1014,19,8,48,10
2020-01-09,18,13,0.0,4.0,4,4,95,04:01 PM,05:06 AM,06:43 AM,05:22 PM,13,15,15,15,19,69,89,1.9,1015,18,10,264,12
2020-01-10,20,10,0.0,8.7,5,5,100,04:58 PM,06:06 AM,06:43 AM,05:23 PM,11,14,15,14,18,19,76,0.0,1017,20,9,280,13
2020-01-11,20,11,0.0,8.7,5,5,100,06:01 PM,07:04 AM,06:43 AM,05:24 PM,7,15,15,15,12,1,58,0.0,1018,20,10,282,9
2020-01-12,21,12,0.0,8.7,5,5,83,07:06 PM,07:59 AM,06:44 AM,05:24 PM,8,16,16,16,13,0,61,0.0,1015,21,10,276,10
2020-01-13,25,13,0.0,8.7,5,5,76,08:12 PM,08:49 AM,06:44 AM,05:25 PM,10,18,19,18,8,0,59,0.0,1013,25,10,208,6
2020-01-14,25,14,0.0,8.7,5,5,69,09:17 PM,09:35 AM,06:44 AM,05:26 PM,9,18,19,18,7,6,57,0.0,1013,25,10,297,4
2020-01-15,24,15,0.0,8.7,5,5,61,10:20 PM,10:16 AM,06:44 AM,05:27 PM,10,18,18,18,9,19,62,0.0,1014,24,10,298,5
2020-01-16,24,15,0.0,8.7,5,5,54,11:22 PM,10:56 AM,06:44 AM,05:27 PM,12,18,19,18,19,23,70,0.0,1014,24,10,39,12
2020-01-17,25,15,0.0,8.7,6,6,47,No moonrise,11:35 AM,06:43 AM,05:28 PM,14,19,20,19,14,28,73,0.0,1015,25,10,123,9
2020-01-18,23,16,0.0,4.1,4,4,40,12:23 AM,12:13 PM,06:43 AM,05:29 PM,15,18,18,18,12,72,80,3.3,1015,23,10,307,7
2020-01-19,22,15,0.0,7.2,5,5,32,01:24 AM,12:54 PM,06:43 AM,05:30 PM,12,18,18,18,14,31,71,1.9,1016,22,10,282,10
2020-01-20,21,11,0.0,8.7,5,5,25,02:24 AM,01:38 PM,06:43 AM,05:30 PM,9,15,16,15,17,16,67,0.0,1016,21,10,280,11
2020-01-21,21,12,0.0,5.6,4,4,18,03:25 AM,02:24 PM,06:43 AM,05:31 PM,6,16,16,16,8,36,55,0.0,1018,21,10,270,4
2020-01-22,23,14,0.0,8.7,5,5,11,04:24 AM,03:15 PM,06:43 AM,05:32 PM,8,18,18,18,11,3,54,0.0,1017,23,10,304,7
2020-01-23,22,11,0.0,8.7,5,5,3,05:21 AM,04:08 PM,06:42 AM,05:33 PM,7,14,16,14,28,0,59,0.0,1015,22,10,268,17
2020-01-24,21,10,0.0,8.7,5,5,0,06:13 AM,05:03 PM,06:42 AM,05:33 PM,8,15,15,15,20,0,62,0.0,1015,21,10,293,14
2020-01-25,22,11,0.0,8.7,5,5,0,07:01 AM,05:59 PM,06:42 AM,05:34 PM,11,17,17,17,9,0,70,0.0,1014,22,10,296,7
2020-01-26,22,12,0.0,8.7,5,5,4,07:44 AM,06:54 PM,06:42 AM,05:35 PM,10,16,17,16,14,5,68,0.0,1013,22,10,285,10
2020-01-27,24,13,0.0,8.7,5,5,11,08:22 AM,07:47 PM,06:41 AM,05:36 PM,10,17,18,17,12,4,64,0.0,1012,24,10,278,8
2020-01-28,26,15,0.0,8.7,4,4,18,08:58 AM,08:39 PM,06:41 AM,05:36 PM,11,19,19,19,16,41,64,1.6,1011,26,10,116,9
2020-01-29,26,14,0.0,8.7,6,6,26,09:31 AM,09:30 PM,06:41 AM,05:37 PM,13,19,20,19,14,35,67,0.9,1012,26,10,145,9
2020-01-30,23,14,0.0,4.1,4,4,33,10:02 AM,10:20 PM,06:40 AM,05:38 PM,12,18,19,18,22,50,67,0.8,1014,23,10,287,14
2020-01-31,23,12,0.0,8.7,5,5,37,10:33 AM,11:10 PM,06:40 AM,05:39 PM,9,17,17,17,14,0,60,0.0,1014,23,10,267,10
2020-02-01,23,13,0.0,8.7,5,5,49,11:06 AM,No moonset,06:39 AM,05:39 PM,8,17,18,17,13,0,58,0.0,1016,23,10,281,9
2020-02-02,22,12,0.0,8.7,5,5,57,11:40 AM,12:02 AM,06:39 AM,05:40 PM,8,16,17,16,18,0,58,0.0,1018,22,10,285,12
2020-02-03,24,10,0.0,8.7,5,5,64,12:16 PM,12:55 AM,06:38 AM,05:41 PM,7,17,17,17,11,0,54,0.0,1017,24,10,283,8
2020-02-04,23,13,0.0,8.7,5,5,72,12:58 PM,01:51 AM,06:38 AM,05:42 PM,8,17,17,17,8,12,56,0.0,1015,23,10,58,5
2020-02-05,23,12,0.0,8.7,5,5,79,01:46 PM,02:48 AM,06:37 AM,05:42 PM,9,17,18,17,15,4,58,0.0,1014,23,10,289,10
2020-02-06,23,13,0.0,8.7,5,5,87,02:40 PM,03:48 AM,06:37 AM,05:43 PM,9,18,19,18,12,2,60,0.0,1015,23,10,315,9
2020-02-07,24,11,0.0,8.7,5,5,95,03:40 PM,04:46 AM,06:36 AM,05:44 PM,9,18,18,18,9,6,57,0.0,1016,24,10,237,6
2020-02-08,23,10,0.0,8.7,5,5,100,04:45 PM,05:44 AM,06:36 AM,05:44 PM,6,16,17,16,14,9,51,0.0,1018,23,10,303,8
2020-02-09,24,11,0.0,8.7,5,5,100,05:52 PM,06:37 AM,06:35 AM,05:45 PM,8,18,19,18,8,0,55,0.0,1019,24,10,333,6
2020-02-10,25,11,0.0,8.7,5,5,83,07:00 PM,07:26 AM,06:34 AM,05:46 PM,9,18,19,18,14,1,57,0.0,1017,25,10,299,9
2020-02-11,24,12,0.0,8.7,5,5,75,08:06 PM,08:10 AM,06:34 AM,05:46 PM,7,18,18,18,13,0,51,0.0,1018,24,10,287,9
2020-02-12,24,12,0.0,8.7,5,5,68,09:11 PM,08:52 AM,06:33 AM,05:47 PM,8,18,18,18,15,0,54,0.0,1017,24,10,287,10
2020-02-13,26,14,0.0,8.7,6,6,60,10:14 PM,09:33 AM,06:32 AM,05:48 PM,12,20,20,20,16,0,63,0.0,1013,26,10,283,11
2020-02-14,27,16,0.0,8.7,6,6,53,11:17 PM,10:12 AM,06:32 AM,05:48 PM,13,20,21,20,24,0,63,0.0,1010,27,10,279,16
2020-02-15,25,12,0.0,8.7,5,5,45,No moonrise,10:53 AM,06:31 AM,05:49 PM,7,18,18,18,19,16,49,0.0,1012,25,10,287,12
2020-02-16,29,15,0.0,8.7,6,6,38,12:19 AM,11:36 AM,06:30 AM,05:50 PM,12,22,22,22,7,0,56,0.0,1014,29,10,311,5
2020-02-17,28,16,0.0,8.7,6,6,30,01:20 AM,12:22 PM,06:30 AM,05:50 PM,13,22,22,21,15,0,60,0.0,1015,28,10,277,10
2020-02-18,27,14,0.0,8.7,6,6,22,02:19 AM,01:11 PM,06:29 AM,05:51 PM,8,20,20,20,16,0,48,0.0,1013,27,10,279,11
2020-02-19,29,15,0.0,8.7,5,5,15,03:16 AM,02:03 PM,06:28 AM,05:51 PM,7,21,21,21,10,33,42,0.0,1014,29,10,191,5
2020-02-20,29,14,0.0,4.2,5,5,7,04:09 AM,02:57 PM,06:27 AM,05:52 PM,7,20,20,21,16,55,42,0.0,1014,29,10,79,9
2020-02-21,29,15,0.0,8.7,6,6,0,04:58 AM,03:52 PM,06:26 AM,05:53 PM,9,22,22,21,27,25,45,0.1,1016,29,10,68,16
2020-02-22,30,16,0.0,4.2,5,5,0,05:42 AM,04:47 PM,06:26 AM,05:53 PM,13,23,23,22,21,63,59,4.7,1017,30,10,117,12
2020-02-23,30,17,0.0,5.7,5,5,0,06:21 AM,05:41 PM,06:25 AM,05:54 PM,16,24,24,23,14,48,65,2.5,1014,30,10,196,9
2020-02-24,29,18,0.0,8.7,6,6,0,06:57 AM,06:33 PM,06:24 AM,05:54 PM,14,24,24,23,10,21,60,0.2,1011,29,10,266,6
2020-02-25,29,17,0.0,7.2,5,5,8,07:31 AM,07:24 PM,06:23 AM,05:55 PM,13,23,23,22,10,33,62,0.7,1011,29,10,236,6
2020-02-26,26,15,0.0,7.2,5,5,15,08:03 AM,08:14 PM,06:22 AM,05:56 PM,14,20,21,20,12,29,70,1.6,1013,26,10,142,8
2020-02-27,28,16,0.0,8.7,6,6,23,08:34 AM,09:04 PM,06:21 AM,05:56 PM,13,22,22,22,8,7,62,0.0,1013,28,10,216,5
2020-02-28,29,16,0.0,8.7,6,6,30,09:05 AM,09:55 PM,06:20 AM,05:57 PM,12,22,22,22,12,11,53,0.0,1013,29,10,89,7
2020-02-29,30,17,0.0,8.7,6,6,38,09:38 AM,10:47 PM,06:19 AM,05:57 PM,10,23,23,23,12,23,47,0.0,1011,30,10,160,7
