date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,20,0.0,5.8,6,6,37,11:05 AM,11:21 PM,06:06 AM,05:59 PM,20,25,25,24,7,62,80,6.9,1013,28,10,237,4
2020-01-02,30,20,0.0,7.4,6,6,44,11:45 AM,No moonset,06:07 AM,06:00 PM,20,27,27,25,5,73,77,9.5,1014,30,9,48,3
2020-01-03,30,21,0.0,11.6,7,7,51,12:24 PM,12:03 AM,06:07 AM,06:00 PM,20,27,27,25,3,46,74,8.6,1016,30,10,238,2
2020-01-04,30,20,0.0,8.8,6,6,59,01:04 PM,12:46 AM,06:07 AM,06:01 PM,19,27,27,25,3,63,72,3.8,1017,30,9,261,2
2020-01-05,31,20,0.0,8.8,6,6,66,01:47 PM,01:30 AM,06:08 AM,06:01 PM,20,26,26,25,11,70,75,5.7,1016,31,10,127,7
2020-01-06,32,22,0.0,11.6,7,7,73,02:31 PM,02:16 AM,06:08 AM,06:02 PM,20,29,29,26,5,35,73,1.5,1015,32,10,69,3
2020-01-07,31,20,0.0,11.6,7,7,80,03:20 PM,03:06 AM,06:09 AM,06:02 PM,19,27,27,26,4,21,69,0.4,1014,31,10,126,3
2020-01-08,31,20,0.0,8.8,6,6,88,04:13 PM,03:59 AM,06:09 AM,06:02 PM,18,26,26,25,4,63,67,2.8,1015,31,10,211,2
2020-01-09,31,21,0.0,11.6,7,7,95,05:10 PM,04:55 AM,06:09 AM,06:03 PM,18,27,27,25,6,24,63,0.1,1014,31,10,201,4
2020-01-10,31,22,0.0,11.6,7,7,100,06:10 PM,05:54 AM,06:10 AM,06:03 PM,17,27,27,26,7,21,57,0.0,1013,31,10,204,5
2020-01-11,30,20,0.0,11.6,7,7,100,07:10 PM,06:53 AM,06:10 AM,06:04 PM,15,26,26,25,8,9,52,0.0,1013,30,10,209,5
2020-01-12,31,22,0.0,11.6,7,7,83,08:09 PM,07:52 AM,06:10 AM,06:04 PM,17,28,28,26,7,25,56,0.9,1013,31,10,208,4
