date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,13,0.0,7.1,4,4,37,10:31 AM,10:17 PM,06:15 AM,04:47 PM,8,17,17,17,20,42,56,0.0,1021,21,10,63,12
2020-01-02,23,16,0.0,5.5,4,4,44,11:03 AM,11:08 PM,06:15 AM,04:47 PM,10,18,18,18,19,48,61,2.9,1022,23,10,71,12
2020-01-03,18,15,0.0,3.9,4,4,51,11:34 AM,11:59 PM,06:15 AM,04:48 PM,12,17,17,17,17,56,74,1.6,1018,18,10,74,11
2020-01-04,23,14,0.0,8.7,4,4,59,12:05 PM,No moonset,06:15 AM,04:49 PM,14,18,19,18,6,49,77,1.7,1016,23,9,188,5
2020-01-05,22,11,0.0,3.9,4,4,66,12:38 PM,12:51 AM,06:16 AM,04:49 PM,12,17,18,17,12,72,71,1.6,1016,22,10,238,8
2020-01-06,24,15,0.0,8.7,5,5,73,01:14 PM,01:44 AM,06:16 AM,04:50 PM,11,18,18,18,5,9,64,0.0,1019,24,10,74,4
2020-01-07,23,12,0.0,8.7,5,5,80,01:54 PM,02:39 AM,06:16 AM,04:51 PM,11,17,18,17,10,11,68,0.0,1016,23,10,95,7
2020-01-08,24,14,0.0,8.7,5,5,88,02:39 PM,03:38 AM,06:16 AM,04:52 PM,10,18,19,18,11,13,61,0.0,1016,24,10,91,7
2020-01-09,22,16,0.0,7.1,4,4,95,03:30 PM,04:37 AM,06:16 AM,04:52 PM,12,17,18,17,8,41,72,3.7,1016,22,10,79,6
2020-01-10,24,14,0.0,7.1,4,4,100,04:27 PM,05:38 AM,06:16 AM,04:53 PM,12,18,18,18,6,29,69,0.6,1016,24,10,219,4
2020-01-11,26,14,0.0,8.7,6,6,100,05:30 PM,06:36 AM,06:16 AM,04:54 PM,12,19,20,19,4,7,65,0.0,1017,26,10,135,3
2020-01-12,26,16,0.0,8.7,6,6,83,06:35 PM,07:31 AM,06:16 AM,04:55 PM,14,21,21,21,7,1,65,0.0,1014,26,10,86,6
