date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,16,0.0,10.9,6,6,37,11:38 AM,11:30 PM,07:16 AM,06:02 PM,12,21,21,21,17,9,60,0.0,1014,28,10,149,10
2020-01-02,27,17,0.0,10.9,6,6,44,12:11 PM,No moonset,07:16 AM,06:02 PM,13,21,21,21,16,3,60,0.0,1016,27,10,244,10
2020-01-03,26,15,0.0,10.9,6,6,51,12:43 PM,12:19 AM,07:17 AM,06:03 PM,9,19,20,19,19,9,56,0.0,1016,26,10,17,12
2020-01-04,26,14,0.0,10.9,6,6,59,01:17 PM,01:09 AM,07:17 AM,06:04 PM,8,20,21,20,21,3,50,0.0,1015,26,10,30,13
2020-01-05,27,14,0.0,10.9,6,6,66,01:51 PM,01:59 AM,07:17 AM,06:04 PM,5,21,21,21,25,0,40,0.0,1016,27,10,103,15
2020-01-06,29,15,0.0,10.9,6,6,73,02:28 PM,02:51 AM,07:17 AM,06:05 PM,7,22,22,22,18,6,40,0.0,1016,29,10,200,11
2020-01-07,30,18,0.0,10.9,6,6,80,03:09 PM,03:45 AM,07:18 AM,06:06 PM,11,25,25,24,15,22,46,0.0,1013,30,10,239,9
2020-01-08,28,18,0.0,10.9,6,6,88,03:56 PM,04:42 AM,07:18 AM,06:06 PM,10,23,23,22,18,14,50,0.0,1013,28,10,297,11
2020-01-09,25,12,0.0,10.9,5,5,95,04:48 PM,05:41 AM,07:18 AM,06:07 PM,3,17,18,17,29,0,41,0.0,1017,25,10,42,17
2020-01-10,25,12,0.0,10.9,5,5,100,05:46 PM,06:41 AM,07:18 AM,06:08 PM,1,18,19,18,32,0,34,0.0,1017,25,10,96,19
2020-01-11,29,13,0.0,10.9,6,6,100,06:48 PM,07:40 AM,07:18 AM,06:08 PM,7,20,21,20,22,2,41,0.0,1016,29,10,93,13
2020-01-12,32,18,0.0,10.9,7,7,83,07:53 PM,08:35 AM,07:18 AM,06:09 PM,12,25,25,24,15,4,48,0.0,1014,32,10,189,9
2020-01-13,28,17,0.0,8.5,5,5,76,08:57 PM,09:26 AM,07:18 AM,06:10 PM,14,22,22,22,23,45,66,0.2,1012,28,10,263,15
2020-01-14,26,14,0.0,10.9,6,6,69,10:01 PM,10:12 AM,07:18 AM,06:10 PM,8,20,20,20,13,11,49,0.0,1013,26,10,200,8
2020-01-15,25,15,0.0,10.9,6,6,61,11:03 PM,10:56 AM,07:18 AM,06:11 PM,6,20,21,20,15,32,42,0.0,1013,25,10,218,9
2020-01-16,23,14,0.0,10.9,5,5,54,No moonrise,11:37 AM,07:18 AM,06:12 PM,7,17,18,17,14,1,52,0.0,1014,23,10,265,10
2020-01-17,27,14,0.0,11.0,6,6,47,12:03 AM,12:16 PM,07:18 AM,06:13 PM,10,21,22,21,8,0,55,0.0,1016,27,10,143,5
2020-01-18,30,14,0.0,11.0,6,6,40,01:02 AM,12:57 PM,07:18 AM,06:13 PM,7,22,22,22,13,0,44,0.0,1015,30,10,178,8
2020-01-19,28,13,0.0,11.0,6,6,32,02:02 AM,01:39 PM,07:18 AM,06:14 PM,4,20,21,20,27,3,40,0.0,1016,28,10,49,16
2020-01-20,28,14,0.0,10.1,6,6,25,03:02 AM,02:23 PM,07:18 AM,06:15 PM,3,21,22,21,21,29,34,0.0,1015,28,10,179,12
2020-01-21,30,18,0.0,11.0,6,6,18,04:01 AM,03:11 PM,07:18 AM,06:15 PM,7,25,25,24,12,0,36,0.0,1015,30,10,306,7
2020-01-22,30,15,0.0,11.0,6,6,11,05:00 AM,04:02 PM,07:18 AM,06:16 PM,7,24,24,23,21,0,38,0.0,1016,30,10,250,13
2020-01-23,29,16,0.0,11.0,6,6,3,05:56 AM,04:55 PM,07:18 AM,06:17 PM,5,23,23,22,32,0,37,0.0,1017,29,10,49,19
