date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,22,12,0.0,8.7,5,5,37,10:17 AM,10:04 PM,06:02 AM,04:32 PM,10,16,17,16,6,26,66,0.0,1022,22,10,170,4
2020-01-02,21,14,0.0,8.7,5,5,44,10:49 AM,10:54 PM,06:02 AM,04:33 PM,10,17,17,17,7,33,67,0.0,1022,21,10,112,4
2020-01-03,20,7,0.0,3.9,4,4,51,11:20 AM,11:45 PM,06:03 AM,04:34 PM,12,14,15,14,7,73,83,17.6,1019,20,8,194,5
2020-01-04,20,14,0.0,3.9,4,4,59,11:52 AM,No moonset,06:03 AM,04:34 PM,14,16,16,16,8,85,90,4.1,1015,20,6,43,5
2020-01-05,18,12,0.0,3.9,4,4,66,12:24 PM,12:37 AM,06:03 AM,04:35 PM,13,15,15,15,15,86,89,8.3,1015,18,7,227,9
2020-01-06,21,11,0.0,8.7,4,4,73,01:00 PM,01:31 AM,06:03 AM,04:36 PM,11,16,16,16,5,37,77,0.3,1019,21,8,349,3
2020-01-07,22,12,0.0,8.7,5,5,80,01:40 PM,02:26 AM,06:03 AM,04:37 PM,12,16,17,16,5,22,76,0.0,1017,22,10,46,4
2020-01-08,22,15,0.0,8.7,5,5,88,02:24 PM,03:24 AM,06:04 AM,04:37 PM,12,17,18,17,7,21,70,0.0,1016,22,10,31,4
2020-01-09,19,14,0.0,7.1,4,4,95,03:16 PM,04:24 AM,06:04 AM,04:38 PM,12,16,16,16,8,50,82,0.1,1016,19,10,32,5
2020-01-10,22,14,0.0,7.1,4,4,100,04:13 PM,05:25 AM,06:04 AM,04:39 PM,13,17,17,17,5,42,81,0.0,1016,22,10,33,4
2020-01-11,24,13,0.0,8.7,5,5,100,05:16 PM,06:23 AM,06:04 AM,04:40 PM,13,17,18,17,4,12,76,0.0,1017,24,10,29,3
