date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,18,0.0,8.7,6,6,37,11:01 AM,10:53 PM,06:41 AM,05:28 PM,12,23,23,23,10,12,53,0.0,1018,29,10,232,7
2020-01-02,25,19,0.0,5.6,5,5,44,11:35 AM,11:43 PM,06:41 AM,05:28 PM,13,22,22,22,10,48,57,1.0,1019,25,10,244,6
2020-01-03,23,18,0.0,4.1,5,5,51,12:07 PM,No moonset,06:41 AM,05:29 PM,15,20,20,20,15,80,74,23.9,1017,23,9,181,10
2020-01-04,25,17,0.0,4.1,5,5,59,12:40 PM,12:31 AM,06:42 AM,05:30 PM,17,21,22,21,7,68,81,7.8,1014,25,8,262,5
2020-01-05,25,17,0.0,7.2,5,5,66,01:15 PM,01:22 AM,06:42 AM,05:30 PM,17,21,22,21,10,30,76,0.1,1014,25,8,322,8
2020-01-06,26,18,0.0,8.7,6,6,73,01:52 PM,02:13 AM,06:42 AM,05:31 PM,12,22,22,22,12,0,58,0.0,1017,26,10,93,10
2020-01-07,25,16,0.0,8.7,6,6,80,02:33 PM,03:08 AM,06:42 AM,05:32 PM,9,21,22,21,13,2,47,0.0,1015,25,10,324,10
2020-01-08,26,16,0.0,8.7,6,6,88,03:19 PM,04:04 AM,06:42 AM,05:32 PM,9,21,21,21,12,18,50,0.0,1014,26,10,262,8
2020-01-09,24,18,0.0,7.2,5,5,95,04:11 PM,05:04 AM,06:43 AM,05:33 PM,11,21,21,21,15,40,55,0.0,1014,24,10,16,10
2020-01-10,26,17,0.0,8.7,6,6,100,05:09 PM,06:03 AM,06:43 AM,05:34 PM,13,21,21,21,17,12,62,0.0,1015,26,10,255,12
2020-01-11,25,16,0.0,8.7,6,6,100,06:11 PM,07:02 AM,06:43 AM,05:34 PM,12,21,21,21,15,0,58,0.0,1015,25,10,339,12
2020-01-12,26,16,0.0,8.7,6,6,83,07:16 PM,07:58 AM,06:43 AM,05:35 PM,13,22,22,21,15,0,60,0.0,1013,26,10,331,12
2020-01-13,28,18,0.0,8.7,6,6,76,08:20 PM,08:49 AM,06:43 AM,05:36 PM,11,22,22,22,10,0,53,0.0,1012,28,10,311,9
2020-01-14,29,18,0.0,8.7,6,6,69,09:24 PM,09:36 AM,06:43 AM,05:36 PM,12,24,24,23,9,0,50,0.0,1013,29,10,326,7
2020-01-15,31,19,0.0,8.7,7,7,61,10:25 PM,10:19 AM,06:43 AM,05:37 PM,12,25,25,25,10,0,49,0.0,1014,31,10,250,8
2020-01-16,31,20,0.0,8.7,7,7,54,11:26 PM,11:00 AM,06:43 AM,05:38 PM,12,27,27,26,9,1,45,0.0,1014,31,10,112,7
2020-01-17,31,21,0.0,8.7,7,7,47,No moonrise,11:40 AM,06:43 AM,05:39 PM,13,27,27,26,10,2,47,0.0,1014,31,10,34,7
2020-01-18,32,21,0.0,8.7,7,7,40,12:25 AM,12:20 PM,06:43 AM,05:39 PM,13,28,28,26,9,3,47,0.0,1015,32,10,123,7
2020-01-19,31,21,0.0,8.7,7,7,32,01:25 AM,01:02 PM,06:43 AM,05:40 PM,12,26,26,25,9,7,47,0.0,1014,31,10,256,6
2020-01-20,28,18,0.0,7.2,5,5,25,02:24 AM,01:47 PM,06:43 AM,05:41 PM,13,23,23,22,14,34,56,0.0,1015,28,10,333,10
2020-01-21,27,17,0.0,7.2,5,5,18,03:24 AM,02:34 PM,06:43 AM,05:41 PM,7,22,22,21,14,19,41,0.0,1017,27,10,251,10
2020-01-22,28,17,0.0,8.7,6,6,11,04:22 AM,03:25 PM,06:43 AM,05:42 PM,7,22,22,22,12,1,38,0.0,1017,28,10,255,9
2020-01-23,28,17,0.0,8.7,6,6,3,05:19 AM,04:19 PM,06:43 AM,05:43 PM,9,23,23,22,8,25,44,0.0,1014,28,10,242,6
2020-01-24,28,17,0.0,8.7,6,6,0,06:11 AM,05:14 PM,06:42 AM,05:43 PM,8,22,22,22,11,10,45,0.0,1015,28,10,317,8
2020-01-25,27,17,0.0,8.7,6,6,0,07:00 AM,06:09 PM,06:42 AM,05:44 PM,7,22,22,22,9,0,40,0.0,1014,27,10,330,7
2020-01-26,26,17,0.0,8.7,6,6,4,07:44 AM,07:03 PM,06:42 AM,05:45 PM,7,22,22,21,11,1,41,0.0,1013,26,10,307,9
2020-01-27,26,16,0.0,8.7,6,6,11,08:23 AM,07:55 PM,06:42 AM,05:45 PM,9,22,22,22,10,2,45,0.0,1012,26,10,298,8
2020-01-28,29,17,0.0,8.7,6,6,18,08:59 AM,08:45 PM,06:41 AM,05:46 PM,10,23,23,22,7,3,48,0.0,1013,29,10,215,6
2020-01-29,27,18,0.0,8.7,6,6,26,09:34 AM,09:35 PM,06:41 AM,05:47 PM,13,22,22,21,12,27,60,0.0,1014,27,10,120,8
2020-01-30,27,19,0.0,4.1,5,5,33,10:06 AM,10:24 PM,06:41 AM,05:47 PM,15,24,24,23,9,70,64,6.3,1013,27,10,149,6
2020-01-31,27,19,0.0,8.7,6,6,37,10:39 AM,11:13 PM,06:41 AM,05:48 PM,15,23,23,22,12,41,65,0.6,1013,27,10,247,9
2020-02-01,28,18,0.0,8.7,6,6,49,11:12 AM,No moonset,06:40 AM,05:49 PM,10,24,24,23,11,1,45,0.0,1015,28,10,251,9
2020-02-02,26,17,0.0,8.7,6,6,57,11:47 AM,12:03 AM,06:40 AM,05:49 PM,8,22,22,21,11,11,43,0.0,1017,26,10,244,8
2020-02-03,27,15,0.0,8.7,6,6,64,12:25 PM,12:55 AM,06:39 AM,05:50 PM,5,21,21,21,13,1,37,0.0,1017,27,10,246,10
2020-02-04,28,16,0.0,8.7,6,6,72,01:08 PM,01:50 AM,06:39 AM,05:51 PM,5,21,21,21,13,0,35,0.0,1015,28,10,338,10
2020-02-05,29,19,0.0,8.7,6,6,79,01:56 PM,02:46 AM,06:39 AM,05:51 PM,6,24,24,23,8,15,35,0.0,1014,29,10,242,6
2020-02-06,28,17,0.0,8.7,6,6,87,02:50 PM,03:45 AM,06:38 AM,05:52 PM,8,22,22,22,12,14,41,0.0,1014,28,10,164,8
2020-02-07,28,16,0.0,8.7,6,6,95,03:51 PM,04:44 AM,06:38 AM,05:53 PM,9,23,23,23,10,7,42,0.0,1016,28,10,190,7
2020-02-08,28,20,0.0,8.7,6,6,100,04:55 PM,05:42 AM,06:37 AM,05:53 PM,6,24,24,24,15,35,33,0.0,1016,28,10,266,11
2020-02-09,28,20,0.0,8.7,6,6,100,06:01 PM,06:36 AM,06:37 AM,05:54 PM,7,23,23,23,20,28,35,0.0,1017,28,10,344,13
2020-02-10,28,16,0.0,8.7,6,6,83,07:07 PM,07:26 AM,06:36 AM,05:54 PM,6,22,22,23,16,2,35,0.0,1016,28,10,331,10
2020-02-11,29,16,0.0,8.7,6,6,75,08:12 PM,08:12 AM,06:35 AM,05:55 PM,6,23,23,23,14,0,35,0.0,1016,29,10,339,10
2020-02-12,30,16,0.0,8.7,6,6,68,09:15 PM,08:56 AM,06:35 AM,05:55 PM,5,23,23,23,15,0,33,0.0,1015,30,10,325,10
2020-02-13,30,17,0.0,8.7,6,6,60,10:17 PM,09:38 AM,06:34 AM,05:56 PM,6,24,24,23,9,1,34,0.0,1013,30,10,306,7
2020-02-14,31,17,0.0,8.7,7,7,53,11:18 PM,10:19 AM,06:34 AM,05:57 PM,10,25,25,24,13,5,45,0.0,1010,31,10,244,9
2020-02-15,32,19,0.0,8.7,7,7,45,No moonrise,11:01 AM,06:33 AM,05:57 PM,13,26,26,26,13,2,50,0.0,1011,32,10,263,10
2020-02-16,32,20,0.0,8.7,7,7,38,12:19 AM,11:45 AM,06:32 AM,05:58 PM,11,27,27,26,9,2,43,0.0,1013,32,10,242,7
2020-02-17,33,20,0.0,8.7,7,7,30,01:19 AM,12:32 PM,06:32 AM,05:58 PM,9,27,27,27,11,0,39,0.0,1014,33,10,298,8
2020-02-18,33,19,0.0,8.7,7,7,22,02:17 AM,01:22 PM,06:31 AM,05:59 PM,12,27,27,26,12,1,47,0.0,1013,33,10,249,8
2020-02-19,35,19,0.0,8.7,7,7,15,03:14 AM,02:14 PM,06:30 AM,05:59 PM,13,29,29,28,12,1,53,0.0,1014,35,10,178,8
2020-02-20,34,21,0.0,11.6,7,7,7,04:07 AM,03:08 PM,06:30 AM,06:00 PM,15,28,28,26,10,6,57,0.0,1015,34,10,187,7
2020-02-21,34,19,0.0,10.2,6,6,0,04:56 AM,04:02 PM,06:29 AM,06:00 PM,12,28,28,26,11,18,47,0.0,1017,34,10,67,7
2020-02-22,35,20,0.0,11.6,7,7,0,05:41 AM,04:56 PM,06:28 AM,06:01 PM,11,28,28,27,10,10,45,0.0,1017,35,10,266,6
2020-02-23,35,20,0.0,11.6,7,7,0,06:21 AM,05:49 PM,06:27 AM,06:01 PM,11,28,28,27,12,3,42,0.0,1015,35,10,168,7
2020-02-24,33,19,0.0,11.6,7,7,0,06:59 AM,06:39 PM,06:27 AM,06:02 PM,13,25,25,25,11,22,51,0.0,1013,33,10,189,7
2020-02-25,32,20,0.0,8.7,6,6,8,07:34 AM,07:30 PM,06:26 AM,06:02 PM,14,25,25,24,11,48,54,1.2,1012,32,9,183,7
2020-02-26,29,18,0.0,7.3,5,5,15,08:06 AM,08:18 PM,06:25 AM,06:03 PM,15,24,24,23,13,59,60,5.9,1012,29,9,215,9
2020-02-27,29,20,0.0,11.6,7,7,23,08:39 AM,09:08 PM,06:24 AM,06:03 PM,14,24,24,24,9,39,60,2.4,1013,29,10,135,6
2020-02-28,32,19,0.0,11.6,7,7,30,09:12 AM,09:57 PM,06:24 AM,06:04 PM,12,25,25,25,10,6,50,0.0,1012,32,10,154,7
2020-02-29,35,20,0.0,11.6,7,7,38,09:46 AM,10:48 PM,06:23 AM,06:04 PM,12,27,27,27,11,1,47,0.0,1011,35,10,193,7
2020-03-01,33,21,0.0,11.6,7,7,44,10:21 AM,11:40 PM,06:22 AM,06:04 PM,13,27,27,26,12,2,49,0.0,1011,33,10,194,9
2020-03-02,34,20,0.0,11.6,7,7,51,11:01 AM,No moonset,06:21 AM,06:05 PM,15,29,29,28,13,7,54,0.0,1011,34,10,197,9
2020-03-03,33,20,0.0,7.3,6,6,58,11:46 AM,12:34 AM,06:20 AM,06:05 PM,15,28,28,26,16,37,57,1.2,1010,33,10,254,10
