date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,26,14,0.0,7.2,6,6,37,11:10 AM,11:04 PM,06:47 AM,05:38 PM,12,18,19,18,19,51,66,3.4,1017,26,10,126,12
2020-01-02,26,14,0.0,5.6,4,4,44,11:44 AM,11:52 PM,06:47 AM,05:39 PM,13,19,19,19,13,55,72,4.8,1017,26,10,72,8
2020-01-03,27,15,0.0,8.7,6,6,51,12:16 PM,No moonset,06:47 AM,05:40 PM,14,20,21,20,9,51,71,0.3,1015,27,10,177,6
2020-01-04,25,16,0.0,5.6,5,5,59,12:50 PM,12:41 AM,06:48 AM,05:40 PM,14,19,20,19,11,51,71,0.2,1014,25,10,218,7
2020-01-05,27,14,0.0,8.7,6,6,66,01:25 PM,01:31 AM,06:48 AM,05:41 PM,9,19,19,19,14,2,54,0.0,1016,27,10,116,9
2020-01-06,27,14,0.0,8.7,6,6,73,02:03 PM,02:22 AM,06:48 AM,05:42 PM,7,20,20,20,11,1,48,0.0,1018,27,10,106,7
2020-01-07,28,15,0.0,8.7,6,6,80,02:44 PM,03:16 AM,06:48 AM,05:42 PM,10,21,21,21,10,8,52,0.0,1015,28,10,226,6
2020-01-08,23,17,0.0,4.1,5,5,88,03:31 PM,04:12 AM,06:49 AM,05:43 PM,14,20,20,20,13,67,72,12.7,1013,23,9,59,7
2020-01-09,26,16,0.0,8.7,5,5,95,04:23 PM,05:11 AM,06:49 AM,05:43 PM,14,19,20,19,17,41,71,0.3,1015,26,10,234,11
2020-01-10,23,13,0.0,8.7,5,5,100,05:21 PM,06:11 AM,06:49 AM,05:44 PM,6,16,16,16,15,1,52,0.0,1017,23,10,334,9
2020-01-11,26,11,0.0,8.7,5,5,100,06:23 PM,07:10 AM,06:49 AM,05:45 PM,6,18,18,18,9,0,49,0.0,1018,26,10,227,5
2020-01-12,28,13,0.0,8.7,6,6,83,07:28 PM,08:05 AM,06:49 AM,05:46 PM,5,20,19,20,6,1,40,0.0,1016,28,10,240,4
2020-01-13,30,15,0.0,8.7,6,6,76,08:32 PM,08:57 AM,06:49 AM,05:46 PM,4,21,21,21,7,0,34,0.0,1013,30,10,251,4
2020-01-14,31,17,0.0,8.7,6,6,69,09:35 PM,09:44 AM,06:49 AM,05:47 PM,6,22,22,23,6,0,36,0.0,1013,31,10,218,4
2020-01-15,29,18,0.0,8.7,6,6,61,10:35 PM,10:28 AM,06:49 AM,05:48 PM,9,23,23,22,9,4,44,0.0,1013,29,10,153,6
2020-01-16,28,17,0.0,8.7,6,6,54,11:36 PM,11:10 AM,06:49 AM,05:48 PM,11,22,22,22,18,8,51,0.0,1012,28,10,217,11
2020-01-17,27,18,0.0,7.2,5,5,47,No moonrise,11:50 AM,06:49 AM,05:49 PM,14,22,22,21,9,38,63,0.5,1014,27,10,179,6
2020-01-18,28,18,0.0,8.7,6,6,40,12:34 AM,12:30 PM,06:49 AM,05:50 PM,14,22,22,22,10,19,63,0.0,1014,28,10,219,6
2020-01-19,27,17,0.0,8.7,6,6,32,01:33 AM,01:13 PM,06:49 AM,05:50 PM,13,21,21,21,14,28,62,0.0,1015,27,10,312,9
2020-01-20,27,15,0.0,8.7,6,6,25,02:32 AM,01:58 PM,06:49 AM,05:51 PM,9,20,20,20,10,11,50,0.0,1016,27,10,211,6
2020-01-21,30,16,0.0,8.7,6,6,18,03:32 AM,02:46 PM,06:49 AM,05:52 PM,13,23,23,23,11,13,54,0.0,1016,30,10,224,7
2020-01-22,30,18,0.0,8.7,6,6,11,04:29 AM,03:38 PM,06:49 AM,05:52 PM,14,25,25,24,15,18,54,0.0,1016,30,10,227,9
2020-01-23,29,19,0.0,8.7,6,6,3,05:26 AM,04:31 PM,06:49 AM,05:53 PM,13,24,24,23,16,16,54,0.0,1015,29,10,324,10
2020-01-24,28,15,0.0,8.7,6,6,0,06:18 AM,05:26 PM,06:49 AM,05:54 PM,5,22,22,22,15,8,37,0.0,1015,28,10,235,9
2020-01-25,29,17,0.0,8.7,6,6,0,07:07 AM,06:20 PM,06:49 AM,05:54 PM,6,24,24,23,10,2,35,0.0,1014,29,10,307,6
2020-01-26,29,16,0.0,8.7,6,6,4,07:51 AM,07:14 PM,06:49 AM,05:55 PM,5,22,22,22,13,4,36,0.0,1013,29,10,229,8
2020-01-27,32,18,0.0,8.7,7,7,11,08:31 AM,08:06 PM,06:48 AM,05:56 PM,7,23,23,24,12,6,36,0.0,1012,32,10,219,8
2020-01-28,32,20,0.0,8.7,7,7,18,09:08 AM,08:56 PM,06:48 AM,05:56 PM,8,25,25,25,20,24,36,0.0,1010,32,10,228,13
2020-01-29,29,19,0.0,8.7,7,7,26,09:42 AM,09:45 PM,06:48 AM,05:57 PM,9,24,24,24,13,27,42,0.2,1013,29,10,305,8
2020-01-30,27,16,0.0,8.7,6,6,33,10:15 AM,10:33 PM,06:47 AM,05:57 PM,7,21,21,21,17,8,44,0.0,1015,27,10,327,11
2020-01-31,29,14,0.0,8.7,6,6,37,10:48 AM,11:22 PM,06:47 AM,05:58 PM,5,21,21,21,10,2,36,0.0,1014,29,10,231,6
2020-02-01,25,15,0.0,7.2,5,5,49,11:22 AM,No moonset,06:47 AM,05:59 PM,5,19,19,19,10,41,41,0.0,1015,25,10,106,6
2020-02-02,26,14,0.0,8.7,6,6,57,11:58 AM,12:12 AM,06:47 AM,05:59 PM,5,20,20,20,12,32,39,0.0,1017,26,10,147,7
2020-02-03,26,14,0.0,10.1,5,5,64,12:36 PM,01:04 AM,06:46 AM,06:00 PM,9,19,20,19,11,35,54,0.1,1016,26,10,140,7
2020-02-04,25,17,0.0,7.2,5,5,72,01:20 PM,01:58 AM,06:46 AM,06:00 PM,16,20,21,20,10,71,76,1.9,1013,25,10,118,6
2020-02-05,28,18,0.0,11.6,6,6,79,02:08 PM,02:54 AM,06:45 AM,06:01 PM,15,22,22,22,11,48,65,0.7,1014,28,9,166,7
2020-02-06,22,17,0.0,5.8,5,5,87,03:03 PM,03:53 AM,06:45 AM,06:02 PM,13,20,20,20,16,64,68,5.8,1013,22,9,125,10
