date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,20,0.0,4.2,5,5,37,11:05 AM,11:06 PM,06:36 AM,05:47 PM,21,25,25,23,18,72,85,5.5,1015,28,8,106,12
2020-01-02,29,21,0.0,4.2,6,6,44,11:41 AM,11:52 PM,06:36 AM,05:48 PM,22,27,27,24,19,85,87,8.8,1016,29,7,110,12
2020-01-03,30,21,0.0,7.2,6,6,51,12:16 PM,No moonset,06:37 AM,05:48 PM,22,28,28,25,13,71,84,0.3,1014,30,8,169,9
2020-01-04,31,23,0.0,4.2,6,6,59,12:51 PM,12:39 AM,06:37 AM,05:49 PM,22,28,28,26,9,62,82,2.2,1012,31,10,148,6
2020-01-05,28,22,0.0,4.2,6,6,66,01:28 PM,01:27 AM,06:37 AM,05:49 PM,22,27,27,25,11,60,85,4.9,1013,28,8,79,7
2020-01-06,28,22,0.0,7.2,6,6,73,02:08 PM,02:16 AM,06:38 AM,05:50 PM,21,27,27,24,18,65,84,0.5,1015,28,9,103,12
2020-01-07,27,21,0.0,4.2,5,5,80,02:51 PM,03:08 AM,06:38 AM,05:51 PM,21,26,26,24,15,65,85,1.5,1015,27,9,105,10
2020-01-08,28,20,0.0,5.7,5,5,88,03:39 PM,04:03 AM,06:38 AM,05:51 PM,20,25,25,23,13,53,84,0.5,1014,28,8,141,9
2020-01-09,28,20,0.0,8.7,6,6,95,04:32 PM,05:00 AM,06:38 AM,05:52 PM,19,25,25,24,12,19,79,0.0,1013,28,10,166,8
2020-01-10,28,20,0.0,4.2,5,5,100,05:31 PM,06:00 AM,06:39 AM,05:52 PM,20,25,25,23,11,62,82,0.8,1014,28,10,110,7
2020-01-11,29,20,0.0,4.2,6,6,100,06:32 PM,06:58 AM,06:39 AM,05:53 PM,21,26,26,24,9,76,82,0.7,1015,29,9,90,6
2020-01-12,30,20,0.0,8.7,7,7,83,07:35 PM,07:55 AM,06:39 AM,05:54 PM,20,26,26,24,10,27,80,0.8,1014,30,10,100,7
2020-01-13,32,19,0.0,8.7,7,7,76,08:37 PM,08:48 AM,06:39 AM,05:54 PM,19,27,27,25,6,7,75,0.0,1012,32,8,291,4
2020-01-14,29,18,0.0,8.7,6,6,69,09:38 PM,09:38 AM,06:39 AM,05:55 PM,19,25,25,23,10,15,78,0.0,1013,29,9,127,7
2020-01-15,28,20,0.0,8.7,6,6,61,10:36 PM,10:24 AM,06:39 AM,05:55 PM,20,26,26,24,10,7,78,0.0,1013,28,10,124,8
2020-01-16,28,18,0.0,5.7,5,5,54,11:34 PM,11:08 AM,06:40 AM,05:56 PM,19,24,24,22,14,48,81,0.3,1013,28,9,133,9
2020-01-17,29,21,0.0,7.2,6,6,47,No moonrise,11:51 AM,06:40 AM,05:56 PM,20,25,25,24,15,48,82,0.3,1014,29,8,132,10
2020-01-18,29,19,0.0,5.7,5,5,40,12:30 AM,12:33 PM,06:40 AM,05:57 PM,20,25,25,23,14,55,84,0.3,1014,29,8,121,9
