date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,10,0.0,8.7,4,4,37,11:28 AM,11:13 PM,07:14 AM,05:36 PM,-1,14,14,14,11,15,36,0.0,1021,19,10,103,8
2020-01-02,20,12,0.0,8.7,4,4,44,11:59 AM,No moonset,07:15 AM,05:37 PM,5,16,16,16,9,27,50,0.0,1021,20,10,82,6
2020-01-03,21,14,0.0,8.7,4,4,51,12:29 PM,12:04 AM,07:15 AM,05:38 PM,9,17,18,17,8,24,59,0.1,1018,21,10,116,6
2020-01-04,22,16,0.0,8.7,5,5,59,01:00 PM,12:56 AM,07:15 AM,05:39 PM,7,18,19,18,9,5,50,0.0,1017,22,10,287,7
2020-01-05,21,14,0.0,8.7,5,5,66,01:32 PM,01:49 AM,07:15 AM,05:39 PM,5,17,17,17,10,13,46,0.0,1017,21,10,291,8
2020-01-06,18,13,0.0,7.1,5,5,73,02:07 PM,02:43 AM,07:15 AM,05:40 PM,6,16,16,16,11,52,52,0.0,1019,18,10,21,8
2020-01-07,19,14,0.0,7.1,4,4,80,02:46 PM,03:40 AM,07:16 AM,05:41 PM,10,16,16,16,10,62,67,2.7,1017,19,9,61,8
2020-01-08,20,10,0.0,5.5,4,4,88,03:31 PM,04:38 AM,07:16 AM,05:41 PM,10,15,15,15,13,68,71,13.1,1015,20,8,206,9
2020-01-09,19,12,0.0,8.7,5,5,95,04:21 PM,05:39 AM,07:16 AM,05:42 PM,6,14,15,14,12,1,58,0.0,1019,19,10,312,11
2020-01-10,19,10,0.0,8.7,4,4,100,05:19 PM,06:39 AM,07:16 AM,05:43 PM,3,13,14,13,14,4,48,0.0,1019,19,10,317,11
2020-01-11,19,9,0.0,8.7,4,4,100,06:22 PM,07:38 AM,07:16 AM,05:44 PM,1,14,14,14,12,15,42,0.0,1019,19,10,308,8
2020-01-12,23,11,0.0,8.7,5,5,83,07:28 PM,08:32 AM,07:16 AM,05:45 PM,2,17,17,17,10,11,37,0.0,1015,23,10,277,7
