date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,15,8,0.0,8.7,4,4,37,11:22 AM,11:09 PM,07:05 AM,05:37 PM,5,10,11,10,18,30,65,0.0,1021,15,10,90,11
2020-01-02,20,9,0.0,8.7,5,5,44,11:54 AM,12:00 AM,07:05 AM,05:37 PM,8,13,14,13,18,44,68,0.0,1020,20,10,71,11
2020-01-03,21,12,0.0,7.1,4,4,51,12:25 PM,No moonset,07:05 AM,05:38 PM,11,16,16,16,13,52,74,0.5,1017,21,10,18,8
2020-01-04,21,10,0.0,8.7,5,5,59,12:56 PM,12:50 AM,07:06 AM,05:39 PM,10,15,15,15,8,24,73,0.0,1017,21,10,248,5
2020-01-05,22,12,0.0,8.7,5,5,66,01:30 PM,01:42 AM,07:06 AM,05:39 PM,8,16,16,16,9,2,61,0.0,1018,22,10,198,5
2020-01-06,23,12,0.0,8.7,5,5,73,02:05 PM,02:35 AM,07:06 AM,05:40 PM,7,17,17,17,11,32,54,0.0,1019,23,10,126,6
2020-01-07,24,14,0.0,8.7,5,5,80,02:45 PM,03:31 AM,07:06 AM,05:41 PM,8,18,18,18,21,26,55,0.0,1015,24,10,128,13
2020-01-08,22,13,0.0,5.5,4,4,88,03:30 PM,04:29 AM,07:06 AM,05:42 PM,11,16,17,16,19,70,70,0.6,1013,22,10,101,13
2020-01-09,19,9,0.0,8.7,4,4,95,04:21 PM,05:30 AM,07:06 AM,05:42 PM,6,12,13,12,21,19,68,0.0,1018,19,8,336,13
2020-01-10,18,6,0.0,8.7,4,4,100,05:19 PM,06:29 AM,07:06 AM,05:43 PM,2,10,11,10,15,0,57,0.0,1020,18,10,334,9
2020-01-11,20,7,0.0,8.7,4,4,100,06:22 PM,07:28 AM,07:07 AM,05:44 PM,2,12,12,12,9,6,51,0.0,1020,20,10,220,5
2020-01-12,24,9,0.0,8.7,5,5,83,07:28 PM,08:23 AM,07:07 AM,05:45 PM,1,15,15,15,9,2,40,0.0,1017,24,10,197,5
2020-01-13,26,12,0.0,8.7,5,5,76,08:33 PM,09:13 AM,07:07 AM,05:45 PM,4,18,18,18,15,24,39,0.2,1011,26,10,145,8
2020-01-14,22,12,0.0,8.7,5,5,69,09:39 PM,09:58 AM,07:07 AM,05:46 PM,9,17,17,17,9,36,60,0.0,1014,22,10,134,5
2020-01-15,18,12,0.0,3.9,4,4,61,10:42 PM,10:39 AM,07:07 AM,05:47 PM,11,14,15,14,13,68,78,7.4,1016,18,9,79,8
2020-01-16,16,14,0.0,3.9,3,3,54,11:45 PM,11:18 AM,07:07 AM,05:48 PM,14,15,15,15,18,93,95,24.4,1014,16,7,92,12
2020-01-17,19,13,0.0,3.9,4,4,47,No moonrise,11:57 AM,07:06 AM,05:48 PM,12,16,15,16,8,58,83,0.7,1016,19,10,295,5
2020-01-18,20,11,0.0,8.7,4,4,40,12:45 AM,12:35 PM,07:06 AM,05:49 PM,10,15,15,15,10,25,76,0.0,1018,20,10,14,5
2020-01-19,20,11,0.0,8.7,5,5,32,01:47 AM,01:15 PM,07:06 AM,05:50 PM,8,14,14,14,12,5,68,0.0,1019,20,10,227,7
2020-01-20,19,10,0.0,8.7,4,4,25,02:48 AM,01:58 PM,07:06 AM,05:51 PM,4,14,14,14,9,13,54,0.0,1018,19,10,225,6
2020-01-21,21,11,0.0,8.7,5,5,18,03:49 AM,02:45 PM,07:06 AM,05:51 PM,6,15,15,15,14,23,58,0.0,1018,21,10,112,8
2020-01-22,21,11,0.0,8.7,5,5,11,04:48 AM,03:36 PM,07:06 AM,05:52 PM,6,15,15,15,14,0,58,0.0,1020,21,10,235,8
2020-01-23,20,9,0.0,8.7,4,4,3,05:45 AM,04:29 PM,07:05 AM,05:53 PM,5,13,14,13,23,0,56,0.0,1020,20,10,313,14
2020-01-24,22,9,0.0,8.7,5,5,0,06:37 AM,05:25 PM,07:05 AM,05:54 PM,2,14,15,14,19,0,44,0.0,1018,22,10,302,12
2020-01-25,21,10,0.0,8.7,5,5,0,07:25 AM,06:20 PM,07:05 AM,05:54 PM,2,15,15,15,10,2,42,0.0,1017,21,10,340,6
2020-01-26,23,12,0.0,8.7,5,5,4,08:07 AM,07:15 PM,07:05 AM,05:55 PM,5,17,17,17,9,2,46,0.0,1015,23,10,325,5
2020-01-27,25,14,0.0,8.7,5,5,11,08:45 AM,08:09 PM,07:04 AM,05:56 PM,8,18,18,18,18,14,54,0.0,1012,25,10,117,10
2020-01-28,26,14,0.0,8.7,5,5,18,09:21 AM,09:01 PM,07:04 AM,05:57 PM,9,18,19,18,19,26,55,0.0,1010,26,10,248,12
2020-01-29,23,13,0.0,5.5,4,4,26,09:53 AM,09:52 PM,07:03 AM,05:58 PM,8,17,18,17,18,39,57,0.7,1015,23,10,328,12
2020-01-30,21,10,0.0,8.7,5,5,33,10:24 AM,10:42 PM,07:03 AM,05:58 PM,4,14,15,14,18,3,52,0.0,1018,21,10,326,11
2020-01-31,22,10,0.0,8.7,5,5,37,10:55 AM,11:33 PM,07:03 AM,05:59 PM,5,15,15,15,11,3,53,0.0,1016,22,10,184,6
