date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,23,16,0.0,5.5,5,5,37,10:21 AM,10:10 PM,06:04 AM,04:42 PM,12,19,19,19,13,56,66,0.3,1021,23,10,95,8
2020-01-02,27,15,0.0,8.7,6,6,44,10:54 AM,11:01 PM,06:04 AM,04:43 PM,13,20,20,20,13,32,67,0.1,1020,27,10,58,7
2020-01-03,20,16,0.0,3.9,4,4,51,11:26 AM,11:51 PM,06:04 AM,04:43 PM,15,17,17,17,10,86,88,10.2,1018,20,8,208,6
2020-01-04,22,16,0.0,5.5,4,4,59,11:58 AM,No moonset,06:05 AM,04:44 PM,16,18,19,18,8,68,90,4.5,1015,22,5,209,5
2020-01-05,21,14,0.0,5.5,4,4,66,12:31 PM,12:41 AM,06:05 AM,04:45 PM,15,17,17,17,9,77,91,12.4,1014,21,8,254,6
2020-01-06,23,12,0.0,8.7,5,5,73,01:08 PM,01:34 AM,06:05 AM,04:45 PM,12,17,18,17,7,15,75,0.0,1018,23,8,193,5
2020-01-07,23,12,0.0,8.7,5,5,80,01:48 PM,02:29 AM,06:05 AM,04:46 PM,13,17,18,17,8,4,75,0.0,1016,23,10,272,5
2020-01-08,25,13,0.0,8.7,5,5,88,02:33 PM,03:27 AM,06:05 AM,04:47 PM,12,18,18,18,8,13,68,0.0,1016,25,10,248,5
2020-01-09,21,15,0.0,3.9,4,4,95,03:25 PM,04:26 AM,06:06 AM,04:47 PM,13,17,17,17,4,71,78,0.9,1016,21,9,204,3
2020-01-10,25,14,0.0,8.7,5,5,100,04:22 PM,05:27 AM,06:06 AM,04:48 PM,13,18,18,18,7,18,72,0.0,1016,25,10,162,4
2020-01-11,26,14,0.0,8.7,6,6,100,05:25 PM,06:25 AM,06:06 AM,04:49 PM,13,19,19,19,8,3,71,0.0,1016,26,10,260,4
2020-01-12,27,13,0.0,8.7,6,6,83,06:30 PM,07:20 AM,06:06 AM,04:50 PM,13,19,19,19,7,3,70,0.0,1014,27,10,213,4
2020-01-13,28,14,0.0,8.7,6,6,76,07:36 PM,08:11 AM,06:06 AM,04:50 PM,14,20,21,20,7,1,68,0.0,1013,28,10,258,4
2020-01-14,27,14,0.0,8.7,6,6,69,08:40 PM,08:57 AM,06:06 AM,04:51 PM,14,21,21,20,7,1,70,0.0,1014,27,10,283,4
2020-01-15,28,16,0.0,8.7,6,6,61,09:43 PM,09:39 AM,06:06 AM,04:52 PM,14,22,22,21,7,1,69,0.0,1015,28,10,278,5
2020-01-16,27,16,0.0,8.7,6,6,54,10:44 PM,10:19 AM,06:06 AM,04:53 PM,14,21,21,20,8,3,67,0.0,1016,27,10,161,5
2020-01-17,29,16,0.0,8.7,6,6,47,11:45 PM,10:58 AM,06:06 AM,04:53 PM,14,22,22,21,8,1,64,0.0,1017,29,10,255,5
2020-01-18,28,16,0.0,8.7,6,6,40,No moonrise,11:37 AM,06:06 AM,04:54 PM,14,22,22,21,8,3,66,0.0,1016,28,10,283,5
2020-01-19,28,16,0.0,8.7,6,6,32,12:45 AM,12:18 PM,06:06 AM,04:55 PM,14,22,22,21,8,9,66,0.0,1014,28,10,266,5
2020-01-20,24,15,0.0,7.1,4,4,25,01:46 AM,01:02 PM,06:06 AM,04:56 PM,14,18,19,18,6,37,76,0.6,1015,24,9,143,4
2020-01-21,24,13,0.0,8.7,5,5,18,02:46 AM,01:49 PM,06:05 AM,04:56 PM,9,18,18,18,8,9,61,0.0,1018,24,9,285,5
