date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,5.5,3,3,37,11:26 AM,11:09 PM,07:12 AM,05:33 PM,0,12,12,12,14,28,44,0.0,1020,19,10,109,8
2020-01-02,19,11,0.0,8.7,5,5,44,11:56 AM,No moonset,07:12 AM,05:34 PM,7,15,15,15,12,26,57,0.0,1021,19,10,103,7
2020-01-03,20,13,0.0,3.8,4,4,51,12:26 PM,12:01 AM,07:12 AM,05:34 PM,10,16,16,16,9,64,72,3.6,1017,20,10,125,6
2020-01-04,21,13,0.0,8.7,5,5,59,12:57 PM,12:53 AM,07:13 AM,05:35 PM,9,15,16,15,11,7,66,0.0,1016,21,10,290,6
2020-01-05,20,11,0.0,8.7,5,5,66,01:29 PM,01:46 AM,07:13 AM,05:36 PM,5,14,15,14,18,16,54,0.0,1016,20,10,301,11
2020-01-06,16,9,0.0,7.1,3,3,73,02:03 PM,02:40 AM,07:13 AM,05:36 PM,5,13,14,13,18,61,57,0.0,1018,16,10,339,10
2020-01-07,16,13,0.0,3.8,3,3,80,02:42 PM,03:37 AM,07:13 AM,05:37 PM,10,14,14,14,15,81,78,4.4,1017,16,8,53,9
2020-01-08,19,5,0.0,7.1,4,4,88,03:27 PM,04:36 AM,07:13 AM,05:38 PM,10,12,13,12,18,64,80,25.2,1015,19,8,149,12
2020-01-09,17,8,0.0,8.7,4,4,95,04:17 PM,05:37 AM,07:13 AM,05:39 PM,6,10,11,10,21,1,70,0.0,1018,17,10,312,13
2020-01-10,18,7,0.0,8.7,4,4,100,05:15 PM,06:37 AM,07:13 AM,05:40 PM,4,10,11,10,24,9,62,0.0,1018,18,10,303,14
2020-01-11,19,7,0.0,8.7,4,4,100,06:18 PM,07:36 AM,07:13 AM,05:40 PM,4,11,12,11,19,15,59,0.0,1018,19,10,295,11
2020-01-12,21,9,0.0,8.7,5,5,83,07:25 PM,08:29 AM,07:13 AM,05:41 PM,4,14,15,14,13,8,50,0.0,1015,21,10,287,8
2020-01-13,20,13,0.0,7.1,4,4,76,08:32 PM,09:18 AM,07:13 AM,05:42 PM,7,15,15,15,13,52,60,3.0,1012,20,10,145,8
2020-01-14,21,11,0.0,8.7,5,5,69,09:38 PM,10:02 AM,07:13 AM,05:43 PM,11,15,16,15,13,26,77,0.0,1015,21,10,175,7
2020-01-15,23,11,0.0,8.7,5,5,61,10:43 PM,10:42 AM,07:13 AM,05:44 PM,9,15,16,15,13,21,66,0.0,1015,23,10,285,7
2020-01-16,16,13,0.0,3.9,3,3,54,11:47 PM,11:20 AM,07:13 AM,05:44 PM,12,14,14,14,12,84,88,23.2,1014,16,8,94,7
2020-01-17,19,12,0.0,3.9,4,4,47,No moonrise,11:57 AM,07:13 AM,05:45 PM,12,14,15,14,14,84,86,6.8,1016,19,9,135,9
2020-01-18,18,11,0.0,5.5,3,3,40,12:49 AM,12:34 PM,07:13 AM,05:46 PM,10,14,14,14,12,48,79,0.2,1018,18,8,322,7
2020-01-19,18,10,0.0,8.7,4,4,32,01:51 AM,01:14 PM,07:13 AM,05:47 PM,7,12,13,12,17,2,69,0.0,1018,18,10,294,11
2020-01-20,19,9,0.0,8.7,4,4,25,02:53 AM,01:56 PM,07:12 AM,05:48 PM,7,12,13,12,15,20,69,0.0,1017,19,10,298,9
2020-01-21,21,12,0.0,8.7,5,5,18,03:55 AM,02:41 PM,07:12 AM,05:48 PM,7,15,15,15,6,20,58,0.0,1018,21,10,139,4
2020-01-22,20,11,0.0,8.7,5,5,11,04:55 AM,03:32 PM,07:12 AM,05:49 PM,7,13,14,13,19,2,63,0.0,1019,20,10,301,11
2020-01-23,19,9,0.0,8.7,4,4,3,05:52 AM,04:25 PM,07:12 AM,05:50 PM,4,11,12,11,33,0,59,0.0,1016,19,10,303,20
2020-01-24,20,8,0.0,8.7,4,4,0,06:44 AM,05:21 PM,07:11 AM,05:51 PM,3,12,13,12,28,0,53,0.0,1014,20,10,292,17
2020-01-25,20,10,0.0,8.7,4,4,0,07:31 AM,06:17 PM,07:11 AM,05:52 PM,5,13,14,13,14,6,55,0.0,1015,20,10,302,8
2020-01-26,21,10,0.0,8.7,5,5,4,08:13 AM,07:13 PM,07:10 AM,05:53 PM,8,15,15,15,15,5,63,0.0,1013,21,10,296,9
2020-01-27,21,11,0.0,7.1,4,4,11,08:50 AM,08:07 PM,07:10 AM,05:53 PM,9,16,16,16,11,40,65,0.1,1011,21,10,271,6
2020-01-28,20,12,0.0,3.9,4,4,18,09:25 AM,09:01 PM,07:10 AM,05:54 PM,11,14,15,14,21,81,79,10.7,1011,20,9,110,13
2020-01-29,21,12,0.0,7.1,4,4,26,09:56 AM,09:53 PM,07:09 AM,05:55 PM,10,14,15,14,16,36,74,6.9,1016,21,10,308,9
2020-01-30,19,10,0.0,8.7,4,4,33,10:26 AM,10:44 PM,07:09 AM,05:56 PM,7,12,13,12,25,0,70,0.0,1016,19,10,307,15
2020-01-31,19,8,0.0,8.7,4,4,37,10:56 AM,11:36 PM,07:08 AM,05:57 PM,6,12,13,12,19,1,65,0.0,1014,19,10,299,11
2020-02-01,19,10,0.0,8.7,4,4,49,11:27 AM,No moonset,07:08 AM,05:58 PM,6,13,14,13,17,3,62,0.0,1017,19,10,302,10
2020-02-02,19,8,0.0,8.7,4,4,57,12:00 PM,12:28 AM,07:07 AM,05:58 PM,7,12,13,12,21,0,67,0.0,1018,19,10,301,12
2020-02-03,20,8,0.0,8.7,4,4,64,12:35 PM,01:23 AM,07:07 AM,05:59 PM,6,13,14,13,15,0,63,0.0,1017,20,10,300,9
2020-02-04,21,11,0.0,10.9,5,5,72,01:16 PM,02:20 AM,07:06 AM,06:00 PM,7,15,15,15,8,10,61,0.0,1016,21,10,188,5
2020-02-05,20,10,0.0,11.0,5,5,79,02:03 PM,03:19 AM,07:05 AM,06:01 PM,5,13,14,13,23,3,58,0.0,1015,20,10,308,13
2020-02-06,20,9,0.0,11.0,4,4,87,02:57 PM,04:18 AM,07:05 AM,06:01 PM,6,14,14,14,12,0,58,0.0,1015,20,10,300,7
2020-02-07,20,10,0.0,11.0,4,4,95,03:57 PM,05:18 AM,07:04 AM,06:02 PM,5,13,14,13,14,7,57,0.0,1017,20,10,296,8
2020-02-08,20,9,0.0,11.0,5,5,100,05:03 PM,06:14 AM,07:03 AM,06:03 PM,7,13,14,13,17,0,66,0.0,1019,20,10,301,10
2020-02-09,24,9,0.0,11.0,5,5,100,06:11 PM,07:07 AM,07:03 AM,06:04 PM,8,16,17,16,12,1,63,0.0,1020,24,10,292,7
2020-02-10,21,10,0.0,11.0,5,5,83,07:20 PM,07:54 AM,07:02 AM,06:05 PM,6,15,16,15,14,5,56,0.0,1018,21,10,293,9
2020-02-11,22,10,0.0,11.0,5,5,75,08:28 PM,08:37 AM,07:01 AM,06:05 PM,7,15,16,15,14,3,60,0.0,1018,22,10,302,8
2020-02-12,25,10,0.0,11.1,5,5,68,09:35 PM,09:17 AM,07:00 AM,06:06 PM,8,16,17,16,25,2,59,0.0,1017,25,10,292,14
2020-02-13,28,15,0.0,11.1,6,6,60,10:40 PM,09:56 AM,07:00 AM,06:07 PM,10,20,20,20,33,3,53,0.0,1013,28,10,291,19
2020-02-14,24,14,0.0,11.5,5,5,53,11:44 PM,10:34 AM,06:59 AM,06:08 PM,7,18,18,18,35,0,50,0.0,1010,24,10,302,21
2020-02-15,26,12,0.0,11.5,5,5,45,No moonrise,11:13 AM,06:58 AM,06:08 PM,6,17,18,17,28,0,48,0.0,1011,26,10,302,16
2020-02-16,26,12,0.0,11.5,5,5,38,12:48 AM,11:55 AM,06:57 AM,06:09 PM,6,18,18,18,19,0,46,0.0,1015,26,10,313,11
2020-02-17,26,13,0.0,11.5,5,5,30,01:50 AM,12:39 PM,06:56 AM,06:10 PM,5,18,18,18,22,0,42,0.0,1015,26,10,302,13
2020-02-18,27,10,0.0,11.6,5,5,22,02:50 AM,01:28 PM,06:55 AM,06:10 PM,4,18,18,18,20,1,40,0.0,1013,27,10,302,12
2020-02-19,25,14,0.0,11.6,5,5,15,03:48 AM,02:20 PM,06:54 AM,06:11 PM,6,18,18,18,22,11,45,0.0,1013,25,10,118,13
2020-02-20,27,14,0.0,11.6,6,6,7,04:40 AM,03:14 PM,06:54 AM,06:12 PM,9,19,20,19,34,26,53,0.4,1012,27,10,121,20
2020-02-21,21,14,0.0,5.8,4,4,0,05:29 AM,04:10 PM,06:53 AM,06:13 PM,12,16,16,16,39,76,79,17.8,1016,21,9,68,21
2020-02-22,25,13,0.0,11.6,6,6,0,06:11 AM,05:05 PM,06:52 AM,06:13 PM,12,18,19,18,13,17,68,0.0,1019,25,10,89,8
2020-02-23,26,15,0.0,11.6,6,6,0,06:50 AM,06:00 PM,06:51 AM,06:14 PM,12,20,20,20,11,36,63,0.9,1016,26,10,107,6
2020-02-24,26,16,0.0,11.6,6,6,0,07:25 AM,06:54 PM,06:50 AM,06:15 PM,11,20,20,20,13,3,58,0.0,1013,26,10,305,8
2020-02-25,27,15,0.0,11.6,6,6,8,07:57 AM,07:46 PM,06:49 AM,06:15 PM,9,20,20,20,14,6,50,0.0,1012,27,10,305,8
