date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,7.1,4,4,37,11:25 AM,11:07 PM,07:13 AM,05:29 PM,-0,13,13,13,9,42,41,0.0,1023,19,10,152,5
2020-01-02,21,11,0.0,8.7,4,4,44,11:55 AM,11:59 PM,07:13 AM,05:29 PM,4,15,15,15,10,46,50,0.1,1023,21,9,248,5
2020-01-03,20,11,0.0,7.1,4,4,51,12:24 PM,No moonset,07:14 AM,05:30 PM,9,14,14,14,9,47,75,4.5,1020,20,10,272,5
2020-01-04,19,11,0.0,5.4,3,3,59,12:55 PM,12:52 AM,07:14 AM,05:31 PM,9,14,13,14,8,41,76,3.5,1018,19,10,167,5
2020-01-05,18,10,0.0,8.7,4,4,66,01:26 PM,01:45 AM,07:14 AM,05:31 PM,6,13,13,13,9,11,63,0.0,1018,18,10,294,6
2020-01-06,18,9,0.0,3.8,3,3,73,02:00 PM,02:40 AM,07:14 AM,05:32 PM,4,12,13,12,14,65,56,0.2,1019,18,9,301,8
2020-01-07,13,6,0.0,3.8,3,3,80,02:38 PM,03:37 AM,07:14 AM,05:33 PM,10,11,12,11,10,89,88,6.9,1017,13,8,61,6
2020-01-08,12,10,0.0,3.8,3,3,88,03:23 PM,04:37 AM,07:14 AM,05:34 PM,9,10,11,10,12,64,90,35.4,1015,12,8,119,8
2020-01-09,17,8,0.0,8.7,4,4,95,04:13 PM,05:38 AM,07:14 AM,05:35 PM,8,12,12,12,6,9,77,0.0,1019,17,10,271,5
2020-01-10,20,8,0.0,8.7,4,4,100,05:11 PM,06:38 AM,07:14 AM,05:35 PM,6,13,13,13,7,7,66,0.0,1020,20,10,283,5
2020-01-11,19,8,0.0,8.7,4,4,100,06:14 PM,07:37 AM,07:14 AM,05:36 PM,4,12,12,12,7,23,58,0.0,1020,19,10,253,4
2020-01-12,21,9,0.0,8.7,5,5,83,07:21 PM,08:30 AM,07:14 AM,05:37 PM,6,14,14,14,7,14,61,0.0,1017,21,10,254,4
