date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,9,0.0,8.7,4,4,37,11:24 AM,11:09 PM,07:08 AM,05:34 PM,2,13,13,13,16,16,46,0.0,1021,20,10,93,9
2020-01-02,19,13,0.0,8.7,5,5,44,11:55 AM,No moonset,07:09 AM,05:35 PM,7,15,15,15,14,29,58,0.0,1020,19,10,73,9
2020-01-03,21,12,0.0,5.5,4,4,51,12:25 PM,12:00 AM,07:09 AM,05:36 PM,12,16,16,16,13,47,78,4.0,1017,21,10,47,8
2020-01-04,21,13,0.0,7.1,4,4,59,12:56 PM,12:51 AM,07:09 AM,05:36 PM,11,16,16,16,8,26,71,0.2,1016,21,10,210,5
2020-01-05,21,13,0.0,8.7,5,5,66,01:29 PM,01:44 AM,07:09 AM,05:37 PM,7,16,16,16,12,6,56,0.0,1017,21,10,281,8
2020-01-06,21,12,0.0,8.7,5,5,73,02:04 PM,02:37 AM,07:09 AM,05:38 PM,7,15,16,15,15,39,57,0.0,1018,21,10,208,8
2020-01-07,22,14,0.0,8.7,5,5,80,02:43 PM,03:34 AM,07:10 AM,05:39 PM,10,16,17,16,17,31,65,0.0,1016,22,10,99,11
2020-01-08,20,11,0.0,7.1,4,4,88,03:28 PM,04:32 AM,07:10 AM,05:39 PM,11,14,15,14,21,63,76,2.0,1014,20,10,131,14
2020-01-09,18,9,0.0,8.7,4,4,95,04:19 PM,05:33 AM,07:10 AM,05:40 PM,8,12,13,12,18,11,72,0.0,1018,18,9,322,13
2020-01-10,20,8,0.0,8.7,4,4,100,05:17 PM,06:33 AM,07:10 AM,05:41 PM,5,12,13,12,16,0,60,0.0,1019,20,10,310,11
2020-01-11,20,7,0.0,8.7,4,4,100,06:19 PM,07:32 AM,07:10 AM,05:42 PM,3,12,13,12,15,9,53,0.0,1019,20,10,297,8
2020-01-12,23,10,0.0,8.7,5,5,83,07:26 PM,08:26 AM,07:10 AM,05:42 PM,5,16,16,16,10,4,48,0.0,1016,23,10,269,7
2020-01-13,23,14,0.0,8.7,4,4,76,08:32 PM,09:15 AM,07:10 AM,05:43 PM,7,17,17,17,13,32,54,1.7,1012,23,10,134,8
2020-01-14,22,12,0.0,8.7,5,5,69,09:38 PM,10:00 AM,07:10 AM,05:44 PM,10,16,16,16,12,23,71,0.0,1014,22,10,83,7
2020-01-15,22,13,0.0,8.7,4,4,61,10:42 PM,10:40 AM,07:10 AM,05:45 PM,11,16,17,16,14,37,74,0.0,1015,22,10,39,9
2020-01-16,16,11,0.0,3.9,4,4,54,11:45 PM,11:19 AM,07:10 AM,05:45 PM,14,14,15,14,12,97,93,16.1,1014,16,8,104,8
2020-01-17,19,10,0.0,3.9,4,4,47,No moonrise,11:57 AM,07:10 AM,05:46 PM,13,15,15,15,10,59,86,9.9,1016,19,10,283,7
2020-01-18,19,12,0.0,8.7,4,4,40,12:47 AM,12:34 PM,07:09 AM,05:47 PM,11,15,15,15,11,32,81,0.1,1018,19,9,348,7
2020-01-19,19,12,0.0,8.7,5,5,32,01:49 AM,01:14 PM,07:09 AM,05:48 PM,8,14,15,14,14,2,66,0.0,1018,19,10,308,10
2020-01-20,18,10,0.0,8.7,4,4,25,02:51 AM,01:57 PM,07:09 AM,05:49 PM,7,13,14,13,11,24,64,0.0,1017,18,10,283,7
2020-01-21,23,12,0.0,8.7,5,5,18,03:52 AM,02:43 PM,07:09 AM,05:49 PM,8,16,17,16,7,5,58,0.0,1018,23,10,119,5
2020-01-22,22,13,0.0,8.7,5,5,11,04:51 AM,03:33 PM,07:09 AM,05:50 PM,8,16,16,16,14,1,61,0.0,1019,22,10,315,9
2020-01-23,19,10,0.0,8.7,4,4,3,05:48 AM,04:26 PM,07:08 AM,05:51 PM,6,13,14,13,27,0,61,0.0,1018,19,10,300,16
2020-01-24,19,9,0.0,8.7,4,4,0,06:40 AM,05:22 PM,07:08 AM,05:52 PM,4,13,14,13,25,0,51,0.0,1016,19,10,288,15
2020-01-25,22,11,0.0,8.7,5,5,0,07:28 AM,06:18 PM,07:08 AM,05:53 PM,5,16,16,16,10,3,49,0.0,1016,22,10,310,7
2020-01-26,23,11,0.0,8.7,5,5,4,08:10 AM,07:14 PM,07:07 AM,05:53 PM,8,16,17,16,10,6,58,0.0,1014,23,10,288,6
2020-01-27,23,12,0.0,8.7,5,5,11,08:48 AM,08:08 PM,07:07 AM,05:54 PM,10,17,17,17,11,22,66,0.0,1012,23,10,116,6
2020-01-28,21,14,0.0,8.7,5,5,18,09:22 AM,09:00 PM,07:07 AM,05:55 PM,11,17,17,17,19,47,67,0.2,1011,21,10,131,11
2020-01-29,22,14,0.0,3.9,4,4,26,09:54 AM,09:52 PM,07:06 AM,05:56 PM,10,16,17,16,16,55,66,1.2,1016,22,10,320,9
2020-01-30,20,12,0.0,8.7,5,5,33,10:25 AM,10:43 PM,07:06 AM,05:57 PM,9,15,15,15,18,0,66,0.0,1017,20,10,309,13
2020-01-31,21,11,0.0,8.7,5,5,37,10:55 AM,11:34 PM,07:05 AM,05:57 PM,8,15,15,15,13,3,63,0.0,1015,21,10,307,8
2020-02-01,21,10,0.0,8.7,5,5,49,11:27 AM,No moonset,07:05 AM,05:58 PM,7,15,15,15,11,6,59,0.0,1018,21,10,301,7
2020-02-02,21,11,0.0,8.7,5,5,57,12:00 PM,12:26 AM,07:04 AM,05:59 PM,7,15,15,15,13,0,59,0.0,1019,21,10,306,9
2020-02-03,23,11,0.0,11.0,5,5,64,12:36 PM,01:21 AM,07:04 AM,06:00 PM,7,16,16,16,9,0,54,0.0,1018,23,10,298,7
2020-02-04,22,12,0.0,11.0,5,5,72,01:17 PM,02:17 AM,07:03 AM,06:00 PM,7,16,16,16,10,2,56,0.0,1016,22,10,79,7
2020-02-05,21,11,0.0,11.0,5,5,79,02:04 PM,03:15 AM,07:03 AM,06:01 PM,7,15,15,15,17,8,59,0.0,1016,21,10,319,10
2020-02-06,22,10,0.0,11.0,5,5,87,02:58 PM,04:15 AM,07:02 AM,06:02 PM,6,16,17,16,14,2,53,0.0,1016,22,10,302,9
2020-02-07,21,12,0.0,11.0,5,5,95,03:59 PM,05:14 AM,07:01 AM,06:03 PM,6,15,15,15,9,4,54,0.0,1018,21,10,310,6
2020-02-08,22,11,0.0,11.0,5,5,100,05:04 PM,06:11 AM,07:01 AM,06:03 PM,8,16,16,16,11,0,58,0.0,1020,22,10,326,8
2020-02-09,25,12,0.0,11.0,5,5,100,06:12 PM,07:03 AM,07:00 AM,06:04 PM,9,18,19,18,8,6,61,0.0,1021,25,10,339,5
2020-02-10,24,10,0.0,11.5,5,5,83,07:21 PM,07:51 AM,06:59 AM,06:05 PM,6,16,17,16,10,18,51,0.0,1018,24,10,311,7
2020-02-11,24,13,0.0,11.5,5,5,75,08:28 PM,08:35 AM,06:59 AM,06:06 PM,7,18,18,18,9,2,50,0.0,1018,24,10,299,7
2020-02-12,25,13,0.0,11.5,5,5,68,09:34 PM,09:16 AM,06:58 AM,06:06 PM,8,19,19,19,18,1,51,0.0,1017,25,10,286,11
2020-02-13,28,15,0.0,11.5,6,6,60,10:38 PM,09:55 AM,06:57 AM,06:07 PM,9,20,21,20,31,1,49,0.0,1014,28,10,295,18
2020-02-14,25,15,0.0,11.5,6,6,53,11:42 PM,10:33 AM,06:56 AM,06:08 PM,5,19,19,19,34,0,40,0.0,1012,25,10,301,20
2020-02-15,26,12,0.0,11.5,5,5,45,No moonrise,11:14 AM,06:56 AM,06:09 PM,4,18,19,18,23,0,38,0.0,1013,26,10,302,14
2020-02-16,28,15,0.0,11.5,6,6,38,12:45 AM,11:56 AM,06:55 AM,06:09 PM,3,20,21,20,14,0,33,0.0,1016,28,10,324,9
2020-02-17,28,16,0.0,11.6,6,6,30,01:47 AM,12:41 PM,06:54 AM,06:10 PM,5,21,21,21,16,0,38,0.0,1016,28,10,303,10
