date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,12,0.0,7.2,4,4,37,10:50 AM,10:41 PM,06:31 AM,05:13 PM,8,14,15,14,12,59,65,6.0,1021,19,9,18,8
2020-01-02,19,13,0.0,5.6,4,4,44,11:24 AM,11:31 PM,06:31 AM,05:13 PM,12,16,16,16,12,66,80,5.7,1021,19,8,143,8
2020-01-03,18,13,0.0,4.1,4,4,51,11:56 AM,No moonset,06:32 AM,05:14 PM,13,15,15,15,18,77,87,8.9,1017,18,7,146,13
2020-01-04,21,14,0.0,4.1,4,4,59,12:28 PM,12:20 AM,06:32 AM,05:15 PM,13,17,17,17,10,65,79,4.0,1015,21,10,336,6
2020-01-05,19,12,0.0,8.7,5,5,66,01:02 PM,01:11 AM,06:32 AM,05:15 PM,9,15,15,15,15,13,70,0.0,1017,19,10,315,11
2020-01-06,20,11,0.0,8.7,5,5,73,01:39 PM,02:03 AM,06:32 AM,05:16 PM,7,15,15,15,14,2,58,0.0,1019,20,10,321,10
2020-01-07,21,12,0.0,8.7,5,5,80,02:19 PM,02:58 AM,06:33 AM,05:17 PM,7,17,17,17,11,6,53,0.0,1017,21,10,325,7
2020-01-08,22,13,0.0,8.7,5,5,88,03:05 PM,03:55 AM,06:33 AM,05:17 PM,9,17,17,17,14,33,60,2.4,1015,22,9,151,9
2020-01-09,22,11,0.0,4.1,4,4,95,03:57 PM,04:55 AM,06:33 AM,05:18 PM,13,16,17,16,17,79,83,6.6,1015,22,10,271,12
2020-01-10,17,9,0.0,8.7,4,4,100,04:54 PM,05:55 AM,06:33 AM,05:19 PM,8,11,12,11,18,11,78,0.0,1018,17,9,319,13
2020-01-11,19,9,0.0,8.7,4,4,100,05:57 PM,06:53 AM,06:33 AM,05:19 PM,7,13,13,13,13,2,67,0.0,1019,19,10,331,9
2020-01-12,21,10,0.0,8.7,5,5,83,07:02 PM,07:49 AM,06:33 AM,05:20 PM,4,14,15,14,14,0,52,0.0,1016,21,10,312,10
2020-01-13,21,11,0.0,8.7,5,5,76,08:07 PM,08:39 AM,06:33 AM,05:21 PM,4,16,16,16,12,0,47,0.0,1014,21,10,321,9
2020-01-14,24,14,0.0,8.7,5,5,69,09:11 PM,09:26 AM,06:33 AM,05:22 PM,3,18,19,18,9,2,37,0.0,1014,24,10,325,6
2020-01-15,26,15,0.0,8.7,6,6,61,10:13 PM,10:08 AM,06:33 AM,05:22 PM,7,20,20,20,8,4,45,0.0,1015,26,10,202,4
2020-01-16,27,16,0.0,8.7,6,6,54,11:14 PM,10:48 AM,06:33 AM,05:23 PM,9,20,21,20,14,5,49,0.0,1014,27,10,184,9
2020-01-17,27,17,0.0,8.7,6,6,47,No moonrise,11:28 AM,06:33 AM,05:24 PM,9,21,21,21,14,5,48,0.0,1015,27,10,194,9
2020-01-18,23,12,0.0,7.2,4,4,40,12:14 AM,12:07 PM,06:33 AM,05:25 PM,12,18,19,18,12,44,66,1.1,1015,23,10,24,8
2020-01-19,20,13,0.0,4.1,4,4,32,01:15 AM,12:49 PM,06:33 AM,05:25 PM,13,16,16,16,14,69,81,13.9,1016,20,9,331,9
2020-01-20,21,11,0.0,8.7,5,5,25,02:14 AM,01:33 PM,06:33 AM,05:26 PM,7,15,15,15,14,5,61,0.0,1017,21,10,312,10
2020-01-21,23,11,0.0,5.6,4,4,18,03:15 AM,02:20 PM,06:33 AM,05:27 PM,4,16,16,16,7,50,47,0.0,1019,23,10,271,5
2020-01-22,25,14,0.0,8.7,6,6,11,04:13 AM,03:11 PM,06:33 AM,05:28 PM,8,19,19,19,12,11,49,0.0,1018,25,10,316,8
2020-01-23,23,12,0.0,8.7,5,5,3,05:10 AM,04:04 PM,06:33 AM,05:28 PM,6,16,17,16,22,8,52,0.0,1016,23,10,290,14
2020-01-24,21,10,0.0,8.7,5,5,0,06:02 AM,04:59 PM,06:32 AM,05:29 PM,2,14,15,14,20,0,45,0.0,1016,21,10,291,14
2020-01-25,22,11,0.0,8.7,5,5,0,06:50 AM,05:55 PM,06:32 AM,05:30 PM,4,15,16,15,13,0,48,0.0,1016,22,10,309,10
2020-01-26,21,11,0.0,8.7,5,5,4,07:34 AM,06:49 PM,06:32 AM,05:30 PM,5,15,15,15,15,3,55,0.0,1014,21,10,302,10
2020-01-27,22,11,0.0,8.7,5,5,11,08:13 AM,07:42 PM,06:32 AM,05:31 PM,5,16,16,16,15,3,50,0.0,1014,22,10,314,10
2020-01-28,26,14,0.0,8.7,5,5,18,08:49 AM,08:33 PM,06:31 AM,05:32 PM,7,19,20,19,14,45,47,0.3,1013,26,10,164,9
2020-01-29,27,17,0.0,8.7,5,5,26,09:23 AM,09:23 PM,06:31 AM,05:33 PM,11,21,21,21,16,49,55,1.2,1013,27,10,295,9
2020-01-30,22,13,0.0,4.1,4,4,33,09:55 AM,10:12 PM,06:31 AM,05:33 PM,11,18,19,18,20,58,63,1.7,1014,22,10,305,14
2020-01-31,22,11,0.0,8.7,5,5,37,10:26 AM,11:02 PM,06:30 AM,05:34 PM,4,16,16,16,13,0,48,0.0,1015,22,10,313,10
2020-02-01,23,12,0.0,8.7,5,5,49,10:59 AM,11:53 PM,06:30 AM,05:35 PM,5,17,17,17,13,4,46,0.0,1016,23,10,311,8
2020-02-02,20,11,0.0,8.7,5,5,57,11:34 AM,No moonset,06:29 AM,05:35 PM,3,15,15,15,19,1,46,0.0,1019,20,10,319,13
2020-02-03,22,10,0.0,8.7,5,5,64,12:11 PM,12:45 AM,06:29 AM,05:36 PM,1,15,15,15,15,1,41,0.0,1018,22,10,316,10
