date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,25,15,0.0,10.8,6,6,37,11:41 AM,11:33 PM,07:20 AM,06:03 PM,8,19,20,19,26,5,49,0.0,1015,25,10,77,16
2020-01-02,25,15,0.0,10.1,5,5,44,12:14 PM,No moonset,07:21 AM,06:03 PM,12,20,21,20,20,30,64,0.2,1017,25,10,46,12
2020-01-03,25,15,0.0,10.8,6,6,51,12:46 PM,12:22 AM,07:21 AM,06:04 PM,10,19,19,19,17,8,58,0.0,1017,25,10,235,10
2020-01-04,25,14,0.0,10.8,6,6,59,01:19 PM,01:12 AM,07:21 AM,06:05 PM,7,19,19,19,17,4,47,0.0,1016,25,10,65,10
2020-01-05,26,14,0.0,10.8,6,6,66,01:53 PM,02:02 AM,07:22 AM,06:05 PM,5,19,20,19,22,1,40,0.0,1016,26,10,96,13
2020-01-06,28,14,0.0,10.8,6,6,73,02:30 PM,02:54 AM,07:22 AM,06:06 PM,5,20,21,20,21,20,38,0.0,1016,28,10,154,12
2020-01-07,28,17,0.0,10.9,6,6,80,03:11 PM,03:49 AM,07:22 AM,06:07 PM,10,23,23,22,19,26,46,0.0,1013,28,10,240,11
2020-01-08,26,16,0.0,10.9,6,6,88,03:57 PM,04:46 AM,07:22 AM,06:07 PM,6,20,21,20,24,10,43,0.0,1014,26,10,320,14
2020-01-09,23,11,0.0,10.9,5,5,95,04:49 PM,05:46 AM,07:22 AM,06:08 PM,1,16,17,16,25,0,38,0.0,1017,23,10,68,15
2020-01-10,23,11,0.0,10.9,5,5,100,05:47 PM,06:46 AM,07:22 AM,06:09 PM,-0,15,16,15,32,0,35,0.0,1018,23,10,78,19
2020-01-11,26,12,0.0,10.9,5,5,100,06:49 PM,07:44 AM,07:23 AM,06:09 PM,3,18,19,18,29,3,35,0.0,1016,26,10,89,18
2020-01-12,29,16,0.0,10.9,6,6,83,07:54 PM,08:39 AM,07:23 AM,06:10 PM,10,24,24,23,23,10,45,0.0,1014,29,10,155,14
2020-01-13,23,14,0.0,5.4,5,5,76,08:59 PM,09:30 AM,07:23 AM,06:11 PM,13,18,19,18,21,50,69,0.3,1012,23,10,278,13
2020-01-14,24,12,0.0,10.9,5,5,69,10:03 PM,10:16 AM,07:23 AM,06:12 PM,6,18,19,18,18,4,48,0.0,1014,24,10,191,10
2020-01-15,25,13,0.0,10.9,5,5,61,11:05 PM,10:59 AM,07:23 AM,06:12 PM,6,18,20,18,18,2,45,0.0,1013,25,10,208,11
2020-01-16,23,12,0.0,10.9,5,5,54,No moonrise,11:40 AM,07:23 AM,06:13 PM,8,16,18,16,20,7,61,0.0,1013,23,10,289,12
2020-01-17,26,13,0.0,10.9,6,6,47,12:06 AM,12:19 PM,07:23 AM,06:14 PM,8,19,20,19,15,3,55,0.0,1015,26,10,214,9
2020-01-18,27,13,0.0,10.9,6,6,40,01:06 AM,12:59 PM,07:23 AM,06:14 PM,6,19,20,19,19,1,44,0.0,1016,27,10,179,11
2020-01-19,25,12,0.0,10.9,5,5,32,02:06 AM,01:40 PM,07:23 AM,06:15 PM,3,19,20,19,23,9,37,0.0,1017,25,10,66,13
2020-01-20,27,12,0.0,8.5,5,5,25,03:06 AM,02:24 PM,07:22 AM,06:16 PM,2,19,20,19,18,46,35,0.0,1016,27,10,80,11
2020-01-21,28,15,0.0,11.0,6,6,18,04:05 AM,03:12 PM,07:22 AM,06:17 PM,2,22,22,22,15,4,31,0.0,1015,28,10,223,9
2020-01-22,30,14,0.0,11.0,6,6,11,05:04 AM,04:03 PM,07:22 AM,06:17 PM,4,23,23,23,20,0,34,0.0,1017,30,10,62,11
2020-01-23,27,15,0.0,11.0,6,6,3,06:00 AM,04:56 PM,07:22 AM,06:18 PM,3,21,21,21,27,0,34,0.0,1018,27,10,67,16
2020-01-24,31,14,0.0,11.0,6,6,0,06:53 AM,05:52 PM,07:22 AM,06:19 PM,3,23,23,22,21,0,32,0.0,1017,31,10,129,12
2020-01-25,31,16,0.0,11.0,6,6,0,07:41 AM,06:47 PM,07:22 AM,06:19 PM,2,23,23,23,14,4,29,0.0,1015,31,10,149,8
2020-01-26,31,17,0.0,11.0,7,7,4,08:24 AM,07:41 PM,07:21 AM,06:20 PM,5,24,24,25,13,6,31,0.0,1013,31,10,218,8
2020-01-27,30,19,0.0,11.0,6,6,11,09:03 AM,08:33 PM,07:21 AM,06:21 PM,7,24,24,24,17,3,37,0.0,1010,30,10,247,11
2020-01-28,24,14,0.0,11.0,6,6,18,09:40 AM,09:25 PM,07:21 AM,06:22 PM,8,19,20,19,21,24,53,0.0,1011,24,10,261,14
2020-01-29,26,13,0.0,11.0,6,6,26,10:13 AM,10:14 PM,07:20 AM,06:22 PM,6,20,21,20,12,3,44,0.0,1015,26,10,213,7
2020-01-30,27,13,0.0,11.0,6,6,33,10:45 AM,11:04 PM,07:20 AM,06:23 PM,2,20,21,20,18,1,34,0.0,1017,27,10,102,11
2020-01-31,28,13,0.0,11.0,6,6,37,11:18 AM,11:53 PM,07:20 AM,06:24 PM,2,21,22,21,18,1,32,0.0,1014,28,10,177,10
2020-02-01,27,12,0.0,11.1,6,6,49,11:50 AM,No moonset,07:19 AM,06:24 PM,-3,20,20,20,25,0,24,0.0,1016,27,10,62,15
2020-02-02,28,14,0.0,11.1,6,6,57,12:25 PM,12:44 AM,07:19 AM,06:25 PM,-1,21,21,21,26,0,25,0.0,1017,28,10,79,16
2020-02-03,31,14,0.0,11.1,6,6,64,01:03 PM,01:37 AM,07:18 AM,06:26 PM,2,23,23,23,19,2,28,0.0,1016,31,10,139,11
2020-02-04,28,16,0.0,11.1,6,6,72,01:46 PM,02:31 AM,07:18 AM,06:26 PM,2,22,22,22,19,0,31,0.0,1014,28,10,284,11
