date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,18,0.0,4.1,5,5,37,11:21 AM,11:17 PM,06:56 AM,05:54 PM,17,23,23,22,20,70,74,1.8,1014,28,10,182,13
2020-01-02,26,19,0.0,4.1,5,5,44,11:55 AM,No moonset,06:56 AM,05:54 PM,17,23,23,22,18,66,74,12.6,1015,26,9,174,11
2020-01-03,26,18,0.0,4.1,5,5,51,12:29 PM,12:05 AM,06:56 AM,05:55 PM,17,21,22,21,15,76,76,1.3,1014,26,10,77,9
2020-01-04,26,18,0.0,8.7,6,6,59,01:03 PM,12:53 AM,06:57 AM,05:56 PM,15,22,22,21,13,18,69,0.0,1013,26,10,69,8
2020-01-05,24,16,0.0,8.7,6,6,66,01:39 PM,01:42 AM,06:57 AM,05:56 PM,12,20,21,20,20,6,60,0.0,1015,24,10,79,14
2020-01-06,26,15,0.0,8.7,6,6,73,02:17 PM,02:33 AM,06:57 AM,05:57 PM,11,20,21,20,20,15,55,0.0,1017,26,10,117,12
2020-01-07,28,18,0.0,8.7,6,6,80,03:00 PM,03:26 AM,06:57 AM,05:57 PM,14,24,24,23,17,35,59,0.1,1014,28,10,161,10
2020-01-08,29,21,0.0,4.1,6,6,88,03:47 PM,04:22 AM,06:58 AM,05:58 PM,17,26,26,24,24,64,63,2.8,1012,29,10,248,16
2020-01-09,26,18,0.0,7.2,5,5,95,04:39 PM,05:21 AM,06:58 AM,05:59 PM,12,22,22,22,19,32,55,0.0,1014,26,10,40,12
2020-01-10,24,15,0.0,8.7,5,5,100,05:38 PM,06:20 AM,06:58 AM,05:59 PM,7,19,19,19,23,1,49,0.0,1016,24,10,72,16
2020-01-11,26,14,0.0,11.4,6,6,100,06:39 PM,07:19 AM,06:58 AM,06:00 PM,7,20,21,20,19,7,44,0.0,1016,26,10,88,11
2020-01-12,28,16,0.0,11.4,6,6,83,07:43 PM,08:15 AM,06:58 AM,06:01 PM,4,22,22,22,17,0,32,0.0,1015,28,10,85,10
2020-01-13,30,19,0.0,11.4,6,6,76,08:47 PM,09:07 AM,06:59 AM,06:01 PM,6,24,24,24,11,1,32,0.0,1012,30,10,200,7
2020-01-14,29,20,0.0,11.4,6,6,69,09:49 PM,09:55 AM,06:59 AM,06:02 PM,9,25,25,24,12,6,40,0.0,1012,29,10,161,7
2020-01-15,30,19,0.0,11.4,6,6,61,10:49 PM,10:39 AM,06:59 AM,06:03 PM,12,24,24,24,23,14,51,0.0,1012,30,10,153,15
