date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,7,0.0,7.1,4,4,37,11:34 AM,11:18 PM,07:21 AM,05:40 PM,-3,11,11,11,16,33,36,0.0,1021,18,10,93,9
2020-01-02,21,10,0.0,8.7,5,5,44,12:05 PM,No moonset,07:21 AM,05:41 PM,2,14,14,14,17,18,44,0.0,1021,21,10,66,9
2020-01-03,22,11,0.0,8.7,5,5,51,12:34 PM,12:09 AM,07:22 AM,05:42 PM,5,16,16,16,14,11,52,0.0,1018,22,10,307,9
2020-01-04,21,12,0.0,8.7,5,5,59,01:05 PM,01:02 AM,07:22 AM,05:42 PM,3,16,16,16,11,13,43,0.0,1016,21,10,187,6
2020-01-05,21,12,0.0,8.7,5,5,66,01:37 PM,01:55 AM,07:22 AM,05:43 PM,4,16,16,16,12,23,46,0.0,1017,21,10,303,7
2020-01-06,17,12,0.0,7.1,3,3,73,02:11 PM,02:49 AM,07:22 AM,05:44 PM,7,13,14,13,20,57,63,0.1,1019,17,10,60,14
2020-01-07,18,11,0.0,3.8,4,4,80,02:50 PM,03:46 AM,07:22 AM,05:44 PM,10,14,15,14,15,72,74,1.3,1017,18,8,204,11
2020-01-08,18,11,0.0,3.8,3,3,88,03:34 PM,04:45 AM,07:22 AM,05:45 PM,10,14,14,14,11,76,81,13.1,1015,18,9,179,7
2020-01-09,18,10,0.0,8.7,4,4,95,04:25 PM,05:46 AM,07:23 AM,05:46 PM,5,13,13,13,12,1,61,0.0,1019,18,10,338,9
2020-01-10,19,8,0.0,8.7,4,4,100,05:23 PM,06:47 AM,07:23 AM,05:47 PM,-0,12,12,12,18,7,43,0.0,1020,19,10,332,11
2020-01-11,20,8,0.0,8.7,4,4,100,06:26 PM,07:45 AM,07:23 AM,05:48 PM,-3,13,14,13,13,19,33,0.0,1019,20,10,328,7
2020-01-12,23,11,0.0,8.7,5,5,83,07:33 PM,08:39 AM,07:23 AM,05:48 PM,-1,16,16,16,10,14,33,0.0,1016,23,10,270,6
2020-01-13,18,9,0.0,3.8,3,3,76,08:40 PM,09:28 AM,07:23 AM,05:49 PM,7,13,14,13,21,50,64,14.8,1011,18,9,236,12
2020-01-14,19,11,0.0,8.7,4,4,69,09:46 PM,10:11 AM,07:22 AM,05:50 PM,9,14,14,14,12,1,72,0.0,1016,19,10,353,9
2020-01-15,20,10,0.0,8.7,4,4,61,10:51 PM,10:51 AM,07:22 AM,05:51 PM,5,13,14,13,12,12,60,0.0,1016,20,10,229,7
2020-01-16,17,10,0.0,3.9,3,3,54,11:55 PM,11:29 AM,07:22 AM,05:52 PM,5,13,13,13,13,69,57,1.8,1015,17,10,208,8
2020-01-17,19,10,0.0,8.7,4,4,47,No moonrise,12:05 PM,07:22 AM,05:52 PM,6,13,13,13,10,20,64,0.0,1017,19,10,212,6
2020-01-18,20,11,0.0,8.7,5,5,40,12:58 AM,12:42 PM,07:22 AM,05:53 PM,3,15,15,15,9,3,44,0.0,1018,20,10,297,6
2020-01-19,19,11,0.0,8.7,4,4,32,02:00 AM,01:22 PM,07:22 AM,05:54 PM,4,14,14,14,10,3,53,0.0,1019,19,10,310,7
2020-01-20,20,11,0.0,8.7,5,5,25,03:03 AM,02:03 PM,07:22 AM,05:55 PM,5,15,15,15,8,12,56,0.0,1018,20,10,300,5
2020-01-21,20,12,0.0,8.7,5,5,18,04:05 AM,02:49 PM,07:21 AM,05:56 PM,6,14,15,14,15,17,56,0.0,1018,20,10,64,9
2020-01-22,20,10,0.0,8.7,5,5,11,05:05 AM,03:39 PM,07:21 AM,05:57 PM,6,14,14,14,20,2,57,0.0,1020,20,10,335,12
2020-01-23,20,9,0.0,8.7,4,4,3,06:02 AM,04:32 PM,07:21 AM,05:57 PM,2,12,13,12,25,0,50,0.0,1019,20,10,312,15
2020-01-24,21,8,0.0,8.7,4,4,0,06:54 AM,05:28 PM,07:20 AM,05:58 PM,-1,13,14,13,24,0,38,0.0,1017,21,10,294,14
2020-01-25,22,12,0.0,8.7,5,5,0,07:41 AM,06:24 PM,07:20 AM,05:59 PM,2,16,16,16,10,9,40,0.0,1016,22,10,307,6
2020-01-26,23,12,0.0,10.8,5,5,4,08:22 AM,07:21 PM,07:20 AM,06:00 PM,6,17,17,17,10,10,49,0.0,1014,23,10,306,6
2020-01-27,23,13,0.0,5.4,4,4,11,09:00 AM,08:15 PM,07:19 AM,06:01 PM,9,16,16,16,19,64,64,4.2,1011,23,9,121,12
2020-01-28,19,13,0.0,5.4,4,4,18,09:34 AM,09:09 PM,07:19 AM,06:02 PM,11,15,15,15,19,64,78,6.0,1010,19,10,143,12
2020-01-29,20,13,0.0,10.8,5,5,26,10:05 AM,10:01 PM,07:18 AM,06:02 PM,8,15,15,15,11,5,65,0.0,1016,20,10,283,8
2020-01-30,20,12,0.0,10.9,5,5,33,10:34 AM,10:53 PM,07:18 AM,06:03 PM,6,14,15,14,16,6,60,0.0,1018,20,10,324,10
2020-01-31,19,11,0.0,10.9,5,5,37,11:04 AM,11:45 PM,07:17 AM,06:04 PM,5,15,15,15,12,5,54,0.0,1015,19,10,272,8
2020-02-01,20,10,0.0,10.9,5,5,49,11:35 AM,No moonset,07:17 AM,06:05 PM,5,15,15,15,10,9,53,0.0,1018,20,10,294,6
2020-02-02,21,11,0.0,10.9,5,5,57,12:07 PM,12:38 AM,07:16 AM,06:06 PM,5,16,16,16,9,0,52,0.0,1020,21,10,314,7
2020-02-03,22,12,0.0,10.9,5,5,64,12:43 PM,01:33 AM,07:16 AM,06:07 PM,5,16,17,16,7,0,48,0.0,1018,22,10,285,5
2020-02-04,21,10,0.0,8.5,4,4,72,01:24 PM,02:29 AM,07:15 AM,06:07 PM,5,14,15,14,16,30,55,0.0,1016,21,10,214,10
2020-02-05,20,10,0.0,10.9,5,5,79,02:10 PM,03:29 AM,07:14 AM,06:08 PM,5,14,15,14,15,2,52,0.0,1017,20,10,309,10
2020-02-06,21,11,0.0,11.0,5,5,87,03:04 PM,04:28 AM,07:14 AM,06:09 PM,4,15,16,15,11,0,46,0.0,1015,21,10,266,7
2020-02-07,20,9,0.0,11.0,5,5,95,04:04 PM,05:28 AM,07:13 AM,06:10 PM,4,14,15,14,14,7,51,0.0,1018,20,10,329,9
2020-02-08,22,11,0.0,11.0,5,5,100,05:10 PM,06:24 AM,07:12 AM,06:11 PM,6,17,18,17,9,0,52,0.0,1020,22,10,335,6
2020-02-09,23,12,0.0,11.0,5,5,100,06:19 PM,07:16 AM,07:12 AM,06:11 PM,4,16,17,16,5,17,47,0.0,1021,23,10,319,3
2020-02-10,23,11,0.0,11.0,5,5,83,07:29 PM,08:03 AM,07:11 AM,06:12 PM,4,18,19,18,8,14,44,0.0,1019,23,10,311,6
2020-02-11,24,11,0.0,11.0,5,5,75,08:36 PM,08:46 AM,07:10 AM,06:13 PM,5,18,18,18,7,6,44,0.0,1019,24,10,299,5
2020-02-12,26,12,0.0,11.1,5,5,68,09:44 PM,09:26 AM,07:09 AM,06:14 PM,6,19,19,19,18,9,46,0.0,1018,26,10,301,11
2020-02-13,28,14,0.0,11.1,6,6,60,10:49 PM,10:04 AM,07:09 AM,06:14 PM,7,20,20,20,25,3,45,0.0,1015,28,10,291,15
2020-02-14,26,14,0.0,11.1,5,5,53,11:53 PM,10:42 AM,07:08 AM,06:15 PM,2,18,19,18,28,1,36,0.0,1013,26,10,307,17
2020-02-15,27,12,0.0,11.1,6,6,45,No moonrise,11:21 AM,07:07 AM,06:16 PM,-2,18,19,18,24,0,26,0.0,1013,27,10,295,14
2020-02-16,30,14,0.0,11.1,6,6,38,12:57 AM,12:03 PM,07:06 AM,06:17 PM,-3,21,21,21,14,0,20,0.0,1015,30,10,293,9
2020-02-17,29,15,0.0,11.1,6,6,30,02:00 AM,12:47 PM,07:05 AM,06:17 PM,-0,21,21,21,16,0,28,0.0,1017,29,10,299,9
2020-02-18,28,14,0.0,11.1,6,6,22,03:00 AM,01:36 PM,07:04 AM,06:18 PM,-3,20,20,21,17,1,21,0.0,1014,28,10,270,10
2020-02-19,30,15,0.0,11.2,6,6,15,03:57 AM,02:27 PM,07:03 AM,06:19 PM,0,21,21,21,31,36,26,0.0,1010,30,10,135,19
2020-02-20,28,15,0.0,11.2,6,6,7,04:50 AM,03:22 PM,07:02 AM,06:20 PM,6,21,21,21,33,10,40,0.0,1010,28,10,119,20
2020-02-21,23,14,0.0,8.6,4,4,0,05:38 AM,04:17 PM,07:01 AM,06:20 PM,12,17,17,17,31,48,72,5.4,1016,23,10,87,20
2020-02-22,26,13,0.0,11.2,6,6,0,06:20 AM,05:13 PM,07:00 AM,06:21 PM,11,19,20,19,15,17,60,0.0,1020,26,10,60,9
2020-02-23,27,16,0.0,11.2,6,6,0,06:59 AM,06:08 PM,07:00 AM,06:22 PM,10,23,23,22,8,8,53,0.0,1017,27,10,220,5
2020-02-24,28,17,0.0,11.6,6,6,0,07:34 AM,07:02 PM,06:59 AM,06:23 PM,8,21,21,22,10,11,42,0.0,1014,28,10,273,6
2020-02-25,28,16,0.0,11.6,5,5,8,08:05 AM,07:55 PM,06:58 AM,06:23 PM,8,22,22,22,11,18,41,0.0,1012,28,10,291,6
2020-02-26,31,17,0.0,11.6,6,6,15,08:36 AM,08:46 PM,06:56 AM,06:24 PM,7,24,24,24,14,4,38,0.0,1012,31,10,174,8
2020-02-27,31,17,0.0,11.6,6,6,23,09:05 AM,09:38 PM,06:55 AM,06:25 PM,7,24,24,24,16,22,39,0.0,1013,31,10,219,9
2020-02-28,30,16,0.0,11.6,5,5,30,09:36 AM,10:30 PM,06:54 AM,06:25 PM,11,23,23,23,32,17,48,0.0,1010,30,10,132,20
2020-02-29,31,18,0.0,10.2,5,5,38,10:06 AM,11:24 PM,06:53 AM,06:26 PM,12,24,24,23,28,27,59,0.3,1009,31,10,127,19
2020-03-01,29,14,0.0,11.6,6,6,44,10:40 AM,No moonset,06:52 AM,06:27 PM,13,22,22,21,13,12,63,0.0,1012,29,10,194,8
2020-03-02,29,18,0.0,11.6,6,6,51,11:18 AM,12:19 AM,06:51 AM,06:27 PM,10,24,24,23,10,7,48,0.0,1011,29,10,249,6
2020-03-03,29,18,0.0,11.6,6,6,58,12:01 PM,01:16 AM,06:50 AM,06:28 PM,8,24,24,23,9,4,41,0.0,1010,29,10,229,6
2020-03-04,30,18,0.0,11.6,6,6,65,12:49 PM,02:13 AM,06:49 AM,06:29 PM,7,24,24,24,16,6,39,0.0,1009,30,10,205,9
2020-03-05,29,15,0.0,8.8,5,5,73,01:45 PM,03:11 AM,06:48 AM,06:29 PM,11,19,19,19,32,53,64,5.7,1008,29,10,129,21
2020-03-06,19,13,0.0,5.9,4,4,80,02:47 PM,04:08 AM,06:47 AM,06:30 PM,13,15,16,15,38,64,84,34.0,1008,19,8,96,22
2020-03-07,23,13,0.0,11.6,4,4,87,03:54 PM,05:01 AM,06:46 AM,06:31 PM,11,17,18,17,18,31,69,0.0,1012,23,10,221,12
2020-03-08,25,16,0.0,11.6,6,6,95,05:03 PM,05:50 AM,06:45 AM,06:31 PM,10,20,21,20,14,3,57,0.0,1014,25,10,342,9
2020-03-09,26,15,0.0,11.6,6,6,100,06:12 PM,06:35 AM,06:43 AM,06:32 PM,8,20,21,20,18,0,49,0.0,1013,26,10,320,12
2020-03-10,27,15,0.0,11.6,6,6,100,07:22 PM,07:17 AM,06:42 AM,06:32 PM,6,21,21,21,12,16,40,0.0,1010,27,10,218,7
2020-03-11,25,16,0.0,8.8,4,4,84,08:30 PM,07:57 AM,06:41 AM,06:33 PM,12,19,19,19,32,54,63,1.5,1008,25,10,106,19
2020-03-12,28,17,0.0,11.6,6,6,76,09:38 PM,08:36 AM,06:40 AM,06:34 PM,6,21,21,21,22,6,40,0.0,1010,28,10,149,14
2020-03-13,26,14,0.0,11.6,6,6,69,10:44 PM,09:16 AM,06:39 AM,06:34 PM,4,19,19,19,21,3,43,0.0,1013,26,10,231,13
2020-03-14,23,13,0.0,11.6,5,5,62,11:50 PM,09:58 AM,06:38 AM,06:35 PM,7,18,18,18,15,14,52,0.0,1014,23,10,291,10
2020-03-15,24,12,0.0,11.6,5,5,55,No moonrise,10:43 AM,06:37 AM,06:35 PM,9,19,19,19,10,12,58,0.0,1016,24,10,69,7
