date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,16,0.0,8.7,6,6,37,10:37 AM,10:29 PM,06:17 AM,05:02 PM,11,23,23,22,15,19,51,0.0,1019,27,10,232,10
2020-01-02,28,17,0.0,8.7,6,6,44,11:11 AM,11:18 PM,06:17 AM,05:03 PM,13,23,23,22,12,25,55,0.0,1019,28,10,150,8
2020-01-03,20,12,0.0,4.1,4,4,51,11:43 AM,No moonset,06:17 AM,05:04 PM,14,17,18,17,18,55,78,1.4,1017,20,8,87,12
2020-01-04,27,16,0.0,8.7,6,6,59,12:16 PM,12:07 AM,06:18 AM,05:04 PM,15,21,22,21,7,24,73,0.0,1014,27,8,95,5
2020-01-05,24,18,0.0,8.7,5,5,66,12:50 PM,12:58 AM,06:18 AM,05:05 PM,14,21,22,21,13,29,67,0.4,1015,24,9,302,9
2020-01-06,26,18,0.0,8.7,6,6,73,01:27 PM,01:50 AM,06:18 AM,05:06 PM,10,22,22,22,11,0,48,0.0,1018,26,10,347,9
2020-01-07,25,16,0.0,8.7,6,6,80,02:08 PM,02:44 AM,06:18 AM,05:06 PM,8,20,21,20,13,5,46,0.0,1016,25,10,329,10
2020-01-08,26,16,0.0,8.7,6,6,88,02:54 PM,03:41 AM,06:18 AM,05:07 PM,7,21,21,21,12,39,42,0.0,1015,26,10,350,8
2020-01-09,22,19,0.0,5.6,5,5,95,03:46 PM,04:40 AM,06:19 AM,05:08 PM,12,20,21,20,9,45,59,0.2,1015,22,10,83,7
2020-01-10,26,17,0.0,8.7,6,6,100,04:44 PM,05:40 AM,06:19 AM,05:08 PM,12,20,21,20,17,4,59,0.0,1016,26,10,315,13
2020-01-11,25,16,0.0,8.7,6,6,100,05:46 PM,06:38 AM,06:19 AM,05:09 PM,12,20,21,20,15,2,60,0.0,1016,25,10,339,12
2020-01-12,26,16,0.0,8.7,6,6,83,06:51 PM,07:34 AM,06:19 AM,05:10 PM,11,21,21,21,14,0,55,0.0,1014,26,10,326,11
2020-01-13,26,17,0.0,8.7,6,6,76,07:56 PM,08:25 AM,06:19 AM,05:11 PM,7,21,22,21,11,0,41,0.0,1013,26,10,317,10
2020-01-14,29,18,0.0,8.7,6,6,69,08:59 PM,09:12 AM,06:19 AM,05:11 PM,11,24,24,24,6,0,44,0.0,1013,29,10,325,5
2020-01-15,31,20,0.0,8.7,7,7,61,10:01 PM,09:55 AM,06:19 AM,05:12 PM,11,26,26,25,7,1,40,0.0,1014,31,10,334,6
2020-01-16,33,19,0.0,8.7,7,7,54,11:01 PM,10:36 AM,06:19 AM,05:13 PM,12,27,27,26,7,2,43,0.0,1015,33,10,54,5
2020-01-17,32,23,0.0,8.7,7,7,47,No moonrise,11:16 AM,06:19 AM,05:13 PM,12,27,27,26,3,2,43,0.0,1015,32,10,95,3
2020-01-18,31,22,0.0,8.7,7,7,40,12:01 AM,11:56 AM,06:19 AM,05:14 PM,11,26,26,26,6,4,40,0.0,1015,31,10,302,4
2020-01-19,29,20,0.0,8.7,7,7,32,01:00 AM,12:37 PM,06:19 AM,05:15 PM,12,24,24,23,11,21,50,0.0,1015,29,10,122,8
2020-01-20,25,18,0.0,8.7,5,5,25,02:00 AM,01:22 PM,06:19 AM,05:16 PM,10,21,22,21,16,36,52,0.0,1016,25,10,322,12
2020-01-21,25,16,0.0,8.7,6,6,18,03:00 AM,02:09 PM,06:19 AM,05:16 PM,8,21,22,21,11,20,45,0.0,1018,25,10,333,8
2020-01-22,29,18,0.0,8.7,6,6,11,03:58 AM,03:00 PM,06:19 AM,05:17 PM,10,24,24,23,9,1,42,0.0,1017,29,10,320,7
2020-01-23,26,17,0.0,8.7,6,6,3,04:55 AM,03:54 PM,06:18 AM,05:18 PM,11,22,22,22,11,27,51,0.0,1014,26,10,336,7
2020-01-24,26,18,0.0,8.7,6,6,0,05:48 AM,04:49 PM,06:18 AM,05:18 PM,5,22,22,22,15,2,35,0.0,1015,26,10,313,11
2020-01-25,26,16,0.0,8.7,6,6,0,06:36 AM,05:44 PM,06:18 AM,05:19 PM,6,21,21,21,9,0,38,0.0,1015,26,10,314,7
2020-01-26,27,18,0.0,8.7,6,6,4,07:20 AM,06:38 PM,06:18 AM,05:20 PM,7,22,22,22,9,1,39,0.0,1013,27,10,301,8
2020-01-27,26,16,0.0,8.7,6,6,11,07:59 AM,07:31 PM,06:18 AM,05:21 PM,8,22,22,21,12,2,44,0.0,1013,26,10,307,9
2020-01-28,29,17,0.0,8.7,6,6,18,08:35 AM,08:21 PM,06:17 AM,05:21 PM,8,22,22,22,10,13,43,0.0,1013,29,10,293,6
2020-01-29,30,19,0.0,5.7,5,5,26,09:09 AM,09:11 PM,06:17 AM,05:22 PM,16,24,24,23,15,59,67,5.4,1014,30,10,148,10
2020-01-30,29,21,0.0,7.2,6,6,33,09:42 AM,10:00 PM,06:17 AM,05:23 PM,16,25,25,24,13,61,65,3.1,1012,29,9,330,9
2020-01-31,27,18,0.0,8.7,6,6,37,10:14 AM,10:49 PM,06:16 AM,05:23 PM,10,23,23,23,15,18,46,0.0,1014,27,10,302,12
2020-02-01,27,17,0.0,8.7,6,6,49,10:47 AM,11:40 PM,06:16 AM,05:24 PM,9,23,23,23,11,2,42,0.0,1016,27,10,323,9
2020-02-02,25,16,0.0,8.7,6,6,57,11:23 AM,No moonset,06:16 AM,05:25 PM,6,21,21,21,16,9,39,0.0,1017,25,10,312,11
2020-02-03,26,16,0.0,8.7,6,6,64,12:01 PM,12:31 AM,06:15 AM,05:25 PM,5,21,21,22,12,1,34,0.0,1017,26,10,323,10
2020-02-04,26,15,0.0,8.7,6,6,72,12:43 PM,01:26 AM,06:15 AM,05:26 PM,6,22,22,22,9,6,36,0.0,1015,26,10,350,7
2020-02-05,28,20,0.0,8.7,6,6,79,01:32 PM,02:22 AM,06:14 AM,05:27 PM,10,23,23,23,11,45,45,0.0,1014,28,10,287,8
2020-02-06,27,18,0.0,8.7,6,6,87,02:25 PM,03:22 AM,06:14 AM,05:27 PM,9,23,23,23,12,6,43,0.0,1015,27,10,203,9
2020-02-07,28,17,0.0,8.7,6,6,95,03:26 PM,04:20 AM,06:13 AM,05:28 PM,8,23,23,23,10,36,40,0.0,1017,28,10,148,7
2020-02-08,26,20,0.0,8.7,6,6,100,04:30 PM,05:18 AM,06:13 AM,05:28 PM,10,24,24,22,20,41,45,0.0,1018,26,10,222,15
2020-02-09,28,18,0.0,8.7,6,6,100,05:36 PM,06:12 AM,06:12 AM,05:29 PM,7,22,22,22,17,19,39,0.0,1018,28,10,342,12
2020-02-10,27,17,0.0,8.7,6,6,83,06:42 PM,07:02 AM,06:12 AM,05:30 PM,5,23,23,23,12,0,33,0.0,1017,27,10,301,10
2020-02-11,28,18,0.0,8.7,6,6,75,07:48 PM,07:49 AM,06:11 AM,05:30 PM,6,23,23,23,12,0,34,0.0,1017,28,10,323,10
2020-02-12,29,17,0.0,8.7,6,6,68,08:51 PM,08:31 AM,06:11 AM,05:31 PM,5,23,23,24,13,0,32,0.0,1016,29,10,306,10
2020-02-13,28,19,0.0,8.7,6,6,60,09:53 PM,09:13 AM,06:10 AM,05:31 PM,7,24,24,24,11,2,36,0.0,1013,28,10,287,9
2020-02-14,31,21,0.0,8.7,7,7,53,10:54 PM,09:54 AM,06:10 AM,05:32 PM,11,26,26,26,12,2,40,0.0,1010,31,10,285,9
2020-02-15,31,23,0.0,8.7,7,7,45,11:55 PM,10:36 AM,06:09 AM,05:33 PM,10,27,27,27,12,0,37,0.0,1012,31,10,293,10
2020-02-16,32,21,0.0,8.7,7,7,38,No moonrise,11:21 AM,06:08 AM,05:33 PM,9,26,26,26,9,2,38,0.0,1014,32,10,277,7
2020-02-17,33,21,0.0,8.7,7,7,30,12:55 AM,12:07 PM,06:08 AM,05:34 PM,9,27,27,28,9,0,34,0.0,1014,33,10,273,7
2020-02-18,33,21,0.0,8.7,7,7,22,01:54 AM,12:57 PM,06:07 AM,05:34 PM,11,27,27,27,11,0,42,0.0,1014,33,10,292,9
2020-02-19,34,22,0.0,8.7,7,7,15,02:50 AM,01:49 PM,06:06 AM,05:35 PM,12,29,29,28,11,2,45,0.0,1015,34,10,252,8
