date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,7.1,4,4,37,11:36 AM,11:15 PM,07:26 AM,05:34 PM,3,13,12,13,7,32,53,0.0,1023,19,10,224,4
2020-01-02,19,10,0.0,3.8,3,3,44,12:05 PM,No moonset,07:26 AM,05:35 PM,3,14,14,14,10,56,50,0.7,1023,19,10,222,5
2020-01-03,19,11,0.0,8.7,4,4,51,12:34 PM,12:08 AM,07:26 AM,05:35 PM,6,14,14,14,8,24,61,0.0,1019,19,10,234,4
2020-01-04,18,10,0.0,8.7,3,3,59,01:03 PM,01:01 AM,07:27 AM,05:36 PM,6,13,13,13,9,39,65,0.5,1018,18,10,258,5
2020-01-05,17,10,0.0,7.1,3,3,66,01:34 PM,01:56 AM,07:27 AM,05:37 PM,4,12,12,12,13,35,59,0.0,1019,17,10,320,8
2020-01-06,15,2,0.0,3.8,3,3,73,02:07 PM,02:51 AM,07:27 AM,05:38 PM,5,9,10,9,13,72,67,4.6,1019,15,10,227,8
2020-01-07,14,11,0.0,3.8,3,3,80,02:45 PM,03:49 AM,07:27 AM,05:38 PM,11,12,12,12,7,89,94,22.9,1017,14,7,132,5
2020-01-08,17,9,0.0,7.1,3,3,88,03:29 PM,04:49 AM,07:27 AM,05:39 PM,8,11,12,11,11,47,79,1.3,1017,17,7,314,7
2020-01-09,16,9,0.0,8.7,4,4,95,04:18 PM,05:51 AM,07:27 AM,05:40 PM,5,11,12,11,11,0,66,0.0,1020,16,10,311,8
2020-01-10,16,8,0.0,8.7,4,4,100,05:16 PM,06:52 AM,07:27 AM,05:41 PM,4,10,11,10,14,11,62,0.0,1020,16,10,313,9
2020-01-11,17,8,0.0,7.1,3,3,100,06:19 PM,07:50 AM,07:27 AM,05:42 PM,3,11,11,11,14,48,56,0.0,1019,17,10,308,8
2020-01-12,21,11,0.0,5.4,4,4,83,07:27 PM,08:43 AM,07:27 AM,05:43 PM,6,15,16,15,18,51,54,0.2,1016,21,10,305,10
2020-01-13,15,4,0.0,3.8,3,3,76,08:35 PM,09:31 AM,07:27 AM,05:43 PM,10,10,12,10,23,81,84,33.5,1011,15,8,170,15
2020-01-14,17,9,0.0,8.7,4,4,69,09:43 PM,10:13 AM,07:27 AM,05:44 PM,9,12,12,12,10,22,83,0.0,1017,17,9,321,6
2020-01-15,17,9,0.0,8.7,3,3,61,10:49 PM,10:52 AM,07:27 AM,05:45 PM,10,12,13,12,9,49,85,0.7,1018,17,10,280,5
2020-01-16,18,10,0.0,7.1,3,3,54,11:55 PM,11:29 AM,07:26 AM,05:46 PM,11,13,13,13,9,58,84,5.0,1016,18,10,249,5
2020-01-17,18,10,0.0,7.1,3,3,47,No moonrise,12:04 PM,07:26 AM,05:47 PM,9,13,13,13,8,56,80,3.7,1017,18,10,216,5
2020-01-18,17,10,0.0,5.5,3,3,40,12:59 AM,12:39 PM,07:26 AM,05:48 PM,9,13,13,13,8,52,79,1.3,1019,17,10,272,5
2020-01-19,17,7,0.0,8.7,4,4,32,02:03 AM,01:17 PM,07:26 AM,05:49 PM,8,12,12,12,12,10,74,0.0,1019,17,10,314,8
2020-01-20,18,9,0.0,7.1,3,3,25,03:06 AM,01:58 PM,07:25 AM,05:50 PM,5,13,13,13,11,61,60,0.0,1017,18,10,285,7
2020-01-21,17,10,0.0,5.5,3,3,18,04:09 AM,02:43 PM,07:25 AM,05:50 PM,6,12,13,12,20,56,65,0.3,1020,17,10,26,12
2020-01-22,18,9,0.0,8.7,4,4,11,05:10 AM,03:33 PM,07:25 AM,05:51 PM,6,12,13,12,16,6,65,0.0,1022,18,10,307,10
2020-01-23,16,8,0.0,8.7,4,4,3,06:07 AM,04:25 PM,07:24 AM,05:52 PM,5,11,12,11,15,0,66,0.0,1019,16,10,303,10
2020-01-24,18,9,0.0,8.7,4,4,0,06:59 AM,05:22 PM,07:24 AM,05:53 PM,4,12,12,12,14,4,59,0.0,1015,18,10,309,9
2020-01-25,18,8,0.0,8.7,4,4,0,07:45 AM,06:19 PM,07:24 AM,05:54 PM,4,12,12,12,9,34,56,0.0,1015,18,10,272,5
2020-01-26,20,10,0.0,8.7,5,5,4,08:26 AM,07:16 PM,07:23 AM,05:55 PM,9,14,14,14,13,9,70,0.0,1015,20,10,309,8
2020-01-27,20,11,0.0,7.1,4,4,11,09:02 AM,08:11 PM,07:23 AM,05:56 PM,9,15,15,15,11,46,68,0.9,1013,20,9,239,7
2020-01-28,14,5,0.0,3.9,3,3,18,09:35 AM,09:06 PM,07:22 AM,05:57 PM,10,10,12,10,22,90,86,22.2,1011,14,7,107,14
2020-01-29,17,10,0.0,3.9,3,3,26,10:05 AM,09:59 PM,07:22 AM,05:58 PM,9,12,12,12,13,62,80,12.2,1017,17,9,198,8
2020-01-30,17,9,0.0,8.7,4,4,33,10:34 AM,10:52 PM,07:21 AM,05:59 PM,8,12,12,12,14,4,78,0.0,1019,17,10,303,9
2020-01-31,17,8,0.0,8.7,4,4,37,11:03 AM,11:45 PM,07:20 AM,05:59 PM,8,12,12,12,10,16,76,0.1,1015,17,10,282,7
2020-02-01,18,9,0.0,10.8,4,4,49,11:33 AM,No moonset,07:20 AM,06:00 PM,8,13,13,13,9,10,74,0.1,1019,18,10,293,6
2020-02-02,18,10,0.0,10.8,4,4,57,12:04 PM,12:39 AM,07:19 AM,06:01 PM,8,13,13,13,12,0,73,0.0,1020,18,10,302,9
2020-02-03,19,10,0.0,10.8,4,4,64,12:38 PM,01:35 AM,07:19 AM,06:02 PM,8,14,14,14,9,0,69,0.0,1018,19,10,289,6
2020-02-04,17,9,0.0,8.5,3,3,72,01:18 PM,02:33 AM,07:18 AM,06:03 PM,6,12,12,12,13,32,69,0.0,1018,17,10,249,8
2020-02-05,17,9,0.0,10.9,4,4,79,02:04 PM,03:33 AM,07:17 AM,06:04 PM,7,12,12,12,13,2,70,0.0,1018,17,10,299,9
2020-02-06,19,9,0.0,10.9,4,4,87,02:57 PM,04:33 AM,07:16 AM,06:05 PM,7,13,13,13,9,14,68,0.0,1016,19,10,270,6
2020-02-07,19,8,0.0,10.9,4,4,95,03:58 PM,05:33 AM,07:16 AM,06:06 PM,7,13,13,13,8,6,68,0.0,1020,19,10,283,6
2020-02-08,20,11,0.0,10.9,5,5,100,05:04 PM,06:28 AM,07:15 AM,06:06 PM,9,14,14,14,9,0,70,0.0,1022,20,10,287,6
2020-02-09,21,10,0.0,10.9,5,5,100,06:14 PM,07:20 AM,07:14 AM,06:07 PM,9,15,15,15,9,0,67,0.0,1021,21,10,282,6
2020-02-10,20,11,0.0,11.0,5,5,83,07:25 PM,08:06 AM,07:13 AM,06:08 PM,8,14,14,14,12,20,65,0.0,1018,20,10,297,8
2020-02-11,20,10,0.0,11.0,5,5,75,08:34 PM,08:47 AM,07:12 AM,06:09 PM,8,14,14,14,13,20,67,0.0,1019,20,10,307,8
2020-02-12,23,11,0.0,11.0,5,5,68,09:43 PM,09:26 AM,07:12 AM,06:10 PM,9,16,16,16,18,12,65,0.0,1019,23,10,311,11
2020-02-13,27,13,0.0,11.0,6,6,60,10:49 PM,10:03 AM,07:11 AM,06:11 PM,11,18,19,18,24,12,63,0.0,1017,27,10,308,14
2020-02-14,22,13,0.0,11.0,5,5,53,11:55 PM,10:39 AM,07:10 AM,06:12 PM,9,16,17,16,19,1,63,0.0,1014,22,10,296,11
2020-02-15,24,13,0.0,11.0,5,5,45,No moonrise,11:17 AM,07:09 AM,06:12 PM,10,17,18,17,15,0,62,0.0,1014,24,10,296,10
2020-02-16,24,13,0.0,11.1,5,5,38,01:00 AM,11:58 AM,07:08 AM,06:13 PM,8,18,18,18,14,9,55,0.0,1017,24,10,297,8
2020-02-17,23,13,0.0,11.1,5,5,30,02:03 AM,12:41 PM,07:07 AM,06:14 PM,8,18,18,18,13,4,56,0.0,1018,23,10,294,8
2020-02-18,24,11,0.0,11.1,5,5,22,03:05 AM,01:29 PM,07:06 AM,06:15 PM,7,17,18,17,12,36,54,0.0,1014,24,10,289,7
2020-02-19,23,13,0.0,11.1,5,5,15,04:02 AM,02:20 PM,07:05 AM,06:16 PM,6,17,18,17,30,27,47,0.0,1013,23,10,135,18
2020-02-20,26,16,0.0,11.1,6,6,7,04:55 AM,03:15 PM,07:04 AM,06:17 PM,8,20,20,20,19,40,46,0.9,1015,26,10,143,12
2020-02-21,22,14,0.0,10.1,4,4,0,05:43 AM,04:11 PM,07:03 AM,06:17 PM,11,17,18,17,16,43,65,1.5,1019,22,10,210,9
2020-02-22,24,14,0.0,11.2,5,5,0,06:24 AM,05:08 PM,07:02 AM,06:18 PM,12,18,19,18,13,7,67,0.0,1021,24,10,308,8
2020-02-23,25,16,0.0,11.2,6,6,0,07:02 AM,06:04 PM,07:01 AM,06:19 PM,11,19,20,19,11,7,61,0.0,1018,25,10,284,7
2020-02-24,24,15,0.0,11.2,6,6,0,07:36 AM,06:59 PM,07:00 AM,06:20 PM,11,19,20,19,11,1,59,0.0,1015,24,10,281,7
2020-02-25,25,15,0.0,11.6,6,6,8,08:06 AM,07:53 PM,06:59 AM,06:20 PM,10,20,20,20,12,1,55,0.0,1014,25,10,287,7
2020-02-26,26,14,0.0,11.6,6,6,15,08:35 AM,08:45 PM,06:58 AM,06:21 PM,8,19,20,19,10,7,49,0.0,1014,26,10,239,6
2020-02-27,27,15,0.0,11.6,6,6,23,09:04 AM,09:39 PM,06:57 AM,06:22 PM,10,20,21,20,10,19,53,0.0,1014,27,10,242,6
2020-02-28,26,15,0.0,11.6,6,6,30,09:33 AM,10:31 PM,06:55 AM,06:23 PM,13,20,21,20,17,33,64,0.3,1013,26,10,140,11
2020-02-29,22,15,0.0,7.3,4,4,38,10:03 AM,11:26 PM,06:54 AM,06:24 PM,14,17,18,17,26,67,80,28.8,1013,22,8,90,15
2020-03-01,25,14,0.0,11.6,6,6,44,10:36 AM,No moonset,06:53 AM,06:24 PM,12,19,20,19,14,16,64,0.2,1014,25,10,299,9
2020-03-02,26,17,0.0,11.6,6,6,51,11:13 AM,12:22 AM,06:52 AM,06:25 PM,11,21,22,21,10,5,56,0.0,1013,26,10,279,6
2020-03-03,26,16,0.0,11.6,6,6,58,11:55 AM,01:20 AM,06:51 AM,06:26 PM,11,20,21,20,10,7,58,0.0,1012,26,10,289,6
2020-03-04,26,15,0.0,11.6,6,6,65,12:43 PM,02:18 AM,06:50 AM,06:27 PM,10,21,22,21,14,26,55,1.0,1011,26,10,238,8
2020-03-05,20,14,0.0,5.9,4,4,73,01:39 PM,03:17 AM,06:48 AM,06:27 PM,11,16,16,16,19,73,71,13.1,1011,20,9,97,11
2020-03-06,16,13,0.0,5.9,3,3,80,02:41 PM,04:13 AM,06:47 AM,06:28 PM,12,13,14,13,22,80,85,20.9,1010,16,9,132,14
2020-03-07,19,12,0.0,7.3,4,4,87,03:48 PM,05:05 AM,06:46 AM,06:29 PM,11,14,15,14,16,80,80,7.0,1014,19,9,125,10
2020-03-08,23,12,0.0,11.6,5,5,95,04:58 PM,05:54 AM,06:45 AM,06:29 PM,11,17,17,17,14,26,69,2.6,1017,23,10,271,8
2020-03-09,23,12,0.0,11.6,5,5,100,06:09 PM,06:37 AM,06:44 AM,06:30 PM,9,17,18,17,16,10,62,0.0,1014,23,10,301,11
2020-03-10,25,14,0.0,11.6,6,6,100,07:20 PM,07:18 AM,06:42 AM,06:31 PM,8,19,20,19,10,2,53,0.0,1012,25,10,264,6
2020-03-11,24,10,0.0,7.4,4,4,84,08:30 PM,07:56 AM,06:41 AM,06:32 PM,10,16,17,16,25,54,64,7.6,1011,24,9,138,16
2020-03-12,23,14,0.0,6.0,4,4,76,09:39 PM,08:34 AM,06:40 AM,06:32 PM,13,17,18,17,32,72,76,29.6,1013,23,8,159,18
2020-03-13,22,13,0.0,8.8,4,4,69,10:47 PM,09:13 AM,06:39 AM,06:33 PM,11,17,18,17,28,60,69,5.7,1016,22,10,87,17
2020-03-14,22,10,0.0,6.0,4,4,62,11:54 PM,09:53 AM,06:37 AM,06:34 PM,10,14,15,14,16,75,75,24.4,1016,22,8,273,9
2020-03-15,24,11,0.0,11.6,5,5,55,No moonrise,10:37 AM,06:36 AM,06:34 PM,11,17,18,17,12,9,67,0.0,1018,24,10,269,7
2020-03-16,24,14,0.0,11.6,6,6,47,12:58 AM,11:25 AM,06:35 AM,06:35 PM,12,19,20,19,13,6,68,0.0,1018,24,10,297,9
2020-03-17,26,15,0.0,11.6,6,6,40,01:58 AM,12:16 PM,06:34 AM,06:36 PM,13,21,21,21,13,3,63,0.0,1017,26,10,301,8
2020-03-18,27,16,0.0,11.6,6,6,33,02:53 AM,01:11 PM,06:32 AM,06:36 PM,12,21,21,21,14,9,58,0.0,1015,27,10,313,9
2020-03-19,28,17,0.0,11.6,6,6,25,03:42 AM,02:06 PM,06:31 AM,06:37 PM,12,23,23,22,11,27,54,0.4,1012,28,10,277,7
2020-03-20,28,18,0.0,11.6,5,5,18,04:25 AM,03:03 PM,06:30 AM,06:38 PM,12,23,23,23,8,33,53,0.2,1012,28,10,233,5
2020-03-21,29,17,0.0,10.2,5,5,11,05:04 AM,03:59 PM,06:28 AM,06:38 PM,11,24,24,23,16,36,51,0.2,1012,29,10,323,10
2020-03-22,28,19,0.0,11.6,6,6,4,05:38 AM,04:53 PM,06:27 AM,06:39 PM,12,24,24,23,14,3,51,0.0,1014,28,10,295,9
2020-03-23,30,18,0.0,10.2,6,6,0,06:09 AM,05:47 PM,06:26 AM,06:40 PM,10,24,24,23,13,30,45,0.0,1013,30,10,309,7
2020-03-24,25,17,0.0,7.5,5,5,0,06:38 AM,06:40 PM,06:25 AM,06:40 PM,12,20,21,20,23,54,61,6.4,1012,25,9,79,14
2020-03-25,29,18,0.0,11.6,6,6,3,07:07 AM,07:34 PM,06:23 AM,06:41 PM,12,24,24,23,14,18,52,0.1,1013,29,10,307,9
2020-03-26,29,19,0.0,11.6,6,6,11,07:36 AM,08:27 PM,06:22 AM,06:42 PM,11,23,23,23,14,37,47,0.0,1013,29,10,311,9
2020-03-27,19,11,0.0,6.1,4,4,18,08:05 AM,09:21 PM,06:21 AM,06:42 PM,14,16,17,16,21,79,84,48.4,1014,19,6,146,14
2020-03-28,26,15,0.0,11.6,6,6,25,08:36 AM,10:16 PM,06:20 AM,06:43 PM,14,20,21,20,15,20,69,10.0,1016,26,9,284,10
