date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,18,0.0,5.9,5,5,37,11:15 AM,11:23 PM,06:38 AM,06:12 PM,19,23,23,22,9,80,86,1.7,1013,28,9,68,6
2020-01-02,27,17,0.0,7.3,5,5,44,11:53 AM,No moonset,06:39 AM,06:13 PM,20,24,24,23,8,69,86,1.1,1014,27,10,67,6
2020-01-03,29,19,0.0,8.7,6,6,51,12:30 PM,12:07 AM,06:39 AM,06:13 PM,20,24,24,23,7,69,82,1.1,1013,29,9,66,6
2020-01-04,29,19,0.0,5.9,6,6,59,01:08 PM,12:52 AM,06:40 AM,06:14 PM,21,26,26,24,5,69,86,4.5,1011,29,9,65,4
2020-01-05,28,22,0.0,5.9,6,6,66,01:47 PM,01:37 AM,06:40 AM,06:14 PM,21,26,26,24,7,80,87,3.6,1011,28,10,68,6
2020-01-06,28,19,0.0,11.6,6,6,73,02:29 PM,02:24 AM,06:40 AM,06:15 PM,19,25,25,23,10,49,84,0.9,1012,28,10,69,8
2020-01-07,28,15,0.0,5.9,5,5,80,03:15 PM,03:14 AM,06:41 AM,06:15 PM,18,23,23,22,12,74,83,1.5,1012,28,8,66,9
2020-01-08,28,20,0.0,10.2,5,5,88,04:04 PM,04:07 AM,06:41 AM,06:16 PM,19,24,24,23,8,58,80,0.4,1012,28,8,56,6
2020-01-09,27,17,0.0,10.2,5,5,95,04:59 PM,05:03 AM,06:41 AM,06:16 PM,19,23,23,22,7,54,84,0.1,1012,27,8,62,5
2020-01-10,27,18,0.0,11.6,6,6,100,05:57 PM,06:02 AM,06:42 AM,06:17 PM,18,23,23,22,8,11,80,0.0,1012,27,8,59,6
2020-01-11,27,16,0.0,11.6,6,6,100,06:58 PM,07:01 AM,06:42 AM,06:17 PM,16,21,21,20,10,15,77,0.0,1012,27,8,57,8
2020-01-12,26,13,0.0,11.6,6,6,83,07:59 PM,07:59 AM,06:42 AM,06:18 PM,15,20,21,20,9,9,76,0.0,1012,26,8,56,6
2020-01-13,27,16,0.0,11.6,6,6,76,08:59 PM,08:54 AM,06:42 AM,06:18 PM,17,22,22,21,6,29,79,0.0,1011,27,10,58,5
2020-01-14,28,15,0.0,11.6,6,6,69,09:57 PM,09:46 AM,06:43 AM,06:19 PM,17,23,23,21,6,36,79,0.1,1011,28,8,64,5
2020-01-15,26,16,0.0,11.6,6,6,61,10:53 PM,10:35 AM,06:43 AM,06:19 PM,16,21,21,21,6,19,78,0.0,1011,26,8,56,5
2020-01-16,28,13,0.0,11.6,6,6,54,11:48 PM,11:22 AM,06:43 AM,06:20 PM,16,22,22,21,7,24,75,0.0,1012,28,9,63,5
