date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,9,0.0,10.8,5,5,37,10:16 AM,10:05 PM,05:59 AM,04:36 PM,10,14,14,14,6,37,79,0.0,1021,21,10,123,4
2020-01-02,23,11,0.0,10.8,4,4,44,10:48 AM,10:55 PM,05:59 AM,04:37 PM,12,16,17,16,5,34,78,0.1,1021,23,9,151,3
2020-01-03,21,13,0.0,5.4,4,4,51,11:21 AM,11:45 PM,05:59 AM,04:37 PM,14,15,16,15,5,84,92,39.6,1017,21,8,141,3
2020-01-04,20,12,0.0,6.8,4,4,59,11:53 AM,No moonset,06:00 AM,04:38 PM,13,15,15,15,4,72,89,9.3,1015,20,7,250,3
2020-01-05,19,10,0.0,8.4,4,4,66,12:26 PM,12:36 AM,06:00 AM,04:39 PM,11,14,14,14,8,68,85,2.2,1014,19,7,281,6
2020-01-06,19,7,0.0,8.4,3,3,73,01:02 PM,01:29 AM,06:00 AM,04:39 PM,8,12,12,12,6,37,79,0.1,1018,19,8,104,3
2020-01-07,20,8,0.0,10.4,5,5,80,01:43 PM,02:23 AM,06:00 AM,04:40 PM,9,13,13,13,4,22,80,0.0,1016,20,10,230,2
2020-01-08,22,9,0.0,10.4,5,5,88,02:27 PM,03:21 AM,06:00 AM,04:41 PM,10,14,15,14,4,17,75,0.0,1016,22,8,194,2
2020-01-09,15,11,0.0,5.2,3,3,95,03:19 PM,04:20 AM,06:00 AM,04:42 PM,11,13,13,13,5,71,88,1.7,1015,15,7,72,3
2020-01-10,20,10,0.0,5.5,4,4,100,04:16 PM,05:21 AM,06:01 AM,04:42 PM,11,14,14,14,7,48,83,0.6,1015,20,8,284,4
2020-01-11,22,7,0.0,8.7,5,5,100,05:19 PM,06:19 AM,06:01 AM,04:43 PM,7,14,14,14,6,4,69,0.0,1015,22,10,152,3
2020-01-12,21,8,0.0,8.7,5,5,83,06:24 PM,07:15 AM,06:01 AM,04:44 PM,8,14,14,14,5,6,72,0.0,1014,21,10,187,3
2020-01-13,23,8,0.0,8.7,5,5,76,07:30 PM,08:05 AM,06:01 AM,04:45 PM,10,15,15,15,5,8,75,0.0,1013,23,10,218,3
2020-01-14,23,8,0.0,8.7,5,5,69,08:34 PM,08:51 AM,06:01 AM,04:45 PM,10,15,15,15,4,11,76,0.0,1013,23,9,288,2
2020-01-15,24,9,0.0,8.7,5,5,61,09:37 PM,09:34 AM,06:01 AM,04:46 PM,10,16,16,16,5,4,71,0.0,1015,24,10,257,3
2020-01-16,23,9,0.0,8.7,5,5,54,10:38 PM,10:13 AM,06:01 AM,04:47 PM,9,16,16,16,5,4,68,0.0,1016,23,10,257,3
2020-01-17,25,10,0.0,8.7,5,5,47,11:39 PM,10:52 AM,06:01 AM,04:48 PM,9,17,17,17,4,2,66,0.0,1017,25,10,90,3
2020-01-18,24,11,0.0,8.7,5,5,40,No moonrise,11:32 AM,06:01 AM,04:48 PM,10,17,17,17,4,1,68,0.0,1015,24,10,253,3
2020-01-19,23,9,0.0,10.5,5,5,32,12:39 AM,12:12 PM,06:00 AM,04:49 PM,10,15,16,15,6,10,71,0.0,1014,23,10,261,4
2020-01-20,20,9,0.0,8.4,4,4,25,01:40 AM,12:56 PM,06:00 AM,04:50 PM,10,14,14,14,8,55,79,1.6,1015,20,10,283,5
2020-01-21,21,8,0.0,10.0,5,5,18,02:40 AM,01:43 PM,06:00 AM,04:51 PM,7,14,14,14,7,25,67,0.1,1017,21,8,285,5
