date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,24,14,0.0,4.1,4,4,37,11:12 AM,11:04 PM,06:51 AM,05:36 PM,12,17,18,17,15,70,71,6.3,1017,24,10,124,9
2020-01-02,22,14,0.0,4.1,4,4,44,11:45 AM,11:53 PM,06:52 AM,05:37 PM,14,17,18,17,15,77,81,21.2,1018,22,8,146,9
2020-01-03,21,14,0.0,4.1,4,4,51,12:17 PM,No moonset,06:52 AM,05:37 PM,14,17,17,17,16,57,84,8.5,1016,21,10,300,10
2020-01-04,22,13,0.0,8.7,5,5,59,12:50 PM,12:42 AM,06:52 AM,05:38 PM,11,17,17,17,11,12,73,0.0,1015,22,9,227,7
2020-01-05,22,12,0.0,8.7,5,5,66,01:25 PM,01:33 AM,06:52 AM,05:39 PM,9,16,17,16,11,2,63,0.0,1017,22,10,32,7
2020-01-06,25,13,0.0,8.7,5,5,73,02:02 PM,02:25 AM,06:53 AM,05:39 PM,7,17,17,17,11,4,51,0.0,1018,25,10,149,7
2020-01-07,25,13,0.0,8.7,5,5,80,02:42 PM,03:20 AM,06:53 AM,05:40 PM,8,19,19,19,8,10,50,0.0,1016,25,10,244,5
2020-01-08,24,16,0.0,4.1,5,5,88,03:29 PM,04:16 AM,06:53 AM,05:41 PM,15,19,20,19,20,60,75,14.6,1013,24,9,206,12
2020-01-09,20,12,0.0,8.7,5,5,95,04:21 PM,05:16 AM,06:53 AM,05:41 PM,11,16,16,16,14,9,71,0.0,1016,20,10,346,10
2020-01-10,19,10,0.0,8.7,4,4,100,05:19 PM,06:15 AM,06:53 AM,05:42 PM,6,13,14,13,11,0,60,0.0,1019,19,10,6,8
2020-01-11,21,10,0.0,8.7,5,5,100,06:21 PM,07:14 AM,06:53 AM,05:43 PM,5,15,15,15,8,0,51,0.0,1018,21,10,17,6
2020-01-12,24,11,0.0,8.7,5,5,83,07:26 PM,08:09 AM,06:53 AM,05:43 PM,4,17,18,17,6,1,42,0.0,1016,24,10,230,4
