date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,19,0.0,4.1,5,5,37,11:13 AM,11:10 PM,06:47 AM,05:48 PM,18,23,23,22,24,78,78,9.0,1015,27,9,151,16
2020-01-02,28,19,0.0,5.7,5,5,44,11:48 AM,11:58 PM,06:47 AM,05:49 PM,19,24,24,23,18,70,79,7.3,1015,28,10,131,12
2020-01-03,24,20,0.0,4.1,5,5,51,12:22 PM,No moonset,06:47 AM,05:50 PM,20,23,23,22,12,83,89,6.5,1014,24,9,101,9
2020-01-04,27,19,0.0,8.7,5,5,59,12:56 PM,12:46 AM,06:48 AM,05:50 PM,17,23,23,22,8,44,75,0.0,1013,27,10,221,5
2020-01-05,25,18,0.0,8.7,6,6,66,01:33 PM,01:35 AM,06:48 AM,05:51 PM,14,21,22,21,12,14,64,0.0,1014,25,10,41,8
2020-01-06,27,17,0.0,8.7,6,6,73,02:11 PM,02:24 AM,06:48 AM,05:51 PM,14,23,23,22,9,34,61,0.0,1016,27,10,107,6
2020-01-07,27,20,0.0,7.2,5,5,80,02:53 PM,03:18 AM,06:49 AM,05:52 PM,17,25,25,23,13,62,68,1.3,1015,27,10,149,8
2020-01-08,29,20,0.0,5.7,5,5,88,03:41 PM,04:13 AM,06:49 AM,05:53 PM,19,26,26,24,24,61,76,1.0,1012,29,10,177,16
2020-01-09,27,20,0.0,4.1,5,5,95,04:34 PM,05:11 AM,06:49 AM,05:53 PM,19,25,25,23,14,67,80,4.4,1013,27,10,185,9
2020-01-10,25,17,0.0,8.7,6,6,100,05:32 PM,06:11 AM,06:49 AM,05:54 PM,13,21,21,21,13,19,64,0.0,1015,25,10,39,9
2020-01-11,29,16,0.0,8.7,6,6,100,06:34 PM,07:10 AM,06:49 AM,05:55 PM,12,23,23,22,6,3,54,0.0,1016,29,10,55,5
2020-01-12,29,18,0.0,8.7,6,6,83,07:38 PM,08:06 AM,06:50 AM,05:55 PM,8,23,23,23,5,0,41,0.0,1015,29,10,44,4
2020-01-13,30,18,0.0,8.7,6,6,76,08:40 PM,08:58 AM,06:50 AM,05:56 PM,7,23,23,23,6,0,37,0.0,1013,30,10,265,4
2020-01-14,30,18,0.0,8.7,6,6,69,09:42 PM,09:47 AM,06:50 AM,05:56 PM,11,24,24,23,12,6,47,0.0,1012,30,10,111,7
2020-01-15,29,18,0.0,8.7,6,6,61,10:42 PM,10:31 AM,06:50 AM,05:57 PM,14,23,23,23,20,6,61,0.0,1013,29,10,146,13
2020-01-16,28,18,0.0,8.7,6,6,54,11:40 PM,11:14 AM,06:50 AM,05:58 PM,14,23,23,22,26,7,61,0.0,1013,28,10,154,16
2020-01-17,27,18,0.0,8.7,6,6,47,No moonrise,11:56 AM,06:50 AM,05:58 PM,16,24,24,23,14,39,67,0.2,1014,27,9,148,9
2020-01-18,28,19,0.0,7.2,5,5,40,12:38 AM,12:38 PM,06:50 AM,05:59 PM,16,25,25,23,16,30,65,0.2,1013,28,10,134,10
2020-01-19,30,20,0.0,11.5,6,6,32,01:36 AM,01:22 PM,06:50 AM,06:00 PM,16,26,26,25,10,28,61,0.1,1013,30,10,156,7
2020-01-20,30,20,0.0,11.5,7,7,25,02:33 AM,02:07 PM,06:50 AM,06:00 PM,17,26,26,24,11,25,64,0.0,1014,30,10,103,7
2020-01-21,30,20,0.0,11.5,7,7,18,03:32 AM,02:56 PM,06:50 AM,06:01 PM,16,26,26,25,18,22,58,0.0,1015,30,10,142,11
2020-01-22,30,20,0.0,11.5,7,7,11,04:29 AM,03:48 PM,06:50 AM,06:01 PM,15,26,26,25,17,13,58,0.0,1016,30,10,130,11
2020-01-23,31,21,0.0,11.5,7,7,3,05:26 AM,04:42 PM,06:50 AM,06:02 PM,13,26,26,25,12,4,48,0.0,1014,31,10,85,8
2020-01-24,31,20,0.0,11.5,7,7,0,06:18 AM,05:37 PM,06:50 AM,06:03 PM,13,26,26,25,8,7,49,0.0,1014,31,10,72,6
2020-01-25,33,21,0.0,11.5,7,7,0,07:07 AM,06:30 PM,06:50 AM,06:03 PM,13,27,27,26,6,4,44,0.0,1013,33,10,173,4
2020-01-26,32,22,0.0,11.5,7,7,4,07:52 AM,07:23 PM,06:50 AM,06:04 PM,13,28,28,27,8,3,43,0.0,1012,32,10,37,5
2020-01-27,33,21,0.0,11.6,7,7,11,08:33 AM,08:14 PM,06:49 AM,06:04 PM,9,26,26,26,15,12,33,0.0,1011,33,10,141,9
2020-01-28,32,23,0.0,11.6,7,7,18,09:11 AM,09:03 PM,06:49 AM,06:05 PM,14,28,28,27,19,29,46,0.0,1011,32,10,235,12
2020-01-29,32,21,0.0,11.6,7,7,26,09:46 AM,09:51 PM,06:49 AM,06:06 PM,13,27,27,26,16,26,47,0.4,1013,32,10,293,10
2020-01-30,30,20,0.0,11.6,7,7,33,10:20 AM,10:38 PM,06:49 AM,06:06 PM,11,25,25,25,14,8,45,0.0,1013,30,10,246,9
2020-01-31,30,18,0.0,11.6,6,6,37,10:54 AM,11:26 PM,06:49 AM,06:07 PM,11,24,24,24,12,10,45,0.0,1012,30,10,105,8
2020-02-01,30,19,0.0,11.6,7,7,49,11:29 AM,No moonset,06:48 AM,06:07 PM,13,25,25,24,17,37,52,2.2,1012,30,10,152,11
2020-02-02,28,18,0.0,11.6,6,6,57,12:05 PM,12:15 AM,06:48 AM,06:08 PM,15,23,23,23,12,38,60,0.0,1015,28,10,163,9
2020-02-03,30,21,0.0,8.7,6,6,64,12:45 PM,01:06 AM,06:48 AM,06:08 PM,16,27,27,25,15,65,59,0.4,1014,30,10,200,11
2020-02-04,31,20,0.0,11.6,7,7,72,01:30 PM,01:59 AM,06:47 AM,06:09 PM,16,26,26,26,20,25,56,0.0,1012,31,10,172,14
2020-02-05,30,21,0.0,11.6,7,7,79,02:18 PM,02:54 AM,06:47 AM,06:09 PM,15,26,26,25,16,32,56,0.0,1012,30,10,146,11
2020-02-06,31,20,0.0,10.2,7,7,87,03:14 PM,03:53 AM,06:47 AM,06:10 PM,14,26,26,25,17,39,51,0.0,1012,31,10,172,11
2020-02-07,30,22,0.0,10.2,6,6,95,04:13 PM,04:51 AM,06:46 AM,06:10 PM,14,26,26,25,21,41,53,0.0,1012,30,10,137,14
2020-02-08,27,19,0.0,7.3,5,5,100,05:17 PM,05:50 AM,06:46 AM,06:11 PM,17,23,23,22,21,63,74,15.7,1014,27,9,67,14
2020-02-09,26,19,0.0,8.7,5,5,100,06:22 PM,06:44 AM,06:45 AM,06:11 PM,17,23,23,22,12,76,74,7.5,1016,26,9,68,9
2020-02-10,29,20,0.0,11.6,6,6,83,07:27 PM,07:36 AM,06:45 AM,06:12 PM,16,25,25,24,11,44,61,0.2,1015,29,10,116,8
2020-02-11,29,21,0.0,7.3,6,6,75,08:29 PM,08:24 AM,06:45 AM,06:12 PM,17,26,26,24,10,68,64,1.6,1016,29,10,125,7
2020-02-12,31,20,0.0,11.6,7,7,68,09:31 PM,09:09 AM,06:44 AM,06:13 PM,16,26,26,25,9,18,57,0.0,1016,31,10,94,6
2020-02-13,33,21,0.0,11.6,7,7,60,10:30 PM,09:53 AM,06:44 AM,06:13 PM,10,27,27,27,7,1,39,0.0,1015,33,10,63,5
2020-02-14,36,22,0.0,11.6,7,7,53,11:30 PM,10:36 AM,06:43 AM,06:14 PM,8,30,30,29,9,0,29,0.0,1012,36,10,272,6
2020-02-15,35,23,0.0,11.6,8,8,45,No moonrise,11:20 AM,06:43 AM,06:14 PM,10,29,29,29,5,2,32,0.0,1012,35,10,175,4
2020-02-16,34,24,0.0,11.6,7,7,38,12:29 AM,12:06 PM,06:42 AM,06:15 PM,9,28,28,29,8,0,30,0.0,1014,34,10,97,6
2020-02-17,34,22,0.0,11.6,7,7,30,01:28 AM,12:54 PM,06:41 AM,06:15 PM,6,28,28,28,9,0,26,0.0,1014,34,10,77,6
2020-02-18,33,22,0.0,11.6,7,7,22,02:25 AM,01:44 PM,06:41 AM,06:15 PM,2,27,27,28,9,0,20,0.0,1014,33,10,85,6
2020-02-19,34,21,0.0,11.6,7,7,15,03:21 AM,02:37 PM,06:40 AM,06:16 PM,6,27,27,28,11,0,26,0.0,1013,34,10,132,7
2020-02-20,33,20,0.0,11.6,7,7,7,04:14 AM,03:31 PM,06:40 AM,06:16 PM,14,27,27,26,25,3,52,0.0,1013,33,10,149,16
2020-02-21,33,20,0.0,11.6,7,7,0,05:04 AM,04:24 PM,06:39 AM,06:17 PM,13,27,27,26,24,3,47,0.0,1015,33,10,150,16
2020-02-22,34,20,0.0,11.6,7,7,0,05:49 AM,05:17 PM,06:38 AM,06:17 PM,13,29,29,27,23,8,45,0.0,1015,34,10,124,15
2020-02-23,34,21,0.0,11.6,7,7,0,06:31 AM,06:08 PM,06:38 AM,06:17 PM,13,28,28,27,25,9,45,0.0,1014,34,10,150,16
2020-02-24,35,22,0.0,11.6,7,7,0,07:09 AM,06:58 PM,06:37 AM,06:18 PM,12,28,28,28,22,13,39,0.0,1011,35,10,183,14
2020-02-25,34,22,0.0,11.6,7,7,8,07:46 AM,07:46 PM,06:37 AM,06:18 PM,12,30,30,29,9,11,40,0.0,1010,34,10,210,6
2020-02-26,33,22,0.0,11.6,7,7,15,08:20 AM,08:34 PM,06:36 AM,06:18 PM,14,28,28,27,10,9,46,0.0,1012,33,10,128,7
2020-02-27,34,23,0.0,11.6,7,7,23,08:54 AM,09:21 PM,06:35 AM,06:19 PM,7,28,28,28,9,1,30,0.0,1012,34,10,90,6
2020-02-28,33,19,0.0,11.6,7,7,30,09:28 AM,10:09 PM,06:34 AM,06:19 PM,11,27,27,27,15,5,42,0.0,1011,33,10,119,9
2020-02-29,33,19,0.0,11.6,7,7,38,10:03 AM,10:58 PM,06:34 AM,06:20 PM,15,27,27,26,16,13,53,0.0,1011,33,10,165,10
2020-03-01,33,20,0.0,11.6,7,7,44,10:41 AM,11:50 PM,06:33 AM,06:20 PM,14,28,28,27,17,11,47,0.0,1011,33,10,118,11
2020-03-02,34,22,0.0,11.6,7,7,51,11:22 AM,No moonset,06:32 AM,06:20 PM,13,28,28,28,10,22,41,0.0,1011,34,10,163,6
2020-03-03,35,23,0.0,11.6,8,8,58,12:08 PM,12:43 AM,06:32 AM,06:20 PM,13,31,31,30,14,13,39,0.0,1009,35,10,207,9
2020-03-04,35,22,0.0,10.2,6,6,65,12:59 PM,01:38 AM,06:31 AM,06:21 PM,11,30,30,30,12,26,35,1.8,1009,35,10,233,8
2020-03-05,35,22,0.0,11.6,7,7,73,01:55 PM,02:35 AM,06:30 AM,06:21 PM,8,29,29,29,15,6,33,0.0,1008,35,10,186,10
2020-03-06,37,22,0.0,10.2,7,7,80,02:55 PM,03:32 AM,06:29 AM,06:21 PM,13,31,31,29,25,33,46,2.7,1008,37,10,209,17
2020-03-07,35,21,0.0,11.6,7,7,87,03:59 PM,04:28 AM,06:29 AM,06:22 PM,14,28,28,28,13,26,46,0.1,1011,35,10,275,9
2020-03-08,33,22,0.0,8.8,6,6,95,05:04 PM,05:21 AM,06:28 AM,06:22 PM,19,28,28,26,16,72,66,2.2,1011,33,10,113,11
2020-03-09,32,23,0.0,7.4,6,6,100,06:08 PM,06:11 AM,06:27 AM,06:22 PM,19,29,29,27,14,59,62,3.4,1010,32,10,157,9
2020-03-10,36,24,0.0,11.6,8,8,100,07:12 PM,06:58 AM,06:26 AM,06:23 PM,14,29,29,29,25,22,43,0.0,1009,36,10,161,17
2020-03-11,34,25,0.0,10.2,6,6,84,08:14 PM,07:43 AM,06:25 AM,06:23 PM,17,30,30,29,12,46,48,0.0,1010,34,10,236,8
2020-03-12,35,24,0.0,11.6,6,6,76,09:16 PM,08:28 AM,06:25 AM,06:23 PM,15,29,29,29,18,40,46,0.1,1011,35,10,163,12
2020-03-13,34,24,0.0,11.6,7,7,69,10:18 PM,09:13 AM,06:24 AM,06:23 PM,16,30,30,29,16,26,45,0.0,1011,34,10,215,11
2020-03-14,37,24,0.0,11.6,8,8,62,11:19 PM,10:00 AM,06:23 AM,06:24 PM,14,30,30,30,19,31,38,0.0,1010,37,10,180,13
2020-03-15,36,24,0.0,11.6,8,8,55,No moonrise,10:49 AM,06:22 AM,06:24 PM,13,30,30,30,17,23,38,0.0,1011,36,10,143,12
2020-03-16,36,23,0.0,11.6,8,8,47,12:19 AM,11:40 AM,06:21 AM,06:24 PM,15,30,30,29,15,18,44,0.0,1012,36,10,138,10
2020-03-17,36,24,0.0,11.6,7,7,40,01:17 AM,12:33 PM,06:21 AM,06:24 PM,14,31,31,30,16,21,40,0.0,1012,36,10,138,11
2020-03-18,38,24,0.0,11.6,8,8,33,02:11 AM,01:27 PM,06:20 AM,06:25 PM,12,31,31,31,10,16,33,0.0,1012,38,10,231,6
2020-03-19,37,26,0.0,8.8,7,7,25,03:02 AM,02:20 PM,06:19 AM,06:25 PM,13,30,30,30,16,54,37,1.8,1010,37,10,204,9
2020-03-20,37,24,0.0,11.6,8,8,18,03:49 AM,03:13 PM,06:18 AM,06:25 PM,12,31,31,30,18,5,34,0.0,1009,37,10,173,11
2020-03-21,38,25,0.0,11.6,8,8,11,04:31 AM,04:04 PM,06:17 AM,06:25 PM,6,31,31,31,13,12,25,0.1,1009,38,10,275,8
2020-03-22,40,23,0.0,11.6,8,8,4,05:10 AM,04:54 PM,06:16 AM,06:26 PM,10,34,34,33,13,1,33,0.0,1010,40,10,268,8
2020-03-23,35,24,0.0,11.6,8,8,0,05:46 AM,05:43 PM,06:16 AM,06:26 PM,15,32,32,31,19,11,46,0.0,1010,35,10,151,12
2020-03-24,37,24,0.0,11.6,8,8,0,06:21 AM,06:30 PM,06:15 AM,06:26 PM,14,31,31,31,16,12,39,0.0,1008,37,10,149,11
2020-03-25,38,25,0.0,11.6,8,8,3,06:55 AM,07:18 PM,06:14 AM,06:26 PM,14,31,31,31,16,30,36,1.3,1008,38,10,100,10
2020-03-26,38,26,0.0,11.6,8,8,11,07:29 AM,08:06 PM,06:13 AM,06:27 PM,13,32,32,32,12,29,32,0.4,1009,38,10,132,8
2020-03-27,39,26,0.0,11.6,8,8,18,08:03 AM,08:54 PM,06:12 AM,06:27 PM,10,34,34,34,19,6,28,0.0,1010,39,10,161,12
2020-03-28,39,27,0.0,11.6,8,8,25,08:40 AM,09:45 PM,06:11 AM,06:27 PM,12,33,33,33,11,13,29,0.0,1010,39,10,137,7
2020-03-29,39,29,0.0,11.6,9,9,32,09:20 AM,10:37 PM,06:11 AM,06:27 PM,13,35,35,34,12,23,29,0.2,1008,39,10,195,7
2020-03-30,41,28,0.0,11.6,9,9,40,10:03 AM,11:31 PM,06:10 AM,06:27 PM,12,35,35,35,10,16,27,0.1,1009,41,10,182,7
2020-03-31,39,27,0.0,11.6,9,9,44,10:51 AM,No moonset,06:09 AM,06:28 PM,12,33,33,34,8,30,27,0.2,1010,39,10,97,6
2020-04-01,40,28,0.0,11.6,9,9,56,11:44 AM,12:26 AM,06:08 AM,06:28 PM,10,34,34,35,11,5,24,0.0,1009,40,10,305,7
2020-04-02,43,28,0.0,11.6,9,9,64,12:40 PM,01:21 AM,06:07 AM,06:28 PM,10,34,34,34,12,5,23,0.0,1007,43,10,128,7
2020-04-03,37,28,0.0,11.6,8,8,71,01:41 PM,02:15 AM,06:07 AM,06:28 PM,13,32,32,33,13,15,31,0.0,1009,37,10,170,9
