date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,8,0.0,8.7,4,4,37,11:37 AM,11:17 PM,07:27 AM,05:36 PM,3,12,12,12,7,25,54,0.0,1022,18,10,111,4
2020-01-02,19,9,0.0,8.7,4,4,44,12:06 PM,No moonset,07:27 AM,05:36 PM,3,13,13,13,10,39,52,0.0,1022,19,10,232,6
2020-01-03,20,10,0.0,8.7,4,4,51,12:35 PM,12:09 AM,07:27 AM,05:37 PM,7,13,14,13,10,19,64,0.0,1018,20,10,331,5
2020-01-04,20,10,0.0,8.7,4,4,59,01:05 PM,01:03 AM,07:27 AM,05:38 PM,6,14,14,14,7,8,62,0.0,1017,20,10,255,4
2020-01-05,17,10,0.0,7.1,3,3,66,01:35 PM,01:57 AM,07:28 AM,05:39 PM,5,13,13,13,13,36,60,0.0,1018,17,10,325,8
2020-01-06,13,3,0.0,3.8,3,3,73,02:09 PM,02:52 AM,07:28 AM,05:39 PM,6,9,11,9,14,77,70,9.3,1019,13,9,118,9
2020-01-07,13,11,0.0,3.8,3,3,80,02:47 PM,03:50 AM,07:28 AM,05:40 PM,11,12,12,12,8,92,96,30.1,1017,13,7,135,5
2020-01-08,17,9,0.0,8.7,3,3,88,03:30 PM,04:50 AM,07:28 AM,05:41 PM,8,11,12,11,14,33,79,0.2,1016,17,8,328,8
2020-01-09,18,8,0.0,8.7,4,4,95,04:20 PM,05:52 AM,07:28 AM,05:42 PM,5,11,12,11,12,0,67,0.0,1019,18,10,320,8
2020-01-10,17,7,0.0,8.7,4,4,100,05:18 PM,06:53 AM,07:28 AM,05:43 PM,3,10,11,10,16,19,61,0.0,1019,17,10,315,10
2020-01-11,17,7,0.0,7.1,3,3,100,06:21 PM,07:51 AM,07:28 AM,05:44 PM,1,10,11,10,15,48,52,0.0,1018,17,10,309,9
2020-01-12,20,11,0.0,8.7,5,5,83,07:29 PM,08:44 AM,07:28 AM,05:44 PM,6,14,15,14,15,40,54,0.0,1015,20,10,303,9
2020-01-13,14,10,0.0,3.8,3,3,76,08:37 PM,09:32 AM,07:28 AM,05:45 PM,9,11,12,11,22,73,83,24.2,1011,14,9,151,13
2020-01-14,17,9,0.0,8.7,4,4,69,09:45 PM,10:14 AM,07:28 AM,05:46 PM,9,12,12,12,11,7,81,0.0,1017,17,10,324,7
2020-01-15,17,8,0.0,7.1,3,3,61,10:51 PM,10:53 AM,07:27 AM,05:47 PM,9,11,12,11,10,42,82,0.8,1017,17,10,309,6
2020-01-16,17,9,0.0,7.1,3,3,54,11:56 PM,11:30 AM,07:27 AM,05:48 PM,10,12,12,12,10,65,86,4.8,1016,17,10,246,6
2020-01-17,18,9,0.0,8.7,4,4,47,No moonrise,12:05 PM,07:27 AM,05:49 PM,10,13,13,13,7,43,81,1.0,1017,18,10,190,4
2020-01-18,19,10,0.0,8.7,4,4,40,01:00 AM,12:41 PM,07:27 AM,05:50 PM,10,13,13,13,7,24,79,0.0,1018,19,10,224,4
2020-01-19,19,9,0.0,8.7,4,4,32,02:04 AM,01:19 PM,07:27 AM,05:50 PM,8,12,13,12,12,16,76,0.0,1018,19,10,322,8
2020-01-20,18,9,0.0,7.1,3,3,25,03:07 AM,02:00 PM,07:26 AM,05:51 PM,4,12,13,12,12,73,57,0.0,1017,18,10,295,7
2020-01-21,19,10,0.0,8.7,4,4,18,04:10 AM,02:45 PM,07:26 AM,05:52 PM,7,12,13,12,17,40,67,0.0,1020,19,10,128,9
2020-01-22,19,8,0.0,8.7,4,4,11,05:11 AM,03:35 PM,07:26 AM,05:53 PM,6,12,13,12,19,5,67,0.0,1021,19,10,317,11
2020-01-23,17,7,0.0,8.7,4,4,3,06:07 AM,04:27 PM,07:25 AM,05:54 PM,5,11,12,11,17,0,65,0.0,1018,17,10,310,11
2020-01-24,18,7,0.0,8.7,4,4,0,07:00 AM,05:24 PM,07:25 AM,05:55 PM,4,11,12,11,16,4,59,0.0,1014,18,10,311,10
2020-01-25,19,6,0.0,8.7,4,4,0,07:46 AM,06:20 PM,07:25 AM,05:56 PM,3,12,12,12,9,33,54,0.0,1015,19,10,306,5
2020-01-26,20,9,0.0,8.7,5,5,4,08:27 AM,07:18 PM,07:24 AM,05:57 PM,8,14,14,14,13,12,70,0.0,1014,20,10,318,8
2020-01-27,20,10,0.0,5.5,4,4,11,09:03 AM,08:13 PM,07:24 AM,05:58 PM,9,14,15,14,12,56,69,0.1,1012,20,10,148,7
2020-01-28,14,12,0.0,5.5,3,3,18,09:36 AM,09:08 PM,07:23 AM,05:58 PM,11,11,13,11,25,76,90,13.5,1010,14,7,121,16
2020-01-29,18,10,0.0,5.5,3,3,26,10:06 AM,10:01 PM,07:23 AM,05:59 PM,10,12,13,12,13,59,83,4.6,1017,18,9,203,8
2020-01-30,18,10,0.0,10.8,4,4,33,10:35 AM,10:53 PM,07:22 AM,06:00 PM,9,13,13,13,14,2,78,0.0,1018,18,10,310,9
2020-01-31,19,9,0.0,10.8,4,4,37,11:04 AM,11:47 PM,07:21 AM,06:01 PM,8,13,14,13,9,4,75,0.0,1014,19,10,281,6
2020-02-01,19,8,0.0,10.8,4,4,49,11:34 AM,No moonset,07:21 AM,06:02 PM,8,13,13,13,8,5,73,0.0,1018,19,10,316,6
2020-02-02,19,10,0.0,10.8,4,4,57,12:05 PM,12:40 AM,07:20 AM,06:03 PM,9,13,14,13,12,0,74,0.0,1019,19,10,314,8
2020-02-03,21,9,0.0,10.8,5,5,64,12:40 PM,01:36 AM,07:20 AM,06:04 PM,8,14,14,14,9,0,69,0.0,1017,21,10,309,6
2020-02-04,18,10,0.0,10.9,4,4,72,01:20 PM,02:34 AM,07:19 AM,06:05 PM,7,12,12,12,12,22,72,0.2,1017,18,10,258,7
2020-02-05,19,8,0.0,10.9,4,4,79,02:06 PM,03:34 AM,07:18 AM,06:05 PM,8,12,13,12,13,2,72,0.0,1017,19,10,312,9
2020-02-06,20,9,0.0,10.9,4,4,87,02:59 PM,04:34 AM,07:18 AM,06:06 PM,7,13,13,13,8,8,67,0.0,1015,20,10,292,5
2020-02-07,20,7,0.0,10.9,4,4,95,04:00 PM,05:34 AM,07:17 AM,06:07 PM,8,14,14,14,7,3,69,0.0,1019,20,10,312,5
2020-02-08,21,10,0.0,10.9,5,5,100,05:06 PM,06:29 AM,07:16 AM,06:08 PM,9,14,15,14,10,0,69,0.0,1020,21,10,316,7
2020-02-09,22,9,0.0,10.9,5,5,100,06:16 PM,07:21 AM,07:15 AM,06:09 PM,9,15,16,15,9,0,69,0.0,1020,22,10,319,6
2020-02-10,21,10,0.0,11.0,5,5,83,07:26 PM,08:07 AM,07:14 AM,06:10 PM,8,15,16,15,10,19,67,0.0,1018,21,10,310,7
2020-02-11,21,9,0.0,11.0,4,4,75,08:35 PM,08:48 AM,07:14 AM,06:11 PM,8,14,15,14,13,23,65,0.0,1018,21,10,323,8
2020-02-12,23,10,0.0,11.0,5,5,68,09:44 PM,09:27 AM,07:13 AM,06:11 PM,10,16,16,16,20,11,67,0.0,1018,23,10,318,12
2020-02-13,26,12,0.0,11.0,6,6,60,10:50 PM,10:04 AM,07:12 AM,06:12 PM,11,18,19,18,21,11,65,0.0,1016,26,10,306,12
2020-02-14,23,13,0.0,11.0,5,5,53,11:56 PM,10:41 AM,07:11 AM,06:13 PM,9,17,17,17,18,0,60,0.0,1013,23,10,306,11
2020-02-15,24,11,0.0,11.0,5,5,45,No moonrise,11:19 AM,07:10 AM,06:14 PM,8,17,17,17,16,0,57,0.0,1013,24,10,313,10
2020-02-16,25,12,0.0,11.1,5,5,38,01:01 AM,11:59 AM,07:09 AM,06:15 PM,7,17,18,17,15,7,50,0.0,1016,25,10,324,9
2020-02-17,25,13,0.0,11.1,5,5,30,02:04 AM,12:43 PM,07:08 AM,06:16 PM,7,17,18,17,14,2,52,0.0,1017,25,10,313,9
2020-02-18,25,10,0.0,11.1,5,5,22,03:06 AM,01:31 PM,07:07 AM,06:16 PM,6,17,18,17,14,31,50,0.0,1013,25,10,314,8
2020-02-19,24,12,0.0,7.1,4,4,15,04:03 AM,02:22 PM,07:06 AM,06:17 PM,7,18,18,18,32,37,49,0.0,1012,24,10,135,20
2020-02-20,27,16,0.0,11.1,6,6,7,04:56 AM,03:17 PM,07:05 AM,06:18 PM,9,21,22,21,27,44,50,4.5,1013,27,10,128,16
2020-02-21,22,14,0.0,10.1,4,4,0,05:44 AM,04:13 PM,07:04 AM,06:19 PM,12,17,19,17,14,39,72,4.0,1018,22,10,149,8
2020-02-22,25,13,0.0,11.2,5,5,0,06:25 AM,05:10 PM,07:03 AM,06:20 PM,13,19,20,19,14,7,69,0.0,1020,25,10,335,9
2020-02-23,26,16,0.0,11.2,6,6,0,07:03 AM,06:05 PM,07:02 AM,06:20 PM,12,20,20,20,11,3,61,0.0,1017,26,10,324,7
2020-02-24,26,16,0.0,11.2,6,6,0,07:37 AM,07:00 PM,07:01 AM,06:21 PM,12,21,21,21,9,1,60,0.0,1014,26,10,324,6
2020-02-25,27,15,0.0,11.2,6,6,8,08:08 AM,07:54 PM,07:00 AM,06:22 PM,11,21,21,21,11,3,56,0.0,1013,27,10,231,7
2020-02-26,30,14,0.0,11.6,6,6,15,08:37 AM,08:47 PM,06:59 AM,06:23 PM,9,22,22,21,9,6,50,0.0,1013,30,10,164,5
2020-02-27,28,14,0.0,11.6,6,6,23,09:06 AM,09:40 PM,06:58 AM,06:24 PM,10,20,21,20,10,11,53,0.0,1013,28,10,169,6
2020-02-28,28,14,0.0,11.6,6,6,30,09:35 AM,10:33 PM,06:57 AM,06:24 PM,13,21,22,21,23,17,62,0.0,1012,28,10,111,14
2020-02-29,22,14,0.0,5.9,4,4,38,10:05 AM,11:28 PM,06:55 AM,06:25 PM,14,17,18,17,30,78,83,43.3,1012,22,7,97,16
2020-03-01,27,13,0.0,11.6,6,6,44,10:38 AM,No moonset,06:54 AM,06:26 PM,13,19,20,19,13,6,68,0.0,1013,27,10,316,8
