date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,17,0.0,8.7,6,6,37,11:26 AM,11:23 PM,07:01 AM,05:58 PM,13,23,23,23,19,23,57,0.1,1013,30,10,192,13
2020-01-02,30,19,0.0,8.7,6,6,44,12:01 PM,No moonset,07:01 AM,05:59 PM,14,24,24,23,13,42,58,0.4,1015,30,10,231,9
2020-01-03,27,19,0.0,11.0,6,6,51,12:34 PM,12:10 AM,07:02 AM,06:00 PM,14,22,22,22,17,25,62,0.0,1014,27,10,28,11
2020-01-04,27,17,0.0,11.0,6,6,59,01:09 PM,12:59 AM,07:02 AM,06:00 PM,13,23,23,22,14,10,60,0.0,1013,27,10,189,8
2020-01-05,26,16,0.0,11.0,6,6,66,01:44 PM,01:48 AM,07:02 AM,06:01 PM,11,20,20,20,20,13,57,0.0,1015,26,10,98,13
2020-01-06,27,16,0.0,11.0,6,6,73,02:22 PM,02:38 AM,07:03 AM,06:02 PM,10,21,22,21,17,13,50,0.0,1016,27,10,139,11
2020-01-07,29,18,0.0,11.0,6,6,80,03:05 PM,03:32 AM,07:03 AM,06:02 PM,14,24,24,24,15,33,53,0.0,1014,29,10,205,10
2020-01-08,28,20,0.0,11.0,6,6,88,03:52 PM,04:27 AM,07:03 AM,06:03 PM,14,26,26,24,20,27,53,0.3,1012,28,10,255,13
2020-01-09,27,16,0.0,11.0,6,6,95,04:44 PM,05:26 AM,07:03 AM,06:03 PM,9,23,23,22,19,12,48,0.0,1014,27,10,130,12
2020-01-10,26,15,0.0,11.0,6,6,100,05:43 PM,06:25 AM,07:03 AM,06:04 PM,8,20,21,20,21,5,49,0.0,1016,26,10,93,13
2020-01-11,27,15,0.0,11.0,6,6,100,06:44 PM,07:25 AM,07:04 AM,06:05 PM,9,21,21,21,16,11,48,0.0,1016,27,10,136,10
2020-01-12,31,17,0.0,11.0,6,6,83,07:48 PM,08:20 AM,07:04 AM,06:05 PM,9,24,24,23,13,2,43,0.0,1015,31,10,126,8
2020-01-13,30,17,0.0,11.0,6,6,76,08:52 PM,09:12 AM,07:04 AM,06:06 PM,9,24,24,24,11,4,41,0.0,1012,30,10,203,7
2020-01-14,29,18,0.0,11.0,6,6,69,09:54 PM,10:00 AM,07:04 AM,06:07 PM,12,25,25,24,14,7,52,0.0,1012,29,10,155,8
2020-01-15,30,18,0.0,11.0,6,6,61,10:54 PM,10:45 AM,07:04 AM,06:07 PM,10,23,23,23,19,14,45,0.0,1011,30,10,184,13
2020-01-16,26,17,0.0,11.0,6,6,54,11:53 PM,11:27 AM,07:04 AM,06:08 PM,9,21,21,21,17,11,48,0.0,1012,26,10,222,12
2020-01-17,27,14,0.0,11.1,6,6,47,No moonrise,12:08 PM,07:04 AM,06:09 PM,4,20,20,20,18,9,35,0.0,1014,27,10,149,10
2020-01-18,28,16,0.0,11.1,6,6,40,12:51 AM,12:50 PM,07:04 AM,06:09 PM,8,23,23,22,19,9,43,0.0,1013,28,10,182,11
2020-01-19,29,17,0.0,11.1,6,6,32,01:50 AM,01:33 PM,07:04 AM,06:10 PM,11,24,24,24,18,9,48,0.0,1014,29,10,205,10
2020-01-20,30,17,0.0,11.1,6,6,25,02:48 AM,02:18 PM,07:04 AM,06:11 PM,12,24,24,23,16,7,52,0.0,1014,30,10,193,10
2020-01-21,29,19,0.0,11.1,6,6,18,03:47 AM,03:07 PM,07:04 AM,06:11 PM,14,25,25,24,17,29,56,0.0,1014,29,10,184,11
2020-01-22,31,21,0.0,11.1,7,7,11,04:44 AM,03:59 PM,07:04 AM,06:12 PM,12,27,27,25,12,17,45,0.0,1015,31,10,180,8
2020-01-23,32,20,0.0,11.1,7,7,3,05:41 AM,04:52 PM,07:04 AM,06:12 PM,11,27,27,26,13,6,42,0.0,1015,32,10,176,7
2020-01-24,32,19,0.0,11.1,7,7,0,06:33 AM,05:47 PM,07:04 AM,06:13 PM,11,26,26,25,14,4,45,0.0,1015,32,10,240,8
2020-01-25,32,19,0.0,11.1,7,7,0,07:22 AM,06:41 PM,07:04 AM,06:14 PM,9,27,27,26,15,6,37,0.0,1013,32,10,248,9
2020-01-26,34,19,0.0,11.1,7,7,4,08:06 AM,07:35 PM,07:03 AM,06:14 PM,7,27,27,27,12,4,30,0.0,1012,34,10,225,7
2020-01-27,33,19,0.0,11.1,7,7,11,08:46 AM,08:25 PM,07:03 AM,06:15 PM,9,27,27,27,20,11,35,0.0,1010,33,10,221,13
2020-01-28,29,18,0.0,11.1,6,6,18,09:24 AM,09:15 PM,07:03 AM,06:16 PM,8,24,24,23,22,8,39,0.0,1011,29,10,262,15
2020-01-29,27,16,0.0,11.1,6,6,26,09:59 AM,10:03 PM,07:03 AM,06:16 PM,12,23,23,22,15,17,58,0.0,1014,27,10,272,10
2020-01-30,29,15,0.0,11.1,6,6,33,10:33 AM,10:51 PM,07:03 AM,06:17 PM,6,23,23,22,19,2,38,0.0,1014,29,10,189,11
2020-01-31,30,16,0.0,11.2,6,6,37,11:06 AM,11:40 PM,07:02 AM,06:17 PM,6,23,23,23,19,4,37,0.0,1012,30,10,212,12
2020-02-01,30,17,0.0,11.2,6,6,49,11:41 AM,No moonset,07:02 AM,06:18 PM,9,25,25,24,20,18,42,0.0,1012,30,10,74,13
2020-02-02,30,17,0.0,11.2,6,6,57,12:17 PM,12:28 AM,07:02 AM,06:18 PM,9,23,23,23,20,24,42,0.0,1014,30,10,113,13
2020-02-03,32,19,0.0,11.2,7,7,64,12:56 PM,01:20 AM,07:01 AM,06:19 PM,13,26,26,26,17,19,51,0.0,1013,32,10,224,11
2020-02-04,30,19,0.0,11.2,7,7,72,01:40 PM,02:13 AM,07:01 AM,06:20 PM,12,25,25,24,20,26,48,0.0,1012,30,10,250,13
2020-02-05,30,18,0.0,11.2,6,6,79,02:29 PM,03:09 AM,07:01 AM,06:20 PM,7,24,24,24,19,18,34,0.0,1012,30,10,183,12
2020-02-06,30,19,0.0,10.1,6,6,87,03:24 PM,04:07 AM,07:00 AM,06:21 PM,8,26,26,25,18,20,36,0.0,1011,30,10,212,11
2020-02-07,31,17,0.0,11.2,6,6,95,04:24 PM,05:06 AM,07:00 AM,06:21 PM,6,24,24,24,22,5,36,0.0,1012,31,10,179,13
2020-02-08,28,18,0.0,11.6,6,6,100,05:28 PM,06:04 AM,06:59 AM,06:22 PM,9,22,22,22,28,14,45,0.0,1014,28,10,69,19
2020-02-09,28,16,0.0,11.6,6,6,100,06:33 PM,06:59 AM,06:59 AM,06:22 PM,10,22,22,22,26,8,48,0.0,1016,28,10,94,18
2020-02-10,28,17,0.0,11.6,6,6,83,07:38 PM,07:50 AM,06:59 AM,06:23 PM,12,23,23,23,20,23,53,0.0,1015,28,10,137,13
2020-02-11,30,19,0.0,11.6,7,7,75,08:41 PM,08:37 AM,06:58 AM,06:23 PM,13,24,24,24,20,11,51,0.0,1015,30,10,132,13
2020-02-12,31,20,0.0,11.6,7,7,68,09:43 PM,09:22 AM,06:58 AM,06:24 PM,14,26,26,25,15,16,53,0.0,1016,31,10,108,10
2020-02-13,35,19,0.0,11.6,7,7,60,10:43 PM,10:05 AM,06:57 AM,06:24 PM,9,28,28,28,13,6,38,0.0,1015,35,10,39,7
2020-02-14,33,20,0.0,11.6,7,7,53,11:44 PM,10:48 AM,06:56 AM,06:25 PM,7,28,28,27,16,2,31,0.0,1013,33,10,331,10
2020-02-15,36,20,0.0,11.6,7,7,45,No moonrise,11:32 AM,06:56 AM,06:25 PM,6,29,29,28,11,3,27,0.0,1012,36,10,222,6
2020-02-16,36,21,0.0,11.6,7,7,38,12:43 AM,12:17 PM,06:55 AM,06:26 PM,6,28,28,28,15,3,26,0.0,1013,36,10,122,9
2020-02-17,35,21,0.0,11.6,7,7,30,01:42 AM,01:05 PM,06:55 AM,06:26 PM,5,29,29,28,16,3,26,0.0,1015,35,10,56,9
2020-02-18,37,20,0.0,11.6,7,7,22,02:40 AM,01:55 PM,06:54 AM,06:27 PM,2,30,30,30,15,1,19,0.0,1014,37,10,53,8
2020-02-19,36,20,0.0,11.6,7,7,15,03:36 AM,02:47 PM,06:54 AM,06:27 PM,2,29,29,29,12,2,19,0.0,1012,36,10,212,8
2020-02-20,35,21,0.0,11.6,7,7,7,04:29 AM,03:41 PM,06:53 AM,06:28 PM,6,29,29,29,14,4,26,0.0,1011,35,10,217,10
2020-02-21,34,20,0.0,11.6,7,7,0,05:18 AM,04:35 PM,06:52 AM,06:28 PM,8,27,27,28,17,10,29,0.0,1014,34,10,200,11
2020-02-22,35,22,0.0,11.6,7,7,0,06:03 AM,05:28 PM,06:52 AM,06:28 PM,9,30,30,30,13,9,30,0.0,1015,35,10,195,8
2020-02-23,35,22,0.0,11.6,7,7,0,06:45 AM,06:19 PM,06:51 AM,06:29 PM,8,29,29,29,14,5,30,0.0,1013,35,10,233,9
2020-02-24,34,20,0.0,11.6,7,7,0,07:23 AM,07:10 PM,06:50 AM,06:29 PM,2,26,26,27,21,4,22,0.0,1011,34,10,276,13
2020-02-25,32,19,0.0,11.6,7,7,8,07:58 AM,07:58 PM,06:50 AM,06:30 PM,0,25,25,25,23,0,21,0.0,1012,32,10,24,14
2020-02-26,36,18,0.0,11.6,7,7,15,08:32 AM,08:46 PM,06:49 AM,06:30 PM,1,28,28,28,19,0,20,0.0,1012,36,10,82,12
2020-02-27,35,19,0.0,11.6,7,7,23,09:06 AM,09:34 PM,06:48 AM,06:30 PM,-0,28,28,28,16,0,19,0.0,1013,35,10,109,10
2020-02-28,35,18,0.0,11.6,7,7,30,09:40 AM,10:22 PM,06:47 AM,06:31 PM,3,28,28,28,15,1,23,0.0,1011,35,10,158,10
2020-02-29,35,20,0.0,11.6,7,7,38,10:15 AM,11:12 PM,06:47 AM,06:31 PM,9,26,26,27,17,23,33,0.2,1010,35,10,196,11
2020-03-01,33,20,0.0,8.8,6,6,44,10:52 AM,No moonset,06:46 AM,06:31 PM,12,26,26,25,14,72,43,2.7,1010,33,9,200,9
2020-03-02,34,19,0.0,11.6,7,7,51,11:33 AM,12:03 AM,06:45 AM,06:32 PM,9,27,27,27,16,13,38,0.0,1010,34,10,238,11
2020-03-03,34,20,0.0,11.6,7,7,58,12:18 PM,12:57 AM,06:44 AM,06:32 PM,2,28,28,28,29,3,21,0.0,1010,34,10,269,18
2020-03-04,33,18,0.0,11.6,7,7,65,01:09 PM,01:53 AM,06:44 AM,06:33 PM,2,27,27,27,19,0,24,0.0,1010,33,10,271,11
2020-03-05,32,18,0.0,11.6,7,7,73,02:05 PM,02:50 AM,06:43 AM,06:33 PM,3,26,26,26,21,1,27,0.0,1009,32,10,274,13
2020-03-06,31,16,0.0,11.6,7,7,80,03:06 PM,03:47 AM,06:42 AM,06:33 PM,6,25,25,25,26,3,34,0.0,1009,31,10,254,17
2020-03-07,32,16,0.0,11.6,7,7,87,04:10 PM,04:42 AM,06:41 AM,06:34 PM,8,26,26,25,15,4,44,0.0,1012,32,10,235,10
2020-03-08,32,20,0.0,11.6,7,7,95,05:15 PM,05:35 AM,06:40 AM,06:34 PM,7,26,26,26,15,32,30,0.0,1011,32,10,164,10
2020-03-09,31,23,0.0,8.8,6,6,100,06:20 PM,06:24 AM,06:40 AM,06:34 PM,13,29,29,28,15,42,43,0.5,1009,31,10,117,10
2020-03-10,34,20,0.0,11.6,7,7,100,07:24 PM,07:11 AM,06:39 AM,06:34 PM,12,28,28,27,23,23,43,0.0,1009,34,10,258,15
2020-03-11,32,20,0.0,11.6,7,7,84,08:27 PM,07:56 AM,06:38 AM,06:35 PM,11,26,26,26,21,32,44,0.0,1010,32,10,232,15
2020-03-12,32,17,0.0,11.6,7,7,76,09:30 PM,08:40 AM,06:37 AM,06:35 PM,7,25,25,25,17,26,32,0.0,1012,32,10,253,11
2020-03-13,33,18,0.0,11.6,7,7,69,10:32 PM,09:25 AM,06:36 AM,06:35 PM,5,25,25,26,20,16,27,0.0,1012,33,10,168,13
2020-03-14,35,19,0.0,11.6,7,7,62,11:34 PM,10:11 AM,06:35 AM,06:36 PM,-2,27,27,27,27,5,16,0.0,1012,35,10,180,16
2020-03-15,36,18,0.0,11.6,7,7,55,No moonrise,11:00 AM,06:35 AM,06:36 PM,-1,29,29,29,21,4,16,0.0,1011,36,10,153,12
2020-03-16,37,21,0.0,11.6,8,8,47,12:34 AM,11:51 AM,06:34 AM,06:36 PM,5,28,28,30,18,9,21,0.0,1011,37,10,184,12
2020-03-17,35,25,0.0,11.6,8,8,40,01:32 AM,12:43 PM,06:33 AM,06:37 PM,11,30,30,30,17,41,32,0.6,1012,35,10,173,12
2020-03-18,35,24,0.0,7.4,7,7,33,02:26 AM,01:37 PM,06:32 AM,06:37 PM,13,30,30,30,14,72,37,2.9,1011,35,10,205,9
2020-03-19,38,22,0.0,11.6,8,8,25,03:17 AM,02:31 PM,06:31 AM,06:37 PM,1,31,31,31,21,6,20,0.0,1010,38,10,284,14
2020-03-20,37,19,0.0,11.6,8,8,18,04:03 AM,03:24 PM,06:30 AM,06:37 PM,-1,29,29,30,20,24,15,0.0,1010,37,10,265,13
2020-03-21,35,19,0.0,11.6,7,7,11,04:45 AM,04:16 PM,06:29 AM,06:38 PM,3,29,29,29,21,2,21,0.0,1010,35,10,323,13
2020-03-22,38,20,0.0,11.6,8,8,4,05:24 AM,05:06 PM,06:28 AM,06:38 PM,5,32,32,31,17,2,24,0.0,1010,38,10,176,10
2020-03-23,39,23,0.0,11.6,8,8,0,05:59 AM,05:55 PM,06:28 AM,06:38 PM,7,31,31,31,18,5,24,0.0,1009,39,10,229,11
2020-03-24,38,24,0.0,11.6,8,8,0,06:34 AM,06:43 PM,06:27 AM,06:38 PM,9,32,32,32,12,7,26,0.0,1008,38,10,126,7
2020-03-25,36,25,0.0,8.8,7,7,3,07:07 AM,07:31 PM,06:26 AM,06:39 PM,13,30,30,30,13,48,36,3.6,1009,36,10,221,9
2020-03-26,35,25,0.0,11.6,8,8,11,07:41 AM,08:19 PM,06:25 AM,06:39 PM,15,30,30,30,14,34,43,1.3,1010,35,10,146,10
2020-03-27,36,25,0.0,11.6,8,8,18,08:15 AM,09:08 PM,06:24 AM,06:39 PM,14,32,32,31,21,33,40,0.2,1011,36,10,257,15
