date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,23,17,0.0,10.9,6,6,37,11:52 AM,11:45 PM,07:30 AM,06:16 PM,10,20,20,20,28,4,52,0.0,1015,23,10,133,18
2020-01-02,24,19,0.0,10.9,6,6,44,12:25 PM,No moonset,07:30 AM,06:17 PM,12,21,21,21,26,4,59,0.0,1017,24,10,239,17
2020-01-03,24,19,0.0,10.9,6,6,51,12:58 PM,12:34 AM,07:30 AM,06:18 PM,12,21,22,21,29,5,59,0.0,1017,24,10,131,19
2020-01-04,24,18,0.0,10.9,6,6,59,01:31 PM,01:23 AM,07:31 AM,06:18 PM,11,21,21,21,25,1,54,0.0,1016,24,10,128,16
2020-01-05,26,18,0.0,10.9,6,6,66,02:06 PM,02:13 AM,07:31 AM,06:19 PM,9,22,22,22,26,1,47,0.0,1015,26,10,49,15
2020-01-06,27,19,0.0,10.9,6,6,73,02:43 PM,03:05 AM,07:31 AM,06:20 PM,9,23,23,22,24,9,43,0.0,1015,27,10,247,13
2020-01-07,25,20,0.0,10.9,6,6,80,03:25 PM,03:59 AM,07:31 AM,06:20 PM,12,23,23,22,22,5,52,0.0,1014,25,10,240,14
2020-01-08,23,18,0.0,10.9,6,6,88,04:11 PM,04:56 AM,07:31 AM,06:21 PM,12,20,20,20,27,3,59,0.0,1015,23,10,127,18
2020-01-09,23,16,0.0,10.9,5,5,95,05:03 PM,05:55 AM,07:32 AM,06:22 PM,5,19,19,19,35,0,41,0.0,1017,23,10,36,23
2020-01-10,24,15,0.0,10.9,5,5,100,06:01 PM,06:55 AM,07:32 AM,06:22 PM,5,19,19,19,39,1,41,0.0,1016,24,10,50,25
2020-01-11,28,16,0.0,10.9,6,6,100,07:04 PM,07:54 AM,07:32 AM,06:23 PM,10,21,22,21,26,2,47,0.0,1014,28,10,45,16
2020-01-12,25,20,0.0,10.9,6,6,83,08:08 PM,08:49 AM,07:32 AM,06:24 PM,15,23,23,22,22,16,68,0.0,1013,25,10,282,14
2020-01-13,22,16,0.0,10.1,4,4,76,09:13 PM,09:41 AM,07:32 AM,06:24 PM,13,19,20,19,27,35,69,2.3,1012,22,10,208,19
2020-01-14,21,16,0.0,10.9,5,5,69,10:16 PM,10:27 AM,07:32 AM,06:25 PM,9,19,19,19,18,0,54,0.0,1014,21,10,317,12
2020-01-15,21,16,0.0,10.9,5,5,61,11:18 PM,11:10 AM,07:32 AM,06:26 PM,7,18,18,18,21,0,48,0.0,1014,21,10,248,14
2020-01-16,20,16,0.0,11.0,5,5,54,No moonrise,11:51 AM,07:32 AM,06:27 PM,6,18,18,18,31,0,46,0.0,1016,20,10,238,21
2020-01-17,21,16,0.0,11.0,5,5,47,12:17 AM,12:31 PM,07:32 AM,06:27 PM,6,18,19,18,25,0,46,0.0,1017,21,10,121,16
2020-01-18,23,16,0.0,11.0,5,5,40,01:17 AM,01:12 PM,07:32 AM,06:28 PM,5,19,19,19,30,0,42,0.0,1016,23,10,15,19
2020-01-19,24,17,0.0,11.0,6,6,32,02:16 AM,01:54 PM,07:32 AM,06:29 PM,7,20,20,20,39,0,43,0.0,1016,24,10,34,25
2020-01-20,24,16,0.0,11.0,6,6,25,03:16 AM,02:38 PM,07:32 AM,06:29 PM,7,20,20,20,27,0,43,0.0,1015,24,10,137,16
2020-01-21,25,17,0.0,11.0,6,6,18,04:15 AM,03:26 PM,07:32 AM,06:30 PM,8,21,21,21,22,0,44,0.0,1015,25,10,12,13
2020-01-22,26,17,0.0,11.0,6,6,11,05:14 AM,04:17 PM,07:32 AM,06:31 PM,8,21,22,21,35,0,42,0.0,1017,26,10,25,21
2020-01-23,26,18,0.0,11.0,6,6,3,06:10 AM,05:11 PM,07:32 AM,06:31 PM,9,21,22,21,40,0,47,0.0,1017,26,10,40,24
2020-01-24,26,17,0.0,11.0,6,6,0,07:03 AM,06:06 PM,07:31 AM,06:32 PM,8,21,21,21,29,0,45,0.0,1016,26,10,20,17
2020-01-25,27,18,0.0,11.0,6,6,0,07:51 AM,07:01 PM,07:31 AM,06:33 PM,7,23,23,22,19,3,40,0.0,1015,27,10,241,10
2020-01-26,30,20,0.0,11.0,6,6,4,08:34 AM,07:55 PM,07:31 AM,06:33 PM,11,25,25,24,16,0,48,0.0,1013,30,10,227,9
2020-01-27,25,19,0.0,11.0,6,6,11,09:14 AM,08:47 PM,07:31 AM,06:34 PM,15,22,22,21,28,5,69,0.0,1011,25,10,275,19
2020-01-28,23,18,0.0,10.1,5,5,18,09:50 AM,09:38 PM,07:31 AM,06:35 PM,12,20,21,20,30,30,61,0.5,1012,23,10,272,21
2020-01-29,22,17,0.0,11.1,5,5,26,10:24 AM,10:26 PM,07:30 AM,06:36 PM,10,19,20,19,21,0,56,0.0,1016,22,10,291,14
2020-01-30,24,18,0.0,11.1,6,6,33,10:57 AM,11:16 PM,07:30 AM,06:36 PM,7,20,20,20,16,0,46,0.0,1016,24,10,240,11
2020-01-31,23,17,0.0,11.1,6,6,37,11:30 AM,No moonset,07:30 AM,06:37 PM,7,20,20,20,23,0,45,0.0,1014,23,10,235,14
2020-02-01,25,16,0.0,11.1,6,6,49,12:03 PM,12:05 AM,07:29 AM,06:38 PM,5,20,20,20,31,0,37,0.0,1015,25,10,39,18
2020-02-02,26,17,0.0,11.1,6,6,57,12:38 PM,12:55 AM,07:29 AM,06:38 PM,6,21,21,21,37,1,40,0.0,1016,26,10,34,22
2020-02-03,25,18,0.0,11.1,6,6,64,01:17 PM,01:47 AM,07:28 AM,06:39 PM,6,21,21,21,26,1,39,0.0,1015,25,10,247,15
2020-02-04,24,17,0.0,11.1,6,6,72,02:00 PM,02:41 AM,07:28 AM,06:39 PM,11,20,21,20,24,0,58,0.0,1014,24,10,301,15
2020-02-05,25,19,0.0,11.1,6,6,79,02:48 PM,03:38 AM,07:28 AM,06:40 PM,12,22,22,22,20,1,56,0.0,1015,25,10,236,13
2020-02-06,25,18,0.0,11.1,6,6,87,03:43 PM,04:37 AM,07:27 AM,06:41 PM,8,21,21,21,27,0,44,0.0,1015,25,10,244,16
2020-02-07,25,17,0.0,11.1,6,6,95,04:43 PM,05:36 AM,07:27 AM,06:41 PM,8,21,21,21,26,0,48,0.0,1016,25,10,127,16
2020-02-08,26,18,0.0,11.2,6,6,100,05:48 PM,06:33 AM,07:26 AM,06:42 PM,5,21,21,21,37,0,36,0.0,1017,26,10,40,22
2020-02-09,26,17,0.0,11.2,6,6,100,06:53 PM,07:28 AM,07:26 AM,06:43 PM,5,21,21,21,36,0,36,0.0,1017,26,10,40,21
2020-02-10,27,17,0.0,11.2,6,6,83,08:00 PM,08:17 AM,07:25 AM,06:43 PM,4,22,22,22,36,0,33,0.0,1015,27,10,33,21
2020-02-11,28,18,0.0,11.2,6,6,75,09:04 PM,09:04 AM,07:25 AM,06:44 PM,7,23,23,23,32,1,35,0.0,1015,28,10,137,18
2020-02-12,29,21,0.0,11.2,7,7,68,10:07 PM,09:47 AM,07:24 AM,06:44 PM,10,25,25,25,25,6,41,0.0,1016,29,10,250,14
2020-02-13,30,22,0.0,11.2,7,7,60,11:09 PM,10:28 AM,07:23 AM,06:45 PM,11,26,26,26,20,7,40,0.0,1016,30,10,125,11
2020-02-14,29,21,0.0,10.1,6,6,53,No moonrise,11:10 AM,07:23 AM,06:45 PM,10,25,25,25,25,23,41,0.0,1014,29,10,12,14
2020-02-15,28,21,0.0,11.2,6,6,45,12:10 AM,11:53 AM,07:22 AM,06:46 PM,9,25,25,24,24,28,41,0.0,1014,28,10,112,13
2020-02-16,29,20,0.0,11.3,6,6,38,01:11 AM,12:37 PM,07:22 AM,06:47 PM,10,24,24,24,23,0,42,0.0,1014,29,10,217,13
2020-02-17,32,22,0.0,11.3,7,7,30,02:10 AM,01:24 PM,07:21 AM,06:47 PM,9,27,27,27,33,0,33,0.0,1014,32,10,33,18
2020-02-18,31,23,0.0,11.3,7,7,22,03:09 AM,02:13 PM,07:20 AM,06:48 PM,8,26,26,27,24,1,31,0.0,1014,31,10,239,13
2020-02-19,29,22,0.0,11.3,7,7,15,04:05 AM,03:06 PM,07:19 AM,06:48 PM,12,26,26,25,26,1,44,0.0,1012,29,10,281,15
2020-02-20,29,20,0.0,11.3,6,6,7,04:58 AM,04:00 PM,07:19 AM,06:49 PM,15,25,25,24,29,3,58,0.0,1011,29,10,277,18
2020-02-21,30,20,0.0,8.6,6,6,0,05:47 AM,04:54 PM,07:18 AM,06:49 PM,9,25,25,25,37,38,40,0.0,1014,30,10,32,22
2020-02-22,30,20,0.0,11.3,7,7,0,06:32 AM,05:48 PM,07:17 AM,06:50 PM,8,25,25,25,32,0,35,0.0,1016,30,10,23,19
2020-02-23,30,21,0.0,11.3,7,7,0,07:12 AM,06:40 PM,07:17 AM,06:50 PM,11,26,26,25,29,2,41,0.0,1015,30,10,133,17
2020-02-24,30,22,0.0,11.4,7,7,0,07:49 AM,07:32 PM,07:16 AM,06:51 PM,11,26,26,26,22,2,41,0.0,1013,30,10,239,13
2020-02-25,30,22,0.0,11.4,7,7,8,08:24 AM,08:21 PM,07:15 AM,06:51 PM,11,26,26,26,22,0,42,0.0,1013,30,10,241,13
2020-02-26,31,22,0.0,11.4,7,7,15,08:57 AM,09:10 PM,07:14 AM,06:52 PM,12,27,27,26,25,4,43,0.0,1012,31,10,124,14
2020-02-27,31,23,0.0,11.4,7,7,23,09:30 AM,09:59 PM,07:13 AM,06:52 PM,10,26,26,26,26,12,39,0.0,1012,31,10,231,14
2020-02-28,30,21,0.0,11.4,7,7,30,10:02 AM,10:48 PM,07:13 AM,06:53 PM,12,26,26,25,23,20,48,0.0,1010,30,10,309,14
2020-02-29,28,21,0.0,11.4,6,6,38,10:36 AM,11:39 PM,07:12 AM,06:53 PM,18,26,26,24,25,12,70,0.0,1009,28,10,291,17
2020-03-01,29,21,0.0,11.4,7,7,44,11:13 AM,No moonset,07:11 AM,06:53 PM,16,26,26,25,24,2,60,0.0,1011,29,10,311,15
2020-03-02,31,22,0.0,11.4,7,7,51,11:53 AM,12:31 AM,07:10 AM,06:54 PM,13,28,28,27,22,0,48,0.0,1011,31,10,219,14
2020-03-03,29,22,0.0,11.5,7,7,58,12:37 PM,01:26 AM,07:09 AM,06:54 PM,15,26,26,25,28,1,56,0.0,1011,29,10,299,19
2020-03-04,28,21,0.0,11.5,6,6,65,01:28 PM,02:22 AM,07:08 AM,06:55 PM,17,26,26,24,33,1,65,0.0,1011,28,10,276,24
2020-03-05,28,21,0.0,11.5,6,6,73,02:24 PM,03:20 AM,07:08 AM,06:55 PM,17,25,25,24,33,3,66,0.0,1009,28,10,276,24
2020-03-06,26,21,0.0,11.5,6,6,80,03:25 PM,04:16 AM,07:07 AM,06:56 PM,11,24,24,23,35,1,50,0.0,1009,26,10,270,25
2020-03-07,26,20,0.0,11.5,6,6,87,04:30 PM,05:11 AM,07:06 AM,06:56 PM,11,24,24,23,20,0,50,0.0,1013,26,10,321,14
2020-03-08,29,20,0.0,11.5,7,7,95,05:36 PM,06:03 AM,07:05 AM,06:56 PM,11,24,24,24,23,0,45,0.0,1012,29,10,249,15
2020-03-09,29,21,0.0,11.5,7,7,100,06:42 PM,06:51 AM,07:04 AM,06:57 PM,12,25,25,24,28,1,50,0.0,1010,29,10,216,18
2020-03-10,27,21,0.0,11.5,6,6,100,07:48 PM,07:37 AM,07:03 AM,06:57 PM,16,25,25,23,39,1,65,0.0,1009,27,10,273,29
2020-03-11,26,21,0.0,11.6,6,6,84,08:52 PM,08:20 AM,07:02 AM,06:58 PM,13,24,24,23,39,15,57,0.0,1011,26,10,277,29
