date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,15,9,0.0,5.6,3,3,37,11:03 AM,10:51 PM,06:46 AM,05:20 PM,5,13,13,13,12,40,57,0.0,1020,15,10,81,7
2020-01-02,23,12,0.0,8.7,5,5,44,11:35 AM,11:42 PM,06:46 AM,05:20 PM,10,16,17,16,19,35,68,0.4,1019,23,10,111,11
2020-01-03,19,15,0.0,4.0,4,4,51,12:06 PM,No moonset,06:46 AM,05:21 PM,14,17,17,17,17,74,87,6.8,1016,19,9,95,11
2020-01-04,22,13,0.0,5.6,4,4,59,12:38 PM,12:32 AM,06:46 AM,05:22 PM,13,17,17,17,13,63,79,0.5,1015,22,8,198,8
2020-01-05,21,14,0.0,8.7,5,5,66,01:11 PM,01:23 AM,06:47 AM,05:22 PM,10,16,16,16,19,1,68,0.0,1016,21,10,277,12
2020-01-06,22,12,0.0,8.7,5,5,73,01:47 PM,02:16 AM,06:47 AM,05:23 PM,8,16,17,16,16,7,59,0.0,1017,22,10,278,10
2020-01-07,23,15,0.0,8.7,5,5,80,02:27 PM,03:12 AM,06:47 AM,05:24 PM,9,18,18,18,10,21,57,0.0,1016,23,10,301,5
2020-01-08,19,14,0.0,4.0,4,4,88,03:13 PM,04:10 AM,06:47 AM,05:25 PM,10,15,16,15,21,62,71,2.5,1014,19,10,77,12
2020-01-09,17,12,0.0,4.0,4,4,95,04:04 PM,05:10 AM,06:47 AM,05:25 PM,12,14,14,14,20,58,88,1.4,1015,17,10,285,12
2020-01-10,19,10,0.0,8.7,4,4,100,05:02 PM,06:10 AM,06:47 AM,05:26 PM,8,13,14,13,21,4,70,0.0,1018,19,10,279,13
2020-01-11,19,9,0.0,8.7,4,4,100,06:04 PM,07:08 AM,06:47 AM,05:27 PM,5,13,14,13,14,2,57,0.0,1018,19,10,276,9
2020-01-12,20,10,0.0,8.7,5,5,83,07:10 PM,08:03 AM,06:47 AM,05:28 PM,7,14,15,14,15,0,60,0.0,1015,20,10,278,9
2020-01-13,23,12,0.0,8.7,5,5,76,08:15 PM,08:53 AM,06:47 AM,05:28 PM,8,17,17,17,9,1,57,0.0,1013,23,10,214,5
2020-01-14,24,13,0.0,8.7,5,5,69,09:21 PM,09:39 AM,06:47 AM,05:29 PM,9,18,18,18,9,8,59,0.0,1013,24,10,285,5
2020-01-15,20,15,0.0,5.6,4,4,61,10:23 PM,10:20 AM,06:47 AM,05:30 PM,11,17,17,17,8,43,67,0.0,1014,20,10,271,4
2020-01-16,23,12,0.0,8.7,5,5,54,11:26 PM,11:00 AM,06:47 AM,05:31 PM,12,16,17,16,19,35,75,0.1,1014,23,10,47,12
2020-01-17,22,13,0.0,5.6,4,4,47,No moonrise,11:38 AM,06:47 AM,05:31 PM,14,17,17,17,15,63,82,0.3,1015,22,10,45,9
2020-01-18,21,12,0.0,8.7,5,5,40,12:26 AM,12:17 PM,06:47 AM,05:32 PM,14,16,17,16,8,51,81,0.1,1016,21,10,220,5
2020-01-19,21,13,0.0,8.7,5,5,32,01:28 AM,12:57 PM,06:47 AM,05:33 PM,11,16,16,16,18,7,71,0.0,1016,21,10,290,11
2020-01-20,20,10,0.0,8.7,5,5,25,02:28 AM,01:41 PM,06:47 AM,05:34 PM,8,14,15,14,17,12,65,0.0,1016,20,10,280,10
2020-01-21,21,12,0.0,5.6,4,4,18,03:29 AM,02:27 PM,06:47 AM,05:34 PM,5,15,15,15,7,33,53,0.0,1018,21,10,275,4
2020-01-22,22,12,0.0,8.7,5,5,11,04:28 AM,03:18 PM,06:47 AM,05:35 PM,7,16,16,16,13,3,54,0.0,1017,22,10,309,8
2020-01-23,21,10,0.0,8.7,5,5,3,05:25 AM,04:11 PM,06:46 AM,05:36 PM,7,13,15,13,29,0,62,0.0,1016,21,10,269,17
2020-01-24,20,9,0.0,8.7,5,5,0,06:17 AM,05:07 PM,06:46 AM,05:37 PM,7,13,14,13,24,0,62,0.0,1015,20,10,280,15
2020-01-25,20,11,0.0,8.7,5,5,0,07:05 AM,06:02 PM,06:46 AM,05:37 PM,9,15,15,15,13,0,68,0.0,1015,20,10,301,8
2020-01-26,21,11,0.0,8.7,5,5,4,07:48 AM,06:57 PM,06:45 AM,05:38 PM,8,15,15,15,15,5,64,0.0,1014,21,10,286,9
2020-01-27,23,12,0.0,8.7,5,5,11,08:26 AM,07:51 PM,06:45 AM,05:39 PM,10,17,17,17,12,5,63,0.0,1012,23,10,280,7
