date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,23,11,0.0,8.7,5,5,37,11:29 AM,11:19 PM,07:10 AM,05:48 PM,9,16,16,16,20,34,64,0.0,1017,23,10,67,14
2020-01-02,23,12,0.0,5.5,4,4,44,12:01 PM,No moonset,07:10 AM,05:49 PM,12,16,17,16,18,56,74,0.0,1018,23,10,36,12
2020-01-03,22,11,0.0,8.7,5,5,51,12:33 PM,12:08 AM,07:10 AM,05:49 PM,10,16,17,16,15,11,70,0.0,1017,22,10,5,10
2020-01-04,22,14,0.0,8.7,5,5,59,01:05 PM,12:59 AM,07:10 AM,05:50 PM,9,17,17,17,12,4,61,0.0,1016,22,10,34,8
2020-01-05,23,12,0.0,8.7,5,5,66,01:39 PM,01:50 AM,07:11 AM,05:51 PM,6,18,19,18,12,3,49,0.0,1017,23,10,66,8
2020-01-06,26,13,0.0,8.7,5,5,73,02:15 PM,02:42 AM,07:11 AM,05:51 PM,4,18,19,18,15,8,41,0.0,1017,26,10,147,9
2020-01-07,27,14,0.0,8.7,6,6,80,02:56 PM,03:37 AM,07:11 AM,05:52 PM,9,20,20,20,15,33,51,2.9,1014,27,10,255,9
2020-01-08,25,15,0.0,8.7,6,6,88,03:42 PM,04:35 AM,07:11 AM,05:53 PM,7,19,19,19,17,23,48,0.0,1012,25,10,307,11
2020-01-09,20,10,0.0,8.7,5,5,95,04:33 PM,05:35 AM,07:11 AM,05:54 PM,4,14,14,14,17,0,53,0.0,1018,20,10,28,11
2020-01-10,20,9,0.0,8.7,4,4,100,05:32 PM,06:34 AM,07:11 AM,05:54 PM,1,13,14,13,15,0,44,0.0,1019,20,10,45,9
2020-01-11,22,10,0.0,8.7,5,5,100,06:34 PM,07:33 AM,07:12 AM,05:55 PM,-1,15,15,15,13,3,36,0.0,1018,22,10,73,8
2020-01-12,27,13,0.0,8.7,6,6,83,07:39 PM,08:28 AM,07:12 AM,05:56 PM,0,19,19,19,9,1,30,0.0,1016,27,10,86,5
2020-01-13,29,16,0.0,8.7,5,5,76,08:44 PM,09:19 AM,07:12 AM,05:56 PM,10,21,21,21,27,24,51,0.2,1011,29,10,237,16
2020-01-14,23,11,0.0,3.9,4,4,69,09:49 PM,10:04 AM,07:12 AM,05:57 PM,10,17,18,17,16,48,65,0.0,1014,23,10,224,10
2020-01-15,23,14,0.0,7.1,4,4,61,10:51 PM,10:46 AM,07:12 AM,05:58 PM,12,17,17,17,21,56,74,2.8,1013,23,10,45,14
2020-01-16,23,14,0.0,3.9,4,4,54,11:53 PM,11:27 AM,07:12 AM,05:59 PM,13,17,18,17,14,71,82,9.4,1012,23,9,294,9
2020-01-17,21,11,0.0,8.7,5,5,47,No moonrise,12:05 PM,07:12 AM,05:59 PM,9,15,16,15,14,37,70,0.0,1016,21,8,15,9
2020-01-18,22,12,0.0,10.9,5,5,40,12:53 AM,12:45 PM,07:11 AM,06:00 PM,8,16,16,16,16,13,59,0.0,1016,22,10,45,10
2020-01-19,22,12,0.0,10.9,5,5,32,01:54 AM,01:26 PM,07:11 AM,06:01 PM,6,17,18,17,14,7,52,0.0,1017,22,10,38,9
2020-01-20,22,12,0.0,5.5,4,4,25,02:54 AM,02:09 PM,07:11 AM,06:02 PM,5,16,16,16,11,77,48,0.0,1017,22,10,110,6
2020-01-21,26,12,0.0,10.9,5,5,18,03:54 AM,02:57 PM,07:11 AM,06:02 PM,7,18,19,18,14,30,48,0.0,1016,26,10,132,8
2020-01-22,24,14,0.0,10.9,5,5,11,04:53 AM,03:48 PM,07:11 AM,06:03 PM,7,18,19,18,21,0,52,0.0,1018,24,10,28,13
2020-01-23,22,12,0.0,10.9,5,5,3,05:50 AM,04:41 PM,07:11 AM,06:04 PM,4,16,17,16,15,0,45,0.0,1019,22,10,20,10
2020-01-24,24,11,0.0,10.9,5,5,0,06:42 AM,05:37 PM,07:11 AM,06:04 PM,3,17,18,17,12,0,38,0.0,1017,24,10,122,8
2020-01-25,25,15,0.0,11.0,5,5,0,07:30 AM,06:31 PM,07:10 AM,06:05 PM,2,19,19,19,8,1,34,0.0,1016,25,10,134,6
2020-01-26,29,14,0.0,11.0,6,6,4,08:13 AM,07:26 PM,07:10 AM,06:06 PM,4,21,21,21,8,4,33,0.0,1014,29,10,31,4
2020-01-27,30,17,0.0,11.0,6,6,11,08:51 AM,08:19 PM,07:10 AM,06:07 PM,5,22,22,22,18,4,33,0.0,1010,30,10,241,11
2020-01-28,25,17,0.0,11.0,6,6,18,09:27 AM,09:11 PM,07:09 AM,06:07 PM,8,21,21,21,21,11,44,0.0,1010,25,10,278,14
2020-01-29,23,14,0.0,11.0,5,5,26,10:00 AM,10:01 PM,07:09 AM,06:08 PM,6,18,19,18,15,8,47,0.0,1015,23,10,128,9
2020-01-30,23,12,0.0,11.0,5,5,33,10:32 AM,10:50 PM,07:09 AM,06:09 PM,2,17,17,17,15,4,38,0.0,1017,23,10,144,9
2020-01-31,24,13,0.0,11.0,5,5,37,11:04 AM,11:41 PM,07:08 AM,06:09 PM,3,18,19,18,11,2,36,0.0,1014,24,10,80,6
2020-02-01,23,11,0.0,11.0,5,5,49,11:37 AM,No moonset,07:08 AM,06:10 PM,2,16,17,16,18,5,38,0.0,1017,23,10,26,11
2020-02-02,24,12,0.0,11.0,5,5,57,12:11 PM,12:31 AM,07:07 AM,06:11 PM,1,18,18,18,17,0,36,0.0,1018,24,10,56,10
2020-02-03,25,12,0.0,11.0,5,5,64,12:48 PM,01:25 AM,07:07 AM,06:11 PM,3,19,19,19,16,4,38,0.0,1017,25,10,63,10
2020-02-04,26,13,0.0,11.1,6,6,72,01:31 PM,02:19 AM,07:06 AM,06:12 PM,6,19,20,19,16,9,44,0.0,1014,26,10,236,10
2020-02-05,25,13,0.0,11.1,6,6,79,02:18 PM,03:17 AM,07:06 AM,06:13 PM,6,19,20,19,16,5,46,0.0,1015,25,10,52,10
2020-02-06,26,13,0.0,11.1,6,6,87,03:13 PM,04:16 AM,07:05 AM,06:14 PM,5,19,20,19,16,3,42,0.0,1014,26,10,139,9
2020-02-07,24,12,0.0,11.1,5,5,95,04:13 PM,05:15 AM,07:05 AM,06:14 PM,4,18,20,18,21,5,44,0.0,1016,24,10,143,13
2020-02-08,24,12,0.0,11.1,5,5,100,05:18 PM,06:12 AM,07:04 AM,06:15 PM,2,17,18,17,20,0,40,0.0,1019,24,10,46,12
2020-02-09,24,11,0.0,11.1,5,5,100,06:25 PM,07:06 AM,07:04 AM,06:16 PM,-1,17,18,17,15,2,33,0.0,1020,24,10,60,10
2020-02-10,28,12,0.0,11.1,6,6,83,07:32 PM,07:55 AM,07:03 AM,06:16 PM,1,20,21,20,12,1,31,0.0,1018,28,10,72,7
2020-02-11,30,13,0.0,11.1,6,6,75,08:37 PM,08:40 AM,07:03 AM,06:17 PM,2,22,22,21,14,1,30,0.0,1018,30,10,154,8
2020-02-12,29,15,0.0,11.2,6,6,68,09:42 PM,09:23 AM,07:02 AM,06:17 PM,3,22,22,22,11,1,29,0.0,1018,29,10,222,7
2020-02-13,31,18,0.0,11.2,7,7,60,10:45 PM,10:03 AM,07:01 AM,06:18 PM,5,25,25,25,7,0,29,0.0,1016,31,10,334,5
2020-02-14,29,17,0.0,11.2,6,6,53,11:47 PM,10:43 AM,07:01 AM,06:19 PM,4,24,24,23,15,27,30,0.0,1013,29,10,227,9
2020-02-15,29,16,0.0,8.6,5,5,45,No moonrise,11:25 AM,07:00 AM,06:19 PM,1,23,23,23,12,40,26,0.0,1014,29,10,113,7
2020-02-16,31,16,0.0,11.6,7,7,38,12:48 AM,12:08 PM,06:59 AM,06:20 PM,-3,24,24,24,14,0,17,0.0,1015,31,10,37,8
2020-02-17,32,18,0.0,11.6,7,7,30,01:49 AM,12:55 PM,06:58 AM,06:21 PM,-4,25,25,25,10,0,16,0.0,1017,32,10,34,6
2020-02-18,32,18,0.0,11.6,7,7,22,02:48 AM,01:44 PM,06:58 AM,06:21 PM,-3,26,26,26,6,0,16,0.0,1015,32,10,260,5
2020-02-19,33,18,0.0,10.2,6,6,15,03:45 AM,02:36 PM,06:57 AM,06:22 PM,-3,25,25,25,12,39,17,0.0,1012,33,10,231,8
2020-02-20,34,20,0.0,11.6,7,7,7,04:38 AM,03:30 PM,06:56 AM,06:22 PM,4,28,28,27,23,27,24,0.0,1010,34,10,223,14
2020-02-21,29,18,0.0,11.6,6,6,0,05:27 AM,04:25 PM,06:55 AM,06:23 PM,1,24,24,24,21,4,25,0.0,1014,29,10,322,13
2020-02-22,29,15,0.0,11.6,6,6,0,06:10 AM,05:19 PM,06:55 AM,06:23 PM,5,22,22,22,18,0,36,0.0,1017,29,10,128,11
2020-02-23,29,16,0.0,11.6,6,6,0,06:50 AM,06:12 PM,06:54 AM,06:24 PM,9,23,23,23,18,1,46,0.0,1016,29,10,147,11
2020-02-24,28,17,0.0,11.6,6,6,0,07:27 AM,07:04 PM,06:53 AM,06:25 PM,8,23,23,23,14,14,41,0.0,1013,28,10,254,9
2020-02-25,29,17,0.0,11.6,6,6,8,08:00 AM,07:55 PM,06:52 AM,06:25 PM,4,23,23,23,12,6,31,0.0,1013,29,10,13,8
2020-02-26,31,19,0.0,11.6,7,7,15,08:32 AM,08:45 PM,06:51 AM,06:26 PM,3,26,26,26,8,1,24,0.0,1013,31,10,63,6
2020-02-27,32,19,0.0,11.6,7,7,23,09:04 AM,09:35 PM,06:50 AM,06:26 PM,3,27,27,27,12,7,23,0.0,1012,32,10,293,7
2020-02-28,33,20,0.0,11.6,7,7,30,09:36 AM,10:25 PM,06:49 AM,06:27 PM,4,27,27,27,13,22,24,0.0,1010,33,10,158,8
2020-02-29,35,21,0.0,11.6,7,7,38,10:09 AM,11:17 PM,06:49 AM,06:27 PM,5,28,28,28,22,29,29,0.1,1009,35,10,230,14
2020-03-01,34,19,0.0,11.6,7,7,44,10:45 AM,No moonset,06:48 AM,06:28 PM,6,27,27,27,17,2,31,0.0,1010,34,10,282,11
2020-03-02,33,17,0.0,11.6,7,7,51,11:24 AM,12:09 AM,06:47 AM,06:28 PM,10,27,27,26,18,4,43,0.0,1010,33,10,19,10
2020-03-03,31,19,0.0,11.6,7,7,58,12:08 PM,01:05 AM,06:46 AM,06:29 PM,10,26,26,25,13,13,39,0.0,1010,31,10,156,8
2020-03-04,32,20,0.0,11.6,7,7,65,12:58 PM,02:01 AM,06:45 AM,06:29 PM,8,26,26,26,16,6,37,0.0,1009,32,10,292,11
2020-03-05,31,17,0.0,11.6,7,7,73,01:54 PM,02:59 AM,06:44 AM,06:30 PM,6,25,25,25,16,7,36,0.0,1008,31,10,246,10
2020-03-06,29,18,0.0,8.8,5,5,80,02:55 PM,03:56 AM,06:43 AM,06:30 PM,6,24,24,24,27,32,36,0.4,1008,29,10,240,19
2020-03-07,30,16,0.0,11.6,6,6,87,04:01 PM,04:50 AM,06:42 AM,06:31 PM,3,23,23,23,15,2,32,0.0,1013,30,10,287,9
2020-03-08,31,16,0.0,11.6,6,6,95,05:08 PM,05:41 AM,06:41 AM,06:31 PM,4,24,24,24,17,0,32,0.0,1013,31,10,143,11
2020-03-09,31,16,0.0,11.6,6,6,100,06:15 PM,06:28 AM,06:40 AM,06:32 PM,3,23,23,24,15,21,27,0.0,1012,31,10,252,9
2020-03-10,31,19,0.0,8.8,5,5,100,07:22 PM,07:13 AM,06:39 AM,06:32 PM,8,24,24,23,20,34,37,0.7,1009,31,10,188,14
2020-03-11,31,17,0.0,11.6,7,7,84,08:27 PM,07:55 AM,06:38 AM,06:32 PM,9,25,25,25,27,8,41,0.0,1009,31,10,234,18
