date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,8.7,4,4,37,11:35 AM,11:20 PM,07:20 AM,05:44 PM,-1,11,12,11,23,11,40,0.0,1021,19,10,91,14
2020-01-02,20,10,0.0,8.7,5,5,44,12:06 PM,No moonset,07:20 AM,05:44 PM,4,14,14,14,22,19,51,0.0,1021,20,10,80,13
2020-01-03,21,12,0.0,8.7,5,5,51,12:36 PM,12:11 AM,07:21 AM,05:45 PM,6,16,16,16,15,8,52,0.0,1019,21,10,339,10
2020-01-04,21,11,0.0,8.7,5,5,59,01:07 PM,01:03 AM,07:21 AM,05:46 PM,3,16,16,16,11,5,45,0.0,1017,21,10,257,6
2020-01-05,22,13,0.0,8.7,5,5,66,01:39 PM,01:55 AM,07:21 AM,05:46 PM,3,16,17,16,14,10,42,0.0,1018,22,10,171,8
2020-01-06,23,13,0.0,8.7,5,5,73,02:14 PM,02:49 AM,07:21 AM,05:47 PM,6,16,17,16,21,35,50,0.0,1018,23,10,123,13
2020-01-07,20,12,0.0,8.7,5,5,80,02:53 PM,03:46 AM,07:21 AM,05:48 PM,9,15,16,15,16,38,65,0.0,1016,20,10,42,10
2020-01-08,19,12,0.0,7.1,4,4,88,03:38 PM,04:44 AM,07:22 AM,05:49 PM,8,15,15,15,16,57,65,1.2,1014,19,10,223,12
2020-01-09,17,10,0.0,8.7,4,4,95,04:29 PM,05:45 AM,07:22 AM,05:49 PM,4,13,13,13,12,1,59,0.0,1020,17,10,340,8
2020-01-10,18,9,0.0,8.7,4,4,100,05:27 PM,06:46 AM,07:22 AM,05:50 PM,-1,12,13,12,13,3,40,0.0,1021,18,10,347,8
2020-01-11,22,7,0.0,8.7,4,4,100,06:29 PM,07:44 AM,07:22 AM,05:51 PM,-6,13,14,13,13,16,28,0.0,1020,22,10,15,7
2020-01-12,26,11,0.0,8.7,5,5,83,07:36 PM,08:38 AM,07:22 AM,05:52 PM,-3,17,17,17,15,8,25,0.0,1016,26,10,153,8
2020-01-13,21,9,0.0,3.9,4,4,76,08:42 PM,09:27 AM,07:22 AM,05:53 PM,6,15,16,15,25,46,56,3.4,1011,21,10,252,15
2020-01-14,20,11,0.0,8.7,5,5,69,09:49 PM,10:11 AM,07:22 AM,05:53 PM,7,14,14,14,12,1,64,0.0,1016,20,10,21,9
2020-01-15,19,10,0.0,8.7,4,4,61,10:53 PM,10:52 AM,07:22 AM,05:54 PM,4,13,14,13,18,22,55,0.0,1017,19,10,31,12
2020-01-16,16,11,0.0,5.5,3,3,54,11:56 PM,11:30 AM,07:21 AM,05:55 PM,3,13,13,13,15,54,52,2.4,1015,16,10,133,10
2020-01-17,19,9,0.0,8.7,5,5,47,No moonrise,12:07 PM,07:21 AM,05:56 PM,0,14,14,14,9,12,41,0.0,1017,19,10,201,5
2020-01-18,20,11,0.0,8.7,5,5,40,12:58 AM,12:45 PM,07:21 AM,05:57 PM,2,15,15,15,12,4,44,0.0,1018,20,10,290,8
2020-01-19,18,11,0.0,8.7,5,5,32,02:01 AM,01:24 PM,07:21 AM,05:57 PM,1,14,14,14,9,1,42,0.0,1019,18,10,334,7
2020-01-20,19,9,0.0,7.1,3,3,25,03:03 AM,02:06 PM,07:21 AM,05:58 PM,1,14,14,14,7,24,41,0.0,1018,19,10,157,4
2020-01-21,22,13,0.0,8.7,5,5,18,04:04 AM,02:53 PM,07:21 AM,05:59 PM,3,16,17,16,18,9,43,0.0,1018,22,10,91,11
2020-01-22,20,11,0.0,10.8,5,5,11,05:04 AM,03:43 PM,07:20 AM,06:00 PM,4,15,15,15,18,2,49,0.0,1021,20,10,234,12
2020-01-23,20,11,0.0,10.8,5,5,3,06:00 AM,04:36 PM,07:20 AM,06:01 PM,2,14,15,14,20,0,44,0.0,1021,20,10,324,13
2020-01-24,21,11,0.0,10.8,5,5,0,06:53 AM,05:32 PM,07:20 AM,06:01 PM,-1,15,15,15,20,0,33,0.0,1018,21,10,306,13
2020-01-25,23,13,0.0,10.8,5,5,0,07:40 AM,06:28 PM,07:19 AM,06:02 PM,1,17,17,17,10,17,33,0.0,1017,23,10,310,6
