date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,6,0.0,5.4,3,3,37,11:32 AM,11:15 PM,07:19 AM,05:37 PM,-2,11,11,11,14,50,39,0.0,1020,18,10,96,8
2020-01-02,21,10,0.0,8.7,5,5,44,12:02 PM,No moonset,07:19 AM,05:38 PM,4,14,14,14,14,16,50,0.0,1021,21,10,63,8
2020-01-03,22,11,0.0,8.7,5,5,51,12:32 PM,12:07 AM,07:20 AM,05:39 PM,6,16,16,16,11,11,54,0.0,1018,22,10,317,7
2020-01-04,21,11,0.0,8.7,5,5,59,01:02 PM,12:59 AM,07:20 AM,05:40 PM,4,15,15,15,9,12,48,0.0,1016,21,10,299,5
2020-01-05,21,11,0.0,7.1,4,4,66,01:34 PM,01:52 AM,07:20 AM,05:40 PM,4,15,15,15,14,28,49,0.0,1017,21,10,311,8
2020-01-06,14,11,0.0,3.8,3,3,73,02:08 PM,02:47 AM,07:20 AM,05:41 PM,7,12,13,12,16,61,69,1.0,1019,14,10,38,10
2020-01-07,16,12,0.0,5.5,3,3,80,02:47 PM,03:44 AM,07:20 AM,05:42 PM,11,13,13,13,18,71,83,0.8,1017,16,7,139,11
2020-01-08,17,11,0.0,5.5,3,3,88,03:32 PM,04:43 AM,07:20 AM,05:43 PM,10,13,13,13,14,49,85,24.0,1015,17,7,120,8
2020-01-09,17,9,0.0,8.7,4,4,95,04:22 PM,05:44 AM,07:20 AM,05:43 PM,6,11,12,11,15,2,68,0.0,1019,17,10,332,10
2020-01-10,17,7,0.0,8.7,4,4,100,05:20 PM,06:45 AM,07:20 AM,05:44 PM,2,10,11,10,19,4,53,0.0,1019,17,10,325,12
2020-01-11,19,7,0.0,8.7,4,4,100,06:23 PM,07:43 AM,07:21 AM,05:45 PM,-0,11,12,11,15,18,44,0.0,1019,19,10,325,8
2020-01-12,23,10,0.0,8.7,5,5,83,07:30 PM,08:37 AM,07:20 AM,05:46 PM,1,15,15,15,13,15,38,0.0,1015,23,10,279,8
2020-01-13,17,6,0.0,3.9,3,3,76,08:37 PM,09:26 AM,07:20 AM,05:47 PM,8,12,13,12,18,53,69,6.9,1011,17,9,201,11
2020-01-14,18,10,0.0,8.7,4,4,69,09:44 PM,10:09 AM,07:20 AM,05:47 PM,10,12,13,12,14,11,81,0.0,1015,18,10,343,9
2020-01-15,20,10,0.0,8.7,4,4,61,10:49 PM,10:49 AM,07:20 AM,05:48 PM,7,13,13,13,11,9,66,0.0,1016,20,10,200,7
2020-01-16,16,9,0.0,3.9,3,3,54,11:53 PM,11:27 AM,07:20 AM,05:49 PM,8,12,13,12,14,68,73,3.1,1015,16,10,36,8
2020-01-17,18,10,0.0,5.5,3,3,47,No moonrise,12:03 PM,07:20 AM,05:50 PM,10,14,14,14,7,55,81,0.0,1017,18,8,264,4
2020-01-18,20,10,0.0,8.7,5,5,40,12:55 AM,12:40 PM,07:20 AM,05:51 PM,7,14,14,14,8,6,63,0.0,1018,20,10,292,5
2020-01-19,19,10,0.0,8.7,4,4,32,01:58 AM,01:19 PM,07:20 AM,05:51 PM,7,13,14,13,11,2,66,0.0,1018,19,10,320,7
2020-01-20,19,10,0.0,8.7,4,4,25,03:01 AM,02:01 PM,07:19 AM,05:52 PM,7,13,14,13,12,12,65,0.0,1017,19,10,218,7
2020-01-21,20,11,0.0,8.7,5,5,18,04:03 AM,02:46 PM,07:19 AM,05:53 PM,7,14,14,14,10,18,61,0.0,1018,20,10,57,6
2020-01-22,19,10,0.0,8.7,4,4,11,05:03 AM,03:36 PM,07:19 AM,05:54 PM,7,13,14,13,18,2,66,0.0,1020,19,10,332,11
2020-01-23,19,8,0.0,8.7,4,4,3,06:00 AM,04:29 PM,07:19 AM,05:55 PM,3,10,12,10,27,0,56,0.0,1018,19,10,313,16
2020-01-24,20,7,0.0,8.7,4,4,0,06:52 AM,05:25 PM,07:18 AM,05:56 PM,1,12,13,12,25,0,46,0.0,1016,20,10,303,14
