date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,22,10,0.0,8.7,5,5,37,11:43 AM,11:31 PM,07:26 AM,05:57 PM,3,14,16,14,33,2,45,0.0,1018,22,10,73,20
2020-01-02,22,12,0.0,8.7,5,5,44,12:14 PM,No moonset,07:26 AM,05:58 PM,8,16,17,16,28,17,58,0.0,1019,22,10,73,18
2020-01-03,22,13,0.0,8.7,5,5,51,12:46 PM,12:21 AM,07:26 AM,05:58 PM,5,16,17,16,23,5,47,0.0,1018,22,10,25,14
2020-01-04,23,12,0.0,8.7,5,5,59,01:17 PM,01:12 AM,07:26 AM,05:59 PM,3,17,18,17,14,2,40,0.0,1017,23,10,253,8
2020-01-05,24,13,0.0,10.7,5,5,66,01:50 PM,02:04 AM,07:27 AM,06:00 PM,3,18,18,18,13,7,36,0.0,1016,24,10,173,7
2020-01-06,25,15,0.0,10.7,6,6,73,02:26 PM,02:57 AM,07:27 AM,06:00 PM,3,19,19,19,15,36,34,0.0,1016,25,10,237,9
2020-01-07,24,15,0.0,10.7,5,5,80,03:06 PM,03:53 AM,07:27 AM,06:01 PM,5,18,19,18,25,12,44,0.0,1015,24,10,125,17
2020-01-08,21,13,0.0,10.8,5,5,88,03:51 PM,04:51 AM,07:27 AM,06:02 PM,6,15,16,15,24,8,56,0.0,1015,21,10,336,15
2020-01-09,19,10,0.0,10.8,5,5,95,04:43 PM,05:51 AM,07:27 AM,06:03 PM,1,13,14,13,25,0,44,0.0,1019,19,10,49,14
2020-01-10,20,9,0.0,10.8,4,4,100,05:41 PM,06:51 AM,07:27 AM,06:03 PM,-3,12,14,12,29,4,34,0.0,1020,20,10,63,17
2020-01-11,23,10,0.0,10.8,5,5,100,06:43 PM,07:50 AM,07:27 AM,06:04 PM,-4,15,16,15,32,13,27,0.0,1018,23,10,86,18
2020-01-12,27,13,0.0,10.8,5,5,83,07:49 PM,08:44 AM,07:28 AM,06:05 PM,5,19,20,19,18,6,40,0.0,1014,27,10,166,10
2020-01-13,18,12,0.0,6.9,4,4,76,08:55 PM,09:34 AM,07:28 AM,06:05 PM,9,15,15,15,24,61,68,1.5,1011,18,9,276,16
2020-01-14,20,10,0.0,10.8,4,4,69,10:00 PM,10:19 AM,07:28 AM,06:06 PM,5,14,14,14,17,0,56,0.0,1015,20,10,32,10
2020-01-15,20,10,0.0,10.8,5,5,61,11:04 PM,11:00 AM,07:27 AM,06:07 PM,5,14,15,14,30,24,49,0.1,1015,20,10,37,20
2020-01-16,20,13,0.0,8.5,4,4,54,No moonrise,11:40 AM,07:27 AM,06:08 PM,5,15,16,15,29,47,48,1.8,1015,20,10,132,21
2020-01-17,21,11,0.0,10.8,5,5,47,12:06 AM,12:17 PM,07:27 AM,06:09 PM,0,15,15,15,17,1,38,0.0,1017,21,10,234,9
2020-01-18,21,11,0.0,10.8,5,5,40,01:07 AM,12:56 PM,07:27 AM,06:09 PM,-3,14,15,14,24,0,30,0.0,1018,21,10,130,14
2020-01-19,20,10,0.0,10.8,5,5,32,02:08 AM,01:37 PM,07:27 AM,06:10 PM,-2,14,15,14,23,2,32,0.0,1019,20,10,31,13
2020-01-20,22,11,0.0,10.1,4,4,25,03:10 AM,02:19 PM,07:27 AM,06:11 PM,-0,15,16,15,19,18,34,0.0,1017,22,10,167,10
2020-01-21,24,12,0.0,10.9,5,5,18,04:10 AM,03:06 PM,07:27 AM,06:12 PM,1,17,18,17,19,16,34,0.0,1016,24,10,329,11
2020-01-22,23,13,0.0,10.9,5,5,11,05:10 AM,03:57 PM,07:27 AM,06:12 PM,4,17,18,17,31,1,42,0.0,1020,23,10,46,19
2020-01-23,22,12,0.0,10.9,5,5,3,06:06 AM,04:50 PM,07:26 AM,06:13 PM,1,16,16,16,27,0,37,0.0,1020,22,10,44,15
2020-01-24,24,11,0.0,10.9,5,5,0,06:58 AM,05:46 PM,07:26 AM,06:14 PM,0,17,18,17,17,0,33,0.0,1017,24,10,143,10
2020-01-25,26,13,0.0,10.9,6,6,0,07:46 AM,06:41 PM,07:26 AM,06:15 PM,1,20,20,20,11,2,30,0.0,1016,26,10,49,6
2020-01-26,29,15,0.0,10.9,6,6,4,08:28 AM,07:37 PM,07:25 AM,06:15 PM,2,22,22,22,13,3,28,0.0,1013,29,10,239,7
2020-01-27,27,16,0.0,10.9,6,6,11,09:07 AM,08:30 PM,07:25 AM,06:16 PM,4,21,21,21,15,25,35,0.0,1009,27,10,241,10
2020-01-28,22,15,0.0,10.1,4,4,18,09:42 AM,09:22 PM,07:25 AM,06:17 PM,6,18,18,18,23,36,47,0.6,1011,22,10,286,16
2020-01-29,23,12,0.0,10.9,5,5,26,10:14 AM,10:13 PM,07:24 AM,06:18 PM,1,17,17,17,18,5,35,0.0,1016,23,10,227,10
2020-01-30,22,12,0.0,10.9,5,5,33,10:45 AM,11:04 PM,07:24 AM,06:18 PM,-3,16,17,16,22,2,27,0.0,1017,22,10,34,12
2020-01-31,22,12,0.0,11.0,5,5,37,11:16 AM,11:54 PM,07:23 AM,06:19 PM,-2,16,17,16,20,0,28,0.0,1015,22,10,322,11
2020-02-01,25,12,0.0,11.0,5,5,49,11:48 AM,No moonset,07:23 AM,06:20 PM,-2,19,19,19,15,1,28,0.0,1017,25,10,190,8
2020-02-02,23,12,0.0,11.0,5,5,57,12:22 PM,12:46 AM,07:23 AM,06:21 PM,-3,16,17,16,23,0,27,0.0,1019,23,10,73,13
2020-02-03,25,12,0.0,11.0,5,5,64,12:59 PM,01:40 AM,07:22 AM,06:21 PM,-2,18,20,18,22,2,26,0.0,1017,25,10,77,12
2020-02-04,25,13,0.0,11.0,5,5,72,01:41 PM,02:35 AM,07:22 AM,06:22 PM,0,19,19,19,22,4,31,0.0,1015,25,10,256,13
2020-02-05,25,14,0.0,11.0,5,5,79,02:28 PM,03:34 AM,07:21 AM,06:23 PM,3,18,19,18,28,4,36,0.0,1017,25,10,146,17
2020-02-06,23,12,0.0,11.0,5,5,87,03:22 PM,04:33 AM,07:20 AM,06:24 PM,-3,17,17,17,17,0,28,0.0,1016,23,10,261,10
2020-02-07,24,12,0.0,11.0,5,5,95,04:22 PM,05:32 AM,07:20 AM,06:24 PM,-6,17,18,17,23,0,22,0.0,1017,24,10,46,13
2020-02-08,24,11,0.0,11.1,5,5,100,05:28 PM,06:29 AM,07:19 AM,06:25 PM,-3,17,18,17,26,0,27,0.0,1020,24,10,64,15
