date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,23,13,0.0,8.7,5,5,37,10:16 AM,10:02 PM,06:02 AM,04:31 PM,10,18,18,18,8,21,63,0.0,1022,23,10,66,6
2020-01-02,22,14,0.0,8.7,5,5,44,10:48 AM,10:53 PM,06:02 AM,04:32 PM,11,17,18,17,8,40,66,0.0,1022,22,10,227,5
2020-01-03,20,13,0.0,3.9,4,4,51,11:19 AM,11:45 PM,06:02 AM,04:32 PM,13,16,16,16,9,75,83,17.9,1019,20,8,159,6
2020-01-04,19,15,0.0,3.9,4,4,59,11:51 AM,No moonset,06:02 AM,04:33 PM,15,16,16,16,6,89,92,2.8,1015,19,6,146,4
2020-01-05,19,13,0.0,3.9,4,4,66,12:23 PM,12:36 AM,06:03 AM,04:34 PM,13,15,15,15,11,79,88,7.4,1015,19,8,213,7
2020-01-06,22,12,0.0,8.7,5,5,73,12:59 PM,01:30 AM,06:03 AM,04:34 PM,12,16,17,16,7,23,78,0.3,1019,22,9,139,5
2020-01-07,22,12,0.0,8.7,5,5,80,01:38 PM,02:25 AM,06:03 AM,04:35 PM,12,16,17,16,8,34,74,0.0,1017,22,9,60,5
2020-01-08,22,15,0.0,8.7,5,5,88,02:23 PM,03:24 AM,06:03 AM,04:36 PM,12,18,18,18,9,24,70,0.0,1017,22,10,49,6
2020-01-09,18,14,0.0,3.9,4,4,95,03:14 PM,04:23 AM,06:03 AM,04:37 PM,13,16,16,16,10,54,83,0.3,1016,18,9,120,6
2020-01-10,22,15,0.0,5.5,4,4,100,04:11 PM,05:24 AM,06:03 AM,04:37 PM,14,18,18,18,7,48,80,0.1,1016,22,10,51,5
2020-01-11,24,14,0.0,8.7,5,5,100,05:14 PM,06:22 AM,06:03 AM,04:38 PM,13,18,18,18,6,8,75,0.0,1017,24,10,52,4
2020-01-12,24,13,0.0,8.7,5,5,83,06:19 PM,07:17 AM,06:03 AM,04:39 PM,13,19,19,19,7,8,73,0.0,1015,24,10,68,6
2020-01-13,24,15,0.0,8.7,6,6,76,07:26 PM,08:07 AM,06:03 AM,04:40 PM,13,19,20,19,7,3,71,0.0,1014,24,10,47,6
2020-01-14,24,15,0.0,8.7,6,6,69,08:31 PM,08:52 AM,06:03 AM,04:40 PM,13,19,19,19,6,9,72,0.0,1014,24,10,47,4
2020-01-15,23,16,0.0,8.7,5,5,61,09:35 PM,09:34 AM,06:03 AM,04:41 PM,13,19,19,19,8,28,70,0.0,1016,23,10,43,5
2020-01-16,25,16,0.0,8.7,6,6,54,10:37 PM,10:12 AM,06:03 AM,04:42 PM,13,20,20,20,6,27,66,0.0,1016,25,10,47,4
2020-01-17,25,16,0.0,8.7,6,6,47,11:39 PM,10:50 AM,06:03 AM,04:43 PM,13,20,20,20,8,20,65,0.0,1017,25,10,52,6
2020-01-18,25,16,0.0,3.9,5,5,40,No moonrise,11:29 AM,06:03 AM,04:44 PM,15,20,20,20,6,63,73,2.4,1016,25,9,209,4
