date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,19,0.0,4.2,5,5,37,11:10 AM,11:13 PM,06:39 AM,05:57 PM,20,24,24,23,13,75,82,1.1,1015,28,8,89,9
2020-01-02,30,20,0.0,5.7,6,6,44,11:47 AM,11:59 PM,06:40 AM,05:57 PM,20,26,26,24,13,66,79,2.5,1015,30,8,113,8
2020-01-03,31,21,0.0,7.2,6,6,51,12:22 PM,No moonset,06:40 AM,05:58 PM,20,27,27,25,12,44,76,1.3,1013,31,9,111,8
2020-01-04,32,21,0.0,4.2,6,6,59,12:59 PM,12:45 AM,06:40 AM,05:58 PM,20,28,28,26,13,47,73,1.2,1011,32,10,89,7
2020-01-05,31,21,0.0,4.2,6,6,66,01:36 PM,01:32 AM,06:41 AM,05:59 PM,20,27,27,25,16,68,78,2.3,1012,31,7,88,10
2020-01-06,27,20,0.0,5.8,5,5,73,02:16 PM,02:21 AM,06:41 AM,06:00 PM,20,25,25,23,14,69,85,1.0,1015,27,7,79,10
2020-01-07,28,20,0.0,7.2,5,5,80,03:00 PM,03:12 AM,06:41 AM,06:00 PM,20,25,25,23,15,59,84,4.0,1015,28,8,96,10
2020-01-08,29,20,0.0,7.3,6,6,88,03:49 PM,04:06 AM,06:41 AM,06:01 PM,19,25,25,24,13,46,79,0.1,1014,29,8,96,9
2020-01-09,30,19,0.0,11.6,6,6,95,04:42 PM,05:04 AM,06:42 AM,06:01 PM,18,24,24,23,15,26,75,0.0,1013,30,8,102,9
2020-01-10,28,19,0.0,11.6,6,6,100,05:41 PM,06:03 AM,06:42 AM,06:02 PM,17,23,23,22,16,12,75,0.0,1014,28,10,93,11
2020-01-11,27,17,0.0,8.7,5,5,100,06:42 PM,07:02 AM,06:42 AM,06:02 PM,18,23,23,22,14,31,78,0.0,1015,27,10,98,9
2020-01-12,28,19,0.0,8.7,5,5,83,07:45 PM,07:59 AM,06:42 AM,06:03 PM,18,23,23,23,12,50,78,0.9,1014,28,10,79,8
2020-01-13,30,18,0.0,11.6,6,6,76,08:46 PM,08:53 AM,06:43 AM,06:04 PM,15,24,24,23,14,10,66,0.0,1012,30,8,68,8
2020-01-14,30,18,0.0,11.6,6,6,69,09:46 PM,09:43 AM,06:43 AM,06:04 PM,15,24,24,23,16,0,66,0.0,1013,30,10,94,10
2020-01-15,29,17,0.0,11.6,6,6,61,10:44 PM,10:29 AM,06:43 AM,06:05 PM,15,23,23,22,17,0,69,0.0,1013,29,10,107,11
2020-01-16,29,17,0.0,11.6,6,6,54,11:40 PM,11:14 AM,06:43 AM,06:05 PM,16,23,23,23,15,1,68,0.0,1013,29,10,117,10
2020-01-17,30,19,0.0,11.6,7,7,47,No moonrise,11:58 AM,06:43 AM,06:06 PM,17,25,25,24,15,9,71,0.0,1013,30,9,114,9
2020-01-18,29,19,0.0,7.3,6,6,40,12:36 AM,12:42 PM,06:43 AM,06:06 PM,19,25,25,23,16,69,80,0.5,1013,29,8,91,11
2020-01-19,31,19,0.0,10.2,6,6,32,01:32 AM,01:27 PM,06:43 AM,06:07 PM,18,25,25,24,17,45,74,0.1,1014,31,8,96,11
2020-01-20,31,19,0.0,11.6,7,7,25,02:28 AM,02:14 PM,06:44 AM,06:07 PM,17,25,25,24,17,13,66,0.0,1014,31,10,95,11
2020-01-21,30,19,0.0,11.6,7,7,18,03:25 AM,03:04 PM,06:44 AM,06:08 PM,16,23,23,23,19,1,66,0.0,1016,30,10,98,12
2020-01-22,30,17,0.0,11.6,6,6,11,04:22 AM,03:57 PM,06:44 AM,06:08 PM,17,24,24,23,17,19,75,0.0,1016,30,8,94,11
2020-01-23,31,17,0.0,11.6,7,7,3,05:18 AM,04:51 PM,06:44 AM,06:09 PM,17,25,25,24,15,20,70,0.0,1015,31,8,96,9
2020-01-24,32,19,0.0,11.6,7,7,0,06:10 AM,05:45 PM,06:44 AM,06:10 PM,14,25,25,24,15,0,58,0.0,1014,32,10,98,9
2020-01-25,31,19,0.0,11.6,7,7,0,07:00 AM,06:38 PM,06:44 AM,06:10 PM,12,24,24,24,15,1,51,0.0,1014,31,10,92,9
2020-01-26,33,20,0.0,11.6,7,7,4,07:46 AM,07:30 PM,06:44 AM,06:11 PM,13,26,26,26,14,2,49,0.0,1013,33,10,90,8
2020-01-27,34,20,0.0,11.6,7,7,11,08:28 AM,08:19 PM,06:43 AM,06:11 PM,14,27,27,26,16,1,53,0.0,1012,34,10,104,10
2020-01-28,33,19,0.0,11.6,7,7,18,09:07 AM,09:07 PM,06:43 AM,06:12 PM,16,27,27,27,14,5,59,0.0,1012,33,10,170,8
2020-01-29,35,21,0.0,11.6,7,7,26,09:45 AM,09:53 PM,06:43 AM,06:12 PM,17,29,29,28,14,9,58,0.0,1013,35,10,166,9
2020-01-30,36,21,0.0,11.6,7,7,33,10:20 AM,10:39 PM,06:43 AM,06:12 PM,16,28,28,27,12,11,54,0.0,1012,36,10,129,7
2020-01-31,34,20,0.0,11.6,7,7,37,10:56 AM,11:25 PM,06:43 AM,06:13 PM,16,27,27,26,18,8,61,0.0,1011,34,10,118,11
2020-02-01,33,19,0.0,11.6,7,7,49,11:32 AM,No moonset,06:43 AM,06:13 PM,17,26,26,25,19,15,65,0.0,1012,33,10,126,13
2020-02-02,32,19,0.0,11.6,7,7,57,12:10 PM,12:12 AM,06:43 AM,06:14 PM,17,26,26,25,19,18,66,0.0,1015,32,9,115,13
2020-02-03,32,17,0.0,11.6,7,7,64,12:51 PM,01:01 AM,06:42 AM,06:14 PM,14,25,25,24,19,4,62,0.0,1015,32,10,114,12
2020-02-04,32,17,0.0,11.6,7,7,72,01:37 PM,01:53 AM,06:42 AM,06:15 PM,15,25,25,25,18,2,62,0.0,1013,32,10,112,11
2020-02-05,32,18,0.0,11.6,7,7,79,02:27 PM,02:47 AM,06:42 AM,06:15 PM,15,25,25,24,17,6,60,0.0,1013,32,10,109,10
2020-02-06,34,18,0.0,11.6,7,7,87,03:23 PM,03:45 AM,06:42 AM,06:16 PM,13,26,26,26,18,3,52,0.0,1013,34,10,133,11
2020-02-07,34,19,0.0,11.6,7,7,95,04:22 PM,04:43 AM,06:41 AM,06:16 PM,15,27,27,26,20,17,56,0.0,1013,34,10,147,13
2020-02-08,32,19,0.0,11.6,7,7,100,05:25 PM,05:42 AM,06:41 AM,06:16 PM,17,26,26,25,19,32,62,0.0,1013,32,10,132,12
2020-02-09,32,20,0.0,10.2,6,6,100,06:28 PM,06:38 AM,06:41 AM,06:17 PM,18,25,25,24,20,40,69,0.1,1014,32,10,105,14
2020-02-10,32,19,0.0,11.6,7,7,83,07:31 PM,07:32 AM,06:41 AM,06:17 PM,16,26,26,25,20,21,67,0.0,1015,32,9,95,13
2020-02-11,32,18,0.0,11.6,7,7,75,08:32 PM,08:21 AM,06:40 AM,06:17 PM,17,26,26,25,21,27,70,0.0,1015,32,9,100,14
2020-02-12,32,18,0.0,11.6,7,7,68,09:31 PM,09:09 AM,06:40 AM,06:18 PM,16,25,25,24,18,34,66,0.0,1016,32,8,86,12
2020-02-13,33,19,0.0,11.6,7,7,60,10:29 PM,09:54 AM,06:40 AM,06:18 PM,16,27,27,26,16,6,62,0.0,1015,33,10,74,10
2020-02-14,34,20,0.0,11.6,7,7,53,11:27 PM,10:39 AM,06:39 AM,06:18 PM,12,27,27,27,13,1,48,0.0,1013,34,10,51,8
2020-02-15,35,20,0.0,11.6,7,7,45,No moonrise,11:25 AM,06:39 AM,06:19 PM,9,27,27,27,18,0,37,0.0,1013,35,10,88,11
2020-02-16,34,20,0.0,11.6,7,7,38,12:24 AM,12:12 PM,06:38 AM,06:19 PM,8,27,27,27,19,0,37,0.0,1014,34,10,103,12
2020-02-17,34,18,0.0,11.6,7,7,30,01:21 AM,01:02 PM,06:38 AM,06:19 PM,11,26,26,25,18,0,45,0.0,1015,34,10,106,11
2020-02-18,34,19,0.0,11.6,7,7,22,02:18 AM,01:53 PM,06:37 AM,06:20 PM,13,27,27,27,17,1,48,0.0,1014,34,10,95,11
2020-02-19,33,20,0.0,11.6,7,7,15,03:13 AM,02:46 PM,06:37 AM,06:20 PM,14,26,26,25,18,1,57,0.0,1014,33,10,105,11
2020-02-20,34,18,0.0,11.6,7,7,7,04:06 AM,03:39 PM,06:37 AM,06:20 PM,14,26,26,25,19,0,58,0.0,1014,34,10,96,13
2020-02-21,34,17,0.0,11.6,7,7,0,04:56 AM,04:32 PM,06:36 AM,06:21 PM,15,26,26,26,18,2,61,0.0,1016,34,10,104,12
2020-02-22,34,17,0.0,11.6,7,7,0,05:43 AM,05:24 PM,06:36 AM,06:21 PM,16,27,27,26,19,15,66,0.0,1016,34,9,107,13
2020-02-23,34,18,0.0,11.6,7,7,0,06:25 AM,06:13 PM,06:35 AM,06:21 PM,17,27,27,26,19,23,67,0.0,1015,34,8,107,12
2020-02-24,34,19,0.0,11.6,7,7,0,07:06 AM,07:02 PM,06:34 AM,06:21 PM,15,26,26,26,17,3,60,0.0,1013,34,10,117,12
2020-02-25,36,19,0.0,11.6,7,7,8,07:43 AM,07:49 PM,06:34 AM,06:22 PM,15,28,28,28,19,9,58,0.0,1011,36,10,114,12
2020-02-26,35,19,0.0,11.6,7,7,15,08:19 AM,08:34 PM,06:33 AM,06:22 PM,17,28,28,27,17,8,61,0.0,1011,35,10,104,12
2020-02-27,33,19,0.0,11.6,7,7,23,08:55 AM,09:20 PM,06:33 AM,06:22 PM,18,28,28,27,18,20,65,0.0,1012,33,10,89,12
2020-02-28,32,19,0.0,11.6,7,7,30,09:31 AM,10:06 PM,06:32 AM,06:22 PM,18,28,28,26,18,22,65,0.0,1011,32,9,95,13
2020-02-29,34,19,0.0,11.6,7,7,38,10:07 AM,10:54 PM,06:32 AM,06:22 PM,17,28,28,27,19,13,64,0.0,1011,34,10,90,13
2020-03-01,35,20,0.0,11.6,7,7,44,10:47 AM,11:44 PM,06:31 AM,06:23 PM,16,29,29,28,19,10,60,0.0,1011,35,10,95,13
2020-03-02,35,19,0.0,11.6,7,7,51,11:30 AM,No moonset,06:31 AM,06:23 PM,16,29,29,28,12,16,57,0.0,1011,35,10,29,8
2020-03-03,37,20,0.0,11.6,8,8,58,12:16 PM,12:36 AM,06:30 AM,06:23 PM,15,30,30,29,15,20,52,0.0,1011,37,10,80,10
2020-03-04,36,22,0.0,11.6,8,8,65,01:07 PM,01:31 AM,06:29 AM,06:23 PM,14,31,31,30,13,25,44,0.0,1010,36,10,189,8
2020-03-05,35,22,0.0,11.6,8,8,73,02:04 PM,02:27 AM,06:29 AM,06:23 PM,17,31,31,29,15,24,53,0.0,1009,35,10,175,10
2020-03-06,34,22,0.0,8.8,6,6,80,03:04 PM,03:25 AM,06:28 AM,06:24 PM,18,31,31,29,11,51,58,8.6,1010,34,9,174,8
2020-03-07,34,23,0.0,6.0,7,7,87,04:06 PM,04:21 AM,06:27 AM,06:24 PM,20,31,31,29,17,77,63,14.9,1012,34,9,162,11
2020-03-08,35,23,0.0,6.0,6,6,95,05:10 PM,05:15 AM,06:27 AM,06:24 PM,20,31,31,29,14,62,62,3.4,1011,35,9,123,10
2020-03-09,36,23,0.0,11.6,8,8,100,06:12 PM,06:07 AM,06:26 AM,06:24 PM,17,31,31,29,17,12,55,0.0,1010,36,10,108,12
2020-03-10,36,23,0.0,11.6,8,8,100,07:13 PM,06:56 AM,06:25 AM,06:24 PM,17,31,31,29,15,16,53,0.0,1010,36,10,122,11
2020-03-11,37,23,0.0,11.6,8,8,84,08:14 PM,07:44 AM,06:25 AM,06:24 PM,15,31,31,30,16,19,48,0.0,1011,37,10,160,11
2020-03-12,37,22,0.0,11.6,8,8,76,09:14 PM,08:30 AM,06:24 AM,06:24 PM,16,31,31,30,16,15,48,0.0,1012,37,10,156,11
2020-03-13,37,22,0.0,11.6,8,8,69,10:13 PM,09:18 AM,06:23 AM,06:25 PM,15,31,31,30,16,3,48,0.0,1012,37,10,116,12
2020-03-14,37,22,0.0,11.6,8,8,62,11:13 PM,10:06 AM,06:23 AM,06:25 PM,16,31,31,30,17,2,53,0.0,1011,37,10,108,13
2020-03-15,37,22,0.0,11.6,8,8,55,No moonrise,10:56 AM,06:22 AM,06:25 PM,17,31,31,29,18,3,58,0.0,1011,37,10,102,14
2020-03-16,37,21,0.0,11.6,8,8,47,12:12 AM,11:49 AM,06:21 AM,06:25 PM,18,31,31,30,18,12,59,0.0,1012,37,10,111,13
2020-03-17,38,23,0.0,11.6,8,8,40,01:09 AM,12:42 PM,06:21 AM,06:25 PM,16,31,31,30,19,3,50,0.0,1013,38,10,112,14
2020-03-18,39,21,0.0,11.6,8,8,33,02:03 AM,01:36 PM,06:20 AM,06:25 PM,14,32,32,31,15,3,46,0.0,1012,39,10,115,10
2020-03-19,39,23,0.0,11.6,8,8,25,02:54 AM,02:28 PM,06:19 AM,06:25 PM,14,33,33,32,16,6,40,0.0,1011,39,10,127,10
2020-03-20,38,24,0.0,10.2,7,7,18,03:42 AM,03:21 PM,06:19 AM,06:25 PM,15,31,31,30,18,31,41,0.2,1010,38,10,174,11
2020-03-21,40,23,0.0,11.6,8,8,11,04:25 AM,04:10 PM,06:18 AM,06:26 PM,13,34,34,33,16,7,38,0.0,1010,40,10,262,10
2020-03-22,36,24,0.0,11.6,7,7,4,05:06 AM,04:59 PM,06:17 AM,06:26 PM,16,32,32,31,16,18,45,0.0,1010,36,10,135,11
2020-03-23,39,23,0.0,11.6,8,8,0,05:44 AM,05:46 PM,06:16 AM,06:26 PM,16,33,33,31,15,16,48,0.0,1010,39,10,118,11
2020-03-24,39,23,0.0,11.6,8,8,0,06:20 AM,06:32 PM,06:16 AM,06:26 PM,16,33,33,31,17,12,48,0.0,1009,39,10,91,12
2020-03-25,38,23,0.0,11.6,8,8,3,06:55 AM,07:18 PM,06:15 AM,06:26 PM,15,32,32,31,17,10,45,0.0,1009,38,10,110,12
2020-03-26,39,23,0.0,11.6,8,8,11,07:31 AM,08:04 PM,06:14 AM,06:26 PM,15,33,33,32,20,4,43,0.0,1010,39,10,97,15
2020-03-27,39,24,0.0,11.6,8,8,18,08:07 AM,08:51 PM,06:14 AM,06:26 PM,12,33,33,32,18,0,37,0.0,1012,39,10,109,13
2020-03-28,40,23,0.0,11.6,8,8,25,08:45 AM,09:40 PM,06:13 AM,06:26 PM,10,32,32,32,20,1,32,0.0,1010,40,10,109,14
2020-03-29,40,25,0.0,11.6,8,8,32,09:27 AM,10:30 PM,06:12 AM,06:26 PM,9,33,33,33,20,3,27,0.0,1009,40,10,106,13
2020-03-30,40,25,0.0,11.6,8,8,40,10:11 AM,11:23 PM,06:12 AM,06:26 PM,10,33,33,33,20,2,30,0.0,1010,40,10,103,14
2020-03-31,40,24,0.0,11.6,8,8,44,11:00 AM,No moonset,06:11 AM,06:27 PM,12,33,33,33,21,4,33,0.0,1010,40,10,105,14
2020-04-01,41,24,0.0,11.6,9,9,56,11:53 AM,12:17 AM,06:10 AM,06:27 PM,13,34,34,33,18,5,35,0.0,1009,41,10,87,12
2020-04-02,41,24,0.0,11.6,8,8,64,12:49 PM,01:13 AM,06:10 AM,06:27 PM,14,35,35,34,17,7,37,0.0,1008,41,10,98,12
2020-04-03,41,23,0.0,11.6,8,8,71,01:49 PM,02:08 AM,06:09 AM,06:27 PM,12,34,34,33,19,5,35,0.0,1009,41,10,111,12
2020-04-04,40,23,0.0,11.6,8,8,79,02:50 PM,03:01 AM,06:08 AM,06:27 PM,14,34,34,32,17,3,46,0.0,1011,40,10,102,11
2020-04-05,40,21,0.0,11.6,8,8,87,03:51 PM,03:53 AM,06:07 AM,06:27 PM,15,34,34,32,19,5,50,0.0,1011,40,10,112,12
2020-04-06,41,23,0.0,11.6,8,8,94,04:52 PM,04:42 AM,06:07 AM,06:27 PM,19,35,35,33,14,15,54,0.0,1011,41,10,75,10
2020-04-07,41,25,0.0,11.6,9,9,100,05:53 PM,05:30 AM,06:06 AM,06:27 PM,17,35,35,34,12,13,46,0.0,1009,41,10,118,8
2020-04-08,38,25,0.0,8.9,7,7,100,06:54 PM,06:17 AM,06:05 AM,06:27 PM,18,33,33,32,11,77,46,8.5,1010,38,9,233,7
