date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,6,0.0,5.4,3,3,37,11:32 AM,11:15 PM,07:20 AM,05:36 PM,-1,11,11,11,13,60,42,0.0,1020,18,10,108,7
2020-01-02,21,10,0.0,8.7,5,5,44,12:02 PM,No moonset,07:20 AM,05:37 PM,4,14,14,14,13,14,51,0.0,1021,21,10,171,7
2020-01-03,21,11,0.0,8.7,5,5,51,12:32 PM,12:07 AM,07:20 AM,05:37 PM,8,16,16,16,9,13,59,0.0,1018,21,10,297,6
2020-01-04,21,11,0.0,8.7,5,5,59,01:02 PM,12:59 AM,07:21 AM,05:38 PM,7,15,15,15,7,8,60,0.0,1016,21,10,316,4
2020-01-05,20,11,0.0,7.1,4,4,66,01:34 PM,01:52 AM,07:21 AM,05:39 PM,5,14,14,14,16,26,53,0.0,1017,20,10,321,10
2020-01-06,13,11,0.0,3.8,3,3,73,02:08 PM,02:47 AM,07:21 AM,05:40 PM,6,11,12,11,16,62,70,5.1,1019,13,10,129,10
2020-01-07,15,12,0.0,3.8,3,3,80,02:46 PM,03:45 AM,07:21 AM,05:40 PM,12,12,13,12,17,78,90,7.4,1017,15,9,124,11
2020-01-08,15,10,0.0,3.8,3,3,88,03:30 PM,04:44 AM,07:21 AM,05:41 PM,10,11,12,11,11,63,90,38.9,1015,15,7,45,6
2020-01-09,17,8,0.0,8.7,4,4,95,04:21 PM,05:45 AM,07:21 AM,05:42 PM,6,10,11,10,16,1,73,0.0,1019,17,9,321,11
2020-01-10,17,7,0.0,8.7,4,4,100,05:19 PM,06:45 AM,07:21 AM,05:43 PM,3,9,10,9,21,8,61,0.0,1019,17,10,317,12
2020-01-11,18,7,0.0,8.7,4,4,100,06:21 PM,07:44 AM,07:21 AM,05:44 PM,2,10,11,10,17,22,53,0.0,1018,18,10,313,9
2020-01-12,21,9,0.0,8.7,5,5,83,07:29 PM,08:37 AM,07:21 AM,05:44 PM,5,14,14,14,15,22,53,0.0,1015,21,10,295,9
2020-01-13,15,9,0.0,3.8,3,3,76,08:36 PM,09:26 AM,07:21 AM,05:45 PM,9,12,13,12,16,63,78,20.3,1011,15,8,100,9
2020-01-14,17,9,0.0,5.5,3,3,69,09:43 PM,10:09 AM,07:21 AM,05:46 PM,10,12,13,12,13,32,84,0.0,1016,17,10,333,9
2020-01-15,20,10,0.0,8.7,4,4,61,10:48 PM,10:49 AM,07:21 AM,05:47 PM,8,13,13,13,10,3,72,0.0,1016,20,10,299,6
2020-01-16,16,8,0.0,3.9,3,3,54,11:52 PM,11:26 AM,07:21 AM,05:48 PM,9,11,12,11,12,64,82,10.7,1015,16,9,163,7
2020-01-17,17,10,0.0,3.9,3,3,47,No moonrise,12:02 PM,07:21 AM,05:49 PM,11,13,13,13,7,71,86,0.4,1016,17,9,204,4
2020-01-18,19,10,0.0,8.7,4,4,40,12:56 AM,12:39 PM,07:21 AM,05:49 PM,9,14,14,14,7,21,74,0.0,1018,19,9,296,5
2020-01-19,18,10,0.0,8.7,4,4,32,01:59 AM,01:18 PM,07:20 AM,05:50 PM,9,12,13,12,13,4,76,0.0,1018,18,10,313,9
2020-01-20,18,8,0.0,7.1,3,3,25,03:01 AM,01:59 PM,07:20 AM,05:51 PM,7,12,13,12,14,39,68,0.0,1017,18,10,316,8
2020-01-21,19,10,0.0,8.7,4,4,18,04:03 AM,02:45 PM,07:20 AM,05:52 PM,8,14,14,14,9,15,67,0.0,1019,19,10,52,5
