date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,13,0.0,8.7,6,6,37,10:56 AM,10:52 PM,06:32 AM,05:29 PM,13,19,19,19,9,21,70,0.0,1018,27,10,33,5
2020-01-02,29,14,0.0,8.7,5,5,44,11:31 AM,11:41 PM,06:32 AM,05:30 PM,15,21,21,20,8,33,72,0.6,1018,29,10,104,4
2020-01-03,23,17,0.0,4.1,5,5,51,12:04 PM,No moonset,06:32 AM,05:31 PM,17,19,20,19,9,66,87,8.2,1016,23,10,16,5
2020-01-04,24,16,0.0,4.1,4,4,59,12:38 PM,12:28 AM,06:33 AM,05:31 PM,16,19,19,19,7,71,87,0.2,1014,24,8,123,4
2020-01-05,25,15,0.0,7.2,5,5,66,01:14 PM,01:18 AM,06:33 AM,05:32 PM,14,19,20,19,6,39,74,0.0,1016,25,9,348,4
2020-01-06,26,15,0.0,8.7,6,6,73,01:52 PM,02:08 AM,06:33 AM,05:33 PM,13,21,21,21,6,0,63,0.0,1018,26,10,131,5
2020-01-07,28,16,0.0,8.7,6,6,80,02:34 PM,03:01 AM,06:34 AM,05:33 PM,13,22,22,21,6,4,60,0.0,1016,28,10,128,4
2020-01-08,29,16,0.0,8.7,6,6,88,03:22 PM,03:57 AM,06:34 AM,05:34 PM,15,23,23,22,8,26,68,0.0,1014,29,10,153,4
2020-01-09,28,16,0.0,5.7,5,5,95,04:14 PM,04:56 AM,06:34 AM,05:35 PM,17,21,21,21,9,56,80,16.2,1014,28,9,232,5
2020-01-10,25,16,0.0,8.7,6,6,100,05:12 PM,05:55 AM,06:34 AM,05:35 PM,15,20,20,20,8,27,75,0.2,1016,25,9,131,5
2020-01-11,26,14,0.0,8.7,6,6,100,06:14 PM,06:54 AM,06:34 AM,05:36 PM,11,19,19,19,6,0,62,0.0,1017,26,10,248,4
2020-01-12,26,13,0.0,8.7,6,6,83,07:18 PM,07:50 AM,06:34 AM,05:36 PM,6,19,19,19,6,0,46,0.0,1016,26,10,246,4
2020-01-13,29,14,0.0,8.7,6,6,76,08:21 PM,08:42 AM,06:35 AM,05:37 PM,5,20,20,21,6,0,38,0.0,1013,29,10,139,4
2020-01-14,31,15,0.0,8.7,6,6,69,09:24 PM,09:31 AM,06:35 AM,05:38 PM,7,22,22,22,8,0,40,0.0,1013,31,10,121,5
2020-01-15,31,16,0.0,8.7,6,6,61,10:24 PM,10:15 AM,06:35 AM,05:38 PM,11,23,23,22,9,2,52,0.0,1014,31,10,25,5
2020-01-16,30,15,0.0,8.7,6,6,54,11:23 PM,10:57 AM,06:35 AM,05:39 PM,11,22,22,22,14,2,54,0.0,1014,30,10,148,8
2020-01-17,31,15,0.0,8.7,6,6,47,No moonrise,11:38 AM,06:35 AM,05:40 PM,11,22,22,22,9,2,54,0.0,1015,31,10,70,5
2020-01-18,29,15,0.0,8.7,6,6,40,12:21 AM,12:20 PM,06:35 AM,05:40 PM,13,22,22,22,9,14,61,0.0,1015,29,10,133,5
2020-01-19,30,16,0.0,8.7,6,6,32,01:19 AM,01:03 PM,06:35 AM,05:41 PM,13,23,23,22,9,14,58,0.0,1015,30,10,211,5
2020-01-20,29,16,0.0,8.7,6,6,25,02:17 AM,01:48 PM,06:35 AM,05:42 PM,13,22,22,21,8,15,58,0.0,1016,29,10,235,5
2020-01-21,30,15,0.0,8.7,6,6,18,03:16 AM,02:36 PM,06:35 AM,05:42 PM,13,23,23,22,9,9,58,0.0,1017,30,10,231,5
2020-01-22,32,16,0.0,8.7,7,7,11,04:14 AM,03:28 PM,06:35 AM,05:43 PM,13,24,24,23,10,6,57,0.0,1017,32,10,228,6
2020-01-23,31,17,0.0,8.7,7,7,3,05:10 AM,04:22 PM,06:35 AM,05:44 PM,11,24,24,23,8,6,50,0.0,1015,31,10,225,5
2020-01-24,30,16,0.0,8.7,6,6,0,06:03 AM,05:17 PM,06:34 AM,05:44 PM,10,22,22,22,6,7,49,0.0,1015,30,10,247,4
2020-01-25,29,15,0.0,8.7,6,6,0,06:52 AM,06:11 PM,06:34 AM,05:45 PM,9,22,22,22,7,2,45,0.0,1014,29,10,231,5
2020-01-26,30,17,0.0,8.7,6,6,4,07:36 AM,07:04 PM,06:34 AM,05:45 PM,9,23,23,22,11,3,45,0.0,1013,30,10,215,7
2020-01-27,31,17,0.0,8.7,6,6,11,08:17 AM,07:55 PM,06:34 AM,05:46 PM,6,23,23,23,9,1,36,0.0,1013,31,10,128,5
2020-01-28,32,16,0.0,8.7,7,7,18,08:54 AM,08:45 PM,06:34 AM,05:47 PM,16,25,25,24,12,26,65,0.6,1012,32,10,266,7
2020-01-29,31,19,0.0,7.2,7,7,26,09:29 AM,09:34 PM,06:34 AM,05:47 PM,16,25,25,24,11,53,67,2.9,1013,31,10,293,7
2020-01-30,30,18,0.0,7.2,5,5,33,10:03 AM,10:21 PM,06:33 AM,05:48 PM,14,23,23,23,11,29,60,0.4,1014,30,10,217,7
2020-01-31,28,15,0.0,8.7,6,6,37,10:36 AM,11:09 PM,06:33 AM,05:48 PM,9,21,21,21,10,5,48,0.0,1014,28,10,227,6
2020-02-01,30,16,0.0,8.7,6,6,49,11:11 AM,11:58 PM,06:33 AM,05:49 PM,11,22,22,22,10,20,51,0.0,1015,30,10,345,6
2020-02-02,29,15,0.0,7.2,5,5,57,11:47 AM,No moonset,06:32 AM,05:50 PM,10,21,21,21,8,32,48,0.3,1017,29,10,232,5
2020-02-03,31,15,0.0,8.7,6,6,64,12:26 PM,12:49 AM,06:32 AM,05:50 PM,13,23,23,23,8,37,54,0.2,1017,31,10,232,5
