date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,21,0.0,5.8,6,6,37,11:08 AM,11:14 PM,06:34 AM,06:01 PM,21,26,26,24,15,74,85,9.0,1014,28,7,62,9
2020-01-02,30,21,0.0,7.3,6,6,44,11:45 AM,11:59 PM,06:34 AM,06:01 PM,21,27,27,25,12,67,83,1.7,1015,30,9,76,7
2020-01-03,30,22,0.0,8.7,6,6,51,12:22 PM,No moonset,06:34 AM,06:02 PM,22,28,28,25,8,67,81,0.4,1014,30,10,79,5
2020-01-04,29,23,0.0,8.7,6,6,59,12:59 PM,12:44 AM,06:35 AM,06:03 PM,22,28,28,25,9,49,83,0.0,1012,29,9,122,6
2020-01-05,30,23,0.0,8.7,6,6,66,01:38 PM,01:30 AM,06:35 AM,06:03 PM,21,28,28,25,10,52,80,0.5,1012,30,10,105,6
2020-01-06,29,22,0.0,5.8,6,6,73,02:19 PM,02:18 AM,06:35 AM,06:04 PM,21,27,27,25,18,73,83,7.2,1014,29,9,70,12
2020-01-07,28,21,0.0,5.8,6,6,80,03:04 PM,03:08 AM,06:36 AM,06:04 PM,21,27,27,24,19,82,83,5.8,1014,28,10,70,12
2020-01-08,29,20,0.0,10.2,6,6,88,03:53 PM,04:02 AM,06:36 AM,06:05 PM,19,25,25,24,18,41,77,0.3,1014,29,10,39,11
2020-01-09,29,19,0.0,11.6,6,6,95,04:47 PM,04:58 AM,06:36 AM,06:05 PM,18,24,24,23,14,5,73,0.0,1013,29,10,52,9
2020-01-10,29,19,0.0,11.6,6,6,100,05:46 PM,05:57 AM,06:37 AM,06:06 PM,17,24,24,23,17,4,73,0.0,1014,29,10,56,11
2020-01-11,29,18,0.0,11.6,6,6,100,06:46 PM,06:56 AM,06:37 AM,06:06 PM,17,23,23,23,21,11,74,0.0,1015,29,10,40,13
2020-01-12,28,19,0.0,8.7,5,5,83,07:48 PM,07:54 AM,06:37 AM,06:07 PM,19,25,25,23,17,56,78,1.1,1014,28,10,60,11
2020-01-13,29,18,0.0,11.6,6,6,76,08:49 PM,08:48 AM,06:37 AM,06:07 PM,19,24,24,23,15,49,76,0.3,1012,29,10,57,10
2020-01-14,29,19,0.0,11.6,6,6,69,09:48 PM,09:40 AM,06:38 AM,06:08 PM,16,24,24,23,15,10,66,0.0,1012,29,10,56,9
2020-01-15,28,18,0.0,11.6,6,6,61,10:44 PM,10:27 AM,06:38 AM,06:08 PM,16,23,23,22,17,3,69,0.0,1013,28,10,53,10
2020-01-16,30,18,0.0,11.6,6,6,54,11:40 PM,11:14 AM,06:38 AM,06:09 PM,17,24,24,23,13,13,69,0.0,1013,30,10,72,8
2020-01-17,30,20,0.0,10.2,6,6,47,No moonrise,11:58 AM,06:38 AM,06:09 PM,19,25,25,24,15,37,78,0.5,1013,30,10,68,10
2020-01-18,27,21,0.0,7.3,5,5,40,12:34 AM,12:43 PM,06:38 AM,06:10 PM,21,25,25,23,18,73,89,8.6,1013,27,10,53,11
2020-01-19,29,21,0.0,7.3,6,6,32,01:29 AM,01:30 PM,06:39 AM,06:10 PM,20,26,26,24,16,60,79,0.5,1014,29,9,57,11
2020-01-20,30,20,0.0,11.6,7,7,25,02:24 AM,02:18 PM,06:39 AM,06:11 PM,18,25,25,24,17,11,72,0.0,1014,30,10,56,11
2020-01-21,30,19,0.0,11.6,7,7,18,03:20 AM,03:09 PM,06:39 AM,06:11 PM,18,25,25,24,21,7,73,0.0,1015,30,10,57,13
2020-01-22,28,20,0.0,10.2,5,5,11,04:16 AM,04:01 PM,06:39 AM,06:12 PM,19,25,25,23,22,41,79,0.0,1016,28,10,52,14
2020-01-23,28,21,0.0,10.2,6,6,3,05:12 AM,04:55 PM,06:39 AM,06:12 PM,19,26,26,25,19,49,74,0.3,1015,28,10,52,13
2020-01-24,31,19,0.0,11.6,7,7,0,06:05 AM,05:49 PM,06:39 AM,06:13 PM,17,24,24,24,17,5,69,0.0,1015,31,10,56,11
2020-01-25,30,18,0.0,11.6,6,6,0,06:55 AM,06:42 PM,06:39 AM,06:13 PM,14,24,24,23,14,0,59,0.0,1014,30,10,46,9
2020-01-26,31,20,0.0,11.6,7,7,4,07:42 AM,07:33 PM,06:39 AM,06:14 PM,16,26,26,25,9,0,62,0.0,1013,31,10,61,7
2020-01-27,31,21,0.0,11.6,7,7,11,08:24 AM,08:21 PM,06:39 AM,06:14 PM,17,27,27,26,8,0,65,0.0,1013,31,10,105,6
2020-01-28,31,21,0.0,11.6,7,7,18,09:04 AM,09:08 PM,06:39 AM,06:15 PM,18,28,28,26,9,2,68,0.0,1013,31,10,141,6
2020-01-29,32,20,0.0,11.6,7,7,26,09:43 AM,09:53 PM,06:39 AM,06:15 PM,18,27,27,26,10,2,68,0.0,1014,32,10,119,7
2020-01-30,32,21,0.0,11.6,7,7,33,10:19 AM,10:38 PM,06:39 AM,06:16 PM,18,28,28,26,8,0,66,0.0,1013,32,10,132,5
2020-01-31,32,21,0.0,11.6,7,7,37,10:56 AM,11:23 PM,06:39 AM,06:16 PM,18,27,27,25,10,5,67,0.0,1012,32,10,112,7
2020-02-01,30,21,0.0,10.2,6,6,49,11:33 AM,No moonset,06:39 AM,06:16 PM,18,27,27,25,12,36,69,0.1,1013,30,10,119,8
2020-02-02,31,20,0.0,10.2,7,7,57,12:12 PM,12:09 AM,06:39 AM,06:17 PM,17,25,25,25,15,27,68,0.1,1015,31,10,80,10
2020-02-03,31,19,0.0,10.2,6,6,64,12:54 PM,12:57 AM,06:38 AM,06:17 PM,17,25,25,24,17,27,66,0.2,1015,31,10,69,11
2020-02-04,29,20,0.0,8.7,6,6,72,01:41 PM,01:48 AM,06:38 AM,06:17 PM,19,26,26,24,16,51,73,1.8,1014,29,10,69,11
2020-02-05,31,20,0.0,11.6,6,6,79,02:31 PM,02:42 AM,06:38 AM,06:18 PM,17,26,26,25,14,36,66,0.4,1014,31,10,71,10
2020-02-06,32,20,0.0,11.6,7,7,87,03:27 PM,03:39 AM,06:38 AM,06:18 PM,17,26,26,25,10,2,61,0.0,1014,32,10,96,7
2020-02-07,31,21,0.0,11.6,7,7,95,04:26 PM,04:38 AM,06:38 AM,06:18 PM,17,27,27,25,11,10,65,0.0,1014,31,10,114,8
2020-02-08,31,21,0.0,11.6,7,7,100,05:29 PM,05:37 AM,06:37 AM,06:19 PM,18,27,27,25,11,26,64,0.0,1014,31,10,124,7
2020-02-09,31,21,0.0,8.8,6,6,100,06:31 PM,06:33 AM,06:37 AM,06:19 PM,18,27,27,25,13,49,69,0.3,1015,31,10,78,9
2020-02-10,30,20,0.0,5.9,6,6,83,07:33 PM,07:28 AM,06:37 AM,06:19 PM,19,27,27,25,19,59,72,0.5,1015,30,10,66,13
