date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,22,13,0.0,8.7,5,5,37,10:27 AM,10:13 PM,06:11 AM,04:42 PM,11,18,18,18,13,26,66,0.0,1022,22,10,65,8
2020-01-02,22,15,0.0,8.7,5,5,44,10:59 AM,11:04 PM,06:11 AM,04:43 PM,11,18,18,18,13,43,64,0.4,1022,22,9,91,8
2020-01-03,18,14,0.0,5.5,4,4,51,11:30 AM,11:55 PM,06:12 AM,04:44 PM,13,16,16,16,11,68,82,3.7,1019,18,8,106,7
2020-01-04,22,13,0.0,7.1,4,4,59,12:01 PM,No moonset,06:12 AM,04:44 PM,13,17,17,17,6,45,79,0.3,1016,22,8,280,4
2020-01-05,22,13,0.0,7.1,4,4,66,12:34 PM,12:47 AM,06:12 AM,04:45 PM,12,17,17,17,13,35,73,0.5,1016,22,10,254,8
2020-01-06,22,13,0.0,8.7,5,5,73,01:10 PM,01:40 AM,06:12 AM,04:46 PM,10,17,17,17,6,4,67,0.0,1019,22,10,52,4
2020-01-07,23,10,0.0,8.7,5,5,80,01:50 PM,02:35 AM,06:12 AM,04:47 PM,12,16,18,16,8,14,70,0.0,1017,23,10,61,5
2020-01-08,23,14,0.0,8.7,5,5,88,02:34 PM,03:34 AM,06:13 AM,04:47 PM,12,18,19,18,8,12,69,0.0,1016,23,10,64,6
2020-01-09,22,15,0.0,8.7,4,4,95,03:26 PM,04:33 AM,06:13 AM,04:48 PM,13,18,18,18,7,51,76,2.2,1016,22,9,59,5
2020-01-10,23,15,0.0,8.7,5,5,100,04:23 PM,05:34 AM,06:13 AM,04:49 PM,12,18,19,18,4,45,70,0.3,1017,23,10,199,3
