date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,22,0.0,5.7,6,6,37,11:06 AM,11:10 PM,06:33 AM,05:56 PM,22,28,28,25,17,77,81,7.3,1014,29,9,85,11
2020-01-02,30,23,0.0,5.7,6,6,44,11:43 AM,11:56 PM,06:33 AM,05:57 PM,22,29,29,26,12,59,81,4.6,1015,30,10,95,8
2020-01-03,30,23,0.0,5.7,6,6,51,12:19 PM,No moonset,06:33 AM,05:57 PM,22,29,29,26,10,49,81,0.5,1013,30,9,143,7
2020-01-04,31,23,0.0,5.7,6,6,59,12:56 PM,12:41 AM,06:34 AM,05:58 PM,22,29,29,26,12,54,81,0.2,1012,31,9,161,8
2020-01-05,30,24,0.0,4.2,6,6,66,01:34 PM,01:28 AM,06:34 AM,05:58 PM,22,29,29,26,13,74,79,6.3,1012,30,9,115,8
2020-01-06,29,23,0.0,5.7,6,6,73,02:14 PM,02:15 AM,06:34 AM,05:59 PM,22,28,28,25,17,63,82,5.3,1014,29,9,78,12
2020-01-07,29,21,0.0,4.2,6,6,80,02:59 PM,03:06 AM,06:35 AM,05:59 PM,21,27,27,25,21,71,80,6.4,1014,29,10,75,14
2020-01-08,28,23,0.0,7.3,6,6,88,03:48 PM,04:00 AM,06:35 AM,06:00 PM,20,27,27,25,15,55,74,0.7,1014,28,10,58,11
2020-01-09,30,22,0.0,11.6,7,7,95,04:42 PM,04:57 AM,06:35 AM,06:01 PM,19,27,27,25,11,1,69,0.0,1013,30,10,72,9
2020-01-10,29,21,0.0,11.6,7,7,100,05:40 PM,05:56 AM,06:36 AM,06:01 PM,18,26,26,24,15,5,70,0.0,1013,29,10,60,11
2020-01-11,29,20,0.0,11.6,6,6,100,06:41 PM,06:55 AM,06:36 AM,06:02 PM,18,25,25,24,18,26,74,0.0,1014,29,10,47,12
2020-01-12,29,20,0.0,8.7,6,6,83,07:44 PM,07:53 AM,06:36 AM,06:02 PM,20,25,25,24,17,51,78,1.5,1013,29,10,58,11
2020-01-13,28,19,0.0,8.7,6,6,76,08:44 PM,08:47 AM,06:36 AM,06:03 PM,20,26,26,24,14,51,76,1.1,1012,28,10,59,10
2020-01-14,31,22,0.0,11.6,7,7,69,09:44 PM,09:38 AM,06:36 AM,06:03 PM,17,26,26,25,14,0,65,0.0,1012,31,10,63,10
2020-01-15,30,20,0.0,11.6,6,6,61,10:40 PM,10:25 AM,06:37 AM,06:04 PM,17,25,25,24,16,5,67,0.0,1013,30,10,73,11
2020-01-16,29,20,0.0,11.6,6,6,54,11:37 PM,11:10 AM,06:37 AM,06:04 PM,17,25,25,24,11,18,67,0.0,1013,29,10,97,8
2020-01-17,28,23,0.0,7.3,6,6,47,No moonrise,11:55 AM,06:37 AM,06:05 PM,21,27,27,25,13,46,77,2.6,1013,28,10,69,10
2020-01-18,28,23,0.0,5.8,6,6,40,12:31 AM,12:39 PM,06:37 AM,06:05 PM,21,27,27,25,19,76,80,5.0,1013,28,10,86,13
2020-01-19,30,22,0.0,8.7,6,6,32,01:27 AM,01:25 PM,06:37 AM,06:06 PM,20,27,27,25,16,50,75,0.3,1013,30,10,50,11
2020-01-20,31,22,0.0,11.6,7,7,25,02:22 AM,02:13 PM,06:37 AM,06:06 PM,19,27,27,25,16,7,68,0.0,1014,31,10,64,11
2020-01-21,30,21,0.0,11.6,7,7,18,03:19 AM,03:04 PM,06:37 AM,06:07 PM,19,26,26,25,18,10,72,0.0,1015,30,10,57,13
2020-01-22,29,19,0.0,10.2,6,6,11,04:15 AM,03:56 PM,06:37 AM,06:07 PM,20,26,26,24,20,60,76,0.2,1016,29,10,54,15
2020-01-23,31,23,0.0,11.6,7,7,3,05:11 AM,04:50 PM,06:38 AM,06:08 PM,19,27,27,25,19,31,70,0.2,1014,31,10,62,14
