date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,31,24,0.0,8.7,6,6,37,11:23 AM,11:29 PM,06:48 AM,06:15 PM,22,30,30,27,11,57,75,2.2,1013,31,10,228,8
2020-01-02,30,24,0.0,7.3,6,6,44,12:00 PM,No moonset,06:49 AM,06:15 PM,23,30,30,27,13,48,81,3.9,1014,30,10,281,9
2020-01-03,31,24,0.0,10.2,6,6,51,12:37 PM,12:14 AM,06:49 AM,06:16 PM,23,30,30,27,16,36,80,0.4,1013,31,10,286,12
2020-01-04,30,24,0.0,11.6,7,7,59,01:14 PM,12:59 AM,06:50 AM,06:17 PM,23,30,30,27,20,8,80,0.0,1012,30,10,301,15
2020-01-05,30,24,0.0,11.6,7,7,66,01:52 PM,01:45 AM,06:50 AM,06:17 PM,22,29,29,27,13,11,75,0.0,1011,30,10,288,10
2020-01-06,32,24,0.0,11.6,7,7,73,02:33 PM,02:33 AM,06:50 AM,06:18 PM,23,31,31,27,11,23,76,0.2,1012,32,10,242,8
2020-01-07,32,24,0.0,11.6,7,7,80,03:18 PM,03:23 AM,06:51 AM,06:18 PM,23,31,31,28,12,50,74,0.5,1012,32,10,199,9
2020-01-08,32,24,0.0,11.6,7,7,88,04:07 PM,04:17 AM,06:51 AM,06:19 PM,22,30,30,27,13,31,72,0.2,1012,32,10,240,10
2020-01-09,31,24,0.0,10.2,7,7,95,05:02 PM,05:14 AM,06:51 AM,06:19 PM,23,30,30,27,13,38,77,0.3,1012,31,10,239,9
2020-01-10,30,25,0.0,11.6,7,7,100,06:00 PM,06:12 AM,06:51 AM,06:20 PM,23,30,30,27,12,13,77,0.0,1012,30,10,211,9
2020-01-11,32,25,0.0,11.6,7,7,100,07:01 PM,07:11 AM,06:52 AM,06:20 PM,22,31,31,28,11,0,68,0.0,1012,32,10,217,9
2020-01-12,34,23,0.0,11.6,7,7,83,08:03 PM,08:09 AM,06:52 AM,06:21 PM,19,29,29,27,12,1,62,0.0,1012,34,10,200,10
2020-01-13,32,23,0.0,11.6,7,7,76,09:04 PM,09:03 AM,06:52 AM,06:21 PM,20,29,29,27,11,8,68,0.0,1011,32,10,241,8
2020-01-14,31,23,0.0,11.6,7,7,69,10:02 PM,09:55 AM,06:52 AM,06:22 PM,21,29,29,27,13,9,74,0.0,1011,31,10,262,10
2020-01-15,31,23,0.0,11.6,7,7,61,10:59 PM,10:42 AM,06:53 AM,06:23 PM,22,29,29,27,13,10,75,0.0,1011,31,10,255,10
2020-01-16,29,23,0.0,8.7,6,6,54,11:54 PM,11:28 AM,06:53 AM,06:23 PM,21,28,28,26,13,41,77,0.8,1012,29,10,260,10
2020-01-17,30,23,0.0,11.6,7,7,47,No moonrise,12:13 PM,06:53 AM,06:24 PM,20,28,28,26,14,12,72,0.0,1012,30,10,279,10
2020-01-18,31,23,0.0,11.6,7,7,40,12:49 AM,12:58 PM,06:53 AM,06:24 PM,21,29,29,27,13,10,70,0.0,1011,31,10,253,9
2020-01-19,32,24,0.0,11.6,7,7,32,01:44 AM,01:44 PM,06:53 AM,06:25 PM,22,30,30,27,13,28,73,0.0,1012,32,10,289,9
2020-01-20,32,25,0.0,11.6,7,7,25,02:39 AM,02:32 PM,06:53 AM,06:25 PM,23,32,32,28,10,11,73,0.0,1012,32,10,232,8
2020-01-21,33,25,0.0,11.6,7,7,18,03:36 AM,03:23 PM,06:53 AM,06:26 PM,22,31,31,28,13,33,69,2.9,1013,33,10,220,10
2020-01-22,35,25,0.0,11.6,7,7,11,04:31 AM,04:16 PM,06:54 AM,06:26 PM,21,31,31,29,12,13,64,0.1,1013,35,10,278,9
2020-01-23,35,25,0.0,11.6,7,7,3,05:27 AM,05:10 PM,06:54 AM,06:27 PM,22,32,32,29,11,2,68,0.0,1012,35,10,210,10
2020-01-24,34,24,0.0,11.6,7,7,0,06:20 AM,06:04 PM,06:54 AM,06:27 PM,22,31,31,28,11,3,69,0.0,1012,34,10,207,9
2020-01-25,34,25,0.0,11.6,7,7,0,07:10 AM,06:56 PM,06:54 AM,06:28 PM,20,31,31,29,10,0,60,0.0,1013,34,10,216,9
2020-01-26,31,24,0.0,11.6,7,7,4,07:56 AM,07:47 PM,06:54 AM,06:28 PM,20,30,30,27,11,7,64,0.0,1012,31,10,246,9
2020-01-27,32,24,0.0,11.6,7,7,11,08:39 AM,08:36 PM,06:54 AM,06:28 PM,22,30,30,27,11,22,76,0.0,1012,32,10,247,9
2020-01-28,30,24,0.0,10.2,6,6,18,09:20 AM,09:23 PM,06:54 AM,06:29 PM,22,30,30,27,11,36,74,2.1,1013,30,10,285,9
2020-01-29,32,22,0.0,11.6,7,7,26,09:57 AM,10:08 PM,06:54 AM,06:29 PM,22,30,30,27,15,8,77,0.0,1013,32,10,284,12
2020-01-30,31,23,0.0,11.6,7,7,33,10:34 AM,10:53 PM,06:54 AM,06:30 PM,22,29,29,27,18,4,77,0.0,1012,31,10,284,13
2020-01-31,32,23,0.0,11.6,7,7,37,11:11 AM,11:38 PM,06:53 AM,06:30 PM,21,28,28,26,19,5,77,0.0,1011,32,10,289,14
2020-02-01,30,22,0.0,11.6,7,7,49,11:48 AM,No moonset,06:53 AM,06:31 PM,21,29,29,26,15,14,77,0.0,1012,30,10,270,11
2020-02-02,31,23,0.0,11.6,7,7,57,12:27 PM,12:24 AM,06:53 AM,06:31 PM,22,29,29,26,15,44,77,0.5,1013,31,10,252,11
2020-02-03,31,24,0.0,11.6,7,7,64,01:09 PM,01:12 AM,06:53 AM,06:31 PM,22,29,29,27,14,10,77,0.0,1013,31,10,238,11
2020-02-04,31,23,0.0,11.6,7,7,72,01:55 PM,02:03 AM,06:53 AM,06:32 PM,22,29,29,27,14,16,77,0.1,1012,31,10,254,10
2020-02-05,31,23,0.0,11.6,7,7,79,02:46 PM,02:57 AM,06:53 AM,06:32 PM,22,29,29,27,14,14,75,0.0,1012,31,10,261,11
2020-02-06,30,23,0.0,11.6,7,7,87,03:42 PM,03:54 AM,06:53 AM,06:32 PM,21,29,29,26,16,24,74,0.0,1013,30,10,288,12
2020-02-07,30,23,0.0,11.6,7,7,95,04:41 PM,04:53 AM,06:52 AM,06:33 PM,21,29,29,26,19,18,75,0.0,1013,30,10,289,14
2020-02-08,30,23,0.0,11.6,7,7,100,05:44 PM,05:52 AM,06:52 AM,06:33 PM,20,28,28,26,17,2,73,0.0,1014,30,10,293,13
2020-02-09,30,23,0.0,11.6,7,7,100,06:46 PM,06:49 AM,06:52 AM,06:33 PM,20,28,28,26,13,2,72,0.0,1013,30,10,273,10
2020-02-10,31,23,0.0,11.6,7,7,83,07:48 PM,07:43 AM,06:52 AM,06:34 PM,21,29,29,27,12,4,70,0.0,1012,31,10,260,9
2020-02-11,33,24,0.0,11.6,7,7,75,08:48 PM,08:34 AM,06:51 AM,06:34 PM,21,31,31,28,13,7,68,0.0,1012,33,10,236,10
2020-02-12,34,26,0.0,11.6,8,8,68,09:46 PM,09:22 AM,06:51 AM,06:34 PM,21,32,32,29,11,3,66,0.0,1013,34,10,249,9
2020-02-13,33,24,0.0,11.6,7,7,60,10:42 PM,10:09 AM,06:51 AM,06:35 PM,22,31,31,28,12,8,70,0.0,1013,33,10,221,9
2020-02-14,32,24,0.0,11.6,7,7,53,11:39 PM,10:55 AM,06:50 AM,06:35 PM,21,30,30,27,13,10,71,0.0,1012,32,10,247,10
2020-02-15,31,23,0.0,11.6,7,7,45,No moonrise,11:42 AM,06:50 AM,06:35 PM,23,32,32,28,12,9,77,0.0,1012,31,10,246,10
2020-02-16,32,24,0.0,11.6,7,7,38,12:35 AM,12:30 PM,06:50 AM,06:35 PM,24,33,33,28,11,5,76,0.0,1012,32,10,252,9
2020-02-17,34,24,0.0,11.6,8,8,30,01:32 AM,01:21 PM,06:49 AM,06:36 PM,22,32,32,29,12,3,70,0.0,1013,34,10,226,9
2020-02-18,34,24,0.0,11.6,7,7,22,02:27 AM,02:12 PM,06:49 AM,06:36 PM,21,31,31,28,11,10,67,0.0,1013,34,10,224,9
2020-02-19,33,24,0.0,11.6,7,7,15,03:23 AM,03:05 PM,06:49 AM,06:36 PM,22,31,31,28,12,5,73,0.0,1012,33,10,226,10
2020-02-20,35,24,0.0,11.6,8,8,7,04:15 AM,03:58 PM,06:48 AM,06:36 PM,22,31,31,28,11,4,69,0.0,1012,35,10,255,9
2020-02-21,34,24,0.0,11.6,7,7,0,05:06 AM,04:51 PM,06:48 AM,06:36 PM,22,32,32,28,13,2,69,0.0,1013,34,10,255,11
2020-02-22,37,25,0.0,11.6,8,8,0,05:53 AM,05:42 PM,06:47 AM,06:37 PM,22,34,34,30,10,0,65,0.0,1013,37,10,223,9
2020-02-23,36,25,0.0,11.6,8,8,0,06:36 AM,06:31 PM,06:47 AM,06:37 PM,22,33,33,29,10,3,68,0.0,1013,36,10,229,8
2020-02-24,33,24,0.0,11.6,7,7,0,07:17 AM,07:18 PM,06:47 AM,06:37 PM,22,32,32,29,13,2,70,0.0,1011,33,10,230,10
2020-02-25,32,24,0.0,11.6,7,7,8,07:56 AM,08:04 PM,06:46 AM,06:37 PM,22,31,31,28,13,7,73,0.0,1011,32,10,244,10
2020-02-26,32,24,0.0,11.6,7,7,15,08:33 AM,08:49 PM,06:46 AM,06:37 PM,23,31,31,28,12,10,75,0.0,1011,32,10,238,9
2020-02-27,32,24,0.0,7.4,6,6,23,09:09 AM,09:34 PM,06:45 AM,06:37 PM,23,32,32,28,11,38,75,12.9,1011,32,9,257,8
2020-02-28,31,26,0.0,10.2,6,6,30,09:46 AM,10:19 PM,06:45 AM,06:38 PM,22,31,31,28,15,52,69,3.6,1009,31,10,238,11
2020-02-29,31,26,0.0,8.8,6,6,38,10:24 AM,11:06 PM,06:44 AM,06:38 PM,21,31,31,28,13,57,67,9.3,1010,31,10,209,9
2020-03-01,32,25,0.0,10.2,7,7,44,11:04 AM,11:55 PM,06:44 AM,06:38 PM,22,32,32,28,14,37,70,0.2,1010,32,10,236,11
2020-03-02,31,25,0.0,6.0,6,6,51,11:48 AM,No moonset,06:43 AM,06:38 PM,23,32,32,28,11,48,71,7.9,1012,31,9,212,8
2020-03-03,33,25,0.0,8.8,6,6,58,12:34 PM,12:46 AM,06:43 AM,06:38 PM,23,32,32,28,13,48,73,7.2,1012,33,9,269,9
2020-03-04,32,25,0.0,11.6,7,7,65,01:27 PM,01:40 AM,06:42 AM,06:38 PM,22,31,31,28,22,14,71,0.0,1011,32,10,304,17
2020-03-05,31,25,0.0,10.2,6,6,73,02:23 PM,02:36 AM,06:41 AM,06:38 PM,22,31,31,28,23,34,73,0.2,1010,31,10,303,18
2020-03-06,32,24,0.0,11.6,7,7,80,03:23 PM,03:34 AM,06:41 AM,06:38 PM,22,31,31,28,15,21,69,0.1,1011,32,10,281,12
2020-03-07,31,25,0.0,11.6,7,7,87,04:25 PM,04:31 AM,06:40 AM,06:38 PM,23,32,32,28,10,9,71,0.0,1012,31,10,256,8
2020-03-08,32,25,0.0,11.6,7,7,95,05:27 PM,05:26 AM,06:40 AM,06:39 PM,23,32,32,28,12,14,72,0.0,1011,32,10,277,10
2020-03-09,33,25,0.0,11.6,7,7,100,06:28 PM,06:18 AM,06:39 AM,06:39 PM,23,32,32,28,17,33,73,0.1,1010,33,10,292,13
2020-03-10,31,25,0.0,11.6,7,7,100,07:29 PM,07:09 AM,06:39 AM,06:39 PM,22,32,32,28,16,15,72,0.0,1010,31,10,281,12
2020-03-11,33,25,0.0,11.6,7,7,84,08:27 PM,07:58 AM,06:38 AM,06:39 PM,23,32,32,28,18,16,72,0.0,1011,33,10,283,14
2020-03-12,32,25,0.0,11.6,7,7,76,09:27 PM,08:46 AM,06:37 AM,06:39 PM,23,32,32,28,18,25,72,0.0,1012,32,10,290,14
2020-03-13,32,25,0.0,11.6,7,7,69,10:25 PM,09:34 AM,06:37 AM,06:39 PM,22,31,31,28,21,17,72,0.0,1012,32,10,286,16
2020-03-14,33,25,0.0,11.6,7,7,62,11:24 PM,10:24 AM,06:36 AM,06:39 PM,22,32,32,29,15,6,68,0.0,1011,33,10,264,11
2020-03-15,32,25,0.0,11.6,7,7,55,No moonrise,11:15 AM,06:36 AM,06:39 PM,22,32,32,29,12,9,69,0.0,1010,32,10,263,9
2020-03-16,32,25,0.0,11.6,7,7,47,12:21 AM,12:07 PM,06:35 AM,06:39 PM,23,32,32,29,11,11,70,0.0,1012,32,10,256,9
2020-03-17,32,26,0.0,11.6,8,8,40,01:19 AM,01:01 PM,06:34 AM,06:39 PM,23,33,33,29,11,6,69,0.0,1012,32,10,242,9
2020-03-18,33,26,0.0,11.6,8,8,33,02:13 AM,01:55 PM,06:34 AM,06:39 PM,23,33,33,29,12,2,69,0.0,1012,33,10,277,10
2020-03-19,33,26,0.0,11.6,7,7,25,03:04 AM,02:47 PM,06:33 AM,06:39 PM,23,33,33,29,13,8,72,0.0,1012,33,10,273,11
2020-03-20,33,25,0.0,8.8,6,6,18,03:52 AM,03:39 PM,06:32 AM,06:39 PM,23,33,33,29,15,38,72,0.6,1012,33,10,269,12
2020-03-21,34,25,0.0,11.6,7,7,11,04:36 AM,04:28 PM,06:32 AM,06:39 PM,21,32,32,29,18,12,65,0.0,1011,34,10,293,14
2020-03-22,32,25,0.0,11.6,7,7,4,05:17 AM,05:16 PM,06:31 AM,06:39 PM,22,32,32,29,12,6,66,0.0,1012,32,10,260,9
2020-03-23,32,25,0.0,11.6,7,7,0,05:56 AM,06:01 PM,06:31 AM,06:39 PM,23,32,32,29,11,15,72,0.0,1011,32,10,247,8
2020-03-24,33,25,0.0,11.6,7,7,0,06:33 AM,06:46 PM,06:30 AM,06:39 PM,23,33,33,29,12,24,72,0.0,1010,33,10,268,9
2020-03-25,32,26,0.0,8.8,7,7,3,07:10 AM,07:31 PM,06:29 AM,06:39 PM,23,33,33,29,12,44,70,1.5,1010,32,10,261,9
2020-03-26,33,26,0.0,11.6,8,8,11,07:46 AM,08:16 PM,06:29 AM,06:39 PM,23,34,34,29,11,12,72,0.0,1010,33,10,257,9
2020-03-27,33,26,0.0,8.8,7,7,18,08:23 AM,09:03 PM,06:28 AM,06:39 PM,24,34,34,29,12,37,72,0.2,1011,33,10,260,10
2020-03-28,32,26,0.0,11.6,8,8,25,09:03 AM,09:51 PM,06:27 AM,06:39 PM,24,34,34,29,12,27,75,0.3,1011,32,10,248,9
2020-03-29,33,26,0.0,10.2,7,7,32,09:45 AM,10:40 PM,06:27 AM,06:39 PM,24,35,35,29,12,53,75,2.0,1010,33,10,223,9
2020-03-30,34,26,0.0,11.6,8,8,40,10:29 AM,11:33 PM,06:26 AM,06:40 PM,24,35,35,30,14,37,74,0.3,1010,34,10,266,11
2020-03-31,34,26,0.0,11.6,8,8,44,11:19 AM,No moonset,06:25 AM,06:40 PM,24,34,34,29,14,26,75,0.1,1011,34,10,266,11
2020-04-01,34,26,0.0,11.6,8,8,56,12:12 PM,12:27 AM,06:25 AM,06:40 PM,24,35,35,30,12,11,74,0.0,1010,34,10,248,9
2020-04-02,34,26,0.0,11.6,8,8,64,01:09 PM,01:22 AM,06:24 AM,06:40 PM,24,34,34,29,11,16,75,0.0,1010,34,10,250,9
2020-04-03,34,26,0.0,11.6,8,8,71,02:07 PM,02:17 AM,06:24 AM,06:40 PM,24,34,34,29,12,27,74,0.0,1010,34,10,250,9
2020-04-04,35,26,0.0,11.6,8,8,79,03:08 PM,03:12 AM,06:23 AM,06:40 PM,24,35,35,30,13,19,74,0.0,1011,35,10,263,10
