date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,15,11,0.0,7.1,3,3,37,11:13 AM,11:00 PM,06:57 AM,05:27 PM,4,12,13,12,18,40,56,0.4,1020,15,9,73,10
2020-01-02,20,12,0.0,8.7,4,4,44,11:45 AM,11:51 PM,06:57 AM,05:28 PM,9,15,16,15,17,41,64,0.9,1019,20,10,91,10
2020-01-03,18,13,0.0,4.0,4,4,51,12:16 PM,No moonset,06:57 AM,05:29 PM,14,15,15,15,13,74,89,3.4,1016,18,10,63,9
2020-01-04,21,15,0.0,7.1,4,4,59,12:47 PM,12:41 AM,06:57 AM,05:30 PM,12,17,18,17,9,48,73,0.4,1015,21,10,310,6
2020-01-05,22,14,0.0,8.7,5,5,66,01:20 PM,01:34 AM,06:58 AM,05:30 PM,10,18,18,18,12,2,62,0.0,1016,22,10,294,9
2020-01-06,23,13,0.0,8.7,5,5,73,01:56 PM,02:27 AM,06:58 AM,05:31 PM,8,17,18,17,14,24,54,0.0,1017,23,10,287,9
2020-01-07,24,15,0.0,8.7,5,5,80,02:35 PM,03:23 AM,06:58 AM,05:32 PM,9,19,19,19,12,19,55,0.0,1016,24,10,129,8
2020-01-08,19,14,0.0,5.6,4,4,88,03:21 PM,04:21 AM,06:58 AM,05:32 PM,10,15,16,15,21,67,72,5.2,1013,19,8,99,14
2020-01-09,19,12,0.0,7.1,4,4,95,04:12 PM,05:21 AM,06:58 AM,05:33 PM,10,15,15,15,17,32,74,0.1,1016,19,10,317,12
2020-01-10,20,11,0.0,8.7,5,5,100,05:10 PM,06:21 AM,06:58 AM,05:34 PM,6,14,14,14,14,0,57,0.0,1018,20,10,277,11
