date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,23,0.0,11.6,7,7,37,11:11 AM,11:22 PM,06:33 AM,06:13 PM,22,30,30,27,20,8,76,0.0,1012,30,10,56,14
2020-01-02,31,24,0.0,10.2,6,6,44,11:50 AM,No moonset,06:33 AM,06:13 PM,22,30,30,27,20,37,76,4.2,1013,31,10,46,14
2020-01-03,31,24,0.0,8.8,6,6,51,12:28 PM,12:05 AM,06:34 AM,06:14 PM,22,30,30,27,20,41,75,0.3,1012,31,10,63,14
2020-01-04,31,24,0.0,8.8,6,6,59,01:06 PM,12:49 AM,06:34 AM,06:14 PM,23,31,31,27,13,43,77,1.8,1011,31,10,76,9
2020-01-05,31,24,0.0,10.2,6,6,66,01:46 PM,01:34 AM,06:35 AM,06:15 PM,23,30,30,27,18,58,76,1.6,1010,31,10,61,13
2020-01-06,31,23,0.0,11.6,7,7,73,02:28 PM,02:20 AM,06:35 AM,06:15 PM,22,30,30,27,31,7,74,0.0,1011,31,10,52,21
2020-01-07,31,24,0.0,11.6,7,7,80,03:15 PM,03:10 AM,06:35 AM,06:16 PM,21,29,29,27,31,9,73,0.0,1011,31,10,48,21
2020-01-08,30,23,0.0,11.6,7,7,88,04:05 PM,04:02 AM,06:36 AM,06:16 PM,21,29,29,26,26,13,74,0.0,1011,30,10,45,18
2020-01-09,30,22,0.0,11.6,7,7,95,04:59 PM,04:58 AM,06:36 AM,06:17 PM,20,28,28,25,27,19,73,0.2,1011,30,10,46,18
2020-01-10,30,21,0.0,11.6,7,7,100,05:58 PM,05:56 AM,06:36 AM,06:17 PM,19,28,28,26,30,0,69,0.0,1011,30,10,46,19
2020-01-11,30,21,0.0,11.6,7,7,100,06:59 PM,06:55 AM,06:37 AM,06:18 PM,19,27,27,25,33,0,67,0.0,1011,30,10,36,21
