date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,7,0.0,8.7,4,4,37,11:38 AM,11:18 PM,07:28 AM,05:36 PM,3,11,12,11,8,27,55,0.0,1021,18,10,90,5
2020-01-02,19,9,0.0,8.7,4,4,44,12:07 PM,No moonset,07:28 AM,05:37 PM,4,13,13,13,10,46,53,0.0,1022,19,10,123,5
2020-01-03,20,10,0.0,8.7,4,4,51,12:36 PM,12:10 AM,07:28 AM,05:38 PM,7,14,14,14,10,19,64,0.0,1018,20,10,330,6
2020-01-04,20,10,0.0,8.7,5,5,59,01:05 PM,01:04 AM,07:28 AM,05:39 PM,5,14,14,14,7,7,58,0.0,1017,20,10,247,4
2020-01-05,17,9,0.0,7.1,3,3,66,01:36 PM,01:58 AM,07:28 AM,05:39 PM,5,13,13,13,13,44,59,0.0,1018,17,10,331,8
2020-01-06,13,4,0.0,3.8,3,3,73,02:09 PM,02:53 AM,07:29 AM,05:40 PM,6,9,10,9,13,73,73,9.7,1019,13,8,133,8
2020-01-07,13,10,0.0,3.8,3,3,80,02:47 PM,03:51 AM,07:29 AM,05:41 PM,11,11,12,11,8,85,96,24.6,1017,13,7,241,6
2020-01-08,17,9,0.0,8.7,4,4,88,03:31 PM,04:51 AM,07:29 AM,05:42 PM,8,11,12,11,15,23,78,0.0,1016,17,8,328,9
2020-01-09,18,9,0.0,8.7,4,4,95,04:21 PM,05:53 AM,07:29 AM,05:43 PM,6,12,12,12,10,0,65,0.0,1019,18,10,318,8
2020-01-10,18,7,0.0,8.7,3,3,100,05:19 PM,06:54 AM,07:29 AM,05:43 PM,2,10,11,10,15,26,56,0.0,1019,18,10,312,9
2020-01-11,18,7,0.0,8.7,4,4,100,06:22 PM,07:52 AM,07:29 AM,05:44 PM,-0,10,11,10,13,47,47,0.0,1018,18,10,305,7
2020-01-12,20,12,0.0,8.7,5,5,83,07:30 PM,08:45 AM,07:29 AM,05:45 PM,4,14,15,14,14,41,51,0.0,1015,20,10,304,8
2020-01-13,13,9,0.0,5.4,3,3,76,08:38 PM,09:33 AM,07:29 AM,05:46 PM,8,11,12,11,19,69,81,27.1,1011,13,9,153,12
2020-01-14,18,9,0.0,8.7,4,4,69,09:46 PM,10:15 AM,07:29 AM,05:47 PM,9,12,12,12,10,6,80,0.0,1017,18,9,332,7
2020-01-15,17,9,0.0,7.1,3,3,61,10:52 PM,10:54 AM,07:28 AM,05:48 PM,9,12,12,12,8,24,81,0.2,1017,17,10,317,6
2020-01-16,17,9,0.0,7.1,3,3,54,11:57 PM,11:31 AM,07:28 AM,05:48 PM,10,12,12,12,10,56,85,2.3,1016,17,10,271,5
2020-01-17,18,9,0.0,8.7,3,3,47,No moonrise,12:06 PM,07:28 AM,05:49 PM,10,13,13,13,6,58,82,1.3,1017,18,10,193,3
2020-01-18,19,7,0.0,8.7,4,4,40,01:01 AM,12:42 PM,07:28 AM,05:50 PM,10,12,13,12,7,28,78,0.1,1018,19,10,214,4
2020-01-19,19,9,0.0,8.7,4,4,32,02:05 AM,01:20 PM,07:28 AM,05:51 PM,8,13,13,13,10,12,73,0.0,1018,19,10,319,7
2020-01-20,18,9,0.0,7.1,3,3,25,03:08 AM,02:01 PM,07:27 AM,05:52 PM,3,12,13,12,11,67,53,0.0,1017,18,10,297,6
2020-01-21,18,9,0.0,8.7,4,4,18,04:11 AM,02:45 PM,07:27 AM,05:53 PM,7,12,13,12,18,41,67,0.0,1020,18,10,233,11
2020-01-22,19,8,0.0,8.7,4,4,11,05:12 AM,03:35 PM,07:27 AM,05:54 PM,7,12,13,12,18,5,69,0.0,1021,19,10,317,11
2020-01-23,18,8,0.0,8.7,4,4,3,06:08 AM,04:28 PM,07:26 AM,05:55 PM,5,11,12,11,16,0,63,0.0,1019,18,10,308,11
2020-01-24,19,6,0.0,8.7,4,4,0,07:01 AM,05:25 PM,07:26 AM,05:56 PM,3,11,12,11,14,4,56,0.0,1015,19,10,312,9
2020-01-25,19,7,0.0,8.7,4,4,0,07:47 AM,06:21 PM,07:25 AM,05:56 PM,2,12,12,12,8,33,50,0.0,1015,19,10,318,5
2020-01-26,21,9,0.0,8.7,5,5,4,08:28 AM,07:18 PM,07:25 AM,05:57 PM,8,14,15,14,11,12,67,0.0,1014,21,10,323,7
2020-01-27,20,11,0.0,5.5,4,4,11,09:04 AM,08:14 PM,07:25 AM,05:58 PM,9,14,15,14,12,47,68,1.0,1012,20,10,145,7
