date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,8.7,4,4,37,11:27 AM,11:14 PM,07:10 AM,05:41 PM,4,11,13,11,26,17,54,0.0,1021,19,10,86,16
2020-01-02,20,9,0.0,7.1,4,4,44,11:58 AM,No moonset,07:10 AM,05:41 PM,7,13,14,13,23,35,66,0.0,1021,20,10,65,15
2020-01-03,21,11,0.0,8.7,4,4,51,12:29 PM,12:05 AM,07:11 AM,05:42 PM,10,15,15,15,16,41,73,0.1,1018,21,10,15,10
2020-01-04,21,12,0.0,8.7,5,5,59,01:01 PM,12:55 AM,07:11 AM,05:43 PM,9,16,16,16,9,13,66,0.0,1017,21,10,261,6
2020-01-05,22,12,0.0,8.7,5,5,66,01:34 PM,01:47 AM,07:11 AM,05:43 PM,6,17,17,17,9,5,53,0.0,1018,22,10,300,6
2020-01-06,23,13,0.0,8.7,5,5,73,02:09 PM,02:41 AM,07:11 AM,05:44 PM,6,17,17,17,15,32,49,0.0,1019,23,10,151,9
2020-01-07,25,13,0.0,8.7,5,5,80,02:49 PM,03:37 AM,07:11 AM,05:45 PM,7,18,19,18,23,24,52,0.0,1015,25,10,217,14
2020-01-08,21,13,0.0,7.1,4,4,88,03:35 PM,04:35 AM,07:12 AM,05:46 PM,9,15,16,15,23,34,62,0.8,1013,21,9,56,15
2020-01-09,18,8,0.0,8.7,4,4,95,04:26 PM,05:35 AM,07:12 AM,05:46 PM,5,11,12,11,20,11,64,0.0,1019,18,10,240,12
2020-01-10,18,7,0.0,8.7,4,4,100,05:24 PM,06:35 AM,07:12 AM,05:47 PM,1,12,12,12,12,1,50,0.0,1021,18,10,235,7
2020-01-11,20,7,0.0,8.7,4,4,100,06:26 PM,07:34 AM,07:12 AM,05:48 PM,-1,13,13,13,10,9,41,0.0,1020,20,10,30,5
2020-01-12,24,10,0.0,8.7,5,5,83,07:32 PM,08:28 AM,07:12 AM,05:49 PM,-1,17,17,17,9,1,31,0.0,1017,24,10,253,5
2020-01-13,26,14,0.0,7.1,5,5,76,08:38 PM,09:18 AM,07:12 AM,05:49 PM,6,19,20,19,21,42,47,2.8,1011,26,10,219,13
2020-01-14,22,11,0.0,8.7,5,5,69,09:44 PM,10:03 AM,07:12 AM,05:50 PM,10,16,17,16,18,31,68,0.0,1015,22,10,124,12
2020-01-15,21,12,0.0,8.7,5,5,61,10:47 PM,10:44 AM,07:12 AM,05:51 PM,11,15,16,15,21,52,75,2.5,1016,21,10,78,14
2020-01-16,16,13,0.0,3.9,4,4,54,11:49 PM,11:23 AM,07:12 AM,05:52 PM,13,14,14,14,17,96,92,10.3,1014,16,10,60,11
2020-01-17,19,11,0.0,8.7,4,4,47,No moonrise,12:01 PM,07:12 AM,05:52 PM,10,14,14,14,13,19,75,0.0,1017,19,10,111,8
2020-01-18,20,12,0.0,8.7,5,5,40,12:51 AM,12:39 PM,07:12 AM,05:53 PM,9,15,15,15,13,13,68,0.0,1018,20,10,36,8
2020-01-19,20,11,0.0,8.7,5,5,32,01:52 AM,01:20 PM,07:11 AM,05:54 PM,7,14,15,14,12,6,63,0.0,1019,20,10,344,7
2020-01-20,19,10,0.0,8.7,5,5,25,02:53 AM,02:03 PM,07:11 AM,05:55 PM,2,14,14,14,12,12,44,0.0,1018,19,10,222,6
2020-01-21,22,12,0.0,8.7,5,5,18,03:54 AM,02:49 PM,07:11 AM,05:56 PM,6,15,16,15,21,17,53,0.0,1018,22,10,105,12
2020-01-22,21,11,0.0,8.7,5,5,11,04:53 AM,03:40 PM,07:11 AM,05:56 PM,5,15,15,15,17,0,54,0.0,1021,21,10,17,10
2020-01-23,21,10,0.0,8.7,5,5,3,05:50 AM,04:33 PM,07:11 AM,05:57 PM,3,14,14,14,18,0,47,0.0,1020,21,10,340,11
2020-01-24,22,10,0.0,8.7,5,5,0,06:42 AM,05:29 PM,07:10 AM,05:58 PM,-0,15,15,15,19,0,37,0.0,1018,22,10,282,11
2020-01-25,22,12,0.0,8.7,5,5,0,07:30 AM,06:24 PM,07:10 AM,05:59 PM,-0,17,17,17,7,2,33,0.0,1017,22,10,230,4
2020-01-26,24,13,0.0,8.7,5,5,4,08:12 AM,07:20 PM,07:10 AM,05:59 PM,3,18,18,18,10,4,38,0.0,1015,24,10,323,6
2020-01-27,25,14,0.0,10.9,5,5,11,08:50 AM,08:13 PM,07:09 AM,06:00 PM,7,19,19,19,25,13,47,0.0,1012,25,10,101,15
2020-01-28,22,14,0.0,10.1,4,4,18,09:26 AM,09:06 PM,07:09 AM,06:01 PM,8,17,18,17,21,37,55,0.0,1010,22,10,307,13
2020-01-29,21,13,0.0,10.9,5,5,26,09:58 AM,09:57 PM,07:09 AM,06:02 PM,5,17,17,17,16,8,47,0.0,1016,21,10,209,10
2020-01-30,21,11,0.0,10.9,5,5,33,10:29 AM,10:47 PM,07:08 AM,06:02 PM,3,15,15,15,18,3,48,0.0,1019,21,10,224,11
2020-01-31,21,11,0.0,11.0,5,5,37,11:00 AM,11:38 PM,07:08 AM,06:03 PM,4,16,16,16,12,3,45,0.0,1016,21,10,234,7
2020-02-01,21,10,0.0,11.0,5,5,49,11:32 AM,No moonset,07:07 AM,06:04 PM,4,15,15,15,14,12,47,0.0,1019,21,10,135,8
2020-02-02,21,11,0.0,11.0,5,5,57,12:05 PM,12:30 AM,07:07 AM,06:05 PM,3,16,17,16,12,1,44,0.0,1021,21,10,236,7
2020-02-03,23,10,0.0,11.0,5,5,64,12:42 PM,01:24 AM,07:06 AM,06:05 PM,2,16,17,16,14,0,42,0.0,1019,23,10,117,7
2020-02-04,23,11,0.0,11.0,5,5,72,01:24 PM,02:19 AM,07:06 AM,06:06 PM,4,16,16,16,21,11,45,0.0,1017,23,10,79,13
2020-02-05,22,12,0.0,11.0,5,5,79,02:11 PM,03:17 AM,07:05 AM,06:07 PM,5,16,17,16,15,6,47,0.0,1018,22,10,239,9
2020-02-06,22,11,0.0,11.0,5,5,87,03:05 PM,04:16 AM,07:05 AM,06:08 PM,4,16,16,16,13,5,45,0.0,1017,22,10,242,8
2020-02-07,21,10,0.0,11.0,5,5,95,04:05 PM,05:16 AM,07:04 AM,06:08 PM,3,15,15,15,17,3,46,0.0,1020,21,10,31,10
2020-02-08,22,11,0.0,11.1,5,5,100,05:11 PM,06:13 AM,07:03 AM,06:09 PM,2,15,15,15,15,0,43,0.0,1022,22,10,20,9
2020-02-09,22,11,0.0,11.1,5,5,100,06:18 PM,07:06 AM,07:03 AM,06:10 PM,2,16,16,16,11,8,42,0.0,1022,22,10,38,7
2020-02-10,23,11,0.0,11.1,4,4,83,07:26 PM,07:54 AM,07:02 AM,06:10 PM,1,17,17,17,9,20,37,0.0,1020,23,10,274,5
2020-02-11,25,12,0.0,11.1,5,5,75,08:33 PM,08:38 AM,07:01 AM,06:11 PM,2,18,18,18,12,1,36,0.0,1019,25,10,273,7
2020-02-12,27,13,0.0,11.1,6,6,68,09:38 PM,09:20 AM,07:01 AM,06:12 PM,3,19,19,19,14,0,35,0.0,1019,27,10,291,8
2020-02-13,30,16,0.0,11.1,6,6,60,10:42 PM,09:59 AM,07:00 AM,06:12 PM,4,23,23,23,19,0,31,0.0,1017,30,10,283,11
2020-02-14,29,16,0.0,11.5,6,6,53,11:45 PM,10:38 AM,06:59 AM,06:13 PM,2,22,22,22,24,1,30,0.0,1015,29,10,318,14
2020-02-15,28,15,0.0,11.6,6,6,45,No moonrise,11:19 AM,06:59 AM,06:14 PM,-2,22,22,21,18,2,22,0.0,1015,28,10,307,11
2020-02-16,29,16,0.0,11.6,6,6,38,12:47 AM,12:02 PM,06:58 AM,06:14 PM,-3,23,23,23,8,0,19,0.0,1017,29,10,251,5
2020-02-17,30,16,0.0,11.6,6,6,30,01:49 AM,12:47 PM,06:57 AM,06:15 PM,-2,23,23,23,11,0,21,0.0,1018,30,10,295,7
