date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,19,0.0,4.1,5,5,37,11:12 AM,11:10 PM,06:45 AM,05:48 PM,18,23,23,22,24,77,79,9.6,1015,27,10,155,17
2020-01-02,29,20,0.0,7.2,6,6,44,11:47 AM,11:57 PM,06:46 AM,05:49 PM,19,25,25,24,21,64,78,1.1,1015,29,9,136,14
2020-01-03,25,21,0.0,4.1,5,5,51,12:21 PM,No moonset,06:46 AM,05:49 PM,20,23,23,22,14,86,88,4.2,1014,25,10,103,10
2020-01-04,27,19,0.0,4.1,5,5,59,12:56 PM,12:45 AM,06:46 AM,05:50 PM,18,23,23,22,11,67,78,1.2,1013,27,8,43,7
2020-01-05,26,18,0.0,8.7,6,6,66,01:32 PM,01:33 AM,06:46 AM,05:51 PM,15,22,22,22,16,19,66,0.0,1014,26,10,25,11
2020-01-06,27,17,0.0,8.7,5,5,73,02:10 PM,02:23 AM,06:47 AM,05:51 PM,15,23,23,22,11,39,63,0.1,1016,27,10,113,7
2020-01-07,28,20,0.0,4.1,5,5,80,02:53 PM,03:16 AM,06:47 AM,05:52 PM,18,26,26,24,12,77,71,2.3,1015,28,10,155,8
2020-01-08,29,21,0.0,4.1,5,5,88,03:41 PM,04:11 AM,06:47 AM,05:53 PM,19,25,25,24,25,64,77,0.4,1013,29,10,171,18
2020-01-09,29,20,0.0,4.1,5,5,95,04:33 PM,05:10 AM,06:47 AM,05:53 PM,19,25,25,23,18,64,78,3.4,1013,29,10,271,12
2020-01-10,26,18,0.0,8.7,6,6,100,05:32 PM,06:09 AM,06:48 AM,05:54 PM,14,21,21,21,17,24,68,0.0,1015,26,10,28,12
2020-01-11,29,16,0.0,8.7,6,6,100,06:33 PM,07:08 AM,06:48 AM,05:54 PM,12,23,23,22,12,2,55,0.0,1016,29,10,47,9
2020-01-12,29,18,0.0,8.7,6,6,83,07:37 PM,08:04 AM,06:48 AM,05:55 PM,9,23,23,22,10,0,42,0.0,1014,29,10,26,7
2020-01-13,30,19,0.0,8.7,6,6,76,08:40 PM,08:57 AM,06:48 AM,05:56 PM,8,24,24,24,8,0,37,0.0,1012,30,10,144,5
2020-01-14,30,18,0.0,8.7,6,6,69,09:42 PM,09:46 AM,06:48 AM,05:56 PM,12,24,24,23,14,6,50,0.0,1012,30,10,140,9
2020-01-15,29,19,0.0,8.7,6,6,61,10:41 PM,10:30 AM,06:48 AM,05:57 PM,15,23,23,23,19,5,63,0.0,1013,29,10,150,13
2020-01-16,28,17,0.0,8.7,6,6,54,11:40 PM,11:14 AM,06:48 AM,05:57 PM,15,23,23,22,25,5,64,0.0,1013,28,10,156,16
2020-01-17,28,18,0.0,7.2,5,5,47,No moonrise,11:55 AM,06:49 AM,05:58 PM,16,24,24,23,19,39,66,0.0,1014,28,10,144,13
2020-01-18,28,19,0.0,5.7,5,5,40,12:37 AM,12:37 PM,06:49 AM,05:59 PM,17,24,24,23,17,44,68,0.1,1013,28,9,143,11
2020-01-19,29,19,0.0,5.7,6,6,32,01:35 AM,01:21 PM,06:49 AM,05:59 PM,17,25,25,24,12,41,66,0.7,1013,29,10,159,8
2020-01-20,30,21,0.0,11.5,7,7,25,02:32 AM,02:07 PM,06:49 AM,06:00 PM,17,26,26,25,10,24,63,0.0,1014,30,10,114,7
2020-01-21,30,20,0.0,11.5,7,7,18,03:31 AM,02:56 PM,06:49 AM,06:01 PM,16,26,26,25,16,23,60,0.0,1015,30,10,145,11
2020-01-22,30,19,0.0,11.5,7,7,11,04:28 AM,03:48 PM,06:48 AM,06:01 PM,16,25,25,25,18,15,61,0.0,1016,30,10,138,12
2020-01-23,32,22,0.0,11.5,7,7,3,05:24 AM,04:41 PM,06:48 AM,06:02 PM,14,27,27,26,11,2,51,0.0,1014,32,10,92,8
2020-01-24,31,21,0.0,11.5,7,7,0,06:17 AM,05:36 PM,06:48 AM,06:02 PM,14,26,26,25,10,6,49,0.0,1014,31,10,53,7
2020-01-25,33,21,0.0,11.6,7,7,0,07:06 AM,06:30 PM,06:48 AM,06:03 PM,13,27,27,27,8,4,45,0.0,1013,33,10,178,5
2020-01-26,32,22,0.0,11.6,7,7,4,07:51 AM,07:23 PM,06:48 AM,06:04 PM,13,28,28,27,9,3,44,0.0,1012,32,10,18,6
2020-01-27,33,23,0.0,11.6,7,7,11,08:31 AM,08:13 PM,06:48 AM,06:04 PM,10,27,27,27,14,9,36,0.0,1011,33,10,146,9
2020-01-28,32,23,0.0,11.6,7,7,18,09:09 AM,09:03 PM,06:48 AM,06:05 PM,15,27,27,27,25,32,52,0.0,1011,32,10,181,18
2020-01-29,32,22,0.0,8.7,6,6,26,09:45 AM,09:51 PM,06:48 AM,06:05 PM,15,28,28,27,14,55,52,0.8,1013,32,10,289,9
2020-01-30,30,20,0.0,11.6,7,7,33,10:19 AM,10:37 PM,06:47 AM,06:06 PM,12,26,26,25,17,8,47,0.0,1013,30,10,242,11
2020-01-31,31,19,0.0,11.6,7,7,37,10:53 AM,11:25 PM,06:47 AM,06:06 PM,12,26,26,25,11,12,48,0.0,1011,31,10,92,7
2020-02-01,31,19,0.0,11.6,7,7,49,11:29 AM,No moonset,06:47 AM,06:07 PM,16,26,26,25,16,36,59,0.2,1012,31,10,154,11
2020-02-02,27,18,0.0,10.2,5,5,57,12:05 PM,12:14 AM,06:47 AM,06:07 PM,15,24,24,23,12,37,63,0.0,1015,27,10,167,8
2020-02-03,31,20,0.0,11.6,7,7,64,12:45 PM,01:04 AM,06:46 AM,06:08 PM,16,26,26,25,17,31,61,0.0,1014,31,10,172,11
2020-02-04,32,20,0.0,11.6,7,7,72,01:29 PM,01:57 AM,06:46 AM,06:08 PM,16,26,26,26,24,24,59,0.0,1012,32,10,167,18
2020-02-05,31,21,0.0,11.6,7,7,79,02:18 PM,02:53 AM,06:46 AM,06:09 PM,16,26,26,25,18,22,57,0.0,1012,31,10,153,12
2020-02-06,32,20,0.0,11.6,7,7,87,03:13 PM,03:51 AM,06:45 AM,06:09 PM,14,26,26,25,19,30,53,0.0,1012,32,10,168,13
2020-02-07,30,22,0.0,11.6,6,6,95,04:13 PM,04:50 AM,06:45 AM,06:10 PM,15,26,26,25,21,39,56,0.0,1012,30,10,161,15
2020-02-08,28,20,0.0,5.8,5,5,100,05:17 PM,05:48 AM,06:45 AM,06:10 PM,18,25,25,23,22,66,72,26.6,1014,28,8,90,13
2020-02-09,26,19,0.0,8.7,5,5,100,06:21 PM,06:43 AM,06:44 AM,06:11 PM,18,23,23,22,14,71,79,15.2,1016,26,9,65,9
2020-02-10,28,20,0.0,10.2,5,5,83,07:26 PM,07:35 AM,06:44 AM,06:11 PM,17,24,24,24,11,61,69,4.1,1015,28,10,109,8
2020-02-11,28,21,0.0,5.8,6,6,75,08:28 PM,08:23 AM,06:43 AM,06:12 PM,18,26,26,24,11,74,71,3.8,1016,28,9,122,8
2020-02-12,29,20,0.0,7.3,6,6,68,09:30 PM,09:08 AM,06:43 AM,06:12 PM,17,26,26,25,11,38,66,0.2,1016,29,10,123,7
2020-02-13,32,22,0.0,11.6,7,7,60,10:29 PM,09:52 AM,06:42 AM,06:13 PM,11,27,27,26,10,1,42,0.0,1015,32,10,67,7
2020-02-14,35,23,0.0,11.6,7,7,53,11:29 PM,10:35 AM,06:42 AM,06:13 PM,9,29,29,29,10,0,32,0.0,1012,35,10,44,7
2020-02-15,34,23,0.0,11.6,7,7,45,No moonrise,11:20 AM,06:41 AM,06:14 PM,11,28,28,28,8,2,35,0.0,1012,34,10,118,5
2020-02-16,34,25,0.0,11.6,7,7,38,12:27 AM,12:05 PM,06:41 AM,06:14 PM,11,28,28,29,7,0,33,0.0,1013,34,10,78,5
2020-02-17,34,22,0.0,11.6,7,7,30,01:26 AM,12:53 PM,06:40 AM,06:14 PM,9,28,28,28,8,0,32,0.0,1014,34,10,56,6
2020-02-18,33,23,0.0,11.6,7,7,22,02:23 AM,01:44 PM,06:40 AM,06:15 PM,4,27,27,28,9,0,22,0.0,1014,33,10,67,7
2020-02-19,34,21,0.0,11.6,7,7,15,03:20 AM,02:36 PM,06:39 AM,06:15 PM,9,29,29,28,12,1,33,0.0,1013,34,10,137,8
2020-02-20,32,20,0.0,11.6,7,7,7,04:12 AM,03:31 PM,06:39 AM,06:16 PM,15,28,28,27,25,4,55,0.0,1013,32,10,153,17
2020-02-21,32,19,0.0,11.6,7,7,0,05:02 AM,04:24 PM,06:38 AM,06:16 PM,14,27,27,26,25,3,50,0.0,1015,32,10,152,17
2020-02-22,33,19,0.0,11.6,7,7,0,05:48 AM,05:17 PM,06:37 AM,06:16 PM,14,27,27,26,23,4,49,0.0,1016,33,10,140,15
2020-02-23,33,20,0.0,11.6,7,7,0,06:29 AM,06:08 PM,06:37 AM,06:17 PM,14,28,28,27,24,6,49,0.0,1014,33,10,155,16
2020-02-24,34,21,0.0,11.6,7,7,0,07:08 AM,06:57 PM,06:36 AM,06:17 PM,13,28,28,27,24,13,44,0.0,1011,34,10,176,16
2020-02-25,34,22,0.0,11.6,7,7,8,07:44 AM,07:46 PM,06:35 AM,06:18 PM,14,29,29,28,14,12,47,0.0,1010,34,10,180,10
2020-02-26,33,21,0.0,11.6,7,7,15,08:19 AM,08:33 PM,06:35 AM,06:18 PM,16,28,28,27,10,8,54,0.0,1012,33,10,142,7
2020-02-27,35,22,0.0,11.6,7,7,23,08:53 AM,09:20 PM,06:34 AM,06:18 PM,9,28,28,28,8,1,36,0.0,1012,35,10,74,6
2020-02-28,33,19,0.0,11.6,7,7,30,09:27 AM,10:08 PM,06:33 AM,06:19 PM,14,28,28,27,15,17,50,0.0,1011,33,9,126,10
2020-02-29,33,20,0.0,11.6,7,7,38,10:03 AM,10:57 PM,06:33 AM,06:19 PM,16,28,28,27,16,20,56,0.0,1011,33,10,123,11
2020-03-01,33,20,0.0,11.6,7,7,44,10:40 AM,11:48 PM,06:32 AM,06:19 PM,15,28,28,27,18,19,53,0.0,1011,33,10,117,12
2020-03-02,35,21,0.0,11.6,7,7,51,11:22 AM,No moonset,06:31 AM,06:19 PM,15,28,28,28,13,16,49,0.0,1011,35,10,149,9
