date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,7,0.0,7.1,4,4,37,11:30 AM,11:12 PM,07:17 AM,05:34 PM,-1,11,12,11,13,47,41,0.0,1021,18,10,115,7
2020-01-02,21,11,0.0,8.7,5,5,44,12:00 PM,No moonset,07:18 AM,05:35 PM,5,14,14,14,13,15,53,0.0,1021,21,10,187,7
2020-01-03,21,12,0.0,8.7,5,5,51,12:29 PM,12:04 AM,07:18 AM,05:35 PM,8,15,15,15,11,15,61,0.0,1018,21,10,263,7
2020-01-04,20,11,0.0,8.7,5,5,59,01:00 PM,12:56 AM,07:18 AM,05:36 PM,7,15,15,15,10,6,63,0.0,1017,20,10,298,6
2020-01-05,19,10,0.0,7.1,3,3,66,01:31 PM,01:50 AM,07:18 AM,05:37 PM,5,13,14,13,19,26,54,0.0,1017,19,10,310,11
2020-01-06,15,11,0.0,5.5,3,3,73,02:05 PM,02:44 AM,07:18 AM,05:38 PM,5,12,13,12,20,59,64,2.9,1019,15,10,103,11
2020-01-07,14,12,0.0,5.5,3,3,80,02:44 PM,03:42 AM,07:18 AM,05:38 PM,11,12,13,12,17,69,91,7.4,1017,14,6,125,11
2020-01-08,15,5,0.0,3.8,3,3,88,03:28 PM,04:41 AM,07:18 AM,05:39 PM,10,10,11,10,18,82,89,32.8,1015,15,8,60,10
2020-01-09,15,7,0.0,8.7,4,4,95,04:18 PM,05:42 AM,07:19 AM,05:40 PM,6,9,11,9,16,1,74,0.0,1019,15,10,310,10
2020-01-10,16,6,0.0,8.7,4,4,100,05:16 PM,06:43 AM,07:19 AM,05:41 PM,4,8,10,8,23,8,67,0.0,1019,16,10,309,13
2020-01-11,17,7,0.0,8.7,4,4,100,06:19 PM,07:41 AM,07:19 AM,05:41 PM,4,10,11,10,19,17,63,0.0,1018,17,10,299,11
2020-01-12,20,8,0.0,8.7,4,4,83,07:26 PM,08:35 AM,07:19 AM,05:42 PM,6,13,14,13,15,20,59,0.0,1015,20,10,288,8
2020-01-13,16,12,0.0,5.5,3,3,76,08:33 PM,09:23 AM,07:19 AM,05:43 PM,9,13,14,13,15,52,74,11.5,1012,16,9,141,8
2020-01-14,18,10,0.0,8.7,4,4,69,09:41 PM,10:07 AM,07:18 AM,05:44 PM,11,13,14,13,14,37,83,0.0,1015,18,7,311,8
2020-01-15,19,9,0.0,8.7,4,4,61,10:46 PM,10:46 AM,07:18 AM,05:45 PM,8,13,13,13,12,17,72,0.0,1016,19,10,263,7
2020-01-16,16,9,0.0,3.9,3,3,54,11:50 PM,11:24 AM,07:18 AM,05:46 PM,10,12,13,12,14,69,83,21.2,1015,16,9,177,8
2020-01-17,17,11,0.0,3.9,3,3,47,No moonrise,12:00 PM,07:18 AM,05:46 PM,11,13,14,13,8,87,87,13.2,1016,17,9,261,5
2020-01-18,18,10,0.0,8.7,4,4,40,12:53 AM,12:37 PM,07:18 AM,05:47 PM,10,13,13,13,11,17,79,0.0,1017,18,8,299,7
2020-01-19,18,9,0.0,8.7,4,4,32,01:56 AM,01:16 PM,07:18 AM,05:48 PM,9,12,12,12,16,3,79,0.0,1018,18,10,299,10
2020-01-20,18,8,0.0,7.1,3,3,25,02:59 AM,01:57 PM,07:17 AM,05:49 PM,7,12,12,12,16,47,72,0.0,1017,18,10,310,9
2020-01-21,20,11,0.0,8.7,4,4,18,04:01 AM,02:43 PM,07:17 AM,05:50 PM,7,14,14,14,7,14,64,0.0,1019,20,10,198,4
2020-01-22,19,10,0.0,8.7,4,4,11,05:01 AM,03:33 PM,07:17 AM,05:51 PM,8,12,13,12,19,1,72,0.0,1019,19,10,307,11
2020-01-23,17,8,0.0,8.7,4,4,3,05:58 AM,04:26 PM,07:17 AM,05:52 PM,4,9,11,9,33,0,63,0.0,1017,17,10,300,19
2020-01-24,19,8,0.0,8.7,4,4,0,06:50 AM,05:22 PM,07:16 AM,05:52 PM,3,10,12,10,31,0,57,0.0,1014,19,10,296,18
2020-01-25,18,8,0.0,8.7,4,4,0,07:37 AM,06:18 PM,07:16 AM,05:53 PM,5,12,12,12,13,18,62,0.0,1015,18,10,305,8
2020-01-26,20,9,0.0,8.7,4,4,4,08:18 AM,07:15 PM,07:15 AM,05:54 PM,7,13,14,13,17,5,67,0.0,1013,20,10,294,10
2020-01-27,21,10,0.0,8.7,4,4,11,08:55 AM,08:09 PM,07:15 AM,05:55 PM,9,14,15,14,14,49,71,0.9,1011,21,9,136,8
2020-01-28,17,9,0.0,3.9,3,3,18,09:29 AM,09:03 PM,07:15 AM,05:56 PM,11,12,13,12,24,71,88,13.4,1010,17,9,89,15
2020-01-29,19,11,0.0,8.7,5,5,26,10:00 AM,09:56 PM,07:14 AM,05:57 PM,10,13,14,13,15,23,80,4.1,1016,19,9,266,9
2020-01-30,18,9,0.0,8.7,4,4,33,10:29 AM,10:47 PM,07:14 AM,05:57 PM,7,11,12,11,25,2,75,0.0,1016,18,10,308,15
2020-01-31,18,8,0.0,8.7,4,4,37,10:59 AM,11:40 PM,07:13 AM,05:58 PM,7,11,12,11,15,1,71,0.0,1014,18,10,285,9
2020-02-01,17,8,0.0,8.7,4,4,49,11:30 AM,No moonset,07:12 AM,05:59 PM,7,12,12,12,13,3,70,0.0,1017,17,10,302,8
2020-02-02,18,8,0.0,10.9,4,4,57,12:02 PM,12:33 AM,07:12 AM,06:00 PM,8,11,12,11,20,0,75,0.0,1018,18,10,305,12
2020-02-03,19,7,0.0,10.9,4,4,64,12:37 PM,01:28 AM,07:11 AM,06:01 PM,7,12,13,12,13,0,70,0.0,1017,19,10,300,8
2020-02-04,19,10,0.0,10.1,3,3,72,01:18 PM,02:25 AM,07:11 AM,06:02 PM,7,13,14,13,12,28,66,0.0,1016,19,10,250,7
2020-02-05,18,9,0.0,10.9,4,4,79,02:04 PM,03:24 AM,07:10 AM,06:02 PM,6,12,13,12,19,2,66,0.0,1016,18,10,298,12
2020-02-06,19,7,0.0,10.9,4,4,87,02:58 PM,04:24 AM,07:09 AM,06:03 PM,7,12,13,12,13,1,67,0.0,1015,19,10,292,8
2020-02-07,18,8,0.0,11.0,4,4,95,03:58 PM,05:24 AM,07:09 AM,06:04 PM,6,12,13,12,12,10,66,0.0,1018,18,10,312,7
2020-02-08,19,8,0.0,11.0,4,4,100,05:04 PM,06:20 AM,07:08 AM,06:05 PM,8,12,13,12,17,0,74,0.0,1019,19,10,308,10
