date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,22,0.0,5.9,6,6,37,11:11 AM,11:18 PM,06:36 AM,06:06 PM,21,28,28,25,14,66,79,0.9,1014,30,10,92,9
2020-01-02,30,22,0.0,8.7,6,6,44,11:49 AM,No moonset,06:36 AM,06:06 PM,21,28,28,26,14,48,78,0.2,1015,30,9,104,9
2020-01-03,30,23,0.0,11.6,6,6,51,12:25 PM,12:03 AM,06:37 AM,06:07 PM,22,29,29,26,12,41,77,0.0,1014,30,9,111,8
2020-01-04,31,23,0.0,8.7,6,6,59,01:03 PM,12:47 AM,06:37 AM,06:07 PM,22,29,29,27,13,44,77,0.1,1012,31,10,103,9
2020-01-05,31,23,0.0,10.2,6,6,66,01:42 PM,01:33 AM,06:37 AM,06:08 PM,21,29,29,26,18,31,76,0.0,1012,31,10,107,13
2020-01-06,30,22,0.0,7.3,6,6,73,02:23 PM,02:20 AM,06:38 AM,06:08 PM,21,28,28,25,17,59,80,3.1,1014,30,10,91,12
2020-01-07,30,23,0.0,8.7,6,6,80,03:08 PM,03:11 AM,06:38 AM,06:09 PM,21,28,28,25,16,57,77,0.9,1014,30,10,74,11
2020-01-08,32,22,0.0,11.6,7,7,88,03:58 PM,04:04 AM,06:38 AM,06:10 PM,20,28,28,26,14,6,71,0.0,1013,32,10,83,10
2020-01-09,30,21,0.0,10.2,6,6,95,04:52 PM,05:01 AM,06:39 AM,06:10 PM,19,27,27,25,11,28,72,0.0,1013,30,10,87,8
2020-01-10,31,22,0.0,11.6,7,7,100,05:51 PM,05:59 AM,06:39 AM,06:11 PM,18,27,27,25,14,4,68,0.0,1014,31,10,85,11
2020-01-11,31,22,0.0,11.6,7,7,100,06:51 PM,06:58 AM,06:39 AM,06:11 PM,18,27,27,26,10,0,67,0.0,1014,31,10,62,8
2020-01-12,30,20,0.0,11.6,7,7,83,07:53 PM,07:56 AM,06:39 AM,06:12 PM,19,26,26,25,9,27,72,0.2,1014,30,10,73,7
2020-01-13,29,21,0.0,11.6,6,6,76,08:53 PM,08:51 AM,06:40 AM,06:12 PM,19,27,27,25,12,36,72,0.1,1012,29,10,86,8
2020-01-14,30,21,0.0,10.2,7,7,69,09:52 PM,09:43 AM,06:40 AM,06:13 PM,18,28,28,26,14,35,66,0.0,1012,30,10,79,10
2020-01-15,32,22,0.0,11.6,7,7,61,10:48 PM,10:30 AM,06:40 AM,06:13 PM,17,28,28,26,12,0,61,0.0,1013,32,10,81,8
2020-01-16,30,20,0.0,11.6,7,7,54,11:43 PM,11:17 AM,06:40 AM,06:14 PM,17,27,27,25,13,6,64,0.0,1013,30,10,87,9
2020-01-17,31,21,0.0,11.6,7,7,47,No moonrise,12:02 PM,06:41 AM,06:14 PM,19,28,28,26,15,12,70,0.0,1013,31,10,94,10
2020-01-18,30,22,0.0,5.9,6,6,40,12:37 AM,12:47 PM,06:41 AM,06:15 PM,21,28,28,26,16,65,77,1.3,1012,30,10,87,11
2020-01-19,30,22,0.0,10.2,6,6,32,01:32 AM,01:34 PM,06:41 AM,06:15 PM,20,28,28,26,17,40,72,0.1,1013,30,10,86,12
2020-01-20,32,22,0.0,11.6,7,7,25,02:26 AM,02:22 PM,06:41 AM,06:16 PM,18,28,28,26,15,21,66,0.0,1014,32,10,71,11
2020-01-21,32,22,0.0,11.6,7,7,18,03:23 AM,03:14 PM,06:41 AM,06:16 PM,18,27,27,26,16,9,65,0.0,1015,32,10,79,11
2020-01-22,31,22,0.0,11.6,7,7,11,04:18 AM,04:06 PM,06:41 AM,06:17 PM,19,27,27,26,16,6,70,0.0,1015,31,10,90,12
2020-01-23,30,23,0.0,8.7,6,6,3,05:14 AM,05:00 PM,06:41 AM,06:17 PM,19,28,28,26,15,46,68,0.2,1014,30,10,76,11
2020-01-24,32,21,0.0,11.6,7,7,0,06:07 AM,05:54 PM,06:41 AM,06:18 PM,17,27,27,26,15,5,64,0.0,1014,32,10,82,10
2020-01-25,33,22,0.0,11.6,7,7,0,06:57 AM,06:47 PM,06:41 AM,06:18 PM,15,29,29,27,11,0,55,0.0,1014,33,10,86,8
2020-01-26,34,21,0.0,11.6,7,7,4,07:44 AM,07:37 PM,06:41 AM,06:18 PM,17,30,30,28,11,0,59,0.0,1013,34,10,98,7
2020-01-27,32,22,0.0,11.6,7,7,11,08:27 AM,08:25 PM,06:41 AM,06:19 PM,17,28,28,27,13,0,58,0.0,1013,32,10,113,9
2020-01-28,33,23,0.0,11.6,7,7,18,09:07 AM,09:12 PM,06:41 AM,06:19 PM,18,29,29,27,15,2,61,0.0,1013,33,10,110,10
2020-01-29,33,21,0.0,11.6,7,7,26,09:46 AM,09:57 PM,06:41 AM,06:20 PM,18,29,29,27,16,5,62,0.0,1014,33,10,105,11
2020-01-30,34,21,0.0,11.6,7,7,33,10:23 AM,10:41 PM,06:41 AM,06:20 PM,17,29,29,28,15,1,59,0.0,1013,34,10,107,11
2020-01-31,33,21,0.0,11.6,7,7,37,11:00 AM,11:27 PM,06:41 AM,06:20 PM,17,28,28,27,18,5,60,0.0,1012,33,10,108,13
2020-02-01,32,22,0.0,11.6,7,7,49,11:38 AM,No moonset,06:41 AM,06:21 PM,18,28,28,26,20,19,64,0.0,1013,32,10,105,15
2020-02-02,33,21,0.0,11.6,7,7,57,12:16 PM,12:12 AM,06:41 AM,06:21 PM,17,27,27,26,21,10,61,0.0,1015,33,10,89,15
2020-02-03,33,22,0.0,11.6,7,7,64,12:59 PM,01:00 AM,06:41 AM,06:22 PM,17,28,28,27,16,8,61,0.0,1015,33,10,84,12
2020-02-04,32,21,0.0,11.6,7,7,72,01:46 PM,01:51 AM,06:41 AM,06:22 PM,19,28,28,26,17,24,67,0.0,1013,32,10,98,12
2020-02-05,31,22,0.0,8.8,6,6,79,02:36 PM,02:44 AM,06:41 AM,06:22 PM,19,28,28,26,20,45,65,0.5,1013,31,10,95,14
2020-02-06,32,21,0.0,11.6,7,7,87,03:32 PM,03:41 AM,06:41 AM,06:23 PM,16,28,28,26,16,15,57,0.0,1014,32,10,104,11
2020-02-07,32,21,0.0,11.6,7,7,95,04:32 PM,04:40 AM,06:40 AM,06:23 PM,17,27,27,26,18,16,59,0.0,1014,32,10,110,13
2020-02-08,32,21,0.0,11.6,6,6,100,05:34 PM,05:39 AM,06:40 AM,06:23 PM,18,29,29,27,17,25,62,0.0,1014,32,10,108,12
2020-02-09,32,22,0.0,11.6,7,7,100,06:36 PM,06:36 AM,06:40 AM,06:23 PM,18,28,28,26,19,41,63,0.0,1015,32,10,92,14
2020-02-10,32,21,0.0,11.6,7,7,83,07:38 PM,07:31 AM,06:40 AM,06:24 PM,18,28,28,26,20,32,64,0.0,1014,32,10,78,15
2020-02-11,30,21,0.0,7.3,6,6,75,08:37 PM,08:22 AM,06:39 AM,06:24 PM,19,27,27,26,17,44,67,0.0,1015,30,10,82,12
2020-02-12,31,21,0.0,8.8,6,6,68,09:35 PM,09:11 AM,06:39 AM,06:24 PM,20,28,28,26,17,40,70,0.1,1015,31,10,83,12
2020-02-13,34,22,0.0,11.6,7,7,60,10:31 PM,09:58 AM,06:39 AM,06:25 PM,18,30,30,28,16,19,62,0.0,1015,34,10,79,11
2020-02-14,35,22,0.0,11.6,8,8,53,11:27 PM,10:44 AM,06:39 AM,06:25 PM,17,31,31,29,13,3,54,0.0,1013,35,10,68,9
2020-02-15,36,22,0.0,11.6,8,8,45,No moonrise,11:32 AM,06:38 AM,06:25 PM,15,31,31,30,15,3,49,0.0,1013,36,10,88,10
2020-02-16,34,22,0.0,11.6,7,7,38,12:22 AM,12:20 PM,06:38 AM,06:25 PM,14,29,29,28,18,2,49,0.0,1014,34,10,92,13
2020-02-17,34,22,0.0,11.6,7,7,30,01:19 AM,01:11 PM,06:38 AM,06:25 PM,16,30,30,28,15,4,55,0.0,1015,34,10,80,11
2020-02-18,35,22,0.0,11.6,7,7,22,02:14 AM,02:02 PM,06:37 AM,06:26 PM,14,29,29,28,16,0,51,0.0,1014,35,10,78,11
2020-02-19,34,21,0.0,11.6,7,7,15,03:10 AM,02:55 PM,06:37 AM,06:26 PM,15,29,29,27,18,1,54,0.0,1014,34,10,92,13
2020-02-20,34,20,0.0,11.6,7,7,7,04:03 AM,03:49 PM,06:37 AM,06:26 PM,16,28,28,27,19,4,58,0.0,1014,34,10,89,14
2020-02-21,33,20,0.0,11.6,7,7,0,04:53 AM,04:41 PM,06:36 AM,06:26 PM,19,28,28,27,18,18,66,0.0,1015,33,10,84,13
2020-02-22,32,22,0.0,7.4,6,6,0,05:41 AM,05:32 PM,06:36 AM,06:26 PM,20,29,29,27,20,44,68,0.4,1016,32,10,82,15
2020-02-23,33,22,0.0,10.2,6,6,0,06:24 AM,06:20 PM,06:35 AM,06:27 PM,19,29,29,27,18,25,68,0.0,1015,33,10,88,13
2020-02-24,35,21,0.0,11.6,7,7,0,07:05 AM,07:08 PM,06:35 AM,06:27 PM,18,28,28,27,18,16,63,0.0,1013,35,9,100,13
2020-02-25,35,21,0.0,11.6,7,7,8,07:44 AM,07:53 PM,06:35 AM,06:27 PM,17,30,30,28,18,9,60,0.0,1012,35,9,106,13
2020-02-26,34,22,0.0,11.6,7,7,15,08:21 AM,08:38 PM,06:34 AM,06:27 PM,18,30,30,28,19,29,62,0.1,1012,34,10,109,14
2020-02-27,35,22,0.0,11.6,7,7,23,08:58 AM,09:22 PM,06:34 AM,06:27 PM,18,30,30,28,20,25,63,0.0,1012,35,10,86,15
2020-02-28,33,22,0.0,11.6,7,7,30,09:36 AM,10:07 PM,06:33 AM,06:27 PM,19,31,31,29,21,26,62,0.0,1011,33,10,95,16
2020-02-29,35,22,0.0,11.6,7,7,38,10:13 AM,10:54 PM,06:33 AM,06:27 PM,18,30,30,28,19,27,60,0.0,1011,35,10,91,14
2020-03-01,34,23,0.0,11.6,7,7,44,10:54 AM,11:42 PM,06:32 AM,06:27 PM,18,31,31,29,19,23,57,0.0,1011,34,10,109,14
