date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,32,23,0.0,8.7,6,6,37,11:25 AM,11:30 PM,06:51 AM,06:15 PM,22,29,29,26,14,53,76,1.2,1013,32,10,262,9
2020-01-02,30,23,0.0,7.3,6,6,44,12:02 PM,No moonset,06:51 AM,06:16 PM,22,29,29,26,16,41,80,0.5,1014,30,10,308,11
2020-01-03,30,23,0.0,11.6,7,7,51,12:38 PM,12:15 AM,06:52 AM,06:16 PM,22,29,29,26,21,18,81,0.0,1013,30,10,309,15
2020-01-04,30,22,0.0,11.6,7,7,59,01:15 PM,01:01 AM,06:52 AM,06:17 PM,22,28,28,25,20,14,82,0.0,1012,30,10,315,14
2020-01-05,29,21,0.0,11.6,7,7,66,01:53 PM,01:47 AM,06:52 AM,06:17 PM,20,27,27,25,16,11,77,0.0,1011,29,10,298,11
2020-01-06,31,22,0.0,11.6,7,7,73,02:34 PM,02:35 AM,06:53 AM,06:18 PM,21,29,29,26,14,20,77,0.0,1012,31,10,252,9
2020-01-07,33,23,0.0,11.6,7,7,80,03:19 PM,03:26 AM,06:53 AM,06:19 PM,22,30,30,27,14,15,75,0.0,1012,33,10,212,10
2020-01-08,33,23,0.0,11.6,7,7,88,04:08 PM,04:19 AM,06:53 AM,06:19 PM,21,29,29,27,15,15,74,0.0,1012,33,10,256,10
2020-01-09,34,23,0.0,10.2,6,6,95,05:02 PM,05:16 AM,06:54 AM,06:20 PM,22,30,30,27,16,48,79,0.7,1012,34,10,284,11
2020-01-10,30,23,0.0,11.6,7,7,100,06:00 PM,06:15 AM,06:54 AM,06:20 PM,22,28,28,26,13,16,78,0.0,1012,30,10,219,9
2020-01-11,33,22,0.0,11.6,7,7,100,07:02 PM,07:14 AM,06:54 AM,06:21 PM,20,29,29,26,14,0,71,0.0,1012,33,10,235,9
2020-01-12,32,20,0.0,11.6,7,7,83,08:04 PM,08:11 AM,06:55 AM,06:21 PM,17,26,26,25,16,1,61,0.0,1012,32,10,202,10
2020-01-13,33,21,0.0,11.6,7,7,76,09:05 PM,09:06 AM,06:55 AM,06:22 PM,20,28,28,26,16,3,72,0.0,1011,33,10,275,10
2020-01-14,30,22,0.0,11.6,7,7,69,10:03 PM,09:57 AM,06:55 AM,06:22 PM,21,28,28,25,14,12,75,0.0,1011,30,10,294,10
2020-01-15,30,22,0.0,11.6,7,7,61,11:00 PM,10:44 AM,06:55 AM,06:23 PM,21,28,28,25,18,25,78,0.0,1011,30,10,300,12
2020-01-16,29,22,0.0,8.7,6,6,54,11:56 PM,11:30 AM,06:55 AM,06:24 PM,21,27,27,25,19,41,77,1.1,1012,29,10,307,13
2020-01-17,29,21,0.0,11.6,7,7,47,No moonrise,12:14 PM,06:55 AM,06:24 PM,19,27,27,24,17,18,73,0.0,1012,29,10,299,11
2020-01-18,32,21,0.0,11.6,7,7,40,12:51 AM,12:59 PM,06:56 AM,06:25 PM,20,27,27,25,16,7,72,0.0,1011,32,10,269,11
